category,claim_count,unique_study_count,percent_of_206_studies,conditional_claim_count,eligible_quantitative_claim_count,eligible_qualitative_claim_count,context_only_claim_count
monitoring_duration,3,3,1.5,3,3,0,0
noise_power_spectral_density,3,3,1.5,0,3,0,0
oscilloscope_sampling_bandwidth,3,3,1.5,0,3,0,0
phase_modulation_index,3,3,1.5,0,3,0,0
photodetector_responsivity,3,3,1.5,0,3,0,0
pulse_shaping_rolloff,3,3,1.5,0,3,0,0
received_power,3,3,1.5,0,3,0,0
receiver_aperture,3,3,1.5,1,3,0,0
repetition_period,3,3,1.5,2,3,0,0
sensing_fiber_length,3,3,1.5,1,3,0,0
subcarriers,3,3,1.5,0,3,0,0
symbol_count,3,3,1.5,1,3,0,0
target_distance_conditions,3,3,1.5,0,3,0,0
target_distances,3,3,1.5,1,3,0,0
train_test_split,3,3,1.5,1,3,0,0
unambiguous_range,3,3,1.5,0,3,0,0
detection_range,10,2,1.0,1,10,0,0
peak_to_sidelobe_ratio,10,2,1.0,0,10,0,0
class_accuracy,8,2,1.0,2,8,0,0
autocorrelation_FWHM,6,2,1.0,0,6,0,0
imaging_resolution,6,2,1.0,5,6,0,0
inference_latency,6,2,1.0,0,6,0,0
limit_of_detection,6,2,1.0,0,6,0,0
model_size,6,2,1.0,0,6,0,0
accuracy_improvement,5,2,1.0,0,5,0,0
main_lobe_width,5,2,1.0,0,5,0,0
measured_distance,5,2,1.0,3,5,0,0
scintillation_index,5,2,1.0,1,5,0,0
pulse_compression_ratio,4,2,1.0,3,4,0,0
range_precision,4,2,1.0,1,4,0,0
refractive_index_structure_parameter,4,2,1.0,0,4,0,0
waveform_period,4,2,1.0,3,4,0,0
QAM_order,3,2,1.0,2,3,0,0
Q_factor,3,2,1.0,0,3,0,0
RF_band,3,2,1.0,0,3,0,0
ROP_threshold,3,2,1.0,0,3,0,0
chirp_duration,3,2,1.0,3,3,0,0
emission_peak_wavelength,3,2,1.0,0,3,0,0
estimated_range,3,2,1.0,2,3,0,0
half_wave_voltage,3,2,1.0,0,3,0,0
instantaneous_bandwidth,3,2,1.0,0,3,0,0
mmWave_carrier_frequency,3,2,1.0,0,3,0,0
net_bitrate,3,2,1.0,0,3,0,0
optical_carrier_wavelength,3,2,1.0,0,3,0,0
payload_bits,3,2,1.0,0,3,0,0
position_RMSE,3,2,1.0,0,3,0,0
range_RMSE,3,2,1.0,1,3,0,0
received_power_improvement,3,2,1.0,1,3,0,0
response_time,3,2,1.0,3,3,0,0
traffic_format,3,2,1.0,0,3,0,0
turn_on_voltage,3,2,1.0,0,3,0,0
AWG_voltage,2,2,1.0,1,2,0,0
BER_target,2,2,1.0,0,2,0,0
CE_OFDM_bandwidth,2,2,1.0,0,2,0,0
DIRQ,2,2,1.0,0,2,0,0
FEC_BER_limit,2,2,1.0,0,2,0,0
HD_FEC_BER_threshold,2,2,1.0,0,2,0,0
IF_frequency,2,2,1.0,1,2,0,0
JRC_bandwidth,2,2,1.0,0,2,0,0
LED_count,2,2,1.0,0,2,0,0
LED_half_power_angle,2,2,1.0,0,2,0,0
LFMCW_bandwidth,2,2,1.0,0,2,0,0
LFM_initial_frequencies,2,2,1.0,0,2,0,0
NGMI_penalty,2,2,1.0,0,2,0,0
NGMI_threshold,2,2,1.0,1,2,0,0
OFC_repetition_frequency,2,2,1.0,0,2,0,0
OFDM_dimensions,2,2,1.0,2,2,0,0
PD2_bandwidth,2,2,1.0,0,2,0,0
PPM_order,2,2,1.0,1,2,0,0
RF_center_frequency,2,2,1.0,0,2,0,0
RF_drive_frequency,2,2,1.0,0,2,0,0
RRC_rolloff,2,2,1.0,1,2,0,0
SMF_delay_length,2,2,1.0,0,2,0,0
SNR_improvement,2,2,1.0,2,2,0,0
SNR_threshold,2,2,1.0,1,2,0,0
SSNR_improvement,2,2,1.0,1,2,0,0
THD,2,2,1.0,0,2,0,0
active_subcarriers,2,2,1.0,0,2,0,0
aggregate_data_rate,2,2,1.0,0,2,0,0
algorithm_convergence,2,2,1.0,0,2,0,0
antenna_frequency_lower_bound,2,2,1.0,0,2,0,0
antenna_frequency_upper_bound,2,2,1.0,0,2,0,0
antenna_spacing,2,2,1.0,2,2,0,0
baseband_bandwidth,2,2,1.0,0,2,0,0
bits_per_symbol,2,2,1.0,0,2,0,0
carrier_frequencies,2,2,1.0,0,2,0,0
carrier_suppression,2,2,1.0,0,2,0,0
carrier_sweep_lower,2,2,1.0,0,2,0,0
carrier_sweep_upper,2,2,1.0,0,2,0,0
carrier_to_signal_power_ratio,2,2,1.0,0,2,0,0
channel_spacing,2,2,1.0,0,2,0,0
chirp_period,2,2,1.0,1,2,0,0
communication_distance,2,2,1.0,0,2,0,0
dechirped_peak_frequency,2,2,1.0,0,2,0,0
distance_resolution,2,2,1.0,0,2,0,0
distance_resolution_formula,2,2,1.0,0,2,0,0
effective_subcarrier_count,2,2,1.0,0,2,0,0
equalizer_taps,2,2,1.0,0,2,0,0
equivalent_bandwidth,2,2,1.0,0,2,0,0
event_class_count,2,2,1.0,1,2,0,0
far_user_distance,2,2,1.0,1,2,0,0
frame_duration,2,2,1.0,0,2,0,0
frequency_measurement_error,2,2,1.0,0,2,0,0
frequency_measurement_range,2,2,1.0,0,2,0,0
frequency_offset,2,2,1.0,1,2,0,0
fused_range_resolution,2,2,1.0,0,2,0,0
horn_gain,2,2,1.0,0,2,0,0
input_optical_power,2,2,1.0,0,2,0,0
insertion_loss,2,2,1.0,0,2,0,0
laser_output_power,2,2,1.0,0,2,0,0
laser_parameters,2,2,1.0,0,2,0,0
launch_power,2,2,1.0,0,2,0,0
launch_power_sweep,2,2,1.0,1,2,0,0
maximum_localization_error,2,2,1.0,0,2,0,0
mean_localization_error,2,2,1.0,0,2,0,0
measurement_repetitions,2,2,1.0,0,2,0,0
mmWave_center_frequency,2,2,1.0,0,2,0,0
monte_carlo_trials,2,2,1.0,0,2,0,0
noise_figure,2,2,1.0,2,2,0,0
observation_window,2,2,1.0,1,2,0,0
optical_angles,2,2,1.0,0,2,0,0
optical_carrier_power,2,2,1.0,0,2,0,0
optical_wavenumber,2,2,1.0,0,2,0,0
optimal_drive_voltage,2,2,1.0,1,2,0,0
oscilloscope_bandwidth,2,2,1.0,0,2,0,0
per_iteration_complexity,2,2,1.0,0,2,0,0
phase_amplitude,2,2,1.0,0,2,0,0
phase_noise_floor,2,2,1.0,0,2,0,0
photocurrent_boundary,2,2,1.0,0,2,0,0
pilot_subcarriers,2,2,1.0,0,2,0,0
positioning_error,2,2,1.0,0,2,0,0
power_flatness,2,2,1.0,2,2,0,0
pre_FEC_BER,2,2,1.0,0,2,0,0
pre_FEC_BER_threshold,2,2,1.0,0,2,0,0
pulse_repetition_period,2,2,1.0,0,2,0,0
range_estimation_error,2,2,1.0,0,2,0,0
range_resolution_formula,2,2,1.0,0,2,0,0
range_resolution_range,2,2,1.0,1,2,0,0
ranging_accuracy,2,2,1.0,0,2,0,0
received_SNR,2,2,1.0,0,2,0,0
receiver_noise_power,2,2,1.0,0,2,0,0
receiver_sampling_rate,2,2,1.0,0,2,0,0
resource_utilization,2,2,1.0,0,2,0,0
rolloff_factor,2,2,1.0,2,2,0,0
separation_error,2,2,1.0,0,2,0,0
simulation_waveform,2,2,1.0,1,2,0,0
slot_duration,2,2,1.0,0,2,0,0
speed_of_light,2,2,1.0,0,2,0,0
synchronization_sidelobe,2,2,1.0,0,2,0,0
systematic_distance_offset,2,2,1.0,1,2,0,0
target_count,2,2,1.0,2,2,0,0
target_dimensions,2,2,1.0,1,2,0,0
target_rotation_speed,2,2,1.0,0,2,0,0
test_distance,2,2,1.0,0,2,0,0
tested_vibration_frequencies,2,2,1.0,1,2,0,0
theoretical_spatial_resolution,2,2,1.0,0,2,0,0
total_subcarrier_count,2,2,1.0,0,2,0,0
total_transmitted_power,2,2,1.0,0,2,0,0
training_sample_count,2,2,1.0,1,2,0,0
training_sequence_length,2,2,1.0,0,2,0,0
two_dimensional_resolution,2,2,1.0,0,2,0,0
velocity_error,2,2,1.0,1,2,0,0
vibration_frequency_range,2,2,1.0,1,2,0,0
vibration_location,2,2,1.0,1,2,0,0
vibration_phase_amplitude,2,2,1.0,1,2,0,0
wafer_diameter,2,2,1.0,1,2,0,0
wireless_carrier_frequency,2,2,1.0,0,2,0,0
wireless_link_distance,2,2,1.0,0,2,0,0
asymptotic_exponent,8,1,0.5,8,8,0,0
reachable_distance,7,1,0.5,0,7,0,0
calibrated_range_error,6,1,0.5,0,6,0,0
delay_RMSE,6,1,0.5,0,6,0,0
mean_sidelobe_level,6,1,0.5,0,6,0,0
runtime,6,1,0.5,6,6,0,0
FEC_pass_rate,5,1,0.5,0,5,0,0
estimated_separation,5,1,0.5,0,5,0,0
recognition_accuracy,5,1,0.5,0,5,0,0
MAC_operations,4,1,0.5,0,4,0,0
average_received_power,4,1,0.5,0,4,0,0
fourth_order_moment,4,1,0.5,0,4,0,0
information_entropy,4,1,0.5,0,4,0,0
localization_RMSE,4,1,0.5,4,4,0,0
normalized_fundamental_energy,4,1,0.5,0,4,0,0
preprocessing_time,4,1,0.5,4,4,0,0
range_peak_width,4,1,0.5,0,4,0,0
reconstructed_r0,4,1,0.5,0,4,0,0
relative_error,4,1,0.5,0,4,0,0
resource_allocation,4,1,0.5,0,4,0,0
security_window,4,1,0.5,4,4,0,0
spurious_suppression_ratio,4,1,0.5,0,4,0,0
subcarrier_center_frequency,4,1,0.5,4,4,0,0
transmitter_coordinate,4,1,0.5,4,4,0,0
Brillouin_threshold,3,1,0.5,0,3,0,0
FWHM,3,1,0.5,3,3,0,0
LS_SSNR,3,1,0.5,0,3,0,0
NDR_estimation_gap_percent,3,1,0.5,3,3,0,0
OFDM_symbols_per_function,3,1,0.5,0,3,0,0
OSNR_threshold,3,1,0.5,3,3,0,0
absolute_range_deviation,3,1,0.5,0,3,0,0
accuracy_standard_deviation,3,1,0.5,0,3,0,0
audio_output_design,3,1,0.5,0,3,0,0
azimuth_correction,3,1,0.5,3,3,0,0
bit_error_rate,3,1,0.5,0,3,0,0
cancellation_depth,3,1,0.5,0,3,0,0
chaos_synchronization_coefficient,3,1,0.5,0,3,0,0
classification_metrics,3,1,0.5,0,3,0,0
command_frequency,3,1,0.5,3,3,0,0
computation_time,3,1,0.5,0,3,0,0
cross_correlation_peak_spacing,3,1,0.5,0,3,0,0
distance_RMSE_floor,3,1,0.5,0,3,0,0
drive_response_correlation,3,1,0.5,0,3,0,0
effective_SNR,3,1,0.5,3,3,0,0
estimated_SNR_difference,3,1,0.5,3,3,0,0
estimated_net_data_rate,3,1,0.5,3,3,0,0
event_detection_SNR,3,1,0.5,0,3,0,0
event_detection_SNR_SD,3,1,0.5,0,3,0,0
event_frequency,3,1,0.5,3,3,0,0
frequency_estimate,3,1,0.5,0,3,0,0
initial_frequency,3,1,0.5,3,3,0,0
latency_and_memory,3,1,0.5,0,3,0,0
maximum_distance_error,3,1,0.5,3,3,0,0
mean_classification_accuracy,3,1,0.5,0,3,0,0
measured_azimuth,3,1,0.5,3,3,0,0
measured_target_spacing,3,1,0.5,0,3,0,0
optical_frequency,3,1,0.5,2,3,0,0
optical_power_EH_efficiency,3,1,0.5,0,3,0,0
peak_to_noise_ratio,3,1,0.5,0,3,0,0
positioning_error_90pct,3,1,0.5,0,3,0,0
power_allocation_coefficients,3,1,0.5,0,3,0,0
precision_NAR_F1,3,1,0.5,0,3,0,0
pump_peak_power,3,1,0.5,0,3,0,0
range_beat_frequency,3,1,0.5,3,3,0,0
range_measurement_error,3,1,0.5,0,3,0,0
recognition_error_rate,3,1,0.5,0,3,0,0
secret_key_rate,3,1,0.5,0,3,0,0
signal_to_interference_ratio,3,1,0.5,0,3,0,0
true_phase,3,1,0.5,0,3,0,0
weight_factor,3,1,0.5,0,3,0,0
ACLR,2,1,0.5,0,2,0,0
BER_FEC_threshold,2,1,0.5,0,2,0,0
BS_count,2,1,0.5,2,2,0,0
CSPR_optimum,2,1,0.5,2,2,0,0
DAS_spatial_resolution,2,1,0.5,0,2,0,0
ECL_frequency_tolerance,2,1,0.5,0,2,0,0
FD_SSNR_improvement,2,1,0.5,0,2,0,0
FLOPs,2,1,0.5,2,2,0,0
Fresnel_focal_length,2,1,0.5,0,2,0,0
GMI_reduction,2,1,0.5,0,2,0,0
HPF_stopband,2,1,0.5,2,2,0,0
IOP_sensitivity_improvement,2,1,0.5,0,2,0,0
ISAR_target_spacing,2,1,0.5,0,2,0,0
LDA_selected_features,2,1,0.5,0,2,0,0
MAPE,2,1,0.5,2,2,0,0
NDR_estimation_gap,2,1,0.5,2,2,0,0
OFDM_frame_parameters,2,1,0.5,0,2,0,0
OPA_emitter_count,2,1,0.5,0,2,0,0
OSNR_lower,2,1,0.5,0,2,0,0
OSNR_upper,2,1,0.5,0,2,0,0
PMNR,2,1,0.5,2,2,0,0
PSR_at_polarization_angle,2,1,0.5,0,2,0,0
Q_factor_dB,2,1,0.5,0,2,0,0
RMS_delay_spread,2,1,0.5,0,2,0,0
ROP_at_HD_FEC,2,1,0.5,0,2,0,0
ROP_at_SD_FEC,2,1,0.5,0,2,0,0
ROP_operating_range,2,1,0.5,0,2,0,0
TDC_dead_time,2,1,0.5,0,2,0,0
THz_frequency,2,1,0.5,2,2,0,0
absolute_error_probability,2,1,0.5,0,2,0,0
achieved_illuminance,2,1,0.5,0,2,0,0
active_region_side_length,2,1,0.5,0,2,0,0
antenna_directional_gain,2,1,0.5,0,2,0,0
author_NAR,2,1,0.5,0,2,0,0
average_communication_rate,2,1,0.5,0,2,0,0
average_density_accuracy,2,1,0.5,0,2,0,0
average_ranging_RMSE,2,1,0.5,0,2,0,0
average_ranging_error,2,1,0.5,0,2,0,0
average_sensing_rate,2,1,0.5,0,2,0,0
background_event_rate,2,1,0.5,0,2,0,0
bandwidth_allocation,2,1,0.5,2,2,0,0
bandwidth_tuning,2,1,0.5,0,2,0,0
baseline_data_rate,2,1,0.5,0,2,0,0
beam_steering_resolution,2,1,0.5,0,2,0,0
beat_SNR,2,1,0.5,0,2,0,0
best_epsilon90,2,1,0.5,0,2,0,0
binary_symbol_capacity,2,1,0.5,0,2,0,0
block_size,2,1,0.5,0,2,0,0
braking_distance,2,1,0.5,0,2,0,0
cable_segment_length,2,1,0.5,0,2,0,0
calibration_density_levels,2,1,0.5,0,2,0,0
cell_coverage_length,2,1,0.5,2,2,0,0
centralized_MTL_positioning_error,2,1,0.5,0,2,0,0
channel_attenuation,2,1,0.5,2,2,0,0
chirp_range,2,1,0.5,0,2,0,0
comb_repetition_frequency,2,1,0.5,0,2,0,0
communication_BER_examples,2,1,0.5,0,2,0,0
communication_rate_penalty,2,1,0.5,0,2,0,0
comparison_record_count,2,1,0.5,0,2,0,0
compressed_pulse_width,2,1,0.5,0,2,0,0
contrast_factor,2,1,0.5,0,2,0,0
coordinate_error_reduction,2,1,0.5,0,2,0,0
coverage_dimensions,2,1,0.5,2,2,0,0
crosstalk,2,1,0.5,0,2,0,0
dechirped_peak_snr,2,1,0.5,0,2,0,0
detectable_range,2,1,0.5,2,2,0,0
detected_targets,2,1,0.5,0,2,0,0
detection_frequency,2,1,0.5,0,2,0,0
detector_bandwidth,2,1,0.5,0,2,0,0
distance_error,2,1,0.5,0,2,0,0
drive_amplitude_operating_point,2,1,0.5,0,2,0,0
dual_target_resolution,2,1,0.5,0,2,0,0
dual_target_separation,2,1,0.5,0,2,0,0
effective_sensing_range,2,1,0.5,0,2,0,0
embedded_pulse_count,2,1,0.5,0,2,0,0
emission_detection_spectral_overlap,2,1,0.5,0,2,0,0
enhancement_factor,2,1,0.5,2,2,0,0
error_vector_magnitude,2,1,0.5,0,2,0,0
estimated_target_range,2,1,0.5,0,2,0,0
estimated_velocity,2,1,0.5,2,2,0,0
event_detection_SNR_penalty,2,1,0.5,0,2,0,0
evm,2,1,0.5,0,2,0,0
evm_limit,2,1,0.5,0,2,0,0
extinction_ratio,2,1,0.5,0,2,0,0
failed_power_allocation,2,1,0.5,0,2,0,0
false_target_frequency_distance,2,1,0.5,2,2,0,0
feasible_CSPR_interval,2,1,0.5,2,2,0,0
feasible_CSPR_width,2,1,0.5,2,2,0,0
fiber_span_length,2,1,0.5,0,2,0,0
filter_band,2,1,0.5,0,2,0,0
fixed_range_offset,2,1,0.5,0,2,0,0
frequency_deviation,2,1,0.5,0,2,0,0
frequency_response_attenuation,2,1,0.5,0,2,0,0
gross_net_data_rate,2,1,0.5,0,2,0,0
host_vehicle_speed,2,1,0.5,0,2,0,0
inter_beam_crosstalk,2,1,0.5,2,2,0,0
inventory_success_rate,2,1,0.5,2,2,0,0
largest_Lyapunov_exponent,2,1,0.5,0,2,0,0
leakage_above_noise,2,1,0.5,0,2,0,0
lens_focal_length,2,1,0.5,0,2,0,0
link_loss,2,1,0.5,0,2,0,0
local_oscillator_frequency,2,1,0.5,0,2,0,0
loss_positions,2,1,0.5,2,2,0,0
main_channel_power,2,1,0.5,0,2,0,0
main_to_mean_sidelobe_difference,2,1,0.5,0,2,0,0
maximum_Stokes_power,2,1,0.5,2,2,0,0
maximum_absolute_error,2,1,0.5,2,2,0,0
maximum_intrusion_detection_rate,2,1,0.5,0,2,0,0
maximum_ranging_error,2,1,0.5,0,2,0,0
maximum_sensing_range,2,1,0.5,0,2,0,0
maximum_waiting_time,2,1,0.5,2,2,0,0
mean_absolute_error,2,1,0.5,2,2,0,0
mean_range_error,2,1,0.5,0,2,0,0
measured_peak_separations,2,1,0.5,0,2,0,0
measured_separation,2,1,0.5,0,2,0,0
minimum_BER,2,1,0.5,0,2,0,0
minimum_power_allocation,2,1,0.5,0,2,0,0
missed_positive_pairs,2,1,0.5,0,2,0,0
modulation_bandwidth_3dB,2,1,0.5,0,2,0,0
near_FEC_operating_point,2,1,0.5,0,2,0,0
noise_equivalent_strain,2,1,0.5,0,2,0,0
nominal_target_spacing,2,1,0.5,0,2,0,0
normalized_fisher_requirement,2,1,0.5,0,2,0,0
object_recognition_accuracy,2,1,0.5,0,2,0,0
ofdm_symbol_duration,2,1,0.5,0,2,0,0
open_circuit_voltage,2,1,0.5,2,2,0,0
optical_sensitivity_gain,2,1,0.5,0,2,0,0
optimal_CSPR,2,1,0.5,0,2,0,0
optimal_PPM_order,2,1,0.5,0,2,0,0
packet_loss_rate,2,1,0.5,0,2,0,0
peak_to_peak_voltage,2,1,0.5,2,2,0,0
per_user_rate,2,1,0.5,0,2,0,0
permutation_entropy,2,1,0.5,0,2,0,0
phase_peak_to_peak,2,1,0.5,0,2,0,0
phase_sensitivity,2,1,0.5,0,2,0,0
photocurrent_variation_amplitude,2,1,0.5,0,2,0,0
photon_conversion_efficiency,2,1,0.5,2,2,0,0
pilot_frequency,2,1,0.5,2,2,0,0
polarization_rotation_speed,2,1,0.5,0,2,0,0
position_standard_deviation,2,1,0.5,0,2,0,0
power,2,1,0.5,2,2,0,0
pre_FEC_BER_lower,2,1,0.5,0,2,0,0
pre_FEC_BER_upper,2,1,0.5,0,2,0,0
prior_multi_source_ISAC_performance,2,1,0.5,0,2,0,0
probe_region_boundary,2,1,0.5,0,2,0,0
projected_range,2,1,0.5,0,2,0,0
ranging_repeatability,2,1,0.5,0,2,0,0
reference_and_fit_parameters,2,1,0.5,0,2,0,0
reference_spectral_efficiency,2,1,0.5,0,2,0,0
required_EbN0_gain,2,1,0.5,0,2,0,0
required_EbN0_gain_for_MSE,2,1,0.5,0,2,0,0
resolution_range_pair,2,1,0.5,0,2,0,0
sampling_grid_resolution,2,1,0.5,0,2,0,0
saturation_current_condition,2,1,0.5,0,2,0,0
sensing_accuracy_change,2,1,0.5,2,2,0,0
sensing_accuracy_improvement,2,1,0.5,2,2,0,0
sensor_linearity,2,1,0.5,2,2,0,0
short_circuit_current_density,2,1,0.5,2,2,0,0
signal_to_noise_ratio,2,1,0.5,0,2,0,0
signal_to_residual_ratio,2,1,0.5,0,2,0,0
source_entropy,2,1,0.5,0,2,0,0
source_layout_gain,2,1,0.5,0,2,0,0
split_number,2,1,0.5,2,2,0,0
storage_cost,2,1,0.5,0,2,0,0
successful_recovery_probability,2,1,0.5,0,2,0,0
sweep_linearity,2,1,0.5,2,2,0,0
target_light_fraction,2,1,0.5,0,2,0,0
target_power_ratio,2,1,0.5,0,2,0,0
tested_frequency_lower,2,1,0.5,0,2,0,0
tested_frequency_upper,2,1,0.5,0,2,0,0
tested_rotation_speeds,2,1,0.5,0,2,0,0
tested_target_distances,2,1,0.5,0,2,0,0
theoretical_timing_granularity,2,1,0.5,0,2,0,0
time_delay,2,1,0.5,0,2,0,0
time_delay_error,2,1,0.5,2,2,0,0
trainable_parameter_count,2,1,0.5,2,2,0,0
two_target_resolution,2,1,0.5,0,2,0,0
uplink_BER,2,1,0.5,2,2,0,0
vehicle_trajectory,2,1,0.5,0,2,0,0
velocity_resolution,2,1,0.5,0,2,0,0
voltage_response,2,1,0.5,2,2,0,0
