"record_id","citation","year","full_text_assessed","exclusion_code","exclusion_reason","notes"
"SCR-00281","Zhang X.; Ge Y.; Gu Y.; Lian W.; Hu J.; Zhao M.. (2025). Research on optical sideband signal wavefront damage repair technology in optical fibers. Optics Communications. https://doi.org/10.1016/j.optcom.2025.132474","2025","yes","FTX04","No genuine sensing-communication integration","Abstract; wavefront-repair experiments — Rapor yalnız wavefront self-repair, phase control ve microwave-source mapping/imaging'i değerlendiriyor; genuine joint communication-sensing performance yok."
"SCR-00298","Feng Q.; Zhao F.. (2025). Design and Analysis of Optically Loaded Terahertz Communication and Sensing System Based on OFDM-MSK-LFM; [基于 OFDM-MSK-LFM 的光载太赫兹通感系统设计与分析]. Guangxue Xuebao/Acta Optica Sinica. https://doi.org/10.3788/aos241959","2025","yes","FTX07","Insufficient English full technical content","Full 17-page PDF — Teknik gövde, matematiksel türetimler ve simülasyonlar Çince; İngilizce içerik abstract/captions/extended summary ile sınırlı."
"SCR-00388","Chia L.-W.; Motani M.. (2025). Poster: High-Performance Optical Camera Communications for ISAC Localization and Sensing. ACM MobiCom 2025 - Proceedings of the 2025 the 31st Annual International Conference on Mobile Computing and Networking. https://doi.org/10.1145/3680207.3765690","2025","yes","FTX06","Abstract poster editorial opinion or non-full paper","Title; Abstract; publisher record — Belge açıkça üç sayfalık Poster yayınıdır; uygun full-length conference paper değildir."
"SCR-00409","Xiang M.; Zhang Z.; Gu L.; Liu C.; Xu P.; Yang J.; Fu S.; Wang Y.; Qin Y.. (2025). Integration of Ultra-Low-Frequency Distributed Acoustic Sensing and Communication Based on Standard Single-Mode Fiber (Invited); [面 向 甚 低 频 分 布 式 声 波 感 知 的 标 准 单 模 光 纤 通 感融 合 系 统(特 邀)]. Guangxue Xuebao/Acta Optica Sinica. https://doi.org/10.3788/aos250855","2025","yes","FTX07","Insufficient English full technical content","Original full text; approved batch evidence record — Chinese technical body with only a structured English Abstract."
"SCR-00508","Cibira G.; Glesk I.; Dubovan J.; Benedikovič D.. (2024). Impact of Reducing Statistically Small Population Sampling on Threshold Detection in FBG Optical Sensing. Sensors. https://doi.org/10.3390/s24072285","2024","yes","FTX03","Sensing only without communication","PDF Abstract and Section 2 — The report addresses background-noise removal and statistical threshold detection in FBG optical sensing only; it contains no implemented communication function or jointly evaluated sensing-communication system."
"SCR-00523","Shuaishuai H.; Feng Z.; Yanqun Z.; Qiang Q.; Yunfei D.; Jin W.; Lingjie K.. (2024). Analysis of GS-PSK-LFM-Based Optical-Carrier Terahertz Integrated Sensing and Communication Signal Generation and Transmission; [基于 GS-PSK-LFM 的光载太赫兹通感信号产生与传输分析]. Laser and Optoelectronics Progress. https://doi.org/10.3788/lop240579","2024","yes","FTX07","Insufficient English full technical content","Original PDF, full technical body — The detailed methods, system analysis and results are in Chinese; English content is limited to the title and abstract and is insufficient for reliable full-text eligibility and extraction."
"SCR-00528","Duan Y.; Zhao F.; Zuo Y.; Wang J.; Hou S.; Kong L.; Qian Q.. (2024). Generation and Transmission Analysis of Optical Terahertz Communication Sensing Signals Based on Dual Linear Frequency Modulation; [基 于 双 线 性 调 频 的 光 载 太 赫 兹 通 感 信 号 产 生 与传 输 分 析]. Guangxue Xuebao/Acta Optica Sinica. https://doi.org/10.3788/aos240497","2024","yes","FTX07","Insufficient English full technical content","Original PDF, full technical body — The technical body is Chinese and the English material is limited to title and abstract, which is insufficient under the locked English full-technical-content rule."
"SCR-00571","Zuo Y.; Zhao F.; Wang J.; Qian Q.; Hou S.; Duan Y.; Kong L.. (2024). Generation and Transmission Analysis on Multi-Order Quadrature Amplitude Modulation and Linear Frequency Modulation Signals of Optical Carrier Terahertz with Integrated Communication and Sensing; [一 种 光 载 太 赫 兹 通 感 高 阶 正 交 幅 度 调 制 与 线 性 调 频信 号 的 产 生 与 传 输 分 析]. Guangxue Xuebao/Acta Optica Sinica. https://doi.org/10.3788/aos240478","2024","yes","FTX07","Insufficient English full technical content","Original PDF, full technical body — The detailed technical report is in Chinese and only the title and abstract are available in English, so reliable full-text assessment and extraction are not possible."
"SCR-00606","Gao S.; Chen H.; Wang Y.; Duan Z.; Zhang H.; Sun Z.; Shen Y.; Lin X.. (2024). Super-resolution diffractive neural network for all-optical direction of arrival estimation beyond diffraction limits. Light: Science and Applications. https://doi.org/10.1038/s41377-024-01511-4","2024","yes","FTX01","Non-optical or RF-only ISAC","PDF Abstract; Methods, Experimental system — Despite the phrase all-optical, the implemented S-DNN uses microwave meta-structures, a RIS and vector-network-analyzer measurements in the 5G/mmWave band; no material optical or photonic ISAC platform is implemented."
"SCR-00623","Pamukti B.; Wang Z.; Fajar Faliasthiunus Pradipta M.; Liaw S.-K.; Yeh C.-H.; Yang F.-L.. (2024). Deep learning and time series signal processing for bending detection in mining environment using optical fiber sensor. Optical Fiber Technology. https://doi.org/10.1016/j.yofte.2024.103819","2024","yes","FTX03","Sensing only without communication","PDF Sections 3-4 — The study uses single-mode fiber and deep learning for bend detection only; communication is mentioned as a potential advantage but is not implemented or jointly evaluated."
"SCR-00689","Mohamed Nishar A.A.; Paul S.; Ashok A.. (2024). Poster Abstract: Joint Optical Wireless Communication and Sensing using Neuromorphic Cameras. Proceedings - 23rd ACM/IEEE International Conference on Information Processing in Sensor Networks, IPSN 2024. https://doi.org/10.1109/ipsn61024.2024.00053","2024","yes","FTX06","Abstract poster editorial opinion or non-full paper","Original two-page PDF, title and Conclusion — The source contains optical communication and sensing feasibility tests but is explicitly a two-page Poster Abstract rather than an eligible full-length conference paper."
"SCR-00715","Zhang X.; Xiao L.; Mutka M.W.. (2024). POSTER: Holographic Optical Tag enabled Omnidirectional IoT Connection. SIGCOMM Posters and Demos 2024 - Proceedings of the 2024 SIGCOMM Poster and Demo Sessions, Part of SIGCOMM 2024. https://doi.org/10.1145/3672202.3673726","2024","yes","FTX06","Abstract poster editorial opinion or non-full paper","Original PDF pp. 1-2; title and ACM reference format — The retrieved item is explicitly titled POSTER and is a two-page ACM SIGCOMM Posters and Demos abstract rather than an eligible full-length conference paper."
"SCR-00755","Tu X.; Yang S.; Xi J.; Jiang Y.; Wei Y.; Qu F.. (2023). Doubly-Spread Channel Equalization based on Channel Shortening in Underwater Distributed Acoustic Sensing Communications. 2023 IEEE/CIC International Conference on Communications in China, ICCC 2023. https://doi.org/10.1109/iccc57788.2023.10233469","2023","yes","FTX02","Communication only without sensing","PDF Section IV.B p. 5; Section V p. 6 — The evaluated contribution is underwater acoustic communication equalization and BER improvement. The reservoir test does not use an optical cable or DAS receiver; the paper explicitly reserves acoustic-optic DAS integration for a future stage and reports no independent sensing task or output."
"SCR-00766","Yao S.; Gao D.; Ni J.; Wang X.; Wu M.; Wang P.. (2021). Path Selection for Hybrid Fiber Communication/Sensing Network. 2021 13th International Conference on Advanced Infocomm Technology, ICAIT 2021. https://doi.org/10.1109/icait52638.2021.9702005","2021","yes","FTX04","No genuine sensing-communication integration","PDF Section III.A p. 2; Conclusion p. 4 — The valid full conference paper models fuzzy routing and path selection. Its sensing capability is only the number of sensing devices used as a synthetic routing attribute, without a physical sensing output or a jointly evaluated O-ISAC function."
"SCR-00892","Zhang Y.; Wang Y.; Zhang X.; Zhang J.; Jin S.; Lin Q.. (2025). Photonic-Assisted Joint Radar and Communication System Based on Tunable Notch Chaotic Opto-Electronic Oscillator (Invited); [基于可调陷波混沌光电振荡器的光子辅助雷达通信联 合 系 统（特 邀）]. Laser and Optoelectronics Progress. https://doi.org/10.3788/lop251405","2025","yes","FTX07","Insufficient English full technical content","Full report — The title and abstract are in English, but the technical body is Chinese; sufficient English full technical content is unavailable."
"SCR-00931","W. Kong; F. Liu; G. Zhu; Y. Yan; X. Zhou. (2024). Localization Enhancement of Forward-Transmission Distributed Vibration Sensors Using Phase Differentiation Endpoint Amplification. IEEE Sensors Journal. https://doi.org/10.1109/jsen.2024.3390401","2024","yes","FTX03","Sensing only without communication","Bölüm II–IV, PDF ss. 2–7 — Çalışma yalnız fiber-optik dağıtık titreşim sensörünün olay konumlama doğruluğunu iyileştirmekte, haberleşme işlevi ise yalnız gelecekteki IOSAC uygulaması olarak anılmaktadır"
"SCR-00947","C. Aceros; J. Valera-Marquez; Y. Aviles; D. Rodriguez. (2025). Microwave Photonics Computational Signal Algebra Framework for Radar Integrated Sensing and Communication Applications. 2025 IEEE MTT-S Latin America Microwave Conference (LAMC). https://doi.org/10.1109/lamc63321.2025.10880541","2025","yes","FTX01","Non-optical or RF-only ISAC","Sections II-V; PDF pp. 2-4 — The computational signal-algebra report does not model or validate a material optical/photonic ISAC platform; optical concepts appear only as examples or citations."
"SCR-00950","C. Aceros; J. Valera; Y. Aviles; D. Rodriguez. (2024). A Computational Signal Algebra Framework for Microwave Photonics Radar Integrated Sensing and Communications. 2024 10th International Conference on Advanced Computing and Communication Systems (ICACCS). https://doi.org/10.1109/icaccs60874.2024.10716942","2024","yes","FTX01","Non-optical or RF-only ISAC","Bölüm II–III, PDF ss. 2–3 — Çalışma yalnız STFT, CAF, WVD ve DWT işlemleri için genel bir Python signal-algebra yazılım çerçevesi sunmakta, maddi optik/fotonik ISAC sistemi veya bağlantısı değerlendirmemektedir"
"SCR-01039","G. Chen; Y. Yan; X. Wang; Z. Liu; B. Zhou. (2024). Joint Lambertian Model Calibration and Positioning of Photodiode Devices towards Integrated Optical Wireless Communication and Sensing. 2024 IEEE/CIC International Conference on Communications in China (ICCC). https://doi.org/10.1109/iccc62479.2024.10681813","2024","yes","FTX03","Sensing only without communication","Original full text; source-grounded batch evidence table — Sections II-IV (s. 1-5) yalnız Lambertian model kalibrasyonu ve visible-light positioning algoritması ile konum hatasını değerlendirmekte, iletişim işlevini ortak amaç veya performans olarak incelememektedir; FTX04"
"SCR-01044","A. M. Yılmaz; A. Boyacı; A. R. Ekti; S. Yarkan. (2024). An Experimental Setup for Mechanical Vibration Analysis Using VLC. 2024 32nd Signal Processing and Communications Applications Conference (SIU). https://doi.org/10.1109/siu61531.2024.10600982","2024","yes","FTX03","Sensing only without communication","Original full text; source-grounded batch evidence table — Sections II-V (s. 2-4) VLC taşıyıcısındaki titreşim etkisini PAPR ile ölçse de çalışmanın sistemi açıkça bilgi taşıyan telecommunication değil yalnız transmission/vibration measurement sistemi olarak tanımlanmıştır; FTX03"
"SCR-01046","Y. Liu; W. Liu; H. Yang; D. Wang; T. Yu; Q. Yao. (2025). Cross-Regional Fiber Optic Co-Trench Positioning LLM: Bypass Fusion Method and Verification. 2025 11th International Conference on Computer and Communications (ICCC). https://doi.org/10.1109/iccc68654.2025.11438105","2025","yes","FTX03","Sensing only without communication","Original full text; source-grounded batch evidence table — Sections II-IV (s. 2-5) DVS/OTDR titreşim verisinden LLM ile co-trench bakım-konumlama doğruluğunu değerlendirmekte, mevcut iletişim ağı yalnız uygulama bağlamı olarak kalmakta ve ortak communication işlevi incelenmemektedir; FTX04"
"SCR-01051","S. Gao; H. Chen; H. Zhang; Z. Sun; Y. Shen; X. Lin. (2024). All-Optical Computing for Super-Resolution Direction of Arrival Estimation. 2024 Asia Communications and Photonics Conference (ACP) and International Conference on Information Photonics and Optical Communications (IPOC). https://doi.org/10.1109/acp/ipoc63121.2024.10809945","2024","yes","FTX01","Non-optical or RF-only ISAC","Section on S-DNN experiments; full report — Despite the phrase all-optical, the experiment operates at 25-30 GHz with a VNA, horn antennas, waveguide probe and passive RF meta-structures; no material optical/photonic platform is present."
"SCR-01061","X. Zhang; G. Klevering; K. Wijewardena; L. Xiao. (2023). Demo: Integrated On-site Localization and Optical Camera Communication for Drones. 2023 IEEE 24th International Symposium on a World of Wireless, Mobile and Multimedia Networks (WoWMoM). https://doi.org/10.1109/wowmom57956.2023.00055","2023","yes","FTX06","Abstract poster editorial opinion or non-full paper","Title; full three-page report; cited full PoseFly paper — The retrieved item is an explicitly labelled WoWMoM demo paper and not an eligible full-length conference report."
"SCR-01097","S. Soderi; A. Zappone. (2026). Secrecy Energy Efficiency of Hybrid Wireless Body Area Networks. IEEE Transactions on Mobile Computing. https://doi.org/10.1109/tmc.2025.3618098","2026","yes","FTX02","Communication only without sensing","Original full text; source-grounded batch evidence table — Sections VI-IX (s. 5-13) hybrid UWB/NIR kanallarda secrecy rate, jamming ve enerji verimliliğini optimize eden güvenli haberleşme çalışmasıdır; “sensing” çevresel/algılama işlevi değil saldırganın veri dinlemesi anlamında kullanılmıştır; FTX02"
"SCR-01104","J. Ji; Z. Jin; J. Chen; Y. Wan; H. Li; X. Yu; Z. He. (2026). Coded-Pulse-Compression Frequency-Multiplexed DAS for Fading Suppression and SNR Enhancement. 2026 Optical Fiber Communications Conference and Exhibition (OFC)","2026","yes","FTX03","Sensing only without communication","Original full text; source-grounded batch evidence table — Bölüm 2–4 (s. 1–3), iletişimden alınan kodlama ve frekans çoğullama ilkeleri yalnız DAS probu, fading bastırma ve sensing SNR performansı için kullanılmış; veri haberleşmesi uygulanmamış veya değerlendirilmemiştir; FTX03"
"SCR-01109","Z. Huang; S. Yu; L. Jie; W. Huang. (2025). A Signal Enhancement Method for Improving Vehicle Detection Rate in Distributed Acoustic Sensing. 2025 Asia Communications and Photonics Conference (ACP). https://doi.org/10.1109/acp66871.2025.11350401","2025","yes","FTX03","Sensing only without communication","Original full text; source-grounded batch evidence table — Bölüm II–IV (s. 1–3), mevcut iletişim fiberi yalnız DAS tabanlı araç titreşimlerinin toplanmasında kullanılmış ve çalışma sadece sensing sinyal işleme ile araç tespit performansını değerlendirmiştir; FTX03"
"SCR-01113","S. Chen; J. Han; Q. Sui; K. Zhu; C. Lu; Z. Li. (2023). Advanced Signal Processing in Distributed Acoustic Sensors Based on Submarine Cables for Seismology Applications. Journal of Lightwave Technology. https://doi.org/10.1109/jlt.2023.3273268","2023","yes","FTX03","Sensing only without communication","Original full text; source-grounded batch evidence table — Bölüm II–IV (s. 2–10), telekomünikasyon denizaltı kablosu üzerinde yalnız DAS tabanlı deprem algılama, sınıflandırma, konum ve büyüklük kestirimi değerlendirilmiş; ortak veri haberleşmesi işlevi veya performansı incelenmemiştir; FTX03"
"SCR-01141","J. Fang; Y. Li; W. Kohno; T. Wang. (2026). High-Fidelity Forward-Transmission Vibration Sensing Using Dual-Sensor Beamforming. Journal of Lightwave Technology. https://doi.org/10.1109/jlt.2026.3701949","2026","yes","FTX03","Sensing only without communication","Original full text; source-grounded batch evidence table — Bölüm II–VI (s. 2–8), 100 km fiberde CW problar ve çift alıcıyla yalnız titreşim lokalizasyonu, yeniden yapılandırma ve girişim bastırma değerlendirilmiş; deneysel sistemde veri haberleşmesi işlevi bulunmamaktadır; FTX03"
"SCR-01183","Hao LiXuzhang ShenZhaohui LiShaoyi Chen. (2025). Local earthquake response on the submarine communication cable in the northern South China Sea. Scientific Reports. https://doi.org/10.1038/s41598-025-93682-2","2025","yes","FTX03","Sensing only without communication","Original full text; source-grounded batch evidence table — Saha deneyi, veri işleme ve Conclusions bölümleri (s. 2–13), sığ denizaltı iletişim kablosu yalnız DAS tabanlı yerel deprem kaydı ve gürültü giderme için kullanılmış; aktif veri haberleşmesi veya ortak iletişim-sensing değerlendirmesi yapılmamıştır; FTX03"
