paper_id,section,category,severity,reason,evidence
O_ISAC_004,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_047,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_048,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_051,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_052,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_054,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_055,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_056,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_058,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_061,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_062,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_063,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_065,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_066,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_069,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_070,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_074,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_076,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_077,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_079,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_080,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_081,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_084,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_085,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_086,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_088,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_089,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_090,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_091,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_094,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_098,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_100,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_102,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_103,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_105,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_108,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_109,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_112,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_114,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_115,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_117,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_118,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_119,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_120,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_121,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_122,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_123,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_124,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_125,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_127,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_128,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_129,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_130,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_134,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_135,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_144,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_145,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_146,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_147,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_149,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_151,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_153,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_154,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_157,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_158,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_159,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_160,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_163,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_166,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_171,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_189,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_190,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_195,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_199,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_200,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_203,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_206,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_218,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_245,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_248,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_259,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_276,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_283,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_286,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_288,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_291,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_300,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_301,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_347,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_348,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_349,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_350,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_351,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_360,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_371,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_379,8A,EVIDENCE_WEAK,MINOR,standardization_interoperability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_001,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_009,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_011,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_013,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_015,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_017,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_018,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_019,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_023,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_026,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_034,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_044,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_054,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_055,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_056,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_058,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_060,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_061,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_062,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_069,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_076,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_080,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_082,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_083,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_085,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_092,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_094,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_100,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_102,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_111,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_119,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_120,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_123,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_130,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_136,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_141,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_143,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_150,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_151,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_152,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_156,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_157,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_163,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_165,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_173,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_185,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_186,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_200,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_242,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_245,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_259,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_303,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_327,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_351,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_356,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_368,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_377,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_379,8B,EVIDENCE_WEAK,MINOR,hardware_scalability_efficiency lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_022,8C,EVIDENCE_WEAK,MINOR,channel_modeling_evaluation lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_040,8C,EVIDENCE_WEAK,MINOR,channel_modeling_evaluation lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_056,8C,EVIDENCE_WEAK,MINOR,channel_modeling_evaluation lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_067,8C,EVIDENCE_WEAK,MINOR,channel_modeling_evaluation lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_068,8C,EVIDENCE_WEAK,MINOR,channel_modeling_evaluation lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_075,8C,EVIDENCE_WEAK,MINOR,channel_modeling_evaluation lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_083,8C,EVIDENCE_WEAK,MINOR,channel_modeling_evaluation lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_089,8C,EVIDENCE_WEAK,MINOR,channel_modeling_evaluation lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_096,8C,EVIDENCE_WEAK,MINOR,channel_modeling_evaluation lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_102,8C,EVIDENCE_WEAK,MINOR,channel_modeling_evaluation lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_106,8C,EVIDENCE_WEAK,MINOR,channel_modeling_evaluation lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_107,8C,EVIDENCE_WEAK,MINOR,channel_modeling_evaluation lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_117,8C,EVIDENCE_WEAK,MINOR,channel_modeling_evaluation lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_123,8C,EVIDENCE_WEAK,MINOR,channel_modeling_evaluation lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_130,8C,EVIDENCE_WEAK,MINOR,channel_modeling_evaluation lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_132,8C,EVIDENCE_WEAK,MINOR,channel_modeling_evaluation lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_135,8C,EVIDENCE_WEAK,MINOR,channel_modeling_evaluation lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_150,8C,EVIDENCE_WEAK,MINOR,channel_modeling_evaluation lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_153,8C,EVIDENCE_WEAK,MINOR,channel_modeling_evaluation lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_159,8C,EVIDENCE_WEAK,MINOR,channel_modeling_evaluation lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_165,8C,EVIDENCE_WEAK,MINOR,channel_modeling_evaluation lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_171,8C,EVIDENCE_WEAK,MINOR,channel_modeling_evaluation lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_199,8C,EVIDENCE_WEAK,MINOR,channel_modeling_evaluation lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_202,8C,EVIDENCE_WEAK,MINOR,channel_modeling_evaluation lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_206,8C,EVIDENCE_WEAK,MINOR,channel_modeling_evaluation lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_219,8C,EVIDENCE_WEAK,MINOR,channel_modeling_evaluation lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_237,8C,EVIDENCE_WEAK,MINOR,channel_modeling_evaluation lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_283,8C,EVIDENCE_WEAK,MINOR,channel_modeling_evaluation lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_288,8C,EVIDENCE_WEAK,MINOR,channel_modeling_evaluation lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_013,8D,EVIDENCE_WEAK,MINOR,security_privacy_reliability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_020,8D,EVIDENCE_WEAK,MINOR,security_privacy_reliability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_027,8D,EVIDENCE_WEAK,MINOR,security_privacy_reliability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_050,8D,EVIDENCE_WEAK,MINOR,security_privacy_reliability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_051,8D,EVIDENCE_WEAK,MINOR,security_privacy_reliability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_054,8D,EVIDENCE_WEAK,MINOR,security_privacy_reliability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_068,8D,EVIDENCE_WEAK,MINOR,security_privacy_reliability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_083,8D,EVIDENCE_WEAK,MINOR,security_privacy_reliability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_084,8D,EVIDENCE_WEAK,MINOR,security_privacy_reliability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_093,8D,EVIDENCE_WEAK,MINOR,security_privacy_reliability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_102,8D,EVIDENCE_WEAK,MINOR,security_privacy_reliability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_103,8D,EVIDENCE_WEAK,MINOR,security_privacy_reliability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_104,8D,EVIDENCE_WEAK,MINOR,security_privacy_reliability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_118,8D,EVIDENCE_WEAK,MINOR,security_privacy_reliability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_120,8D,EVIDENCE_WEAK,MINOR,security_privacy_reliability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_123,8D,EVIDENCE_WEAK,MINOR,security_privacy_reliability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_124,8D,EVIDENCE_WEAK,MINOR,security_privacy_reliability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_125,8D,EVIDENCE_WEAK,MINOR,security_privacy_reliability lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_130,8D,EVIDENCE_WEAK,MINOR,security_privacy_reliability lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_134,8D,EVIDENCE_WEAK,MINOR,security_privacy_reliability lacks support gate (text anchors),direct=0; indirect=0
