paper_id,medium,has_section5_signal,has_section6_signal,has_section7_signal,has_standardization_interoperability,has_hardware_scalability_efficiency,has_channel_modeling_evaluation,has_security_privacy_reliability,has_deployment_convergence_roadmap,n_supported_challenges
O_ISAC_097,hybrid,True,True,True,True,True,False,False,False,2
O_ISAC_098,wireless_fso,True,True,True,False,False,True,False,False,1
O_ISAC_099,retroreflective,True,True,True,False,False,True,False,False,1
O_ISAC_100,hybrid,True,True,True,False,False,True,False,False,1
O_ISAC_101,cabled_fibre,True,True,True,False,False,False,True,False,1
O_ISAC_102,cabled_fibre,True,True,True,False,False,False,False,False,0
O_ISAC_103,cabled_fibre,True,True,True,False,False,False,False,False,0
O_ISAC_104,cabled_fibre,True,True,True,True,False,False,False,False,1
O_ISAC_105,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_106,wireless_retroreflective,True,True,True,False,False,False,False,False,0
O_ISAC_107,hybrid,True,True,True,True,True,False,True,False,3
O_ISAC_108,wireless_vlc,True,True,True,False,False,True,False,False,1
O_ISAC_109,hybrid,True,True,True,False,False,True,False,False,1
O_ISAC_110,wireless_vlc,True,True,True,False,False,False,False,False,0
O_ISAC_111,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_112,hybrid,True,True,True,False,True,True,False,False,2
O_ISAC_113,cabled_fibre,True,True,True,True,False,False,False,False,1
O_ISAC_114,hybrid,True,True,True,False,False,True,False,False,1
O_ISAC_115,wireless_fso,True,True,True,False,False,True,False,False,1
O_ISAC_116,wireless_uv,True,True,True,False,False,False,False,False,0
O_ISAC_117,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_118,wireless,True,True,True,False,False,False,False,False,0
O_ISAC_119,hybrid,True,True,True,False,False,True,False,False,1
O_ISAC_120,wireless_fso,True,True,True,False,False,True,False,False,1
O_ISAC_121,other,True,True,True,False,False,False,False,False,0
O_ISAC_122,other,True,True,True,False,False,False,False,False,0
O_ISAC_123,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_124,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_125,wireless,True,True,True,False,False,False,False,False,0
O_ISAC_126,hybrid,True,True,True,True,False,True,False,False,2
O_ISAC_127,wireless_fso,True,True,True,False,False,True,True,False,2
O_ISAC_128,cabled_fibre,True,True,True,False,False,False,False,False,0
O_ISAC_129,wireless_vlc,True,True,True,False,False,False,True,False,1
O_ISAC_130,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_131,wireless_vlc,True,True,True,False,False,False,False,False,0
O_ISAC_132,hybrid,True,True,True,True,False,False,False,False,1
O_ISAC_133,wireless_fso,True,True,True,True,True,True,False,False,3
O_ISAC_134,hybrid,True,True,True,False,True,False,False,False,1
O_ISAC_135,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_136,hybrid,True,True,True,True,False,True,False,False,2
O_ISAC_137,wireless_fso,True,True,True,False,False,False,False,False,0
O_ISAC_138,hybrid,True,True,True,True,True,True,False,False,3
O_ISAC_139,wireless,True,True,True,True,False,False,False,False,1
O_ISAC_140,wireless,True,True,True,False,True,True,False,False,2
O_ISAC_141,wireless,True,True,True,True,False,True,False,False,2
O_ISAC_142,hybrid,True,True,True,True,True,True,False,False,3
O_ISAC_143,wireless_vlc,True,True,True,False,False,False,False,False,0
O_ISAC_144,hybrid,True,True,True,False,False,True,True,False,2
O_ISAC_145,hybrid,True,True,True,False,True,True,True,False,3
O_ISAC_146,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_147,wireless_fso,True,True,True,False,False,False,False,False,0
O_ISAC_148,hybrid,True,True,True,False,False,False,True,False,1
O_ISAC_149,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_150,hybrid,True,True,True,True,False,False,False,False,1
O_ISAC_151,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_152,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_153,terahertz,True,True,True,False,False,False,False,False,0
O_ISAC_154,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_155,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_156,hybrid,True,True,True,True,False,True,True,False,3
O_ISAC_157,wireless,True,True,True,False,False,True,False,False,1
O_ISAC_158,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_159,hybrid,True,True,True,False,True,False,False,False,1
O_ISAC_160,wireless_rf,True,True,True,False,False,True,False,False,1
O_ISAC_161,hybrid,True,True,True,True,True,True,False,False,3
O_ISAC_162,hybrid,True,True,True,True,True,True,False,False,3
O_ISAC_163,hybrid,True,True,True,False,False,True,True,False,2
O_ISAC_164,hybrid,True,True,True,True,False,True,False,False,2
O_ISAC_165,hybrid,True,True,True,True,False,False,False,False,1
O_ISAC_166,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_167,hybrid,True,True,True,True,False,False,False,False,1
O_ISAC_171,hybrid,True,True,True,False,True,False,False,False,1
O_ISAC_172,cabled_fibre,True,True,True,True,False,False,False,False,1
O_ISAC_173,wireless_vlc,True,True,True,True,False,False,False,False,1
O_ISAC_185,wireless_vlc,True,True,True,True,False,False,False,False,1
O_ISAC_186,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_187,hybrid,True,True,True,True,False,False,False,False,1
O_ISAC_188,cabled_fibre,True,True,True,True,False,False,False,False,1
O_ISAC_189,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_190,cabled_fibre,True,True,True,False,False,False,False,False,0
O_ISAC_195,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_199,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_200,cabled_fibre,True,True,True,False,False,True,False,False,1
O_ISAC_202,cabled_fibre,True,True,True,False,False,False,True,False,1
O_ISAC_203,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_206,hybrid,True,True,True,False,True,False,False,False,1
O_ISAC_218,hybrid,True,True,True,False,False,True,False,False,1
O_ISAC_219,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_220,cabled_fibre,True,True,True,True,False,False,False,False,1
O_ISAC_237,hybrid,True,True,True,True,True,False,False,False,2
O_ISAC_241,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_242,hybrid,True,True,True,True,False,False,False,False,1
O_ISAC_245,wireless_fso,True,True,True,False,False,False,False,False,0
O_ISAC_248,cabled_fibre,True,True,True,False,False,False,False,False,0
O_ISAC_252,wireless_fso,True,True,True,False,False,False,False,False,0
O_ISAC_259,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_272,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_276,cabled_fibre,True,True,True,False,False,False,True,False,1
O_ISAC_280,hybrid,True,True,True,True,False,False,False,False,1
O_ISAC_283,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_286,hybrid,True,True,True,False,True,False,False,False,1
O_ISAC_288,hybrid,True,True,True,False,True,False,True,False,2
O_ISAC_291,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_300,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_301,hybrid,True,True,True,False,False,True,False,False,1
O_ISAC_303,wireless_vlc,True,True,True,True,False,True,False,False,2
O_ISAC_304,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_310,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_324,hybrid,True,True,True,True,False,False,True,False,2
O_ISAC_327,hybrid,True,True,True,True,False,True,False,False,2
O_ISAC_340,hybrid,True,True,True,True,False,False,True,False,2
O_ISAC_347,cabled_fibre,True,True,True,False,False,False,False,False,0
O_ISAC_348,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_349,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_350,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_351,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_354,wireless_vlc,True,True,True,False,False,False,False,False,0
O_ISAC_356,wireless_fso,True,True,True,False,False,False,False,False,0
O_ISAC_360,cabled_fibre,True,True,True,False,False,False,False,False,0
O_ISAC_368,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_371,wireless_vlc,True,True,True,False,False,True,False,False,1
O_ISAC_377,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_379,hybrid,True,True,True,False,False,False,False,False,0
O_ISAC_381,wireless_vlc,True,True,True,False,False,True,False,False,1
O_ISAC_386,wireless_vlc,True,True,True,False,True,False,False,False,1
O_ISAC_388,wireless_vlc,True,True,True,False,False,True,False,False,1
