paper_id,medium,application_domains_json,application_domains_canonical,macro_domains_json,has_smart_infrastructure,has_indoor_environments,has_automotive_transportation,has_underwater_harsh,has_space_satellite,n_supported_macro_domains
O_ISAC_018,hybrid,vehicular,vehicular,automotive_transportation,True,False,True,False,False,2
O_ISAC_019,cabled_fibre,industrial_manufacturing,industrial_manufacturing,automotive_transportation;smart_infrastructure,True,False,True,False,False,2
O_ISAC_020,cabled_fibre,environmental_monitoring;oceanography;geophysics,environmental_monitoring;oceanography;geophysics,smart_infrastructure;underwater_harsh,True,False,False,True,False,2
O_ISAC_021,hybrid,vehicular;industrial_manufacturing;indoor_positioning,vehicular;industrial_manufacturing;indoor_positioning,automotive_transportation;indoor_environments;smart_infrastructure,True,True,True,False,False,3
O_ISAC_022,wireless_vlc,indoor_positioning,indoor_positioning,indoor_environments,True,True,False,False,False,2
O_ISAC_023,wireless_fso,vehicular,vehicular,automotive_transportation,True,False,True,False,False,2
O_ISAC_024,cabled_fibre,industrial_manufacturing,industrial_manufacturing,smart_infrastructure,True,False,False,False,False,1
O_ISAC_025,cabled_fibre,6g_networks,6g_networks,,True,True,False,False,False,2
O_ISAC_026,hybrid,vehicular;industrial_manufacturing;6g_networks,vehicular;industrial_manufacturing;6g_networks,automotive_transportation;smart_infrastructure,True,False,True,False,True,3
O_ISAC_027,hybrid,vehicular;industrial_manufacturing;environmental_monitoring,vehicular;industrial_manufacturing;environmental_monitoring,automotive_transportation;smart_infrastructure;underwater_harsh,True,False,True,True,False,3
O_ISAC_028,cabled_fibre,data_center;short_reach_optical_interconnects,data_center;short_reach_optical_interconnects,smart_infrastructure,True,False,False,False,False,1
O_ISAC_029,hybrid,6g_networks,6g_networks,,True,False,False,False,True,2
O_ISAC_030,hybrid,human_computer_interaction,human_computer_interaction,indoor_environments,False,True,False,False,False,1
O_ISAC_031,hybrid,indoor_positioning,indoor_positioning,indoor_environments,False,True,False,False,False,1
O_ISAC_032,cabled_fibre,industrial_manufacturing,industrial_manufacturing,smart_infrastructure,True,False,False,False,False,1
O_ISAC_033,cabled_fibre,industrial_manufacturing,industrial_manufacturing,smart_infrastructure,True,False,False,False,False,1
O_ISAC_034,wireless_fso,vehicular;industrial_manufacturing,vehicular;industrial_manufacturing,automotive_transportation;smart_infrastructure;space_satellite,True,True,True,False,True,4
O_ISAC_035,wireless_fso,6g_networks,6g_networks,,True,False,False,False,True,2
O_ISAC_036,hybrid,6g_networks,6g_networks,,True,False,True,False,False,2
O_ISAC_037,cabled_fibre,fibre_network_monitoring,fibre_network_monitoring,smart_infrastructure,True,False,False,False,False,1
O_ISAC_038,cabled_fibre,industrial_manufacturing,industrial_manufacturing,smart_infrastructure,True,False,False,False,False,1
O_ISAC_039,wireless_vlc,indoor_positioning,indoor_positioning,indoor_environments,True,True,False,False,False,2
O_ISAC_040,wireless_retroreflective,uav_aerial,uav_aerial,automotive_transportation,True,False,True,False,False,2
O_ISAC_041,hybrid,6g_networks,6g_networks,automotive_transportation,True,False,True,False,False,2
O_ISAC_042,cabled_fibre,fibre_network_monitoring,fibre_network_monitoring,smart_infrastructure,True,False,False,False,False,1
O_ISAC_043,hybrid,6g_networks,6g_networks,,True,False,False,False,True,2
O_ISAC_044,hybrid,vehicular,vehicular,automotive_transportation,True,False,True,False,True,3
O_ISAC_045,cabled_fibre,industrial_manufacturing;environmental_monitoring,industrial_manufacturing;environmental_monitoring,smart_infrastructure,True,False,False,False,False,1
O_ISAC_046,cabled_fibre,submarine_fiber_optical_networks;distributed_sensing,fibre_network_monitoring;distributed_sensing,smart_infrastructure,True,False,False,False,False,1
O_ISAC_047,hybrid,vehicular;industrial_manufacturing;indoor_positioning,vehicular;industrial_manufacturing;indoor_positioning,automotive_transportation;indoor_environments;smart_infrastructure,True,True,True,False,False,3
O_ISAC_048,wireless_fso,vehicular;industrial_manufacturing,vehicular;industrial_manufacturing,automotive_transportation;smart_infrastructure;space_satellite,True,False,True,False,True,3
O_ISAC_049,wireless_vlc,indoor_positioning,indoor_positioning,indoor_environments,True,True,True,False,False,3
O_ISAC_050,wireless_vlc,indoor_positioning,indoor_positioning,indoor_environments,True,True,True,False,False,3
O_ISAC_051,hybrid,vehicular,vehicular,automotive_transportation,True,False,True,False,False,2
O_ISAC_052,hybrid,vehicular;indoor_positioning,vehicular;indoor_positioning,automotive_transportation;indoor_environments,True,True,True,False,False,3
O_ISAC_053,wireless_vlc,industrial_manufacturing;robotics_autonomy,industrial_manufacturing;robotics_autonomy,automotive_transportation;smart_infrastructure,True,True,True,False,False,3
O_ISAC_054,hybrid,indoor_positioning,indoor_positioning,indoor_environments,True,True,False,False,False,2
O_ISAC_055,wireless_fso,vehicular,vehicular,automotive_transportation;space_satellite,True,False,True,False,True,3
O_ISAC_056,cabled_fibre,indoor_positioning,indoor_positioning,indoor_environments,True,True,True,False,False,3
O_ISAC_057,hybrid,vehicular;industrial_manufacturing,vehicular;industrial_manufacturing,automotive_transportation;smart_infrastructure,True,False,True,False,False,2
O_ISAC_058,hybrid,vehicular,vehicular,automotive_transportation,True,False,True,False,False,2
O_ISAC_059,hybrid,vehicular;industrial_manufacturing;space_sustainability,vehicular;industrial_manufacturing;aerospace_space,automotive_transportation;smart_infrastructure;space_satellite,True,False,True,False,True,3
O_ISAC_060,wireless_fso,vehicular;industrial_manufacturing,vehicular;industrial_manufacturing,automotive_transportation;smart_infrastructure,True,False,True,False,False,2
O_ISAC_061,hybrid,vehicular,vehicular,automotive_transportation,True,False,True,False,False,2
O_ISAC_062,wireless_vlc,indoor_positioning,indoor_positioning,indoor_environments,False,True,False,False,False,1
O_ISAC_063,cabled_fibre,optical_communication,optical_communication,smart_infrastructure,True,False,False,False,False,1
O_ISAC_064,cabled_fibre,smart_cities;traffic_monitoring;security,critical_infrastructure;traffic_monitoring;security,automotive_transportation;smart_infrastructure,True,False,True,False,False,2
O_ISAC_065,hybrid,industrial_manufacturing,industrial_manufacturing,smart_infrastructure,True,False,True,False,False,2
O_ISAC_066,hybrid,optical_communication,optical_communication,smart_infrastructure,True,False,False,False,False,1
O_ISAC_067,wireless_fso,industrial_manufacturing,industrial_manufacturing,smart_infrastructure,True,False,True,False,False,2
O_ISAC_068,hybrid,industrial_manufacturing,industrial_manufacturing,smart_infrastructure,True,True,True,False,False,3
O_ISAC_069,hybrid,security_surveillance,security_surveillance,smart_infrastructure;underwater_harsh,True,False,False,True,False,2
O_ISAC_070,hybrid,6g_networks,6g_networks,,False,False,False,False,True,1
O_ISAC_071,hybrid,indoor_positioning;intelligent_transportation_systems,indoor_positioning;intelligent_transportation_systems,automotive_transportation;indoor_environments,True,True,True,False,False,3
O_ISAC_072,cabled_fibre,industrial_manufacturing,industrial_manufacturing,smart_infrastructure,True,False,False,False,False,1
O_ISAC_073,hybrid,6g_networks;industrial_iot;autonomous_vehicles,6g_networks;industrial_manufacturing;autonomous_vehicles,automotive_transportation;smart_infrastructure,True,False,True,False,False,2
O_ISAC_074,cabled_fibre,industrial_manufacturing;fibre_network_monitoring,industrial_manufacturing;fibre_network_monitoring,smart_infrastructure,True,False,False,False,False,1
O_ISAC_075,retroreflective_optical,indoor_positioning,indoor_positioning,indoor_environments,True,True,False,False,False,2
O_ISAC_076,cabled_fibre,industrial_manufacturing,industrial_manufacturing,smart_infrastructure,True,False,False,False,False,1
O_ISAC_077,hybrid,6g_networks;indoor_positioning,6g_networks;indoor_positioning,indoor_environments,True,True,False,False,False,2
O_ISAC_078,cabled_fibre,optical_interconnects,optical_interconnects,,True,False,False,False,False,1
O_ISAC_079,cabled_fibre,fibre_network_monitoring;6g_networks,fibre_network_monitoring;6g_networks,smart_infrastructure,True,False,False,False,False,1
O_ISAC_080,cabled_fibre,industrial_manufacturing,industrial_manufacturing,smart_infrastructure,True,False,False,False,False,1
O_ISAC_081,hybrid,vehicular;indoor_positioning,vehicular;indoor_positioning,automotive_transportation;indoor_environments,True,True,True,False,False,3
O_ISAC_082,hybrid,6g,6g_networks,,True,False,True,False,False,2
O_ISAC_083,hybrid,vehicular;industrial_manufacturing;indoor_positioning;environmental_monitoring;critical_infrastructure;fibre_network_monitoring;robotics_autonomy;aerospace_space;uav_aerial;maritime_underwater;security_surveillance;6g_networks,vehicular;industrial_manufacturing;indoor_positioning;environmental_monitoring;critical_infrastructure;fibre_network_monitoring;robotics_autonomy;aerospace_space;uav_aerial;maritime_underwater;security_surveillance;6g_networks,automotive_transportation;indoor_environments;smart_infrastructure;space_satellite;underwater_harsh,True,True,True,True,True,5
O_ISAC_084,wireless_vlc,vehicular;indoor_positioning;security_surveillance,vehicular;indoor_positioning;security_surveillance,automotive_transportation;indoor_environments;smart_infrastructure,True,True,True,False,False,3
O_ISAC_085,cabled_fibre,industrial_manufacturing,industrial_manufacturing,smart_infrastructure,True,False,False,False,False,1
O_ISAC_086,hybrid,vehicular,vehicular,automotive_transportation,True,False,True,False,False,2
O_ISAC_088,hybrid,6g_networks,6g_networks,,True,False,False,False,False,1
O_ISAC_089,cabled_fibre,vehicular;industrial_manufacturing;indoor_positioning;environmental_monitoring;critical_infrastructure;fibre_network_monitoring;robotics_autonomy;aerospace_space;uav_aerial;maritime_underwater;security_surveillance;6g_networks,vehicular;industrial_manufacturing;indoor_positioning;environmental_monitoring;critical_infrastructure;fibre_network_monitoring;robotics_autonomy;aerospace_space;uav_aerial;maritime_underwater;security_surveillance;6g_networks,automotive_transportation;indoor_environments;smart_infrastructure;space_satellite;underwater_harsh,True,True,True,True,True,5
O_ISAC_090,cabled_fibre,industrial_manufacturing,industrial_manufacturing,smart_infrastructure,True,False,False,False,False,1
O_ISAC_091,wireless_fso,vehicular,vehicular,automotive_transportation,True,False,True,False,False,2
O_ISAC_092,wireless_vlc,indoor_positioning,indoor_positioning,indoor_environments,True,True,False,False,False,2
O_ISAC_093,hybrid,iot,iot,smart_infrastructure,True,False,True,False,False,2
O_ISAC_094,hybrid,uav_aerial,uav_aerial,automotive_transportation,True,False,True,False,False,2
O_ISAC_095,hybrid,vehicular,vehicular,automotive_transportation,True,False,True,False,False,2
O_ISAC_096,hybrid,6g_networks,6g_networks,,True,False,False,False,True,2
O_ISAC_097,hybrid,vehicular,vehicular,automotive_transportation,True,False,True,False,False,2
O_ISAC_098,wireless_fso,vehicular,vehicular,automotive_transportation,True,True,True,False,False,3
O_ISAC_099,retroreflective,indoor_positioning;6g_networks,indoor_positioning;6g_networks,indoor_environments,True,True,False,False,False,2
O_ISAC_100,hybrid,indoor_positioning,indoor_positioning,indoor_environments,True,True,False,False,False,2
O_ISAC_101,cabled_fibre,fibre_network_monitoring,fibre_network_monitoring,smart_infrastructure,True,False,False,False,False,1
O_ISAC_102,cabled_fibre,low_altitude_economy,low_altitude_economy,,True,False,False,False,False,1
O_ISAC_103,cabled_fibre,fibre_network_monitoring,fibre_network_monitoring,smart_infrastructure,True,False,False,False,False,1
O_ISAC_104,cabled_fibre,industrial_manufacturing,industrial_manufacturing,automotive_transportation;smart_infrastructure,True,False,True,False,False,2
O_ISAC_105,hybrid,6g_networks,6g_networks,,True,False,False,False,False,1
O_ISAC_106,wireless_retroreflective,indoor_positioning;security_surveillance,indoor_positioning;security_surveillance,indoor_environments;smart_infrastructure,True,True,False,False,False,2
O_ISAC_107,hybrid,indoor_positioning,indoor_positioning,indoor_environments,True,True,False,False,False,2
O_ISAC_108,wireless_vlc,indoor_positioning;6g_networks,indoor_positioning;6g_networks,indoor_environments,True,True,False,False,False,2
O_ISAC_109,hybrid,vehicular;industrial_manufacturing,vehicular;industrial_manufacturing,automotive_transportation;smart_infrastructure,True,False,True,False,False,2
O_ISAC_110,wireless_vlc,vehicular;indoor_positioning;security_surveillance,vehicular;indoor_positioning;security_surveillance,automotive_transportation;indoor_environments;smart_infrastructure,True,True,True,False,False,3
O_ISAC_111,hybrid,6g_networks,6g_networks,,True,False,False,False,False,1
O_ISAC_112,hybrid,indoor_positioning,indoor_positioning,indoor_environments,True,True,False,False,False,2
O_ISAC_113,cabled_fibre,subsea_monitoring;environmental_monitoring,maritime_underwater;environmental_monitoring,smart_infrastructure;underwater_harsh,True,False,False,True,False,2
O_ISAC_114,hybrid,6g_networks,6g_networks,,True,True,False,True,False,3
O_ISAC_115,wireless_fso,vehicular;industrial_manufacturing;indoor_positioning,vehicular;industrial_manufacturing;indoor_positioning,automotive_transportation;indoor_environments;smart_infrastructure,True,True,True,False,False,3
O_ISAC_116,wireless_uv,indoor_positioning;security_surveillance,indoor_positioning;security_surveillance,indoor_environments;smart_infrastructure,True,True,False,False,False,2
O_ISAC_117,hybrid,vehicular,vehicular,automotive_transportation,False,False,True,False,False,1
O_ISAC_118,wireless,vehicular;security_surveillance,vehicular;security_surveillance,automotive_transportation;smart_infrastructure,True,False,True,False,False,2
O_ISAC_119,hybrid,industrial_manufacturing,industrial_manufacturing,smart_infrastructure,True,False,False,False,False,1
O_ISAC_120,wireless_fso,6g_networks,6g_networks,,True,False,False,False,False,1
O_ISAC_121,other,6g_networks,6g_networks,,True,False,False,False,False,1
O_ISAC_122,other,other,other,,False,False,False,False,False,0
O_ISAC_123,hybrid,vehicular,vehicular,automotive_transportation,True,False,True,False,False,2
O_ISAC_124,hybrid,vehicular,vehicular,automotive_transportation,True,False,True,False,False,2
O_ISAC_125,wireless,medical_imaging;nondestructive_testing;security_screening,medical_imaging;nondestructive_testing;security_screening,indoor_environments;underwater_harsh,True,True,False,True,False,3
O_ISAC_126,hybrid,vehicular;industrial_manufacturing;indoor_positioning;environmental_monitoring;critical_infrastructure;fibre_network_monitoring;robotics_autonomy;aerospace_space;uav_aerial;maritime_underwater;security_surveillance;6g_networks,vehicular;industrial_manufacturing;indoor_positioning;environmental_monitoring;critical_infrastructure;fibre_network_monitoring;robotics_autonomy;aerospace_space;uav_aerial;maritime_underwater;security_surveillance;6g_networks,automotive_transportation;indoor_environments;smart_infrastructure;space_satellite;underwater_harsh,True,True,True,True,True,5
O_ISAC_127,wireless_fso,underwater_surveillance,maritime_underwater,underwater_harsh,True,False,False,True,False,2
O_ISAC_128,cabled_fibre,industrial_manufacturing;fibre_network_monitoring,industrial_manufacturing;fibre_network_monitoring,smart_infrastructure,True,False,False,False,False,1
O_ISAC_129,wireless_vlc,vehicular;industrial_manufacturing,vehicular;industrial_manufacturing,automotive_transportation;smart_infrastructure,True,True,True,False,False,3
O_ISAC_130,hybrid,microalgae_cultivation,microalgae_cultivation,underwater_harsh,True,False,False,True,False,2
O_ISAC_131,wireless_vlc,indoor_positioning;robotics_autonomy,indoor_positioning;robotics_autonomy,automotive_transportation;indoor_environments,True,True,True,False,False,3
O_ISAC_132,hybrid,6g_networks,6g_networks,,True,False,False,False,False,1
O_ISAC_133,wireless_fso,indoor_positioning,indoor_positioning,automotive_transportation;indoor_environments,True,True,True,False,True,4
O_ISAC_134,hybrid,vehicular,vehicular,automotive_transportation,True,False,True,False,False,2
O_ISAC_135,hybrid,volcanic_ash_detection,volcanic_ash_detection,underwater_harsh,False,False,False,True,True,2
O_ISAC_136,hybrid,vehicular;industrial_manufacturing;indoor_positioning;environmental_monitoring;critical_infrastructure;fibre_network_monitoring;robotics_autonomy;aerospace_space;uav_aerial;maritime_underwater;security_surveillance;6g_networks,vehicular;industrial_manufacturing;indoor_positioning;environmental_monitoring;critical_infrastructure;fibre_network_monitoring;robotics_autonomy;aerospace_space;uav_aerial;maritime_underwater;security_surveillance;6g_networks,automotive_transportation;indoor_environments;smart_infrastructure;space_satellite;underwater_harsh,True,True,True,True,True,5
O_ISAC_137,wireless_fso,space,aerospace_space,space_satellite,False,False,False,False,True,1
O_ISAC_138,hybrid,uav_communication,uav_aerial,automotive_transportation,True,False,True,False,False,2
O_ISAC_139,wireless,indoor_localization;assisted_living;personnel_monitoring;asset_tracking,indoor_positioning;assisted_living;personnel_monitoring;asset_tracking,indoor_environments,False,True,False,False,False,1
O_ISAC_140,wireless,digital_twin,digital_twin,smart_infrastructure,True,False,False,False,False,1
O_ISAC_141,wireless,vehicular;industrial_manufacturing;security_surveillance,vehicular;industrial_manufacturing;security_surveillance,automotive_transportation;smart_infrastructure,True,False,True,False,False,2
O_ISAC_142,hybrid,6g_networks,6g_networks,,True,True,True,False,True,4
O_ISAC_143,wireless_vlc,vehicular,vehicular,automotive_transportation,True,False,True,False,False,2
O_ISAC_144,hybrid,concentrated_solar_power,concentrated_solar_power,smart_infrastructure;underwater_harsh,True,False,False,True,False,2
O_ISAC_145,hybrid,healthcare,healthcare,indoor_environments,True,True,False,False,False,2
O_ISAC_146,hybrid,6g_networks;industrial_manufacturing,6g_networks;industrial_manufacturing,smart_infrastructure,True,False,False,False,False,1
O_ISAC_147,wireless_fso,environmental_monitoring,environmental_monitoring,smart_infrastructure,True,False,False,False,False,1
O_ISAC_148,hybrid,cultural_heritage;environmental_monitoring,cultural_heritage;environmental_monitoring,smart_infrastructure;space_satellite,True,False,False,False,True,2
O_ISAC_149,hybrid,aerospace_space;uav_aerial,aerospace_space;uav_aerial,automotive_transportation;space_satellite,False,False,True,False,True,2
O_ISAC_150,hybrid,vehicular;industrial_manufacturing;indoor_positioning;environmental_monitoring;critical_infrastructure;fibre_network_monitoring;robotics_autonomy;aerospace_space;uav_aerial;maritime_underwater;security_surveillance;6g_networks,vehicular;industrial_manufacturing;indoor_positioning;environmental_monitoring;critical_infrastructure;fibre_network_monitoring;robotics_autonomy;aerospace_space;uav_aerial;maritime_underwater;security_surveillance;6g_networks,automotive_transportation;indoor_environments;smart_infrastructure;space_satellite;underwater_harsh,True,True,True,True,True,5
O_ISAC_151,hybrid,healthcare,healthcare,indoor_environments,True,True,False,False,False,2
O_ISAC_152,hybrid,6g_networks,6g_networks,,True,False,False,False,False,1
O_ISAC_153,terahertz,biochemical_sensing,biochemical_sensing,indoor_environments,True,True,False,False,False,2
O_ISAC_154,hybrid,environmental_monitoring,environmental_monitoring,smart_infrastructure;underwater_harsh,True,False,False,True,True,3
O_ISAC_155,hybrid,industrial_manufacturing,industrial_manufacturing,smart_infrastructure,True,False,False,False,False,1
O_ISAC_156,hybrid,iot,iot,smart_infrastructure,True,False,True,False,False,2
O_ISAC_157,wireless,other,other,,False,True,True,False,False,2
O_ISAC_158,hybrid,vehicular;industrial_manufacturing;6g_networks,vehicular;industrial_manufacturing;6g_networks,automotive_transportation;smart_infrastructure,True,False,True,False,False,2
O_ISAC_159,hybrid,6g_networks,6g_networks,,False,False,False,False,False,0
O_ISAC_160,wireless_rf,vehicular_networks,vehicular,automotive_transportation,True,False,True,False,True,3
O_ISAC_161,hybrid,industrial_manufacturing,industrial_manufacturing,smart_infrastructure,True,True,True,False,False,3
O_ISAC_162,hybrid,vehicular;industrial_manufacturing;indoor_positioning,vehicular;industrial_manufacturing;indoor_positioning,automotive_transportation;indoor_environments;smart_infrastructure,True,True,True,False,False,3
O_ISAC_163,hybrid,indoor_positioning,indoor_positioning,indoor_environments,True,True,True,True,True,5
O_ISAC_164,hybrid,vehicular,vehicular,automotive_transportation,True,True,True,False,False,3
O_ISAC_165,hybrid,industrial_manufacturing,industrial_manufacturing,smart_infrastructure,True,False,False,False,False,1
O_ISAC_166,hybrid,healthcare,healthcare,indoor_environments,True,True,False,False,False,2
O_ISAC_167,hybrid,industrial_manufacturing,industrial_manufacturing,smart_infrastructure,True,False,False,False,False,1
O_ISAC_171,hybrid,vehicular,vehicular,automotive_transportation,True,False,True,False,True,3
O_ISAC_172,cabled_fibre,optical_network_monitoring,fibre_network_monitoring,smart_infrastructure,True,False,False,False,False,1
O_ISAC_173,wireless_vlc,industrial_manufacturing;logistics,industrial_manufacturing;logistics,smart_infrastructure,True,True,True,False,False,3
O_ISAC_185,wireless_vlc,vehicular,vehicular,automotive_transportation,True,False,True,False,True,3
O_ISAC_186,hybrid,6g_networks,6g_networks,,True,False,True,False,False,2
O_ISAC_187,hybrid,leo_satellite_isac,satellite_communication,space_satellite,True,False,False,False,True,2
O_ISAC_188,cabled_fibre,indoor_positioning,indoor_positioning,indoor_environments,True,True,False,False,False,2
O_ISAC_189,hybrid,industrial_manufacturing,industrial_manufacturing,smart_infrastructure,True,False,False,False,False,1
O_ISAC_190,cabled_fibre,indoor_positioning,indoor_positioning,indoor_environments,True,True,True,False,False,3
O_ISAC_195,hybrid,vehicular;industrial_manufacturing;uav_aerial,vehicular;industrial_manufacturing;uav_aerial,automotive_transportation;smart_infrastructure;space_satellite,True,False,True,False,True,3
O_ISAC_199,hybrid,6g_networks,6g_networks,,True,False,False,True,False,2
O_ISAC_200,cabled_fibre,industrial_manufacturing,industrial_manufacturing,smart_infrastructure,True,False,False,False,False,1
O_ISAC_202,cabled_fibre,security_surveillance;6g_networks,security_surveillance;6g_networks,smart_infrastructure,True,False,False,False,False,1
O_ISAC_203,hybrid,healthcare,healthcare,indoor_environments,True,True,False,False,False,2
O_ISAC_206,hybrid,6g_networks,6g_networks,,True,False,True,False,False,2
O_ISAC_218,hybrid,industrial_manufacturing,industrial_manufacturing,smart_infrastructure,True,True,False,False,False,2
O_ISAC_219,hybrid,vehicular;industrial_manufacturing;indoor_positioning,vehicular;industrial_manufacturing;indoor_positioning,automotive_transportation;indoor_environments;smart_infrastructure,True,True,True,False,False,3
O_ISAC_220,cabled_fibre,subsea_monitoring,maritime_underwater,underwater_harsh,True,False,False,True,False,2
O_ISAC_237,hybrid,vehicular,vehicular,automotive_transportation,True,False,True,False,False,2
O_ISAC_241,hybrid,vehicular;industrial_manufacturing;indoor_positioning,vehicular;industrial_manufacturing;indoor_positioning,automotive_transportation;indoor_environments;smart_infrastructure,True,True,True,False,False,3
O_ISAC_242,hybrid,vehicular;industrial_manufacturing,vehicular;industrial_manufacturing,automotive_transportation;smart_infrastructure,True,False,True,False,False,2
O_ISAC_245,wireless_fso,6g_networks,6g_networks,,False,False,False,False,False,0
O_ISAC_248,cabled_fibre,fibre_network_monitoring,fibre_network_monitoring,smart_infrastructure,True,False,False,False,False,1
O_ISAC_252,wireless_fso,satellite_communication;free_space_optics,satellite_communication;free_space_optics,space_satellite,True,False,False,False,True,2
O_ISAC_259,hybrid,vehicular,vehicular,automotive_transportation,True,False,True,False,False,2
O_ISAC_272,hybrid,industrial_manufacturing;security_surveillance,industrial_manufacturing;security_surveillance,smart_infrastructure,True,False,False,False,False,1
O_ISAC_276,cabled_fibre,vehicular;industrial_manufacturing;indoor_positioning,vehicular;industrial_manufacturing;indoor_positioning,automotive_transportation;indoor_environments;smart_infrastructure,True,True,True,False,False,3
O_ISAC_280,hybrid,vehicular,vehicular,automotive_transportation,True,False,True,False,False,2
O_ISAC_283,hybrid,6g_networks,6g_networks,,True,False,False,False,False,1
O_ISAC_286,hybrid,industrial_manufacturing,industrial_manufacturing,smart_infrastructure,True,False,True,False,False,2
O_ISAC_288,hybrid,security_surveillance,security_surveillance,smart_infrastructure,True,False,True,False,False,2
O_ISAC_291,hybrid,iot;indoor_positioning,iot;indoor_positioning,indoor_environments;smart_infrastructure,True,True,False,False,False,2
O_ISAC_300,hybrid,6g_networks,6g_networks,,False,True,False,False,False,1
O_ISAC_301,hybrid,6g_networks;indoor_positioning,6g_networks;indoor_positioning,indoor_environments,True,True,False,False,False,2
O_ISAC_303,wireless_vlc,healthcare,healthcare,automotive_transportation;indoor_environments,True,True,True,False,False,3
O_ISAC_304,hybrid,vehicular;industrial_manufacturing,vehicular;industrial_manufacturing,automotive_transportation;smart_infrastructure,True,False,True,False,False,2
O_ISAC_310,hybrid,6g_networks;indoor_positioning,6g_networks;indoor_positioning,indoor_environments,True,True,False,False,False,2
O_ISAC_324,hybrid,quantum_communication,quantum_communication,space_satellite,True,False,False,False,True,2
O_ISAC_327,hybrid,indoor_positioning,indoor_positioning,indoor_environments,True,True,True,True,False,4
O_ISAC_340,hybrid,vehicular;industrial_manufacturing,vehicular;industrial_manufacturing,automotive_transportation;smart_infrastructure,True,False,True,False,False,2
O_ISAC_348,hybrid,industrial_manufacturing,industrial_manufacturing,smart_infrastructure,True,False,False,True,False,2
O_ISAC_349,hybrid,6g_networks,6g_networks,,False,False,False,False,False,0
O_ISAC_350,hybrid,iot,iot,smart_infrastructure,True,True,True,False,False,3
O_ISAC_351,hybrid,indoor_positioning,indoor_positioning,indoor_environments,True,True,True,False,False,3
O_ISAC_354,wireless_vlc,indoor_positioning,indoor_positioning,indoor_environments,True,True,True,False,False,3
O_ISAC_356,wireless_fso,6g_networks,6g_networks,,True,False,False,False,True,2
O_ISAC_360,cabled_fibre,industrial_manufacturing;environmental_monitoring;security_surveillance,industrial_manufacturing;environmental_monitoring;security_surveillance,smart_infrastructure,True,False,False,False,False,1
O_ISAC_368,hybrid,vehicular;industrial_manufacturing;security_surveillance,vehicular;industrial_manufacturing;security_surveillance,automotive_transportation;smart_infrastructure,True,False,True,False,False,2
O_ISAC_371,wireless_vlc,indoor_positioning,indoor_positioning,indoor_environments,False,True,True,False,False,2
O_ISAC_377,hybrid,vehicular,vehicular,automotive_transportation,True,False,True,False,False,2
O_ISAC_379,hybrid,6g_networks,6g_networks,,True,False,True,False,True,3
O_ISAC_381,wireless_vlc,indoor_positioning;security_surveillance,indoor_positioning;security_surveillance,indoor_environments;smart_infrastructure,True,True,True,False,False,3
O_ISAC_386,wireless_vlc,indoor_positioning;security_surveillance,indoor_positioning;security_surveillance,indoor_environments;smart_infrastructure,True,True,False,False,False,2
O_ISAC_388,wireless_vlc,indoor_positioning,indoor_positioning,indoor_environments,True,True,False,False,False,2
