paper_id,medium,macro_domains_json,has_smart_infrastructure_supported,has_indoor_environments_supported,has_automotive_transportation_supported,has_underwater_harsh_supported,has_space_satellite_supported,anchor_count,confidence
O_ISAC_050,wireless_vlc,indoor_environments,True,True,True,True,False,21,high
O_ISAC_051,hybrid,automotive_transportation,True,True,True,True,True,20,high
O_ISAC_052,hybrid,automotive_transportation;indoor_environments,True,True,True,False,False,16,high
O_ISAC_053,wireless_vlc,automotive_transportation;smart_infrastructure,True,True,True,False,True,19,high
O_ISAC_054,hybrid,indoor_environments,True,True,True,True,True,29,high
O_ISAC_055,wireless_fso,automotive_transportation;space_satellite,True,True,True,True,True,20,high
O_ISAC_056,cabled_fibre,indoor_environments,True,True,True,True,True,17,high
O_ISAC_057,hybrid,automotive_transportation;smart_infrastructure,True,False,True,False,True,16,high
O_ISAC_058,hybrid,automotive_transportation,True,False,True,False,True,17,high
O_ISAC_059,hybrid,automotive_transportation;smart_infrastructure;space_satellite,True,True,True,False,True,19,high
O_ISAC_060,wireless_fso,automotive_transportation;smart_infrastructure,True,True,True,True,True,17,high
O_ISAC_061,hybrid,automotive_transportation,True,True,True,True,True,22,high
O_ISAC_062,wireless_vlc,indoor_environments,True,True,True,False,False,19,high
O_ISAC_063,cabled_fibre,smart_infrastructure,True,False,True,False,False,12,high
O_ISAC_064,cabled_fibre,automotive_transportation;smart_infrastructure,True,False,True,False,False,8,high
O_ISAC_065,hybrid,smart_infrastructure,True,False,True,False,True,14,high
O_ISAC_066,hybrid,smart_infrastructure,True,False,True,True,False,12,high
O_ISAC_067,wireless_fso,smart_infrastructure,True,False,True,False,False,11,high
O_ISAC_068,hybrid,smart_infrastructure,True,True,True,False,True,22,high
O_ISAC_069,hybrid,smart_infrastructure;underwater_harsh,True,True,True,True,False,21,high
O_ISAC_070,hybrid,,True,True,True,False,True,16,high
O_ISAC_071,hybrid,automotive_transportation;indoor_environments,True,True,True,False,False,18,high
O_ISAC_072,cabled_fibre,smart_infrastructure,True,True,True,True,False,15,high
O_ISAC_073,hybrid,automotive_transportation;smart_infrastructure,True,True,True,True,True,19,high
O_ISAC_074,cabled_fibre,smart_infrastructure,True,True,True,True,True,14,high
O_ISAC_075,retroreflective_optical,indoor_environments,True,True,True,False,True,15,high
O_ISAC_076,cabled_fibre,smart_infrastructure,True,True,True,True,False,17,high
O_ISAC_077,hybrid,indoor_environments,True,True,True,True,False,14,high
O_ISAC_078,cabled_fibre,,True,True,False,False,True,8,high
O_ISAC_079,cabled_fibre,smart_infrastructure,True,True,True,False,False,16,high
O_ISAC_080,cabled_fibre,smart_infrastructure,True,True,True,False,True,21,high
O_ISAC_081,hybrid,automotive_transportation;indoor_environments,True,True,True,False,False,11,high
O_ISAC_082,hybrid,,True,True,True,False,True,14,high
O_ISAC_083,hybrid,automotive_transportation;indoor_environments;smart_infrastructure;space_satellite;underwater_harsh,True,True,True,True,True,22,high
O_ISAC_084,wireless_vlc,automotive_transportation;indoor_environments;smart_infrastructure,True,True,True,False,False,16,high
O_ISAC_085,cabled_fibre,smart_infrastructure,True,True,True,True,True,16,high
O_ISAC_086,hybrid,automotive_transportation,True,True,True,True,True,16,high
O_ISAC_088,hybrid,,True,True,True,False,False,8,high
O_ISAC_089,cabled_fibre,automotive_transportation;indoor_environments;smart_infrastructure;space_satellite;underwater_harsh,True,True,True,True,True,33,high
O_ISAC_090,cabled_fibre,smart_infrastructure,True,True,True,True,False,20,high
O_ISAC_091,wireless_fso,automotive_transportation,True,True,True,False,False,17,high
O_ISAC_092,wireless_vlc,indoor_environments,True,True,True,True,True,23,high
O_ISAC_093,hybrid,smart_infrastructure,True,True,True,False,True,22,high
O_ISAC_094,hybrid,automotive_transportation,True,True,True,False,True,14,high
O_ISAC_095,hybrid,automotive_transportation,True,False,True,False,True,14,high
O_ISAC_096,hybrid,,True,True,True,True,True,24,high
O_ISAC_097,hybrid,automotive_transportation,True,False,True,True,True,20,high
O_ISAC_098,wireless_fso,automotive_transportation,True,True,True,True,True,26,high
O_ISAC_099,retroreflective,indoor_environments,True,True,True,False,True,14,high
O_ISAC_100,hybrid,indoor_environments,True,True,True,True,False,22,high
O_ISAC_101,cabled_fibre,smart_infrastructure,True,True,True,True,False,11,high
O_ISAC_102,cabled_fibre,,True,True,True,True,True,22,high
O_ISAC_103,cabled_fibre,smart_infrastructure,True,True,True,False,False,14,high
O_ISAC_104,cabled_fibre,automotive_transportation;smart_infrastructure,True,True,True,False,False,9,high
O_ISAC_105,hybrid,,True,True,True,True,True,16,high
O_ISAC_106,wireless_retroreflective,indoor_environments;smart_infrastructure,True,True,False,False,False,7,medium
O_ISAC_107,hybrid,indoor_environments,True,True,True,True,False,20,high
O_ISAC_108,wireless_vlc,indoor_environments,True,True,True,True,True,26,high
O_ISAC_109,hybrid,automotive_transportation;smart_infrastructure,True,True,True,False,False,18,high
O_ISAC_110,wireless_vlc,automotive_transportation;indoor_environments;smart_infrastructure,True,True,True,False,False,14,high
O_ISAC_111,hybrid,,True,False,True,True,True,15,high
O_ISAC_112,hybrid,indoor_environments,True,True,True,False,True,16,high
O_ISAC_113,cabled_fibre,smart_infrastructure;underwater_harsh,True,False,True,True,False,14,high
O_ISAC_114,hybrid,,True,True,True,True,True,26,high
O_ISAC_115,wireless_fso,automotive_transportation;indoor_environments;smart_infrastructure,True,True,True,False,False,14,high
O_ISAC_116,wireless_uv,indoor_environments;smart_infrastructure,True,True,True,False,True,11,high
O_ISAC_117,hybrid,automotive_transportation,True,False,True,True,False,15,high
O_ISAC_118,wireless,automotive_transportation;smart_infrastructure,True,True,True,False,False,16,high
O_ISAC_119,hybrid,smart_infrastructure,True,False,True,False,True,14,high
O_ISAC_120,wireless_fso,,True,True,True,False,True,19,high
O_ISAC_121,other,,True,False,False,False,False,6,medium
O_ISAC_122,other,,True,True,True,False,False,10,high
O_ISAC_123,hybrid,automotive_transportation,True,True,True,True,True,18,high
O_ISAC_124,hybrid,automotive_transportation,True,True,True,False,True,15,high
O_ISAC_125,wireless,indoor_environments;underwater_harsh,True,True,False,True,False,8,high
O_ISAC_126,hybrid,automotive_transportation;indoor_environments;smart_infrastructure;space_satellite;underwater_harsh,True,True,True,True,True,18,high
O_ISAC_127,wireless_fso,underwater_harsh,True,True,True,True,True,25,high
O_ISAC_128,cabled_fibre,smart_infrastructure,True,True,True,False,False,12,high
O_ISAC_129,wireless_vlc,automotive_transportation;smart_infrastructure,True,True,True,False,True,17,high
O_ISAC_130,hybrid,underwater_harsh,True,True,True,True,False,15,high
O_ISAC_131,wireless_vlc,automotive_transportation;indoor_environments,True,True,True,False,False,20,high
O_ISAC_132,hybrid,,True,True,True,False,True,23,high
O_ISAC_133,wireless_fso,automotive_transportation;indoor_environments,True,True,True,True,True,30,high
O_ISAC_134,hybrid,automotive_transportation,True,True,True,False,False,19,high
O_ISAC_135,hybrid,underwater_harsh,True,True,True,True,True,22,high
O_ISAC_136,hybrid,automotive_transportation;indoor_environments;smart_infrastructure;space_satellite;underwater_harsh,True,True,True,True,True,17,high
O_ISAC_137,wireless_fso,space_satellite,True,False,True,True,True,15,high
O_ISAC_138,hybrid,automotive_transportation,True,True,True,False,True,21,high
O_ISAC_139,wireless,indoor_environments,True,True,True,False,False,19,high
O_ISAC_140,wireless,smart_infrastructure,True,True,True,False,False,9,high
O_ISAC_141,wireless,automotive_transportation;smart_infrastructure,True,True,True,False,True,17,high
O_ISAC_142,hybrid,,True,True,True,True,True,26,high
O_ISAC_143,wireless_vlc,automotive_transportation,True,True,True,False,False,18,high
O_ISAC_144,hybrid,smart_infrastructure;underwater_harsh,True,True,True,True,True,14,high
O_ISAC_145,hybrid,indoor_environments,True,True,True,True,True,21,high
O_ISAC_146,hybrid,smart_infrastructure,True,False,True,False,False,8,high
O_ISAC_147,wireless_fso,smart_infrastructure,True,False,True,False,False,13,high
O_ISAC_148,hybrid,smart_infrastructure;space_satellite,True,True,True,False,True,10,high
O_ISAC_149,hybrid,automotive_transportation;space_satellite,True,True,True,False,True,12,high
O_ISAC_150,hybrid,automotive_transportation;indoor_environments;smart_infrastructure;space_satellite;underwater_harsh,True,True,True,True,True,29,high
O_ISAC_151,hybrid,indoor_environments,True,True,True,False,False,15,high
O_ISAC_152,hybrid,,True,True,True,True,True,18,high
O_ISAC_153,terahertz,indoor_environments,True,True,True,False,False,14,high
O_ISAC_154,hybrid,smart_infrastructure;underwater_harsh,True,False,True,True,True,12,high
O_ISAC_155,hybrid,smart_infrastructure,True,True,True,False,False,10,high
O_ISAC_156,hybrid,smart_infrastructure,True,True,True,True,True,23,high
O_ISAC_157,wireless,,True,True,True,False,False,18,high
O_ISAC_158,hybrid,automotive_transportation;smart_infrastructure,True,True,True,False,True,17,high
O_ISAC_159,hybrid,,True,True,True,False,True,19,high
O_ISAC_160,wireless_rf,automotive_transportation,True,True,True,False,True,18,high
O_ISAC_161,hybrid,smart_infrastructure,True,True,True,True,True,22,high
O_ISAC_162,hybrid,automotive_transportation;indoor_environments;smart_infrastructure,True,True,True,False,False,21,high
O_ISAC_163,hybrid,indoor_environments,True,True,True,True,True,26,high
O_ISAC_164,hybrid,automotive_transportation,True,True,True,True,True,28,high
O_ISAC_165,hybrid,smart_infrastructure,True,True,True,True,True,17,high
O_ISAC_166,hybrid,indoor_environments,True,True,True,True,True,22,high
O_ISAC_167,hybrid,smart_infrastructure,True,True,True,True,True,21,high
O_ISAC_171,hybrid,automotive_transportation,True,True,True,False,True,18,high
O_ISAC_172,cabled_fibre,smart_infrastructure,True,True,True,True,True,30,high
O_ISAC_173,wireless_vlc,smart_infrastructure,True,True,True,True,True,19,high
O_ISAC_185,wireless_vlc,automotive_transportation,True,True,True,True,True,28,high
O_ISAC_186,hybrid,,True,True,True,True,False,16,high
O_ISAC_187,hybrid,space_satellite,True,False,True,True,True,20,high
O_ISAC_188,cabled_fibre,indoor_environments,True,True,True,True,True,21,high
O_ISAC_189,hybrid,smart_infrastructure,True,True,True,True,True,18,high
O_ISAC_190,cabled_fibre,indoor_environments,True,True,True,True,True,27,high
O_ISAC_195,hybrid,automotive_transportation;smart_infrastructure;space_satellite,True,True,True,False,True,20,high
O_ISAC_199,hybrid,,True,True,True,True,True,21,high
O_ISAC_200,cabled_fibre,smart_infrastructure,True,True,True,True,False,25,high
O_ISAC_202,cabled_fibre,smart_infrastructure,True,False,True,True,True,13,high
O_ISAC_203,hybrid,indoor_environments,True,True,True,True,False,19,high
O_ISAC_206,hybrid,,True,False,True,True,True,15,high
O_ISAC_218,hybrid,smart_infrastructure,True,True,True,True,False,21,high
O_ISAC_219,hybrid,automotive_transportation;indoor_environments;smart_infrastructure,True,True,True,True,True,25,high
O_ISAC_220,cabled_fibre,underwater_harsh,True,True,True,True,True,20,high
O_ISAC_237,hybrid,automotive_transportation,True,True,True,False,True,16,high
O_ISAC_241,hybrid,automotive_transportation;indoor_environments;smart_infrastructure,True,True,True,False,False,16,high
O_ISAC_242,hybrid,automotive_transportation;smart_infrastructure,True,False,True,True,True,13,high
O_ISAC_245,wireless_fso,,True,False,True,False,False,12,high
O_ISAC_248,cabled_fibre,smart_infrastructure,True,False,True,True,False,16,high
O_ISAC_252,wireless_fso,space_satellite,True,False,False,True,True,8,high
O_ISAC_259,hybrid,automotive_transportation,True,True,True,False,False,15,high
O_ISAC_272,hybrid,smart_infrastructure,True,False,True,True,True,15,high
O_ISAC_276,cabled_fibre,automotive_transportation;indoor_environments;smart_infrastructure,True,True,True,True,False,14,high
O_ISAC_280,hybrid,automotive_transportation,True,True,True,True,True,22,high
O_ISAC_283,hybrid,,True,False,True,False,True,14,high
O_ISAC_286,hybrid,smart_infrastructure,True,True,True,True,True,19,high
O_ISAC_288,hybrid,smart_infrastructure,True,True,True,False,True,19,high
O_ISAC_291,hybrid,indoor_environments;smart_infrastructure,True,True,True,False,False,15,high
O_ISAC_300,hybrid,,True,True,True,False,True,16,high
O_ISAC_301,hybrid,indoor_environments,True,True,True,True,True,17,high
O_ISAC_303,wireless_vlc,automotive_transportation;indoor_environments,True,True,True,True,True,29,high
O_ISAC_304,hybrid,automotive_transportation;smart_infrastructure,True,True,True,True,True,18,high
O_ISAC_310,hybrid,indoor_environments,True,True,True,False,True,21,high
O_ISAC_324,hybrid,space_satellite,True,True,True,True,True,20,high
O_ISAC_327,hybrid,indoor_environments,True,True,True,True,True,26,high
O_ISAC_340,hybrid,automotive_transportation;smart_infrastructure,True,True,True,True,False,17,high
O_ISAC_347,cabled_fibre,smart_infrastructure,True,False,True,True,True,17,high
O_ISAC_348,hybrid,smart_infrastructure,True,True,True,True,True,22,high
O_ISAC_349,hybrid,,True,False,True,False,True,14,high
O_ISAC_350,hybrid,smart_infrastructure,True,True,True,True,False,20,high
O_ISAC_351,hybrid,indoor_environments,True,True,True,True,True,22,high
O_ISAC_354,wireless_vlc,indoor_environments,True,True,True,True,False,20,high
O_ISAC_356,wireless_fso,,True,False,True,False,True,13,high
O_ISAC_360,cabled_fibre,smart_infrastructure,True,True,False,True,True,15,high
O_ISAC_368,hybrid,automotive_transportation;smart_infrastructure,True,False,True,True,True,15,high
O_ISAC_371,wireless_vlc,indoor_environments,True,True,True,False,False,14,high
O_ISAC_377,hybrid,automotive_transportation,True,True,True,True,True,20,high
O_ISAC_379,hybrid,,True,False,True,True,True,20,high
O_ISAC_381,wireless_vlc,indoor_environments;smart_infrastructure,True,True,True,True,True,19,high
O_ISAC_386,wireless_vlc,indoor_environments;smart_infrastructure,True,True,True,True,True,17,high
O_ISAC_388,wireless_vlc,indoor_environments,True,True,True,False,False,16,high
