paper_id,section,category,severity,reason,evidence
O_ISAC_003,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_004,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_005,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_006,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_007,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_020,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_021,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_023,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_026,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_027,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_028,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_029,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_033,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_035,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_036,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_040,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_041,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_042,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_044,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_045,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_048,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_051,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_052,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_054,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_055,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_056,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_059,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_060,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_061,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_069,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_070,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_072,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_073,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_074,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_076,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_078,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_079,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_080,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_082,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_083,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_085,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_086,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_088,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_089,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_090,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_091,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_093,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_094,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_096,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_100,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_101,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_102,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_103,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_104,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_105,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_109,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_115,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_118,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_120,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_122,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_123,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_124,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_127,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_128,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_130,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_131,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_132,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_134,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_135,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_136,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_138,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_140,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_141,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_143,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_144,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_145,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_148,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_149,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_152,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_153,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_155,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_156,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_158,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_159,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_160,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_165,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_166,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_167,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_171,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_172,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_185,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_186,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_188,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_189,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_190,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_195,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_199,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_200,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_220,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_237,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_241,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_259,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_276,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_280,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_286,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_288,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_301,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_304,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_310,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_324,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_340,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_348,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_360,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_371,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_377,7B,EVIDENCE_WEAK,MINOR,indoor_environments lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_015,7B,REFERENCE_NOISE,MINOR,Anchor under reference-like heading,heading_path=iv. simulation results > v. conclusion > references
O_ISAC_049,7B,REFERENCE_NOISE,MINOR,Anchor under reference-like heading,heading_path=vii. conclusion > references
O_ISAC_053,7B,REFERENCE_NOISE,MINOR,Anchor under reference-like heading,heading_path=iv. discussion and future work > references
O_ISAC_068,7B,APP_SCOPE_MISMATCH,MAJOR,DIRECT text claim conflicts with structured macro tags,text_macro=indoor_environments; json_macros=smart_infrastructure
O_ISAC_071,7B,REFERENCE_NOISE,MINOR,Anchor under reference-like heading,heading_path=full-duplex ro-isac system: wavelength division duplexing and hybrid waveform design > iv. conclusion > references
O_ISAC_075,7B,REFERENCE_NOISE,MINOR,Anchor under reference-like heading,heading_path=flexible waveform design for ro-isac based on ofdm-embedded maximum length sequence > references
O_ISAC_080,7B,PLANE_MIX_MENTION,MINOR,Quote contains both OSNR and SNR terms; verify plane wording,*Abstract***—We have proposed and experimentally validated an integrated scheme of in-band spectrum polarization sensing and standard coherent communication via fraction-division nonorthogonal multipl
O_ISAC_092,7B,REFERENCE_NOISE,MINOR,Anchor under reference-like heading,"heading_path=<span id=""page-8-5""></span>vi. conclusion > references"
O_ISAC_099,7B,REFERENCE_NOISE,MINOR,Anchor under reference-like heading,heading_path=references
O_ISAC_108,7B,REFERENCE_NOISE,MINOR,Anchor under reference-like heading,heading_path=optical integrated sensing and communication with light-emitting diode > iii. synergies between optical sensing and optical communication > references
O_ISAC_114,7B,REFERENCE_NOISE,MINOR,Anchor under reference-like heading,heading_path=iv. experimental results and discussions > a. system characteristic > references
O_ISAC_114,7B,APP_SCOPE_MISMATCH,MAJOR,DIRECT text claim conflicts with structured macro tags,text_macro=indoor_environments; json_macros=nan
O_ISAC_129,7B,REFERENCE_NOISE,MINOR,Anchor under reference-like heading,heading_path=*a. prototype and experiment setup* > iv. conclusion > references
O_ISAC_132,7B,PLANE_MIX_MENTION,MINOR,Quote contains both OSNR and SNR terms; verify plane wording,Fig. 3(a) shows the relationships between the BER and the optical signal-to-noise ratio (OSNR) of the 128 Gbit/s signal over 2 m wireless transmission with and without optical fiber transmission. It c
O_ISAC_157,7B,REFERENCE_NOISE,MINOR,Anchor under reference-like heading,heading_path=vi. conclusion > references
O_ISAC_164,7B,APP_SCOPE_MISMATCH,MAJOR,DIRECT text claim conflicts with structured macro tags,text_macro=indoor_environments; json_macros=automotive_transportation
O_ISAC_164,7B,REFERENCE_NOISE,MINOR,Anchor under reference-like heading,heading_path=**references**
O_ISAC_166,7B,REFERENCE_NOISE,MINOR,Anchor under reference-like heading,heading_path=keywords: multimodal sensing electronic skin human-machine interaction health monitoring optical wireless communication > abstract > *4.4. optical properties characterization* > **references**
O_ISAC_173,7B,APP_SCOPE_MISMATCH,MAJOR,DIRECT text claim conflicts with structured macro tags,text_macro=indoor_environments; json_macros=smart_infrastructure
O_ISAC_199,7B,REFERENCE_NOISE,MINOR,Anchor under reference-like heading,"heading_path=engineering science and technology, an international journal > **declaration of competing interest** > **references**"
O_ISAC_219,7B,REFERENCE_NOISE,MINOR,Anchor under reference-like heading,heading_path=iii. experiments and discussions > iv. conclusion > references
O_ISAC_300,7B,REFERENCE_NOISE,MINOR,Anchor under reference-like heading,heading_path=v. conclusion > references
O_ISAC_354,7B,REFERENCE_NOISE,MINOR,Anchor under reference-like heading,heading_path=■ **references**
O_ISAC_386,7B,REFERENCE_NOISE,MINOR,Anchor under reference-like heading,heading_path=*c. receiving end function realization and joint debugging experiment* > iv. conclusion > references
O_ISAC_001,7C,EVIDENCE_WEAK,MINOR,automotive_transportation lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_002,7C,EVIDENCE_WEAK,MINOR,automotive_transportation lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_004,7C,EVIDENCE_WEAK,MINOR,automotive_transportation lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_005,7C,EVIDENCE_WEAK,MINOR,automotive_transportation lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_007,7C,EVIDENCE_WEAK,MINOR,automotive_transportation lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_009,7C,EVIDENCE_WEAK,MINOR,automotive_transportation lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_010,7C,EVIDENCE_WEAK,MINOR,automotive_transportation lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_011,7C,EVIDENCE_WEAK,MINOR,automotive_transportation lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_012,7C,EVIDENCE_WEAK,MINOR,automotive_transportation lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_013,7C,EVIDENCE_WEAK,MINOR,automotive_transportation lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_014,7C,EVIDENCE_WEAK,MINOR,automotive_transportation lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_015,7C,EVIDENCE_WEAK,MINOR,automotive_transportation lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_016,7C,EVIDENCE_WEAK,MINOR,automotive_transportation lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_018,7C,EVIDENCE_WEAK,MINOR,automotive_transportation lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_019,7C,EVIDENCE_WEAK,MINOR,automotive_transportation lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_020,7C,EVIDENCE_WEAK,MINOR,automotive_transportation lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_022,7C,EVIDENCE_WEAK,MINOR,automotive_transportation lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_024,7C,EVIDENCE_WEAK,MINOR,automotive_transportation lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_025,7C,EVIDENCE_WEAK,MINOR,automotive_transportation lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_027,7C,EVIDENCE_WEAK,MINOR,automotive_transportation lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_028,7C,EVIDENCE_WEAK,MINOR,automotive_transportation lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_029,7C,EVIDENCE_WEAK,MINOR,automotive_transportation lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_030,7C,EVIDENCE_WEAK,MINOR,automotive_transportation lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_031,7C,EVIDENCE_WEAK,MINOR,automotive_transportation lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_032,7C,EVIDENCE_WEAK,MINOR,automotive_transportation lacks support gate (text anchors),direct=0; indirect=1
O_ISAC_033,7C,EVIDENCE_WEAK,MINOR,automotive_transportation lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_035,7C,EVIDENCE_WEAK,MINOR,automotive_transportation lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_037,7C,EVIDENCE_WEAK,MINOR,automotive_transportation lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_038,7C,EVIDENCE_WEAK,MINOR,automotive_transportation lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_039,7C,EVIDENCE_WEAK,MINOR,automotive_transportation lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_042,7C,EVIDENCE_WEAK,MINOR,automotive_transportation lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_043,7C,EVIDENCE_WEAK,MINOR,automotive_transportation lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_046,7C,EVIDENCE_WEAK,MINOR,automotive_transportation lacks support gate (text anchors),direct=0; indirect=0
O_ISAC_047,7C,EVIDENCE_WEAK,MINOR,automotive_transportation lacks support gate (text anchors),direct=0; indirect=0
