"screening_record_id","report_id","citation","title","authors","year","source_title","doi","exclusion_code","exclusion_reason","decision_date","qa_status","record_lock_status","citation_token"
"SCR-00298","RPT-SCR-00298-01","Feng Q.; Zhao F.. (2025). Design and Analysis of Optically Loaded Terahertz Communication and Sensing System Based on OFDM-MSK-LFM; [基于 OFDM-MSK-LFM 的光载太赫兹通感系统设计与分析]. Guangxue Xuebao/Acta Optica Sinica. https://doi.org/10.3788/aos241959","Design and Analysis of Optically Loaded Terahertz Communication and Sensing System Based on OFDM-MSK-LFM; [基于 OFDM-MSK-LFM 的光载太赫兹通感系统设计与分析]","Feng Q.; Zhao F.","2025","Guangxue Xuebao/Acta Optica Sinica","10.3788/aos241959","FTX07","Insufficient English full technical content","2026-07-23","PASS","locked","https://doi.org/10.3788/aos241959"
"SCR-00388","RPT-SCR-00388-01","Chia L.-W.; Motani M.. (2025). Poster: High-Performance Optical Camera Communications for ISAC Localization and Sensing. ACM MobiCom 2025 - Proceedings of the 2025 the 31st Annual International Conference on Mobile Computing and Networking. https://doi.org/10.1145/3680207.3765690","Poster: High-Performance Optical Camera Communications for ISAC Localization and Sensing","Chia L.-W.; Motani M.","2025","ACM MobiCom 2025 - Proceedings of the 2025 the 31st Annual International Conference on Mobile Computing and Networking","10.1145/3680207.3765690","FTX06","Abstract poster editorial opinion or non-full paper","2026-07-23","PASS","locked","https://doi.org/10.1145/3680207.3765690"
"SCR-00409","RPT-SCR-00409-01","Xiang M.; Zhang Z.; Gu L.; Liu C.; Xu P.; Yang J.; Fu S.; Wang Y.; Qin Y.. (2025). Integration of Ultra-Low-Frequency Distributed Acoustic Sensing and Communication Based on Standard Single-Mode Fiber (Invited); [面 向 甚 低 频 分 布 式 声 波 感 知 的 标 准 单 模 光 纤 通 感融 合 系 统(特 邀)]. Guangxue Xuebao/Acta Optica Sinica. https://doi.org/10.3788/aos250855","Integration of Ultra-Low-Frequency Distributed Acoustic Sensing and Communication Based on Standard Single-Mode Fiber (Invited); [面 向 甚 低 频 分 布 式 声 波 感 知 的 标 准 单 模 光 纤 通 感融 合 系 统(特 邀)]","Xiang M.; Zhang Z.; Gu L.; Liu C.; Xu P.; Yang J.; Fu S.; Wang Y.; Qin Y.","2025","Guangxue Xuebao/Acta Optica Sinica","10.3788/aos250855","FTX07","Insufficient English full technical content","2026-07-26","PASS","locked","https://doi.org/10.3788/aos250855"
"SCR-00508","RPT-SCR-00508-01","Cibira G.; Glesk I.; Dubovan J.; Benedikovič D.. (2024). Impact of Reducing Statistically Small Population Sampling on Threshold Detection in FBG Optical Sensing. Sensors. https://doi.org/10.3390/s24072285","Impact of Reducing Statistically Small Population Sampling on Threshold Detection in FBG Optical Sensing","Cibira G.; Glesk I.; Dubovan J.; Benedikovič D.","2024","Sensors","10.3390/s24072285","FTX03","Sensing only without communication","2026-07-27","PASS","locked","https://doi.org/10.3390/s24072285"
"SCR-00523","RPT-SCR-00523-01","Shuaishuai H.; Feng Z.; Yanqun Z.; Qiang Q.; Yunfei D.; Jin W.; Lingjie K.. (2024). Analysis of GS-PSK-LFM-Based Optical-Carrier Terahertz Integrated Sensing and Communication Signal Generation and Transmission; [基于 GS-PSK-LFM 的光载太赫兹通感信号产生与传输分析]. Laser and Optoelectronics Progress. https://doi.org/10.3788/lop240579","Analysis of GS-PSK-LFM-Based Optical-Carrier Terahertz Integrated Sensing and Communication Signal Generation and Transmission; [基于 GS-PSK-LFM 的光载太赫兹通感信号产生与传输分析]","Shuaishuai H.; Feng Z.; Yanqun Z.; Qiang Q.; Yunfei D.; Jin W.; Lingjie K.","2024","Laser and Optoelectronics Progress","10.3788/lop240579","FTX07","Insufficient English full technical content","2026-07-27","PASS","locked","https://doi.org/10.3788/lop240579"
"SCR-00528","RPT-SCR-00528-01","Duan Y.; Zhao F.; Zuo Y.; Wang J.; Hou S.; Kong L.; Qian Q.. (2024). Generation and Transmission Analysis of Optical Terahertz Communication Sensing Signals Based on Dual Linear Frequency Modulation; [基 于 双 线 性 调 频 的 光 载 太 赫 兹 通 感 信 号 产 生 与传 输 分 析]. Guangxue Xuebao/Acta Optica Sinica. https://doi.org/10.3788/aos240497","Generation and Transmission Analysis of Optical Terahertz Communication Sensing Signals Based on Dual Linear Frequency Modulation; [基 于 双 线 性 调 频 的 光 载 太 赫 兹 通 感 信 号 产 生 与传 输 分 析]","Duan Y.; Zhao F.; Zuo Y.; Wang J.; Hou S.; Kong L.; Qian Q.","2024","Guangxue Xuebao/Acta Optica Sinica","10.3788/aos240497","FTX07","Insufficient English full technical content","2026-07-27","PASS","locked","https://doi.org/10.3788/aos240497"
"SCR-00571","RPT-SCR-00571-01","Zuo Y.; Zhao F.; Wang J.; Qian Q.; Hou S.; Duan Y.; Kong L.. (2024). Generation and Transmission Analysis on Multi-Order Quadrature Amplitude Modulation and Linear Frequency Modulation Signals of Optical Carrier Terahertz with Integrated Communication and Sensing; [一 种 光 载 太 赫 兹 通 感 高 阶 正 交 幅 度 调 制 与 线 性 调 频信 号 的 产 生 与 传 输 分 析]. Guangxue Xuebao/Acta Optica Sinica. https://doi.org/10.3788/aos240478","Generation and Transmission Analysis on Multi-Order Quadrature Amplitude Modulation and Linear Frequency Modulation Signals of Optical Carrier Terahertz with Integrated Communication and Sensing; [一 种 光 载 太 赫 兹 通 感 高 阶 正 交 幅 度 调 制 与 线 性 调 频信 号 的 产 生 与 传 输 分 析]","Zuo Y.; Zhao F.; Wang J.; Qian Q.; Hou S.; Duan Y.; Kong L.","2024","Guangxue Xuebao/Acta Optica Sinica","10.3788/aos240478","FTX07","Insufficient English full technical content","2026-07-27","PASS","locked","https://doi.org/10.3788/aos240478"
"SCR-00606","RPT-SCR-00606-01","Gao S.; Chen H.; Wang Y.; Duan Z.; Zhang H.; Sun Z.; Shen Y.; Lin X.. (2024). Super-resolution diffractive neural network for all-optical direction of arrival estimation beyond diffraction limits. Light: Science and Applications. https://doi.org/10.1038/s41377-024-01511-4","Super-resolution diffractive neural network for all-optical direction of arrival estimation beyond diffraction limits","Gao S.; Chen H.; Wang Y.; Duan Z.; Zhang H.; Sun Z.; Shen Y.; Lin X.","2024","Light: Science and Applications","10.1038/s41377-024-01511-4","FTX01","Non-optical or RF-only ISAC","2026-07-27","PASS","locked","https://doi.org/10.1038/s41377-024-01511-4"
"SCR-00623","RPT-SCR-00623-01","Pamukti B.; Wang Z.; Fajar Faliasthiunus Pradipta M.; Liaw S.-K.; Yeh C.-H.; Yang F.-L.. (2024). Deep learning and time series signal processing for bending detection in mining environment using optical fiber sensor. Optical Fiber Technology. https://doi.org/10.1016/j.yofte.2024.103819","Deep learning and time series signal processing for bending detection in mining environment using optical fiber sensor","Pamukti B.; Wang Z.; Fajar Faliasthiunus Pradipta M.; Liaw S.-K.; Yeh C.-H.; Yang F.-L.","2024","Optical Fiber Technology","10.1016/j.yofte.2024.103819","FTX03","Sensing only without communication","2026-07-27","PASS","locked","https://doi.org/10.1016/j.yofte.2024.103819"
"SCR-00689","RPT-SCR-00689-01","Mohamed Nishar A.A.; Paul S.; Ashok A.. (2024). Poster Abstract: Joint Optical Wireless Communication and Sensing using Neuromorphic Cameras. Proceedings - 23rd ACM/IEEE International Conference on Information Processing in Sensor Networks, IPSN 2024. https://doi.org/10.1109/ipsn61024.2024.00053","Poster Abstract: Joint Optical Wireless Communication and Sensing using Neuromorphic Cameras","Mohamed Nishar A.A.; Paul S.; Ashok A.","2024","Proceedings - 23rd ACM/IEEE International Conference on Information Processing in Sensor Networks, IPSN 2024","10.1109/ipsn61024.2024.00053","FTX06","Abstract poster editorial opinion or non-full paper","2026-07-27","PASS","locked","https://doi.org/10.1109/ipsn61024.2024.00053"
"SCR-00715","RPT-SCR-00715-01","Zhang X.; Xiao L.; Mutka M.W.. (2024). POSTER: Holographic Optical Tag enabled Omnidirectional IoT Connection. SIGCOMM Posters and Demos 2024 - Proceedings of the 2024 SIGCOMM Poster and Demo Sessions, Part of SIGCOMM 2024. https://doi.org/10.1145/3672202.3673726","POSTER: Holographic Optical Tag enabled Omnidirectional IoT Connection","Zhang X.; Xiao L.; Mutka M.W.","2024","SIGCOMM Posters and Demos 2024 - Proceedings of the 2024 SIGCOMM Poster and Demo Sessions, Part of SIGCOMM 2024","10.1145/3672202.3673726","FTX06","Abstract poster editorial opinion or non-full paper","2026-07-27","PASS","locked","https://doi.org/10.1145/3672202.3673726"
"SCR-00755","RPT-SCR-00755-01","Tu X.; Yang S.; Xi J.; Jiang Y.; Wei Y.; Qu F.. (2023). Doubly-Spread Channel Equalization based on Channel Shortening in Underwater Distributed Acoustic Sensing Communications. 2023 IEEE/CIC International Conference on Communications in China, ICCC 2023. https://doi.org/10.1109/iccc57788.2023.10233469","Doubly-Spread Channel Equalization based on Channel Shortening in Underwater Distributed Acoustic Sensing Communications","Tu X.; Yang S.; Xi J.; Jiang Y.; Wei Y.; Qu F.","2023","2023 IEEE/CIC International Conference on Communications in China, ICCC 2023","10.1109/iccc57788.2023.10233469","FTX02","Communication only without sensing","2026-07-27","PASS","locked","https://doi.org/10.1109/iccc57788.2023.10233469"
"SCR-00766","RPT-SCR-00766-01","Yao S.; Gao D.; Ni J.; Wang X.; Wu M.; Wang P.. (2021). Path Selection for Hybrid Fiber Communication/Sensing Network. 2021 13th International Conference on Advanced Infocomm Technology, ICAIT 2021. https://doi.org/10.1109/icait52638.2021.9702005","Path Selection for Hybrid Fiber Communication/Sensing Network","Yao S.; Gao D.; Ni J.; Wang X.; Wu M.; Wang P.","2021","2021 13th International Conference on Advanced Infocomm Technology, ICAIT 2021","10.1109/icait52638.2021.9702005","FTX04","No genuine sensing-communication integration","2026-07-27","PASS","locked","https://doi.org/10.1109/icait52638.2021.9702005"
"SCR-00892","RPT-SCR-00892-01","Zhang Y.; Wang Y.; Zhang X.; Zhang J.; Jin S.; Lin Q.. (2025). Photonic-Assisted Joint Radar and Communication System Based on Tunable Notch Chaotic Opto-Electronic Oscillator (Invited); [基于可调陷波混沌光电振荡器的光子辅助雷达通信联 合 系 统（特 邀）]. Laser and Optoelectronics Progress. https://doi.org/10.3788/lop251405","Photonic-Assisted Joint Radar and Communication System Based on Tunable Notch Chaotic Opto-Electronic Oscillator (Invited); [基于可调陷波混沌光电振荡器的光子辅助雷达通信联 合 系 统（特 邀）]","Zhang Y.; Wang Y.; Zhang X.; Zhang J.; Jin S.; Lin Q.","2025","Laser and Optoelectronics Progress","10.3788/lop251405","FTX07","Insufficient English full technical content","2026-07-28","PASS","locked","https://doi.org/10.3788/lop251405"
"SCR-00931","RPT-SCR-00931-01","W. Kong; F. Liu; G. Zhu; Y. Yan; X. Zhou. (2024). Localization Enhancement of Forward-Transmission Distributed Vibration Sensors Using Phase Differentiation Endpoint Amplification. IEEE Sensors Journal. https://doi.org/10.1109/jsen.2024.3390401","Localization Enhancement of Forward-Transmission Distributed Vibration Sensors Using Phase Differentiation Endpoint Amplification","W. Kong; F. Liu; G. Zhu; Y. Yan; X. Zhou","2024","IEEE Sensors Journal","10.1109/jsen.2024.3390401","FTX03","Sensing only without communication","2026-07-28","PASS","locked","https://doi.org/10.1109/jsen.2024.3390401"
"SCR-00947","RPT-SCR-00947-01","C. Aceros; J. Valera-Marquez; Y. Aviles; D. Rodriguez. (2025). Microwave Photonics Computational Signal Algebra Framework for Radar Integrated Sensing and Communication Applications. 2025 IEEE MTT-S Latin America Microwave Conference (LAMC). https://doi.org/10.1109/lamc63321.2025.10880541","Microwave Photonics Computational Signal Algebra Framework for Radar Integrated Sensing and Communication Applications","C. Aceros; J. Valera-Marquez; Y. Aviles; D. Rodriguez","2025","2025 IEEE MTT-S Latin America Microwave Conference (LAMC)","10.1109/lamc63321.2025.10880541","FTX01","Non-optical or RF-only ISAC","2026-07-28","PASS","locked","https://doi.org/10.1109/lamc63321.2025.10880541"
"SCR-00950","RPT-SCR-00950-01","C. Aceros; J. Valera; Y. Aviles; D. Rodriguez. (2024). A Computational Signal Algebra Framework for Microwave Photonics Radar Integrated Sensing and Communications. 2024 10th International Conference on Advanced Computing and Communication Systems (ICACCS). https://doi.org/10.1109/icaccs60874.2024.10716942","A Computational Signal Algebra Framework for Microwave Photonics Radar Integrated Sensing and Communications","C. Aceros; J. Valera; Y. Aviles; D. Rodriguez","2024","2024 10th International Conference on Advanced Computing and Communication Systems (ICACCS)","10.1109/icaccs60874.2024.10716942","FTX01","Non-optical or RF-only ISAC","2026-07-28","PASS","locked","https://doi.org/10.1109/icaccs60874.2024.10716942"
"SCR-01039","RPT-SCR-01039-01","G. Chen; Y. Yan; X. Wang; Z. Liu; B. Zhou. (2024). Joint Lambertian Model Calibration and Positioning of Photodiode Devices towards Integrated Optical Wireless Communication and Sensing. 2024 IEEE/CIC International Conference on Communications in China (ICCC). https://doi.org/10.1109/iccc62479.2024.10681813","Joint Lambertian Model Calibration and Positioning of Photodiode Devices towards Integrated Optical Wireless Communication and Sensing","G. Chen; Y. Yan; X. Wang; Z. Liu; B. Zhou","2024","2024 IEEE/CIC International Conference on Communications in China (ICCC)","10.1109/iccc62479.2024.10681813","FTX03","Sensing only without communication","2026-07-28","PASS","locked","https://doi.org/10.1109/iccc62479.2024.10681813"
"SCR-01044","RPT-SCR-01044-01","A. M. Yılmaz; A. Boyacı; A. R. Ekti; S. Yarkan. (2024). An Experimental Setup for Mechanical Vibration Analysis Using VLC. 2024 32nd Signal Processing and Communications Applications Conference (SIU). https://doi.org/10.1109/siu61531.2024.10600982","An Experimental Setup for Mechanical Vibration Analysis Using VLC","A. M. Yılmaz; A. Boyacı; A. R. Ekti; S. Yarkan","2024","2024 32nd Signal Processing and Communications Applications Conference (SIU)","10.1109/siu61531.2024.10600982","FTX03","Sensing only without communication","2026-07-28","PASS","locked","https://doi.org/10.1109/siu61531.2024.10600982"
"SCR-01046","RPT-SCR-01046-01","Y. Liu; W. Liu; H. Yang; D. Wang; T. Yu; Q. Yao. (2025). Cross-Regional Fiber Optic Co-Trench Positioning LLM: Bypass Fusion Method and Verification. 2025 11th International Conference on Computer and Communications (ICCC). https://doi.org/10.1109/iccc68654.2025.11438105","Cross-Regional Fiber Optic Co-Trench Positioning LLM: Bypass Fusion Method and Verification","Y. Liu; W. Liu; H. Yang; D. Wang; T. Yu; Q. Yao","2025","2025 11th International Conference on Computer and Communications (ICCC)","10.1109/iccc68654.2025.11438105","FTX03","Sensing only without communication","2026-07-28","PASS","locked","https://doi.org/10.1109/iccc68654.2025.11438105"
"SCR-01051","RPT-SCR-01051-01","S. Gao; H. Chen; H. Zhang; Z. Sun; Y. Shen; X. Lin. (2024). All-Optical Computing for Super-Resolution Direction of Arrival Estimation. 2024 Asia Communications and Photonics Conference (ACP) and International Conference on Information Photonics and Optical Communications (IPOC). https://doi.org/10.1109/acp/ipoc63121.2024.10809945","All-Optical Computing for Super-Resolution Direction of Arrival Estimation","S. Gao; H. Chen; H. Zhang; Z. Sun; Y. Shen; X. Lin","2024","2024 Asia Communications and Photonics Conference (ACP) and International Conference on Information Photonics and Optical Communications (IPOC)","10.1109/acp/ipoc63121.2024.10809945","FTX01","Non-optical or RF-only ISAC","2026-07-28","PASS","locked","https://doi.org/10.1109/acp/ipoc63121.2024.10809945"
"SCR-01061","RPT-SCR-01061-01","X. Zhang; G. Klevering; K. Wijewardena; L. Xiao. (2023). Demo: Integrated On-site Localization and Optical Camera Communication for Drones. 2023 IEEE 24th International Symposium on a World of Wireless, Mobile and Multimedia Networks (WoWMoM). https://doi.org/10.1109/wowmom57956.2023.00055","Demo: Integrated On-site Localization and Optical Camera Communication for Drones","X. Zhang; G. Klevering; K. Wijewardena; L. Xiao","2023","2023 IEEE 24th International Symposium on a World of Wireless, Mobile and Multimedia Networks (WoWMoM)","10.1109/wowmom57956.2023.00055","FTX06","Abstract poster editorial opinion or non-full paper","2026-07-28","PASS","locked","https://doi.org/10.1109/wowmom57956.2023.00055"
"SCR-01097","RPT-SCR-01097-01","S. Soderi; A. Zappone. (2026). Secrecy Energy Efficiency of Hybrid Wireless Body Area Networks. IEEE Transactions on Mobile Computing. https://doi.org/10.1109/tmc.2025.3618098","Secrecy Energy Efficiency of Hybrid Wireless Body Area Networks","S. Soderi; A. Zappone","2026","IEEE Transactions on Mobile Computing","10.1109/tmc.2025.3618098","FTX02","Communication only without sensing","2026-07-28","PASS","locked","https://doi.org/10.1109/tmc.2025.3618098"
"SCR-01104","RPT-SCR-01104-01","J. Ji; Z. Jin; J. Chen; Y. Wan; H. Li; X. Yu; Z. He. (2026). Coded-Pulse-Compression Frequency-Multiplexed DAS for Fading Suppression and SNR Enhancement. 2026 Optical Fiber Communications Conference and Exhibition (OFC)","Coded-Pulse-Compression Frequency-Multiplexed DAS for Fading Suppression and SNR Enhancement","J. Ji; Z. Jin; J. Chen; Y. Wan; H. Li; X. Yu; Z. He","2026","2026 Optical Fiber Communications Conference and Exhibition (OFC)","","FTX03","Sensing only without communication","2026-07-28","PASS","locked","J. Ji; Z. Jin; J. Chen; Y. Wan; H. Li; X. Yu; Z. He. (2026). Coded-Pulse-Compression Frequency-Multiplexed DAS for Fading Suppression and SNR Enhancement. 2026 Optical Fiber Communications Conference and Exhibition (OFC)"
"SCR-01109","RPT-SCR-01109-01","Z. Huang; S. Yu; L. Jie; W. Huang. (2025). A Signal Enhancement Method for Improving Vehicle Detection Rate in Distributed Acoustic Sensing. 2025 Asia Communications and Photonics Conference (ACP). https://doi.org/10.1109/acp66871.2025.11350401","A Signal Enhancement Method for Improving Vehicle Detection Rate in Distributed Acoustic Sensing","Z. Huang; S. Yu; L. Jie; W. Huang","2025","2025 Asia Communications and Photonics Conference (ACP)","10.1109/acp66871.2025.11350401","FTX03","Sensing only without communication","2026-07-28","PASS","locked","https://doi.org/10.1109/acp66871.2025.11350401"
"SCR-01113","RPT-SCR-01113-01","S. Chen; J. Han; Q. Sui; K. Zhu; C. Lu; Z. Li. (2023). Advanced Signal Processing in Distributed Acoustic Sensors Based on Submarine Cables for Seismology Applications. Journal of Lightwave Technology. https://doi.org/10.1109/jlt.2023.3273268","Advanced Signal Processing in Distributed Acoustic Sensors Based on Submarine Cables for Seismology Applications","S. Chen; J. Han; Q. Sui; K. Zhu; C. Lu; Z. Li","2023","Journal of Lightwave Technology","10.1109/jlt.2023.3273268","FTX03","Sensing only without communication","2026-07-28","PASS","locked","https://doi.org/10.1109/jlt.2023.3273268"
"SCR-01141","RPT-SCR-01141-01","J. Fang; Y. Li; W. Kohno; T. Wang. (2026). High-Fidelity Forward-Transmission Vibration Sensing Using Dual-Sensor Beamforming. Journal of Lightwave Technology. https://doi.org/10.1109/jlt.2026.3701949","High-Fidelity Forward-Transmission Vibration Sensing Using Dual-Sensor Beamforming","J. Fang; Y. Li; W. Kohno; T. Wang","2026","Journal of Lightwave Technology","10.1109/jlt.2026.3701949","FTX03","Sensing only without communication","2026-07-28","PASS","locked","https://doi.org/10.1109/jlt.2026.3701949"
"SCR-01183","RPT-SCR-01183-01","Hao LiXuzhang ShenZhaohui LiShaoyi Chen. (2025). Local earthquake response on the submarine communication cable in the northern South China Sea. Scientific Reports. https://doi.org/10.1038/s41598-025-93682-2","Local earthquake response on the submarine communication cable in the northern South China Sea","Hao LiXuzhang ShenZhaohui LiShaoyi Chen","2025","Scientific Reports","10.1038/s41598-025-93682-2","FTX03","Sensing only without communication","2026-07-28","PASS","locked","https://doi.org/10.1038/s41598-025-93682-2"
