register_id,citation_key,citation_command,source_record_id,screening_record_id,title,authors,year,venue,persistent_identifier_type,persistent_identifier,source_url,source_form,workflow_origin,executed_workflow_status,synthesis_function_rule_status,primary_evidence_denominator_status,primary_role,table_i_assignment_status,primary_reader_task_family,secondary_reader_tasks,secondary_scope_tags,optical_medium_or_network_scope,native_evidence_unit,comparison_logic,lineage_flag,inclusion_rationale,neutral_boundary,date_value,date_precision,date_source,metadata_source,classification_basis,amendment_id,bib_doi_match,bib_title_match
ST-RS1-11,Zhang2026OpticalTransmissionNetworks,\cite{Zhang2026OpticalTransmissionNetworks},SCR-00971,SCR-00971,Integrated sensing and communication for optical transmission networks,Q. Zhang; X. Gao; A. Zhang; Y. Ding; X. Huo,2026,Journal of Optical Communications and Networking,DOI,10.1364/jocn.584918,https://doi.org/10.1364/jocn.584918,full_length_or_independently_citable,captured_in_executed_review_workflow,retained_contextual_synthesis,eligible,contextual_only_outside_locked_206_study_primary_denominator,table_i_navigation_source,displayed_in_table_i,technological_evolution_standardization_and_deployment,physical_media_and_networks; architecture_and_system_design,optical_transmission_networks; deployment; integration,optical_fiber_networks,"technology lineage, standardization context, or deployment cases summarized by the source",chronological or deployment-oriented narrative comparison,none_identified_in_bounded_audit,"Central scope concerns integrated optical communication and sensing, and the dominant function synthesizes more than one prior system, solution class, or research line.","Contextual synthesis used for survey positioning; not treated as primary technical evidence, an independent effect, or a quality benchmark.",28 May 2026,reported_date_string,executed_deduplicated_record_export_2026-06-22,executed_deduplicated_record_export_2026-06-22; resolved_context_bibliography,2026-08-11_bounded_source_function_audit_plus_executed_export_title_abstract,contextual_synthesis_positioning_update_2026-08-13,True,True
ST-RS1-12,Zhang2023OpticalNetworkISACFrontier,\cite{Zhang2023OpticalNetworkISACFrontier},MSA-ZHANG-2023,not_in_executed_exports,Research Frontier of Communication and Sensing Integration Technology for Optical Networks,"Zhang, Chuanbiao and Tang, Xiongyan and Wang, Guangquan and Zhang, Min and Shen, Shikui",2023,Laser \& Optoelectronics Progress,DOI,10.3788/lop221419,https://doi.org/10.3788/LOP221419,full_length_or_independently_citable,manuscript_stage_bounded_addition,absent_from_executed_exports_contextual_addition_only,eligible_under_bounded_manuscript_positioning_rule,contextual_only_outside_locked_206_study_primary_denominator,table_i_navigation_source,displayed_in_table_i,physical_media_and_optical_networks,technological_evolution; applications_and_challenges,optical_networks; research_frontier; integration,optical_fiber_networks,media-specific systems and optical-network integration approaches summarized by the source,"descriptive comparison by optical medium, network context, and integration mechanism",distinct_update_within_optical_network_synthesis_lineage,"Central scope concerns integrated optical communication and sensing, and the dominant function synthesizes more than one prior system, solution class, or research line.","Contextual synthesis added by a bounded manuscript-stage positioning update; not treated as primary technical evidence, an independent effect, or a quality benchmark.",2022-06-23,exact_first_online_date,2026-08-11_bounded_source_audit,resolved_context_bibliography; 2026-08-11_bounded_source_function_audit,2026-08-11_bounded_source_function_audit,contextual_synthesis_positioning_update_2026-08-13,True,True
ST-RS1-13,Liang2024LiSACReview,\cite{Liang2024LiSACReview},SCR-00565,SCR-00565,"Integrated sensing, lighting and communication based on visible light communication: A review",Liang C.; Li J.; Liu S.; Yang F.; Dong Y.; Song J.; Zhang X.-P.; Ding W.,2024,Digital Signal Processing: A Review Journal,DOI,10.1016/j.dsp.2023.104340,https://doi.org/10.1016/j.dsp.2023.104340,full_length_or_independently_citable,captured_in_executed_review_workflow,retained_contextual_synthesis,eligible,contextual_only_outside_locked_206_study_primary_denominator,table_i_navigation_source,displayed_in_table_i,physical_media_and_optical_networks,applications_and_challenges; waveforms_and_resource_design,visible_light; lighting; communication; sensing,VLC_LiFi,media-specific systems and optical-network integration approaches summarized by the source,"descriptive comparison by optical medium, network context, and integration mechanism",none_identified_in_bounded_audit,"Central scope concerns integrated optical communication and sensing, and the dominant function synthesizes more than one prior system, solution class, or research line.","Contextual synthesis used for survey positioning; not treated as primary technical evidence, an independent effect, or a quality benchmark.",2024,publication_year_only,executed_deduplicated_record_export_2026-06-22,executed_deduplicated_record_export_2026-06-22; resolved_context_bibliography,2026-08-11_bounded_source_function_audit_plus_executed_export_title_abstract,contextual_synthesis_positioning_update_2026-08-13,True,True
ST-RS1-14,He2025FiberISACAdvances,\cite{He2025FiberISACAdvances},SCR-00266,SCR-00266,Research Advances of Fiber-Based Integrated Sensing and Communication (Invited); [光 纤 通 信 传 感 一 体 化 研 究 进 展（特 邀）],He H.; Zou X.; Pu Z.; Wang Y.; Pan W.; Yan L.,2025,Guangxue Xuebao/Acta Optica Sinica,DOI,10.3788/aos250882,https://doi.org/10.3788/aos250882,full_length_or_independently_citable,captured_in_executed_review_workflow,retained_contextual_synthesis,eligible,contextual_only_outside_locked_206_study_primary_denominator,table_i_navigation_source,displayed_in_table_i,physical_media_and_optical_networks,waveforms_and_resource_design; deployment_and_operations,fiber_ISAC; forward_sensing; backscatter_sensing; network_operations,optical_fiber_networks,media-specific systems and optical-network integration approaches summarized by the source,"descriptive comparison by optical medium, network context, and integration mechanism",none_identified_in_bounded_audit,"Central scope concerns integrated optical communication and sensing, and the dominant function synthesizes more than one prior system, solution class, or research line.","Contextual synthesis used for survey positioning; not treated as primary technical evidence, an independent effect, or a quality benchmark.",2025,publication_year_only,executed_deduplicated_record_export_2026-06-22,executed_deduplicated_record_export_2026-06-22; resolved_context_bibliography,2026-08-11_bounded_source_function_audit_plus_executed_export_title_abstract,contextual_synthesis_positioning_update_2026-08-13,True,True
ST-RS1-15,Liu2026OpticalFiberISACReview,\cite{Liu2026OpticalFiberISACReview},SCR-00292,SCR-00292,A review of optical fiber integrated sensing and communication systems,Liu Z.; Xie J.; Zhang Y.; He H.; Wang L.; Yu C.; Yan L.; Shieh W.,2026,Science China Information Sciences,DOI,10.1007/s11432-026-4906-8,https://doi.org/10.1007/s11432-026-4906-8,full_length_or_independently_citable,captured_in_executed_review_workflow,retained_contextual_synthesis,eligible,contextual_only_outside_locked_206_study_primary_denominator,table_i_navigation_source,displayed_in_table_i,physical_media_and_optical_networks,architecture_and_system_design; deployment_and_operations,fiber_ISAC; distributed_sensing; optical_networks,optical_fiber_networks,media-specific systems and optical-network integration approaches summarized by the source,"descriptive comparison by optical medium, network context, and integration mechanism",none_identified_in_bounded_audit,"Central scope concerns integrated optical communication and sensing, and the dominant function synthesizes more than one prior system, solution class, or research line.","Contextual synthesis used for survey positioning; not treated as primary technical evidence, an independent effect, or a quality benchmark.",2026,publication_year_only,executed_deduplicated_record_export_2026-06-22,executed_deduplicated_record_export_2026-06-22; resolved_context_bibliography,2026-08-11_bounded_source_function_audit_plus_executed_export_title_abstract,contextual_synthesis_positioning_update_2026-08-13,True,True
ST-RS1-16,Lu2026ConvergedFiberISACReview,\cite{Lu2026ConvergedFiberISACReview},SCR-01177,SCR-01177,Towards converged networks: a review of integrated optical fiber sensing and communication,"Lu, Liwang and Yan, Yaxi and Yang, Bang and Yang, Yanfu and Lau, Alan Pak Tao and Lu, Chao",2026,Science China Information Sciences,DOI,10.1007/s11432-026-4967-4,https://doi.org/10.1007/s11432-026-4967-4,full_length_or_independently_citable,captured_in_executed_review_workflow,retained_contextual_synthesis,eligible,contextual_only_outside_locked_206_study_primary_denominator,table_i_navigation_source,displayed_in_table_i,physical_media_and_optical_networks,architecture_and_system_design; technological_evolution,converged_networks; fiber_sensing; communication,optical_fiber_networks,media-specific systems and optical-network integration approaches summarized by the source,"descriptive comparison by optical medium, network context, and integration mechanism",none_identified_in_bounded_audit,"Central scope concerns integrated optical communication and sensing, and the dominant function synthesizes more than one prior system, solution class, or research line.","Contextual synthesis used for survey positioning; not treated as primary technical evidence, an independent effect, or a quality benchmark.",2026,publication_year_only,executed_deduplicated_record_export_2026-06-22,executed_deduplicated_record_export_2026-06-22; resolved_context_bibliography,2026-08-11_bounded_source_function_audit_plus_executed_export_title_abstract,contextual_synthesis_positioning_update_2026-08-13,True,True
ST-RS1-17,Wang2026FiberNetworkISAC,\cite{Wang2026FiberNetworkISAC},SCR-00371,SCR-00371,"Integrated Fiber Sensing and Communication for Optical Networks: Principles, Solutions, and Challenges",Wang W.; Pei L.; Wang J.; Ning T.,2026,Photonics,DOI,10.3390/photonics13030216,https://doi.org/10.3390/photonics13030216,full_length_or_independently_citable,captured_in_executed_review_workflow,retained_contextual_synthesis,eligible,contextual_only_outside_locked_206_study_primary_denominator,table_i_navigation_source,displayed_in_table_i,physical_media_and_optical_networks,architecture_and_system_design; applications_and_challenges,fiber_ISAC; optical_networks; principles; challenges,optical_fiber_networks,media-specific systems and optical-network integration approaches summarized by the source,"descriptive comparison by optical medium, network context, and integration mechanism",none_identified_in_bounded_audit,"Central scope concerns integrated optical communication and sensing, and the dominant function synthesizes more than one prior system, solution class, or research line.","Contextual synthesis used for survey positioning; not treated as primary technical evidence, an independent effect, or a quality benchmark.",2026,publication_year_only,executed_deduplicated_record_export_2026-06-22,executed_deduplicated_record_export_2026-06-22; resolved_context_bibliography,2026-08-11_bounded_source_function_audit_plus_executed_export_title_abstract,contextual_synthesis_positioning_update_2026-08-13,True,True
ST-RS1-18,Yu2023PhotonAssistedTHz,\cite{Yu2023PhotonAssistedTHz},SCR-00672,SCR-00672,Broadband Photon-Assisted Terahertz Communication and Sensing,Yu J.; Wang Y.; Ding J.; Zhang J.; Li W.; Wang F.; Wang C.; Wang K.; Tan Y.; Zhu M.; Cai Y.; Hua B.; Lei M.; Xie T.; Yu J.; Zhao F.; Zhou W.; You X.,2023,Journal of Lightwave Technology,DOI,10.1109/jlt.2023.3252821,https://doi.org/10.1109/jlt.2023.3252821,full_length_or_independently_citable,captured_in_executed_review_workflow,retained_contextual_synthesis,eligible,contextual_only_outside_locked_206_study_primary_denominator,table_i_navigation_source,displayed_in_table_i,waveforms_resource_multiplexing_and_photonic_hardware,architecture_and_system_design; applications_and_challenges,photon_assisted_THz; communication; sensing,photonic_THz,"waveform, multiplexing, photonic-hardware, or THz implementation families summarized by the source",mechanism-oriented descriptive comparison,none_identified_in_bounded_audit,"Central scope concerns integrated optical communication and sensing, and the dominant function synthesizes more than one prior system, solution class, or research line.","Contextual synthesis used for survey positioning; not treated as primary technical evidence, an independent effect, or a quality benchmark.",2023,publication_year_only,executed_deduplicated_record_export_2026-06-22,executed_deduplicated_record_export_2026-06-22; resolved_context_bibliography,2026-08-11_bounded_source_function_audit_plus_executed_export_title_abstract,contextual_synthesis_positioning_update_2026-08-13,True,True
ST-RS1-19,Bai2025MicrowavePhotonicsISAC,\cite{Bai2025MicrowavePhotonicsISAC},SCR-00040,SCR-00040,Microwave photonics promotes emerging integrated sensing and communication technology,Bai W.; Zou X.; Xu J.; Xie A.; Chen Z.; Zhong X.; Zhong N.; Liu F.; Zhang B.; Zhou T.,2025,APL Photonics,DOI,10.1063/5.0225373,https://doi.org/10.1063/5.0225373,full_length_or_independently_citable,captured_in_executed_review_workflow,retained_contextual_synthesis,eligible,contextual_only_outside_locked_206_study_primary_denominator,table_i_navigation_source,displayed_in_table_i,waveforms_resource_multiplexing_and_photonic_hardware,architecture_and_system_design; applications_and_challenges,microwave_photonics; resource_multiplexing; integrated_waveforms,photonic_assisted_RF_THz,"waveform, multiplexing, photonic-hardware, or THz implementation families summarized by the source",mechanism-oriented descriptive comparison,none_identified_in_bounded_audit,"Central scope concerns integrated optical communication and sensing, and the dominant function synthesizes more than one prior system, solution class, or research line.","Contextual synthesis used for survey positioning; not treated as primary technical evidence, an independent effect, or a quality benchmark.",2025,publication_year_only,executed_deduplicated_record_export_2026-06-22,executed_deduplicated_record_export_2026-06-22; resolved_context_bibliography,2026-08-11_bounded_source_function_audit_plus_executed_export_title_abstract,contextual_synthesis_positioning_update_2026-08-13,True,True
ST-RS1-20,Wang2025MicrowavePhotonicsISAC,\cite{Wang2025MicrowavePhotonicsISAC},SCR-00968,SCR-00968,Microwave Photonics Empowered Integrated Sensing and Communication for 6G,L. Wang; X. Wang; S. Pan,2025,IEEE Transactions on Microwave Theory and Techniques,DOI,10.1109/tmtt.2025.3532810,https://doi.org/10.1109/tmtt.2025.3532810,full_length_or_independently_citable,captured_in_executed_review_workflow,retained_contextual_synthesis,eligible,contextual_only_outside_locked_206_study_primary_denominator,table_i_navigation_source,displayed_in_table_i,waveforms_resource_multiplexing_and_photonic_hardware,applications_and_challenges; 6G_context,microwave_photonics; 6G; sensing_and_communication,photonic_assisted_RF_THz,"waveform, multiplexing, photonic-hardware, or THz implementation families summarized by the source",mechanism-oriented descriptive comparison,none_identified_in_bounded_audit,"Central scope concerns integrated optical communication and sensing, and the dominant function synthesizes more than one prior system, solution class, or research line.","Contextual synthesis used for survey positioning; not treated as primary technical evidence, an independent effect, or a quality benchmark.",4 Feb 2025,reported_date_string,executed_deduplicated_record_export_2026-06-22,executed_deduplicated_record_export_2026-06-22; resolved_context_bibliography,2026-08-11_bounded_source_function_audit_plus_executed_export_title_abstract,contextual_synthesis_positioning_update_2026-08-13,True,True
ST-RS1-21,Yang2025DSCMISACReview,\cite{Yang2025DSCMISACReview},SCR-00395,SCR-00395,Recent Advances in Integrated Vibration Sensing and Communication in Digital Subcarrier Multiplexing Systems,Yang B.; Tang J.; Fan L.; Hao Y.; Cheng C.; Wang S.; Gao S.; Sun Z.; Liang J.; Hu W.; Yang Y.; Wei J.,2025,Photonics,DOI,10.3390/photonics12030290,https://doi.org/10.3390/photonics12030290,full_length_or_independently_citable,captured_in_executed_review_workflow,retained_contextual_synthesis,eligible,contextual_only_outside_locked_206_study_primary_denominator,table_i_navigation_source,displayed_in_table_i,waveforms_resource_multiplexing_and_photonic_hardware,architecture_and_system_design; physical_media_and_networks,digital_subcarrier_multiplexing; vibration_sensing; fiber,optical_fiber,"waveform, multiplexing, photonic-hardware, or THz implementation families summarized by the source",mechanism-oriented descriptive comparison,none_identified_in_bounded_audit,"Central scope concerns integrated optical communication and sensing, and the dominant function synthesizes more than one prior system, solution class, or research line.","Contextual synthesis used for survey positioning; not treated as primary technical evidence, an independent effect, or a quality benchmark.",2025,publication_year_only,executed_deduplicated_record_export_2026-06-22,executed_deduplicated_record_export_2026-06-22; resolved_context_bibliography,2026-08-11_bounded_source_function_audit_plus_executed_export_title_abstract,contextual_synthesis_positioning_update_2026-08-13,True,True
