paper_id,year,title,venue,doi,survey_class,modality_coverage,integration_depth,evidence_type,authority_weight,key_topics,scope_excerpt,scope_locator,limitations_excerpt,limitations_locator,methodology_excerpt,methodology_locator,source_path,confidence
O_ISAC_047,,,,,Multi-domain ISAC survey,Multi,Cross-modal,Other,0.6,Waveform;Hardware,,,,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_047\O_ISAC_047.md,0.7
O_ISAC_050,,,,,Other,VLC/LiFi,True O-ISAC,Other,0.6,Positioning;Waveform;Channel,this paper is organized as follows.,"<span id=""page-0-6""></span>Visible Light Communication-Enabled Simultaneous Posi > B. Contributions (L49)",,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_050\O_ISAC_050.md,0.85
O_ISAC_053,,,,,Other,Multi,True O-ISAC,Other,0.6,Positioning;Waveform;Hardware,this work is limited between 0° and 205°.,III. EXPERIMENTAL SETUP (L75),"future work we aim for increasing the accuracy of the rotation angle determination, e.",III. EXPERIMENTAL SETUP (L97),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_053\O_ISAC_053.md,0.7
O_ISAC_055,,,,,Other,FSO,True O-ISAC,Other,0.6,Positioning;Waveform;Hardware,This work was supported by the National Key Research and Development Program of China under Grant 2023YFE0110600.,"Free Space Optical Integrated Sensing and Communication Based on LFM and CPM > <span id=""page-0-1""></span>I. INTRODUCTION (L15)",,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_055\O_ISAC_055.md,0.7
O_ISAC_061,,,,,Other,Photo-THz,True O-ISAC,Other,0.6,DAS/DFOS;Positioning;Waveform,This work was supported in part by the National Key Research and Development Program of China under Grant 2023YFE0110600; in part by the U.,I. INTRODUCTION (L13),,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_061\O_ISAC_061.md,0.7
O_ISAC_062,,,,,Other,VLC/LiFi,True O-ISAC,Other,0.6,Positioning;Waveform;Channel,this paper are summarized as the following three folds.,6-DoF Location-and-Pose Estimation Toward Integrated Visible Light Communication > A. Research Motivation > B. Contributions of This Paper (L55),,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_062\O_ISAC_062.md,0.85
O_ISAC_080,,,,,Optical comm survey,Multi,True O-ISAC,Other,0.6,DAS/DFOS;Positioning;Waveform,this paper is organized as follows.,I. INTRODUCTION (L29),,,,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_080\O_ISAC_080.md,0.85
O_ISAC_082,,,,,Multi-domain ISAC survey,Multi,Cross-modal,Other,0.6,Positioning;Waveform;Channel,This work was supported by the National Natural Science Foundation of China under Grant U21A20507 and Grant 62271422.,"Signal-Signal Beating Interference: From Destructive to Constructive for Photoni > <span id=""page-0-8""></span><span id=""page-0-7""></span><span id=""page-0-4""></span (L15)","However, purely electronic implementations of such broadband systems face inherent limitations, including restricted bandwidth, high complexity, and d","Signal-Signal Beating Interference: From Destructive to Constructive for Photoni > <span id=""page-0-8""></span><span id=""page-0-7""></span><span id=""page-0-4""></span (L23)",,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_082\O_ISAC_082.md,0.7
O_ISAC_161,,,,,Other,Multi,True O-ISAC,Other,0.6,DAS/DFOS;Positioning;Waveform,this review aims to serve as a valuable reference for researchers and engineers working toward the development of next-generation ISAC hardware platfo,"Integrated Sensing and Communication (ISAC) Transceiver: Hardware Architectures, (L17)","However, recent advancements have shown promise in overcoming this limitation.",Classification Based on Transceiver Realization Approaches (L201),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_161\O_ISAC_161.md,0.85
O_ISAC_163,,,,,Other,Photo-THz,True O-ISAC,Other,0.6,DAS/DFOS;Positioning;Waveform,This survey provides an up-to-date summary of the state of the art.,The Emergence of Multi-Functional and Hybrid Reconfigurable Intelligent Surfaces (L5),"However, a multi-user environment cannot be supported by this design, due to limitations of power sensing, which is unable to distinguish LOS signals ",V. DEFINITION OF MULTI-FUNCTIONALITY > A. RIS With Sensing Capabilities (L430),,,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_163\O_ISAC_163.md,0.85
