paper_id,gap_id,gap_label,coverage_score,justification_excerpt,where_in_paper,source_locator,confidence
O_ISAC_014,G6,System-level co-design,0,Keyword 'opa' present but not substantive,Experimental Demonstration of Power over Fiber for Power Grid Application > I. INTRODUCTION,Experimental Demonstration of Power over Fiber for Power Grid Application > I. INTRODUCTION (L19),0.6
O_ISAC_014,G7,Systematic methodology,0,,,,0.6
O_ISAC_025,G1,Terminology harmonization,0,Keyword 'define' present but not substantive,Optical Transport Network Optimization Supporting Integrated Sensing and Communi > 1. Introduction,Optical Transport Network Optimization Supporting Integrated Sensing and Communi > 1. Introduction (L15),0.6
O_ISAC_025,G2,Metric normalization,0,,,,0.6
O_ISAC_025,G3,Cross-modality benchmarking,0,,,,0.6
O_ISAC_025,G4,Cross-domain transfer,0,,,,0.6
O_ISAC_025,G5,Unified PHY framework/taxonomy,0,Keyword 'framework' present but not substantive,2. System Architecture > 3. ISAC based transport network optimization,2. System Architecture > 3. ISAC based transport network optimization (L33),0.6
O_ISAC_025,G6,System-level co-design,0,Keyword 'ris' present but not substantive,Optical Transport Network Optimization Supporting Integrated Sensing and Communi > 1. Introduction,Optical Transport Network Optimization Supporting Integrated Sensing and Communi > 1. Introduction (L13),0.6
O_ISAC_025,G7,Systematic methodology,0,,,,0.6
O_ISAC_028,G1,Terminology harmonization,0,,,,0.6
O_ISAC_028,G2,Metric normalization,0,,,,0.6
O_ISAC_028,G3,Cross-modality benchmarking,0,,,,0.6
O_ISAC_028,G4,Cross-domain transfer,0,Keyword 'transfer' present but not substantive,Performance Improvement for Symmetric Carrierassisted Differential Detection Rec,Performance Improvement for Symmetric Carrierassisted Differential Detection Rec (L11),0.6
O_ISAC_028,G5,Unified PHY framework/taxonomy,0,,,,0.6
O_ISAC_028,G6,System-level co-design,0,Keyword 'ris' present but not substantive,I. INTRODUCTION,I. INTRODUCTION (L23),0.6
O_ISAC_028,G7,Systematic methodology,0,,,,0.6
O_ISAC_032,G1,Terminology harmonization,0,,,,0.6
O_ISAC_032,G2,Metric normalization,0,,,,0.6
O_ISAC_032,G3,Cross-modality benchmarking,0,,,,0.6
O_ISAC_032,G4,Cross-domain transfer,0,Keyword 'transfer' present but not substantive,Temperature Compensation Method for Polarization-Multiplexed Fiber-Optic Vibrati > I. INTRODUCTION > II. PRINCIPLE,Temperature Compensation Method for Polarization-Multiplexed Fiber-Optic Vibrati > I. INTRODUCTION > II. PRINCIPLE (L76),0.6
O_ISAC_032,G5,Unified PHY framework/taxonomy,0,,,,0.6
O_ISAC_032,G6,System-level co-design,1,s and 33 dB at 1 mHz under continuous temperature rise and fall conditions by,Temperature Compensation Method for Polarization-Multiplexed Fiber-Optic Vibrati,Temperature Compensation Method for Polarization-Multiplexed Fiber-Optic Vibrati (L11),0.8
O_ISAC_032,G7,Systematic methodology,0,,,,0.6
O_ISAC_033,G1,Terminology harmonization,0,,,,0.6
O_ISAC_033,G2,Metric normalization,0,,,,0.6
O_ISAC_033,G3,Cross-modality benchmarking,0,,,,0.6
O_ISAC_033,G4,Cross-domain transfer,0,,,,0.6
O_ISAC_033,G5,Unified PHY framework/taxonomy,0,,,,0.6
O_ISAC_033,G6,System-level co-design,1,ent FD-CP-DAS experiment over a 13 spans link comprised of a mixture of lab spools,"Simultaneous Sensing and Communication in Optical Fibers > Event Localization by Data Transponders > 1,007-km All-Raman Link DAS Monitoring","Simultaneous Sensing and Communication in Optical Fibers > Event Localization by Data Transponders > 1,007-km All-Raman Link DAS Monitoring (L39)",0.8
O_ISAC_033,G7,Systematic methodology,0,,,,0.6
O_ISAC_036,G1,Terminology harmonization,0,Keyword 'define' present but not substantive,Heterogeneous Integrated III-V-on-SOI Transmitter for 6G FiWi mmWave/FSO Integra > III-V-on-SOI PIC and Experimental Setup,Heterogeneous Integrated III-V-on-SOI Transmitter for 6G FiWi mmWave/FSO Integra > III-V-on-SOI PIC and Experimental Setup (L27),0.6
O_ISAC_036,G2,Metric normalization,0,,,,0.6
O_ISAC_036,G3,Cross-modality benchmarking,0,Keyword 'benchmark' present but not substantive,Heterogeneous Integrated III-V-on-SOI Transmitter for 6G FiWi mmWave/FSO Integra > Introduction,Heterogeneous Integrated III-V-on-SOI Transmitter for 6G FiWi mmWave/FSO Integra > Introduction (L17),0.6
O_ISAC_036,G4,Cross-domain transfer,0,Keyword 'transfer' present but not substantive,Heterogeneous Integrated III-V-on-SOI Transmitter for 6G FiWi mmWave/FSO Integra > III-V-on-SOI PIC and Experimental Setup,Heterogeneous Integrated III-V-on-SOI Transmitter for 6G FiWi mmWave/FSO Integra > III-V-on-SOI PIC and Experimental Setup (L27),0.6
O_ISAC_036,G5,Unified PHY framework/taxonomy,0,Keyword 'unified' present but not substantive,Heterogeneous Integrated III-V-on-SOI Transmitter for 6G FiWi mmWave/FSO Integra > Introduction,Heterogeneous Integrated III-V-on-SOI Transmitter for 6G FiWi mmWave/FSO Integra > Introduction (L17),0.6
O_ISAC_036,G6,System-level co-design,1,"on Akeem Safiriyu (1) , Maria Vargemidou (2) , Chris Vagionas (2) , Joan Ramirez",Heterogeneous Integrated III-V-on-SOI Transmitter for 6G FiWi mmWave/FSO Integra,Heterogeneous Integrated III-V-on-SOI Transmitter for 6G FiWi mmWave/FSO Integra (L3),0.8
O_ISAC_036,G7,Systematic methodology,0,,,,0.6
O_ISAC_039,G1,Terminology harmonization,0,Keyword 'define' present but not substantive,3 Sparsity-Aware Multi-Task Learning for Accurate Channel and Position Estimatio > 3.2 Sparsity-Aware Depth-Adaptive Shared Network,3 Sparsity-Aware Multi-Task Learning for Accurate Channel and Position Estimatio > 3.2 Sparsity-Aware Depth-Adaptive Shared Network (L174),0.6
O_ISAC_039,G2,Metric normalization,0,Keyword 'fim' present but not substantive,PERFORMANCE EVALUATION AND THEORETICAL ANALYSIS > Performance Bounds of Positioning and 5.1 Channel Estimation Accuracy,PERFORMANCE EVALUATION AND THEORETICAL ANALYSIS > Performance Bounds of Positioning and 5.1 Channel Estimation Accuracy (L344),0.6
O_ISAC_039,G3,Cross-modality benchmarking,0,Keyword 'benchmark' present but not substantive,Visible Light Integrated Positioning and Communication: A Multi-Task Federated L,Visible Light Integrated Positioning and Communication: A Multi-Task Federated L (L5),0.6
O_ISAC_039,G4,Cross-domain transfer,0,Keyword 'transfer' present but not substantive,2.2.2 Multi-Lamp Cellular Cluster Architecture Design for Multi-User Cooperative,2.2.2 Multi-Lamp Cellular Cluster Architecture Design for Multi-User Cooperative (L148),0.6
O_ISAC_039,G5,Unified PHY framework/taxonomy,1,"sitioning and communication tasks, where channel estimation and positioning are integrated into the unified framework, and a practically applicable an",Visible Light Integrated Positioning and Communication: A Multi-Task Federated L > 1 Introduction,Visible Light Integrated Positioning and Communication: A Multi-Task Federated L > 1 Introduction (L45),0.8
O_ISAC_039,G6,System-level co-design,1,"ntegrated sensing and communication (ISAC), which co-designs the sensing and communication systems in order to",Visible Light Integrated Positioning and Communication: A Multi-Task Federated L > 1 Introduction,Visible Light Integrated Positioning and Communication: A Multi-Task Federated L > 1 Introduction (L11),0.8
O_ISAC_039,G7,Systematic methodology,0,Keyword 'protocol' present but not substantive,REFERENCES,REFERENCES (L726),0.6
O_ISAC_046,G1,Terminology harmonization,0,,,,0.6
O_ISAC_046,G2,Metric normalization,0,,,,0.6
O_ISAC_046,G3,Cross-modality benchmarking,0,,,,0.6
O_ISAC_046,G4,Cross-domain transfer,0,,,,0.6
O_ISAC_046,G5,Unified PHY framework/taxonomy,0,,,,0.6
O_ISAC_046,G6,System-level co-design,0,Keyword 'opa' present but not substantive,Co-wavelength-channel Integration of Ultra-lowfrequency Distributed Acoustic Sen > II. EXPERIMENTAL SETUP,Co-wavelength-channel Integration of Ultra-lowfrequency Distributed Acoustic Sen > II. EXPERIMENTAL SETUP (L42),0.6
O_ISAC_046,G7,Systematic methodology,0,,,,0.6
O_ISAC_047,G1,Terminology harmonization,0,Keyword 'define' present but not substantive,Zero-Padding 2D-DFT Scheme for Photonics-Assisted W-Band Fiber-Wireless ISAC Sys > B. DSP of the Communication Receiver > C. DSP of the Radar Receiver,Zero-Padding 2D-DFT Scheme for Photonics-Assisted W-Band Fiber-Wireless ISAC Sys > B. DSP of the Communication Receiver > C. DSP of the Radar Receiver (L101),0.6
O_ISAC_047,G2,Metric normalization,0,,,,0.6
O_ISAC_047,G3,Cross-modality benchmarking,0,,,,0.6
O_ISAC_047,G4,Cross-domain transfer,0,,,,0.6
O_ISAC_047,G5,Unified PHY framework/taxonomy,0,,,,0.6
O_ISAC_047,G6,System-level co-design,0,Keyword 'ris' present but not substantive,Zero-Padding 2D-DFT Scheme for Photonics-Assisted W-Band Fiber-Wireless ISAC Sys > III. OTFS-BASED PHOTONICS-ASSISTED W-BAND FIBER-WIRELESS ISAC SYSTEM,Zero-Padding 2D-DFT Scheme for Photonics-Assisted W-Band Fiber-Wireless ISAC Sys > III. OTFS-BASED PHOTONICS-ASSISTED W-BAND FIBER-WIRELESS ISAC SYSTEM (L142),0.6
O_ISAC_047,G7,Systematic methodology,0,Keyword 'slr' present but not substantive,Zero-Padding 2D-DFT Scheme for Photonics-Assisted W-Band Fiber-Wireless ISAC Sys > I. INTRODUCTION,Zero-Padding 2D-DFT Scheme for Photonics-Assisted W-Band Fiber-Wireless ISAC Sys > I. INTRODUCTION (L23),0.6
O_ISAC_050,G1,Terminology harmonization,0,Keyword 'define' present but not substantive,C. Channel Model > D. Received OFDM Signal Model,C. Channel Model > D. Received OFDM Signal Model (L202),0.6
O_ISAC_050,G2,Metric normalization,0,,,,0.6
O_ISAC_050,G3,Cross-modality benchmarking,0,Keyword 'benchmark' present but not substantive,A. Simulation Settings,A. Simulation Settings (L537),0.6
O_ISAC_050,G4,Cross-domain transfer,0,Keyword 'cross-domain' present but not substantive,"<span id=""page-0-6""></span>Visible Light Communication-Enabled Simultaneous Posi > B. Contributions","<span id=""page-0-6""></span>Visible Light Communication-Enabled Simultaneous Posi > B. Contributions (L43)",0.6
O_ISAC_050,G5,Unified PHY framework/taxonomy,1,"y studied, and the interference of diffuse scattering is seldom considered. Hence, it is desired to bridge the gap between","<span id=""page-0-6""></span>Visible Light Communication-Enabled Simultaneous Posi > A. Research Motivation","<span id=""page-0-6""></span>Visible Light Communication-Enabled Simultaneous Posi > A. Research Motivation (L37)",0.8
O_ISAC_050,G6,System-level co-design,1,"nnel, and hence SPAO under the non-line-of-sight (NLOS) propagation remains unresolved. <span id=""page-1-5""></span>Orthogonal-frequency-division-multi","<span id=""page-0-6""></span>Visible Light Communication-Enabled Simultaneous Posi > A. Research Motivation","<span id=""page-0-6""></span>Visible Light Communication-Enabled Simultaneous Posi > A. Research Motivation (L35)",0.8
O_ISAC_050,G7,Systematic methodology,0,Keyword 'protocol' present but not substantive,E. Equivalent Channel Model,E. Equivalent Channel Model (L291),0.6
O_ISAC_053,G1,Terminology harmonization,0,Keyword 'define' present but not substantive,Integrated Sensing and Communication in the Visible Spectral Range: A Novel Clos,Integrated Sensing and Communication in the Visible Spectral Range: A Novel Clos (L7),0.6
O_ISAC_053,G2,Metric normalization,0,,,,0.6
O_ISAC_053,G3,Cross-modality benchmarking,0,,,,0.6
O_ISAC_053,G4,Cross-domain transfer,0,,,,0.6
O_ISAC_053,G5,Unified PHY framework/taxonomy,0,Keyword 'taxonomy' present but not substantive,III. EXPERIMENTAL SETUP > IV. DISCUSSION AND FUTURE WORK > REFERENCES,III. EXPERIMENTAL SETUP > IV. DISCUSSION AND FUTURE WORK > REFERENCES (L138),0.6
O_ISAC_053,G6,System-level co-design,1,"ories, Line-of-Sight (LoS) and non Line of Sight (nLoS) [13]. In the following, we will",Integrated Sensing and Communication in the Visible Spectral Range: A Novel Clos > I. INTRODUCTION,Integrated Sensing and Communication in the Visible Spectral Range: A Novel Clos > I. INTRODUCTION (L17),0.8
O_ISAC_053,G7,Systematic methodology,0,Keyword 'protocol' present but not substantive,A. Coordinator > C. Control Loop,A. Coordinator > C. Control Loop (L65),0.6
O_ISAC_055,G1,Terminology harmonization,0,Keyword 'define' present but not substantive,C. CRB for Sensing,C. CRB for Sensing (L149),0.6
O_ISAC_055,G2,Metric normalization,1,"BER) for communication, and the Cramér-Rao Bound (CRB) for sensing are derived theoretically. Moreover, an",II. SYSTEM MODEL > III. PERFORMANCE METRICS AND OPTIMIZATION,II. SYSTEM MODEL > III. PERFORMANCE METRICS AND OPTIMIZATION (L96),0.8
O_ISAC_055,G3,Cross-modality benchmarking,0,,,,0.6
O_ISAC_055,G4,Cross-domain transfer,0,Keyword 'generalization' present but not substantive,"Free Space Optical Integrated Sensing and Communication Based on LFM and CPM > <span id=""page-0-1""></span>I. INTRODUCTION","Free Space Optical Integrated Sensing and Communication Based on LFM and CPM > <span id=""page-0-1""></span>I. INTRODUCTION (L27)",0.6
O_ISAC_055,G5,Unified PHY framework/taxonomy,0,,,,0.6
O_ISAC_055,G6,System-level co-design,1,"h a variance of $\sigma^2$ , and the atmospheric turbulence can be described by the",II. SYSTEM MODEL > B. FSO Channel,II. SYSTEM MODEL > B. FSO Channel (L65),0.8
O_ISAC_055,G7,Systematic methodology,0,,,,0.6
O_ISAC_061,G1,Terminology harmonization,0,Keyword 'define' present but not substantive,"I. INTRODUCTION > <span id=""page-2-2""></span>A. OPA-Based Optical Beamforming","I. INTRODUCTION > <span id=""page-2-2""></span>A. OPA-Based Optical Beamforming (L108)",0.6
O_ISAC_061,G2,Metric normalization,1,". Xu, ""MIMO integrated sensing and communication: CRB-rate tradeoff,"" *IEEE Trans. Wireless Commun.*, vol. 23,",A. Convergence of BCD Algorithm > REFERENCES,A. Convergence of BCD Algorithm > REFERENCES (L705),0.8
O_ISAC_061,G3,Cross-modality benchmarking,0,,,,0.6
O_ISAC_061,G4,Cross-domain transfer,0,Keyword 'transfer' present but not substantive,I. INTRODUCTION,I. INTRODUCTION (L31),0.6
O_ISAC_061,G5,Unified PHY framework/taxonomy,0,Keyword 'framework' present but not substantive,Optical Wireless Integrated Sensing and Communication Based on Optical Phased Ar,Optical Wireless Integrated Sensing and Communication Based on Optical Phased Ar (L5),0.6
O_ISAC_061,G6,System-level co-design,1,"ded in (6), while the atmospheric attenuation and turbulence are modelled as follows. 1) Atmospheric","I. INTRODUCTION > <span id=""page-3-1""></span>B. Channel Model","I. INTRODUCTION > <span id=""page-3-1""></span>B. Channel Model (L114)",0.8
O_ISAC_061,G7,Systematic methodology,0,Keyword 'slr' present but not substantive,"<span id=""page-5-0""></span>C. Performance Metric of Sensing Sub-System","<span id=""page-5-0""></span>C. Performance Metric of Sensing Sub-System (L300)",0.6
O_ISAC_062,G1,Terminology harmonization,0,Keyword 'define' present but not substantive,6-DoF Location-and-Pose Estimation Toward Integrated Visible Light Communication > A. Research Motivation > II. SYSTEM MODEL > A. System Setup,6-DoF Location-and-Pose Estimation Toward Integrated Visible Light Communication > A. Research Motivation > II. SYSTEM MODEL > A. System Setup (L89),0.6
O_ISAC_062,G2,Metric normalization,1,"I}_\chi(\chi)$ is its Fisher information matrix (FIM) [45], and $\nabla_{\chi}^2$ denotes the second-order derivative w.r.t.",6-DoF Location-and-Pose Estimation Toward Integrated Visible Light Communication > APPENDIX C PROOF OF THEOREM 1,6-DoF Location-and-Pose Estimation Toward Integrated Visible Light Communication > APPENDIX C PROOF OF THEOREM 1 (L908),0.8
O_ISAC_062,G3,Cross-modality benchmarking,0,,,,0.6
O_ISAC_062,G4,Cross-domain transfer,0,Keyword 'cross-domain' present but not substantive,6-DoF Location-and-Pose Estimation Toward Integrated Visible Light Communication > A. Research Motivation > B. Contributions of This Paper,6-DoF Location-and-Pose Estimation Toward Integrated Visible Light Communication > A. Research Motivation > B. Contributions of This Paper (L55),0.6
O_ISAC_062,G5,Unified PHY framework/taxonomy,0,Keyword 'unified' present but not substantive,6-DoF Location-and-Pose Estimation Toward Integrated Visible Light Communication,6-DoF Location-and-Pose Estimation Toward Integrated Visible Light Communication (L5),0.6
O_ISAC_062,G6,System-level co-design,1,"nd $l=1,\cdots,L'$ denotes a non-line-of-sight (NLOS) path. Each NLOS path corresponds to a scatterer. Let",6-DoF Location-and-Pose Estimation Toward Integrated Visible Light Communication > A. Research Motivation > II. SYSTEM MODEL > B. Diffuse-Scattering LRM,6-DoF Location-and-Pose Estimation Toward Integrated Visible Light Communication > A. Research Motivation > II. SYSTEM MODEL > B. Diffuse-Scattering LRM (L118),0.8
O_ISAC_062,G7,Systematic methodology,0,,,,0.6
O_ISAC_080,G1,Terminology harmonization,0,Keyword 'define' present but not substantive,I. INTRODUCTION > A. Brief Introduction of FrFT,I. INTRODUCTION > A. Brief Introduction of FrFT (L52),0.6
O_ISAC_080,G2,Metric normalization,0,Keyword 'rmse' present but not substantive,B. Principle of In-band Spectrum Polarization sensing To enable polarization-bas > III. EXPERIMENT SETUP,B. Principle of In-band Spectrum Polarization sensing To enable polarization-bas > III. EXPERIMENT SETUP (L112),0.6
O_ISAC_080,G3,Cross-modality benchmarking,1,"f the retrieved vibration waveforms. Consequently, it is challenging to conduct comparisons under a unified benchmark. The SNRs presented in",B. Principle of In-band Spectrum Polarization sensing To enable polarization-bas > IV. EXPERIMENTAL RESULTS AND DISCUSSIONS,B. Principle of In-band Spectrum Polarization sensing To enable polarization-bas > IV. EXPERIMENTAL RESULTS AND DISCUSSIONS (L187),0.8
O_ISAC_080,G4,Cross-domain transfer,0,,,,0.6
O_ISAC_080,G5,Unified PHY framework/taxonomy,0,Keyword 'unified' present but not substantive,B. Principle of In-band Spectrum Polarization sensing To enable polarization-bas > IV. EXPERIMENTAL RESULTS AND DISCUSSIONS,B. Principle of In-band Spectrum Polarization sensing To enable polarization-bas > IV. EXPERIMENTAL RESULTS AND DISCUSSIONS (L187),0.6
O_ISAC_080,G6,System-level co-design,1,"thout dedicated channel. By utilizing the characteristic of chirp processed through FrFT, the sensing probe",B. Principle of In-band Spectrum Polarization sensing To enable polarization-bas,B. Principle of In-band Spectrum Polarization sensing To enable polarization-bas (L60),0.8
O_ISAC_080,G7,Systematic methodology,0,,,,0.6
O_ISAC_082,G1,Terminology harmonization,0,Keyword 'define' present but not substantive,II. SYSTEM MODEL AND PRINCIPLE,II. SYSTEM MODEL AND PRINCIPLE (L46),0.6
O_ISAC_082,G2,Metric normalization,0,Keyword 'performance metric' present but not substantive,III. EXPERIMENTAL SETUP AND RESULTS,III. EXPERIMENTAL SETUP AND RESULTS (L180),0.6
O_ISAC_082,G3,Cross-modality benchmarking,0,,,,0.6
O_ISAC_082,G4,Cross-domain transfer,0,,,,0.6
O_ISAC_082,G5,Unified PHY framework/taxonomy,0,Keyword 'framework' present but not substantive,"Signal-Signal Beating Interference: From Destructive to Constructive for Photoni > <span id=""page-0-8""></span><span id=""page-0-7""></span><span id=""page-0-4""></span","Signal-Signal Beating Interference: From Destructive to Constructive for Photoni > <span id=""page-0-8""></span><span id=""page-0-7""></span><span id=""page-0-4""></span (L25)",0.6
O_ISAC_082,G6,System-level co-design,1,"m were combined and transmitted together for comparison. In addition to the RCF algorithm, the",III. EXPERIMENTAL SETUP AND RESULTS,III. EXPERIMENTAL SETUP AND RESULTS (L214),0.8
O_ISAC_082,G7,Systematic methodology,0,Keyword 'slr' present but not substantive,Signal-Signal Beating Interference: From Destructive to Constructive for Photoni,Signal-Signal Beating Interference: From Destructive to Constructive for Photoni (L5),0.6
O_ISAC_161,G1,Terminology harmonization,1,"e of ISAC. ""Fundamentals and Definitions"" section defines ISAC and introduces key performance metrics relevant","Integrated Sensing and Communication (ISAC) Transceiver: Hardware Architectures, > INTRODUCTION","Integrated Sensing and Communication (ISAC) Transceiver: Hardware Architectures, > INTRODUCTION (L59)",0.8
O_ISAC_161,G2,Metric normalization,0,Keyword 'performance metric' present but not substantive,"Integrated Sensing and Communication (ISAC) Transceiver: Hardware Architectures, > INTRODUCTION","Integrated Sensing and Communication (ISAC) Transceiver: Hardware Architectures, > INTRODUCTION (L59)",0.6
O_ISAC_161,G3,Cross-modality benchmarking,0,,,,0.6
O_ISAC_161,G4,Cross-domain transfer,0,Keyword 'transfer' present but not substantive,"Integrated Sensing and Communication (ISAC) Transceiver: Hardware Architectures, > INTRODUCTION","Integrated Sensing and Communication (ISAC) Transceiver: Hardware Architectures, > INTRODUCTION (L33)",0.6
O_ISAC_161,G5,Unified PHY framework/taxonomy,1,"within a shared framework [Independent] Convergence of sensing and communication functions into a unified framework [Spectrum sharing, Waveform co-des",HISTORICAL EVOLUTION OF ISAC,HISTORICAL EVOLUTION OF ISAC (L95),0.8
O_ISAC_161,G6,System-level co-design,1,"radio frequency (RF) front-end architectures, and system-level integration have made multifunctional hardware platforms and hardware-software","Integrated Sensing and Communication (ISAC) Transceiver: Hardware Architectures, > INTRODUCTION","Integrated Sensing and Communication (ISAC) Transceiver: Hardware Architectures, > INTRODUCTION (L31)",0.8
O_ISAC_161,G7,Systematic methodology,0,,,,0.6
O_ISAC_163,G1,Terminology harmonization,1,"direct radio waves to a specific location with a defined phase angle, which is programmed","<span id=""page-1-10""></span><span id=""page-1-9""></span>II. BACKGROUND AND STUDY > <span id=""page-2-3""></span><span id=""page-2-1""></span>B. Types of Metasurfaces","<span id=""page-1-10""></span><span id=""page-1-9""></span>II. BACKGROUND AND STUDY > <span id=""page-2-3""></span><span id=""page-2-1""></span>B. Types of Metasurfaces (L59)",0.8
O_ISAC_163,G2,Metric normalization,0,,,,0.6
O_ISAC_163,G3,Cross-modality benchmarking,0,Keyword 'benchmark' present but not substantive,"<span id=""page-20-2""></span>C. Is MF-RIS the Key Enabler for mmWave Communicatio > D. How About Terahertz Communications?","<span id=""page-20-2""></span>C. Is MF-RIS the Key Enabler for mmWave Communicatio > D. How About Terahertz Communications? (L506)",0.6
O_ISAC_163,G4,Cross-domain transfer,0,Keyword 'transfer' present but not substantive,"<span id=""page-1-10""></span><span id=""page-1-9""></span>II. BACKGROUND AND STUDY > <span id=""page-2-3""></span><span id=""page-2-1""></span>B. Types of Metasurfaces > E. Contributions of This Survey","<span id=""page-1-10""></span><span id=""page-1-9""></span>II. BACKGROUND AND STUDY > <span id=""page-2-3""></span><span id=""page-2-1""></span>B. Types of Metasurfaces > E. Contributions of This Survey (L87)",0.6
O_ISAC_163,G5,Unified PHY framework/taxonomy,1,"n positioned in the stratosphere, and equipped with an RIS. The HAP station is proposed to act as a bridge","<span id=""page-29-2""></span>C. Satellite and Space","<span id=""page-29-2""></span>C. Satellite and Space (L618)",0.8
O_ISAC_163,G6,System-level co-design,1,"e communication stack is needed to meet link- and system-level concerns, such as network setup,","<span id=""page-20-2""></span>C. Is MF-RIS the Key Enabler for mmWave Communicatio > D. How About Terahertz Communications?","<span id=""page-20-2""></span>C. Is MF-RIS the Key Enabler for mmWave Communicatio > D. How About Terahertz Communications? (L506)",0.8
O_ISAC_163,G7,Systematic methodology,0,Keyword 'protocol' present but not substantive,"<span id=""page-8-7""></span>D. Refractive or ""Transmissive"" RIS > <span id=""page-9-6""></span><span id=""page-9-5""></span>E. Simultaneous Transmissi","<span id=""page-8-7""></span>D. Refractive or ""Transmissive"" RIS > <span id=""page-9-6""></span><span id=""page-9-5""></span>E. Simultaneous Transmissi (L224)",0.6
