subsection_id,claim_id,claim_text_short,required_evidence_type,anchors_paper_ids,anchors_locators,sufficiency_flag,recommended_gap_action
B.2,C5_COOC_DRMIN,Co-occurrence ambiguity policy: do not conflate range_resolution_m with spatial_resolution_m (range side),DRMIN,O_ISAC_026;O_ISAC_035;O_ISAC_043;O_ISAC_105;O_ISAC_134;O_ISAC_259;O_ISAC_356,"O_ISAC_026: ## II. PRINCIPLE :: represents the smallest distance between objects that {2}------------------------------------------------ can be distinguished in a single measurement. The theoretical resolution can be expressed as $\delta_r = c/2B_r$ | O_ISAC_035: # *C. Ranging and Communication Subcarrier Power Allocation* :: given by [40], since FMCW ranging resolution, $\Delta d = \frac{c}{2B}$ , increasing the bandwidth improves | O_ISAC_043: ### 2. Principles :: range resolution can be expressed as $\delta_r = c/2B_r | O_ISAC_105: #### *A. Multi-Channel LFM-QAM Waveform Design* :: range resolution of each channel can be calculated as c / 2B || where_hint: O_ISAC_105.md :: range resolution of each channel can be calculated as c / 2B | O_ISAC_134: ## A. RADAR DATA PROCESSING :: c/(2B) is the range resolution || where_hint: O_ISAC_134.md :: c/(2B) is the range resolution | O_ISAC_259: Algorithm 1 ADMM-PLPOI Algorithm for PLPOI Wavefrom Design > *B. Communication Performance Analysis* > C. Sensing Performance Analysis :: peaks corresponding to target distances. The range resolution is fundamentally limited by the signal bandwidth according to $\Delta_R = c/(2B)$ . The correlation processing provides || where_hint: O_ISAC_259.md :: peaks corresponding to target distances. The range resolution is fundamentally limited by the signal bandwidth according to $\Delta_R = c/(2B)$ . The correlation processing provides | O_ISAC_356: Photonic THz-ISAC Demonstration with Simultaneous 120Gbit/s Communication and 2.5mm Sensing Resolution > **Experimental Setup** :: chirp-based integrated waveform due to OFC, the range resolution of the 3-channel signals can be promoted from c/2B to $c/2(2F_d + 3B)$ , enhancing from || where_hint: O_ISAC_356.md :: chirp-based integrated waveform due to OFC, the range resolution of the 3-channel signals can be promoted from c/2B to $c/2(2F_d + 3B)$ , enhancing from",OK,
B.3,C4_ESNR_PLANE,electrical SNR plane separation (post-detection),ESNR,O_ISAC_061;O_ISAC_100,"O_ISAC_061: #### <span id=""page-11-3""></span>*C. Practical C&S Performance Metrics* :: page-12-1""></span>Fig. 11. BER for communication w.r.t. electrical SNR under different constraints on light-field SINR. Fig. [10.](#page-12 || where_hint: O_ISAC_061.md :: page-12-1""></span>Fig. 11. BER for communication w.r.t. electrical SNR under different constraints on light-field SINR. Fig. [10.](#page-12 | O_ISAC_100: # <span id=""page-11-0""></span>*B. Communication Performance Metrics* :: BER and normalized MSE of DCO and ACO components w.r.t. electrical SNR for communication, i.e., SNRe,c = Pe/ (N∆fNc), are displayed || where_hint: O_ISAC_100.md :: BER and normalized MSE of DCO and ACO components w.r.t. electrical SNR for communication, i.e., SNRe,c = Pe/ (N∆fNc), are displayed",WEAK,Expand ESNR text patterns; prioritize VLC/IMDD candidates for manual verification (see gapfill plan).
B.4,C1_DRMIN_DEF,Δr_min definition & bandwidth-limited ranging resolution,DRMIN,O_ISAC_026;O_ISAC_035;O_ISAC_043;O_ISAC_105;O_ISAC_134;O_ISAC_259;O_ISAC_356,"O_ISAC_026: ## II. PRINCIPLE :: represents the smallest distance between objects that {2}------------------------------------------------ can be distinguished in a single measurement. The theoretical resolution can be expressed as $\delta_r = c/2B_r$ | O_ISAC_035: # *C. Ranging and Communication Subcarrier Power Allocation* :: given by [40], since FMCW ranging resolution, $\Delta d = \frac{c}{2B}$ , increasing the bandwidth improves | O_ISAC_043: ### 2. Principles :: range resolution can be expressed as $\delta_r = c/2B_r | O_ISAC_105: #### *A. Multi-Channel LFM-QAM Waveform Design* :: range resolution of each channel can be calculated as c / 2B || where_hint: O_ISAC_105.md :: range resolution of each channel can be calculated as c / 2B | O_ISAC_134: ## A. RADAR DATA PROCESSING :: c/(2B) is the range resolution || where_hint: O_ISAC_134.md :: c/(2B) is the range resolution | O_ISAC_259: Algorithm 1 ADMM-PLPOI Algorithm for PLPOI Wavefrom Design > *B. Communication Performance Analysis* > C. Sensing Performance Analysis :: peaks corresponding to target distances. The range resolution is fundamentally limited by the signal bandwidth according to $\Delta_R = c/(2B)$ . The correlation processing provides || where_hint: O_ISAC_259.md :: peaks corresponding to target distances. The range resolution is fundamentally limited by the signal bandwidth according to $\Delta_R = c/(2B)$ . The correlation processing provides | O_ISAC_356: Photonic THz-ISAC Demonstration with Simultaneous 120Gbit/s Communication and 2.5mm Sensing Resolution > **Experimental Setup** :: chirp-based integrated waveform due to OFC, the range resolution of the 3-channel signals can be promoted from c/2B to $c/2(2F_d + 3B)$ , enhancing from || where_hint: O_ISAC_356.md :: chirp-based integrated waveform due to OFC, the range resolution of the 3-channel signals can be promoted from c/2B to $c/2(2F_d + 3B)$ , enhancing from",OK,
C,C4_OSNR_PLANE,OSNR plane separation (optical-domain SNR),OSNR,O_ISAC_028;O_ISAC_056;O_ISAC_076;O_ISAC_080;O_ISAC_085;O_ISAC_132;O_ISAC_348,"O_ISAC_028: # Performance Improvement for Symmetric Carrierassisted Differential Detection Receiver by Pairwise Coding :: Moreover, an optical signal-to-noise ratio (OSNR) gain of 1.5dB can be | O_ISAC_028: # Performance Improvement for Symmetric Carrierassisted Differential Detection Receiver by Pairwise Coding :: optimal carrier-tosignal-power-ration (CSPR) can be greatly improved. Moreover, an optical signal-to-noise ratio (OSNR) gain of 1.5dB can be achieved | O_ISAC_056: # Optical ISAC: Fundamental Performance Limits and Transceiver Design :: CF optimal distribution for high optical signal-to-noise ratio (O-SNR) conditions. Additionally, | O_ISAC_056: # Optical ISAC: Fundamental Performance Limits and Transceiver Design :: CF) approach. The CF approach includes a CF optimal distribution for high optical signal-to-noise ratio (O-SNR) conditions. Additionally, we adapt and refine | O_ISAC_076: #### III. SIMULATIONS :: GHz in the Y polarization state. The optical signal-to-noise ratio (OSNR) was set to 25 dB. The static RSOP was considered. The Tx || where_hint: O_ISAC_076.md :: GHz in the Y polarization state. The optical signal-to-noise ratio (OSNR) was set to 25 dB. The static RSOP was considered. The Tx | O_ISAC_080: # Integrated Communication and In-band Spectrum Polarization-Based Sensing via Fraction-Division Non-Orthogonal Multiple Access :: matched de-chirping is proposed to improve optical signal to noise ratio (OSNR) penalty from more than 3.0dB to 0.7dB. Experimental results of || where_hint: O_ISAC_080.md :: matched de-chirping is proposed to improve optical signal to noise ratio (OSNR) penalty from more than 3.0dB to 0.7dB. Experimental results of | O_ISAC_085: # III. EXPERIMENTAL SETUP AND RESULTS :: loss of the fiber link, thereby the optical sensing to noise ratio (OSNR) can be adjusted. At the receiver side, the electrical spectrum of the || where_hint: O_ISAC_085.md :: loss of the fiber link, thereby the optical sensing to noise ratio (OSNR) can be adjusted. At the receiver side, the electrical spectrum of the | O_ISAC_132: ## *A. Antenna Polarization Diversity for High-Speed Polarization Multiplexing Wireless Signal Delivery at W-band* :: respectively. {4}------------------------------------------------ ![](_page_4_Figure_2.jpeg) Fig. 3. (a) The relationship between BER and OSNR of 128 Gbit/s signal after 2 m wireless with and without || where_hint: O_ISAC_132.md :: respectively. {4}------------------------------------------------ ![](_page_4_Figure_2.jpeg) Fig. 3. (a) The relationship between BER and OSNR of 128 Gbit/s signal after 2 m wireless with and without | O_ISAC_348: Integrated sensing and communication in an optical fibre > Transmission performance :: modulation, the 1-GHz LFM optical carrier has a worse optical signal-to-noise ratio (OSNR) than the single-frequency optical carrier (i.e., the laser source used in conventional || where_hint: O_ISAC_348.md :: modulation, the 1-GHz LFM optical carrier has a worse optical signal-to-noise ratio (OSNR) than the single-frequency optical carrier (i.e., the laser source used in conventional",OK,
C,C4_ESNR_PLANE,electrical SNR plane separation (post-detection),ESNR,O_ISAC_061;O_ISAC_100,"O_ISAC_061: #### <span id=""page-11-3""></span>*C. Practical C&S Performance Metrics* :: page-12-1""></span>Fig. 11. BER for communication w.r.t. electrical SNR under different constraints on light-field SINR. Fig. [10.](#page-12 || where_hint: O_ISAC_061.md :: page-12-1""></span>Fig. 11. BER for communication w.r.t. electrical SNR under different constraints on light-field SINR. Fig. [10.](#page-12 | O_ISAC_100: # <span id=""page-11-0""></span>*B. Communication Performance Metrics* :: BER and normalized MSE of DCO and ACO components w.r.t. electrical SNR for communication, i.e., SNRe,c = Pe/ (N∆fNc), are displayed || where_hint: O_ISAC_100.md :: BER and normalized MSE of DCO and ACO components w.r.t. electrical SNR for communication, i.e., SNRe,c = Pe/ (N∆fNc), are displayed",WEAK,Expand ESNR text patterns; prioritize VLC/IMDD candidates for manual verification (see gapfill plan).
C.1,C4_OSNR_PLANE,OSNR plane separation (optical-domain SNR),OSNR,O_ISAC_028;O_ISAC_056;O_ISAC_076;O_ISAC_080;O_ISAC_085;O_ISAC_132;O_ISAC_348,"O_ISAC_028: # Performance Improvement for Symmetric Carrierassisted Differential Detection Receiver by Pairwise Coding :: Moreover, an optical signal-to-noise ratio (OSNR) gain of 1.5dB can be | O_ISAC_028: # Performance Improvement for Symmetric Carrierassisted Differential Detection Receiver by Pairwise Coding :: optimal carrier-tosignal-power-ration (CSPR) can be greatly improved. Moreover, an optical signal-to-noise ratio (OSNR) gain of 1.5dB can be achieved | O_ISAC_056: # Optical ISAC: Fundamental Performance Limits and Transceiver Design :: CF optimal distribution for high optical signal-to-noise ratio (O-SNR) conditions. Additionally, | O_ISAC_056: # Optical ISAC: Fundamental Performance Limits and Transceiver Design :: CF) approach. The CF approach includes a CF optimal distribution for high optical signal-to-noise ratio (O-SNR) conditions. Additionally, we adapt and refine | O_ISAC_076: #### III. SIMULATIONS :: GHz in the Y polarization state. The optical signal-to-noise ratio (OSNR) was set to 25 dB. The static RSOP was considered. The Tx || where_hint: O_ISAC_076.md :: GHz in the Y polarization state. The optical signal-to-noise ratio (OSNR) was set to 25 dB. The static RSOP was considered. The Tx | O_ISAC_080: # Integrated Communication and In-band Spectrum Polarization-Based Sensing via Fraction-Division Non-Orthogonal Multiple Access :: matched de-chirping is proposed to improve optical signal to noise ratio (OSNR) penalty from more than 3.0dB to 0.7dB. Experimental results of || where_hint: O_ISAC_080.md :: matched de-chirping is proposed to improve optical signal to noise ratio (OSNR) penalty from more than 3.0dB to 0.7dB. Experimental results of | O_ISAC_085: # III. EXPERIMENTAL SETUP AND RESULTS :: loss of the fiber link, thereby the optical sensing to noise ratio (OSNR) can be adjusted. At the receiver side, the electrical spectrum of the || where_hint: O_ISAC_085.md :: loss of the fiber link, thereby the optical sensing to noise ratio (OSNR) can be adjusted. At the receiver side, the electrical spectrum of the | O_ISAC_132: ## *A. Antenna Polarization Diversity for High-Speed Polarization Multiplexing Wireless Signal Delivery at W-band* :: respectively. {4}------------------------------------------------ ![](_page_4_Figure_2.jpeg) Fig. 3. (a) The relationship between BER and OSNR of 128 Gbit/s signal after 2 m wireless with and without || where_hint: O_ISAC_132.md :: respectively. {4}------------------------------------------------ ![](_page_4_Figure_2.jpeg) Fig. 3. (a) The relationship between BER and OSNR of 128 Gbit/s signal after 2 m wireless with and without | O_ISAC_348: Integrated sensing and communication in an optical fibre > Transmission performance :: modulation, the 1-GHz LFM optical carrier has a worse optical signal-to-noise ratio (OSNR) than the single-frequency optical carrier (i.e., the laser source used in conventional || where_hint: O_ISAC_348.md :: modulation, the 1-GHz LFM optical carrier has a worse optical signal-to-noise ratio (OSNR) than the single-frequency optical carrier (i.e., the laser source used in conventional",OK,
C.2,C4_OSNR_PLANE,OSNR plane separation (optical-domain SNR),OSNR,O_ISAC_028;O_ISAC_056;O_ISAC_076;O_ISAC_080;O_ISAC_085;O_ISAC_132;O_ISAC_348,"O_ISAC_028: # Performance Improvement for Symmetric Carrierassisted Differential Detection Receiver by Pairwise Coding :: Moreover, an optical signal-to-noise ratio (OSNR) gain of 1.5dB can be | O_ISAC_028: # Performance Improvement for Symmetric Carrierassisted Differential Detection Receiver by Pairwise Coding :: optimal carrier-tosignal-power-ration (CSPR) can be greatly improved. Moreover, an optical signal-to-noise ratio (OSNR) gain of 1.5dB can be achieved | O_ISAC_056: # Optical ISAC: Fundamental Performance Limits and Transceiver Design :: CF optimal distribution for high optical signal-to-noise ratio (O-SNR) conditions. Additionally, | O_ISAC_056: # Optical ISAC: Fundamental Performance Limits and Transceiver Design :: CF) approach. The CF approach includes a CF optimal distribution for high optical signal-to-noise ratio (O-SNR) conditions. Additionally, we adapt and refine | O_ISAC_076: #### III. SIMULATIONS :: GHz in the Y polarization state. The optical signal-to-noise ratio (OSNR) was set to 25 dB. The static RSOP was considered. The Tx || where_hint: O_ISAC_076.md :: GHz in the Y polarization state. The optical signal-to-noise ratio (OSNR) was set to 25 dB. The static RSOP was considered. The Tx | O_ISAC_080: # Integrated Communication and In-band Spectrum Polarization-Based Sensing via Fraction-Division Non-Orthogonal Multiple Access :: matched de-chirping is proposed to improve optical signal to noise ratio (OSNR) penalty from more than 3.0dB to 0.7dB. Experimental results of || where_hint: O_ISAC_080.md :: matched de-chirping is proposed to improve optical signal to noise ratio (OSNR) penalty from more than 3.0dB to 0.7dB. Experimental results of | O_ISAC_085: # III. EXPERIMENTAL SETUP AND RESULTS :: loss of the fiber link, thereby the optical sensing to noise ratio (OSNR) can be adjusted. At the receiver side, the electrical spectrum of the || where_hint: O_ISAC_085.md :: loss of the fiber link, thereby the optical sensing to noise ratio (OSNR) can be adjusted. At the receiver side, the electrical spectrum of the | O_ISAC_132: ## *A. Antenna Polarization Diversity for High-Speed Polarization Multiplexing Wireless Signal Delivery at W-band* :: respectively. {4}------------------------------------------------ ![](_page_4_Figure_2.jpeg) Fig. 3. (a) The relationship between BER and OSNR of 128 Gbit/s signal after 2 m wireless with and without || where_hint: O_ISAC_132.md :: respectively. {4}------------------------------------------------ ![](_page_4_Figure_2.jpeg) Fig. 3. (a) The relationship between BER and OSNR of 128 Gbit/s signal after 2 m wireless with and without | O_ISAC_348: Integrated sensing and communication in an optical fibre > Transmission performance :: modulation, the 1-GHz LFM optical carrier has a worse optical signal-to-noise ratio (OSNR) than the single-frequency optical carrier (i.e., the laser source used in conventional || where_hint: O_ISAC_348.md :: modulation, the 1-GHz LFM optical carrier has a worse optical signal-to-noise ratio (OSNR) than the single-frequency optical carrier (i.e., the laser source used in conventional",OK,
C.2,C4_ESNR_PLANE,electrical SNR plane separation (post-detection),ESNR,O_ISAC_061;O_ISAC_100,"O_ISAC_061: #### <span id=""page-11-3""></span>*C. Practical C&S Performance Metrics* :: page-12-1""></span>Fig. 11. BER for communication w.r.t. electrical SNR under different constraints on light-field SINR. Fig. [10.](#page-12 || where_hint: O_ISAC_061.md :: page-12-1""></span>Fig. 11. BER for communication w.r.t. electrical SNR under different constraints on light-field SINR. Fig. [10.](#page-12 | O_ISAC_100: # <span id=""page-11-0""></span>*B. Communication Performance Metrics* :: BER and normalized MSE of DCO and ACO components w.r.t. electrical SNR for communication, i.e., SNRe,c = Pe/ (N∆fNc), are displayed || where_hint: O_ISAC_100.md :: BER and normalized MSE of DCO and ACO components w.r.t. electrical SNR for communication, i.e., SNRe,c = Pe/ (N∆fNc), are displayed",WEAK,Expand ESNR text patterns; prioritize VLC/IMDD candidates for manual verification (see gapfill plan).
C.3,C4_OSNR_PLANE,OSNR plane separation (optical-domain SNR),OSNR,O_ISAC_028;O_ISAC_056;O_ISAC_076;O_ISAC_080;O_ISAC_085;O_ISAC_132;O_ISAC_348,"O_ISAC_028: # Performance Improvement for Symmetric Carrierassisted Differential Detection Receiver by Pairwise Coding :: Moreover, an optical signal-to-noise ratio (OSNR) gain of 1.5dB can be | O_ISAC_028: # Performance Improvement for Symmetric Carrierassisted Differential Detection Receiver by Pairwise Coding :: optimal carrier-tosignal-power-ration (CSPR) can be greatly improved. Moreover, an optical signal-to-noise ratio (OSNR) gain of 1.5dB can be achieved | O_ISAC_056: # Optical ISAC: Fundamental Performance Limits and Transceiver Design :: CF optimal distribution for high optical signal-to-noise ratio (O-SNR) conditions. Additionally, | O_ISAC_056: # Optical ISAC: Fundamental Performance Limits and Transceiver Design :: CF) approach. The CF approach includes a CF optimal distribution for high optical signal-to-noise ratio (O-SNR) conditions. Additionally, we adapt and refine | O_ISAC_076: #### III. SIMULATIONS :: GHz in the Y polarization state. The optical signal-to-noise ratio (OSNR) was set to 25 dB. The static RSOP was considered. The Tx || where_hint: O_ISAC_076.md :: GHz in the Y polarization state. The optical signal-to-noise ratio (OSNR) was set to 25 dB. The static RSOP was considered. The Tx | O_ISAC_080: # Integrated Communication and In-band Spectrum Polarization-Based Sensing via Fraction-Division Non-Orthogonal Multiple Access :: matched de-chirping is proposed to improve optical signal to noise ratio (OSNR) penalty from more than 3.0dB to 0.7dB. Experimental results of || where_hint: O_ISAC_080.md :: matched de-chirping is proposed to improve optical signal to noise ratio (OSNR) penalty from more than 3.0dB to 0.7dB. Experimental results of | O_ISAC_085: # III. EXPERIMENTAL SETUP AND RESULTS :: loss of the fiber link, thereby the optical sensing to noise ratio (OSNR) can be adjusted. At the receiver side, the electrical spectrum of the || where_hint: O_ISAC_085.md :: loss of the fiber link, thereby the optical sensing to noise ratio (OSNR) can be adjusted. At the receiver side, the electrical spectrum of the | O_ISAC_132: ## *A. Antenna Polarization Diversity for High-Speed Polarization Multiplexing Wireless Signal Delivery at W-band* :: respectively. {4}------------------------------------------------ ![](_page_4_Figure_2.jpeg) Fig. 3. (a) The relationship between BER and OSNR of 128 Gbit/s signal after 2 m wireless with and without || where_hint: O_ISAC_132.md :: respectively. {4}------------------------------------------------ ![](_page_4_Figure_2.jpeg) Fig. 3. (a) The relationship between BER and OSNR of 128 Gbit/s signal after 2 m wireless with and without | O_ISAC_348: Integrated sensing and communication in an optical fibre > Transmission performance :: modulation, the 1-GHz LFM optical carrier has a worse optical signal-to-noise ratio (OSNR) than the single-frequency optical carrier (i.e., the laser source used in conventional || where_hint: O_ISAC_348.md :: modulation, the 1-GHz LFM optical carrier has a worse optical signal-to-noise ratio (OSNR) than the single-frequency optical carrier (i.e., the laser source used in conventional",OK,
D,C1_DRMIN_DEF,Δr_min definition & bandwidth-limited ranging resolution,DRMIN,O_ISAC_026;O_ISAC_035;O_ISAC_043;O_ISAC_105;O_ISAC_134;O_ISAC_259;O_ISAC_356,"O_ISAC_026: ## II. PRINCIPLE :: represents the smallest distance between objects that {2}------------------------------------------------ can be distinguished in a single measurement. The theoretical resolution can be expressed as $\delta_r = c/2B_r$ | O_ISAC_035: # *C. Ranging and Communication Subcarrier Power Allocation* :: given by [40], since FMCW ranging resolution, $\Delta d = \frac{c}{2B}$ , increasing the bandwidth improves | O_ISAC_043: ### 2. Principles :: range resolution can be expressed as $\delta_r = c/2B_r | O_ISAC_105: #### *A. Multi-Channel LFM-QAM Waveform Design* :: range resolution of each channel can be calculated as c / 2B || where_hint: O_ISAC_105.md :: range resolution of each channel can be calculated as c / 2B | O_ISAC_134: ## A. RADAR DATA PROCESSING :: c/(2B) is the range resolution || where_hint: O_ISAC_134.md :: c/(2B) is the range resolution | O_ISAC_259: Algorithm 1 ADMM-PLPOI Algorithm for PLPOI Wavefrom Design > *B. Communication Performance Analysis* > C. Sensing Performance Analysis :: peaks corresponding to target distances. The range resolution is fundamentally limited by the signal bandwidth according to $\Delta_R = c/(2B)$ . The correlation processing provides || where_hint: O_ISAC_259.md :: peaks corresponding to target distances. The range resolution is fundamentally limited by the signal bandwidth according to $\Delta_R = c/(2B)$ . The correlation processing provides | O_ISAC_356: Photonic THz-ISAC Demonstration with Simultaneous 120Gbit/s Communication and 2.5mm Sensing Resolution > **Experimental Setup** :: chirp-based integrated waveform due to OFC, the range resolution of the 3-channel signals can be promoted from c/2B to $c/2(2F_d + 3B)$ , enhancing from || where_hint: O_ISAC_356.md :: chirp-based integrated waveform due to OFC, the range resolution of the 3-channel signals can be promoted from c/2B to $c/2(2F_d + 3B)$ , enhancing from",OK,
D,C2_DZ_DEF,Δz / gauge length / spatial granularity in fiber sensing,DZ,O_ISAC_006;O_ISAC_013;O_ISAC_018;O_ISAC_024;O_ISAC_033;O_ISAC_038;O_ISAC_042;O_ISAC_046,"O_ISAC_006: #### REFERENCES :: spatial resolution distributed optical fiber | O_ISAC_013: ### I. INTRODUCTION :: fiber with high sensitivity and high spatial resolution | O_ISAC_018: ## C. RoF-Based ISAC Scheme :: spatial resolution of backscattering | O_ISAC_024: #### **EXPERIMENTAL RESULTS** :: Rayleigh scattering traces of the LFM probe and pre-distorted probe (10 m gauge length). | O_ISAC_024: ### **INTRODUCTION** :: spatial resolution of 1 m in 40-km fiber | O_ISAC_033: #### 1,007-km All-Raman Link DAS Monitoring :: monitor the full 210 km of fiber at a spatial resolution of 13.05 meter and a gauge length of 20 m. | O_ISAC_038: #### 2. NOMA with 16-QAM signal and sensing LFM tone :: spatial resolution of DAS | O_ISAC_042: # 4. Conclusions :: spatial resolution of DAS | O_ISAC_046: ## IV. CONCLUSIONS :: fiber, achieving both a sensitivity of 3.89 - nε Hz @0.1-Hz with 20-m spatial resolution",OK,
D,C3_CRQ_COMP,CRQ_Δ comparability restriction (only where Δr_min defensible),DRMIN,O_ISAC_026;O_ISAC_035;O_ISAC_043;O_ISAC_105;O_ISAC_134;O_ISAC_259;O_ISAC_356,"O_ISAC_026: ## II. PRINCIPLE :: represents the smallest distance between objects that {2}------------------------------------------------ can be distinguished in a single measurement. The theoretical resolution can be expressed as $\delta_r = c/2B_r$ | O_ISAC_035: # *C. Ranging and Communication Subcarrier Power Allocation* :: given by [40], since FMCW ranging resolution, $\Delta d = \frac{c}{2B}$ , increasing the bandwidth improves | O_ISAC_043: ### 2. Principles :: range resolution can be expressed as $\delta_r = c/2B_r | O_ISAC_105: #### *A. Multi-Channel LFM-QAM Waveform Design* :: range resolution of each channel can be calculated as c / 2B || where_hint: O_ISAC_105.md :: range resolution of each channel can be calculated as c / 2B | O_ISAC_134: ## A. RADAR DATA PROCESSING :: c/(2B) is the range resolution || where_hint: O_ISAC_134.md :: c/(2B) is the range resolution | O_ISAC_259: Algorithm 1 ADMM-PLPOI Algorithm for PLPOI Wavefrom Design > *B. Communication Performance Analysis* > C. Sensing Performance Analysis :: peaks corresponding to target distances. The range resolution is fundamentally limited by the signal bandwidth according to $\Delta_R = c/(2B)$ . The correlation processing provides || where_hint: O_ISAC_259.md :: peaks corresponding to target distances. The range resolution is fundamentally limited by the signal bandwidth according to $\Delta_R = c/(2B)$ . The correlation processing provides | O_ISAC_356: Photonic THz-ISAC Demonstration with Simultaneous 120Gbit/s Communication and 2.5mm Sensing Resolution > **Experimental Setup** :: chirp-based integrated waveform due to OFC, the range resolution of the 3-channel signals can be promoted from c/2B to $c/2(2F_d + 3B)$ , enhancing from || where_hint: O_ISAC_356.md :: chirp-based integrated waveform due to OFC, the range resolution of the 3-channel signals can be promoted from c/2B to $c/2(2F_d + 3B)$ , enhancing from",OK,
D,C4_OSNR_PLANE,OSNR plane separation (optical-domain SNR),OSNR,O_ISAC_028;O_ISAC_056;O_ISAC_076;O_ISAC_080;O_ISAC_085;O_ISAC_132;O_ISAC_348,"O_ISAC_028: # Performance Improvement for Symmetric Carrierassisted Differential Detection Receiver by Pairwise Coding :: Moreover, an optical signal-to-noise ratio (OSNR) gain of 1.5dB can be | O_ISAC_028: # Performance Improvement for Symmetric Carrierassisted Differential Detection Receiver by Pairwise Coding :: optimal carrier-tosignal-power-ration (CSPR) can be greatly improved. Moreover, an optical signal-to-noise ratio (OSNR) gain of 1.5dB can be achieved | O_ISAC_056: # Optical ISAC: Fundamental Performance Limits and Transceiver Design :: CF optimal distribution for high optical signal-to-noise ratio (O-SNR) conditions. Additionally, | O_ISAC_056: # Optical ISAC: Fundamental Performance Limits and Transceiver Design :: CF) approach. The CF approach includes a CF optimal distribution for high optical signal-to-noise ratio (O-SNR) conditions. Additionally, we adapt and refine | O_ISAC_076: #### III. SIMULATIONS :: GHz in the Y polarization state. The optical signal-to-noise ratio (OSNR) was set to 25 dB. The static RSOP was considered. The Tx || where_hint: O_ISAC_076.md :: GHz in the Y polarization state. The optical signal-to-noise ratio (OSNR) was set to 25 dB. The static RSOP was considered. The Tx | O_ISAC_080: # Integrated Communication and In-band Spectrum Polarization-Based Sensing via Fraction-Division Non-Orthogonal Multiple Access :: matched de-chirping is proposed to improve optical signal to noise ratio (OSNR) penalty from more than 3.0dB to 0.7dB. Experimental results of || where_hint: O_ISAC_080.md :: matched de-chirping is proposed to improve optical signal to noise ratio (OSNR) penalty from more than 3.0dB to 0.7dB. Experimental results of | O_ISAC_085: # III. EXPERIMENTAL SETUP AND RESULTS :: loss of the fiber link, thereby the optical sensing to noise ratio (OSNR) can be adjusted. At the receiver side, the electrical spectrum of the || where_hint: O_ISAC_085.md :: loss of the fiber link, thereby the optical sensing to noise ratio (OSNR) can be adjusted. At the receiver side, the electrical spectrum of the | O_ISAC_132: ## *A. Antenna Polarization Diversity for High-Speed Polarization Multiplexing Wireless Signal Delivery at W-band* :: respectively. {4}------------------------------------------------ ![](_page_4_Figure_2.jpeg) Fig. 3. (a) The relationship between BER and OSNR of 128 Gbit/s signal after 2 m wireless with and without || where_hint: O_ISAC_132.md :: respectively. {4}------------------------------------------------ ![](_page_4_Figure_2.jpeg) Fig. 3. (a) The relationship between BER and OSNR of 128 Gbit/s signal after 2 m wireless with and without | O_ISAC_348: Integrated sensing and communication in an optical fibre > Transmission performance :: modulation, the 1-GHz LFM optical carrier has a worse optical signal-to-noise ratio (OSNR) than the single-frequency optical carrier (i.e., the laser source used in conventional || where_hint: O_ISAC_348.md :: modulation, the 1-GHz LFM optical carrier has a worse optical signal-to-noise ratio (OSNR) than the single-frequency optical carrier (i.e., the laser source used in conventional",OK,
D,C4_ESNR_PLANE,electrical SNR plane separation (post-detection),ESNR,O_ISAC_061;O_ISAC_100,"O_ISAC_061: #### <span id=""page-11-3""></span>*C. Practical C&S Performance Metrics* :: page-12-1""></span>Fig. 11. BER for communication w.r.t. electrical SNR under different constraints on light-field SINR. Fig. [10.](#page-12 || where_hint: O_ISAC_061.md :: page-12-1""></span>Fig. 11. BER for communication w.r.t. electrical SNR under different constraints on light-field SINR. Fig. [10.](#page-12 | O_ISAC_100: # <span id=""page-11-0""></span>*B. Communication Performance Metrics* :: BER and normalized MSE of DCO and ACO components w.r.t. electrical SNR for communication, i.e., SNRe,c = Pe/ (N∆fNc), are displayed || where_hint: O_ISAC_100.md :: BER and normalized MSE of DCO and ACO components w.r.t. electrical SNR for communication, i.e., SNRe,c = Pe/ (N∆fNc), are displayed",WEAK,Expand ESNR text patterns; prioritize VLC/IMDD candidates for manual verification (see gapfill plan).
