batch_id,paper_id,extraction_json_path,markdown_path,DRMIN_TEXT_EVIDENCE,DZ_TEXT_EVIDENCE,OSNR_TEXT_EVIDENCE,ESNR_TEXT_EVIDENCE,evidence_locator_drmin,evidence_locator_dz,evidence_locator_osnr,evidence_locator_esnr,invalid_reason,json_score,json_score_fields_used
B05R,O_ISAC_042,,data/proc_markdowns/O_ISAC_042/O_ISAC_042.md,0,1,0,0,,# 4. Conclusions :: spatial resolution of DAS,,,,,
B05R,O_ISAC_043,,data/proc_markdowns/O_ISAC_043/O_ISAC_043.md,1,0,0,0,### 2. Principles :: range resolution can be expressed as $\delta_r = c/2B_r,,,,,,
B05R,O_ISAC_046,,data/proc_markdowns/O_ISAC_046/O_ISAC_046.md,0,1,0,0,,"## IV. CONCLUSIONS :: fiber, achieving both a sensitivity of 3.89 - nε Hz @0.1-Hz with 20-m spatial resolution",,,,,
B06,O_ISAC_061,data/ext_res_v4/extraction_v4_unified.json[60],data/proc_markdowns/O_ISAC_061/O_ISAC_061.md,0,0,0,1,,,,"#### <span id=""page-11-3""></span>*C. Practical C&S Performance Metrics* :: page-12-1""></span>Fig. 11. BER for communication w.r.t. electrical SNR under different constraints on light-field SINR. Fig. [10.](#page-12 || where_hint: O_ISAC_061.md :: page-12-1""></span>Fig. 11. BER for communication w.r.t. electrical SNR under different constraints on light-field SINR. Fig. [10.](#page-12",,,
B07,O_ISAC_076,data/ext_res_v4/extraction_v4_unified.json[75],data/proc_markdowns/O_ISAC_076/O_ISAC_076.md,0,0,1,0,,,#### III. SIMULATIONS :: GHz in the Y polarization state. The optical signal-to-noise ratio (OSNR) was set to 25 dB. The static RSOP was considered. The Tx || where_hint: O_ISAC_076.md :: GHz in the Y polarization state. The optical signal-to-noise ratio (OSNR) was set to 25 dB. The static RSOP was considered. The Tx,,,,
B07,O_ISAC_080,data/ext_res_v4/extraction_v4_unified.json[79],data/proc_markdowns/O_ISAC_080/O_ISAC_080.md,0,0,1,0,,,# Integrated Communication and In-band Spectrum Polarization-Based Sensing via Fraction-Division Non-Orthogonal Multiple Access :: matched de-chirping is proposed to improve optical signal to noise ratio (OSNR) penalty from more than 3.0dB to 0.7dB. Experimental results of || where_hint: O_ISAC_080.md :: matched de-chirping is proposed to improve optical signal to noise ratio (OSNR) penalty from more than 3.0dB to 0.7dB. Experimental results of,,,,
B08,O_ISAC_085,data/ext_res_v4/extraction_v4_unified.json[84],data/proc_markdowns/O_ISAC_085/O_ISAC_085.md,0,0,1,0,,,"# III. EXPERIMENTAL SETUP AND RESULTS :: loss of the fiber link, thereby the optical sensing to noise ratio (OSNR) can be adjusted. At the receiver side, the electrical spectrum of the || where_hint: O_ISAC_085.md :: loss of the fiber link, thereby the optical sensing to noise ratio (OSNR) can be adjusted. At the receiver side, the electrical spectrum of the",,,,
B09,O_ISAC_100,data/ext_res_v4/extraction_v4_unified.json[98],data/proc_markdowns/O_ISAC_100/O_ISAC_100/O_ISAC_100.md,0,0,0,1,,,,"# <span id=""page-11-0""></span>*B. Communication Performance Metrics* :: BER and normalized MSE of DCO and ACO components w.r.t. electrical SNR for communication, i.e., SNRe,c = Pe/ (N∆fNc), are displayed || where_hint: O_ISAC_100.md :: BER and normalized MSE of DCO and ACO components w.r.t. electrical SNR for communication, i.e., SNRe,c = Pe/ (N∆fNc), are displayed",,,
B09,O_ISAC_105,data/ext_res_v4/extraction_v4_unified.json[103],data/proc_markdowns/O_ISAC_105/O_ISAC_105/O_ISAC_105.md,1,0,0,0,#### *A. Multi-Channel LFM-QAM Waveform Design* :: range resolution of each channel can be calculated as c / 2B || where_hint: O_ISAC_105.md :: range resolution of each channel can be calculated as c / 2B,,,,,,
B12,O_ISAC_132,data/ext_res_v4/extraction_v4_unified.json[130],data/proc_markdowns/O_ISAC_132/O_ISAC_132/O_ISAC_132.md,0,0,1,0,,,## *A. Antenna Polarization Diversity for High-Speed Polarization Multiplexing Wireless Signal Delivery at W-band* :: respectively. {4}------------------------------------------------ ![](_page_4_Figure_2.jpeg) Fig. 3. (a) The relationship between BER and OSNR of 128 Gbit/s signal after 2 m wireless with and without || where_hint: O_ISAC_132.md :: respectively. {4}------------------------------------------------ ![](_page_4_Figure_2.jpeg) Fig. 3. (a) The relationship between BER and OSNR of 128 Gbit/s signal after 2 m wireless with and without,,,,
B12,O_ISAC_134,data/ext_res_v4/extraction_v4_unified.json[132],data/proc_markdowns/O_ISAC_134/O_ISAC_134/O_ISAC_134.md,1,0,0,0,## A. RADAR DATA PROCESSING :: c/(2B) is the range resolution || where_hint: O_ISAC_134.md :: c/(2B) is the range resolution,,,,,,
B21,O_ISAC_259,data/ext_res_v4/extraction_v4_unified.json[190],data/proc_markdowns/O_ISAC_259/O_ISAC_259.md,1,0,0,0,Algorithm 1 ADMM-PLPOI Algorithm for PLPOI Wavefrom Design > *B. Communication Performance Analysis* > C. Sensing Performance Analysis :: peaks corresponding to target distances. The range resolution is fundamentally limited by the signal bandwidth according to $\Delta_R = c/(2B)$ . The correlation processing provides || where_hint: O_ISAC_259.md :: peaks corresponding to target distances. The range resolution is fundamentally limited by the signal bandwidth according to $\Delta_R = c/(2B)$ . The correlation processing provides,,,,,,
B26,O_ISAC_348,data/ext_res_v4/extraction_v4_unified.json[207],data/proc_markdowns/O_ISAC_348/O_ISAC_348.md,0,0,1,0,,,"Integrated sensing and communication in an optical fibre > Transmission performance :: modulation, the 1-GHz LFM optical carrier has a worse optical signal-to-noise ratio (OSNR) than the single-frequency optical carrier (i.e., the laser source used in conventional || where_hint: O_ISAC_348.md :: modulation, the 1-GHz LFM optical carrier has a worse optical signal-to-noise ratio (OSNR) than the single-frequency optical carrier (i.e., the laser source used in conventional",,,,
B26,O_ISAC_356,data/ext_res_v4/extraction_v4_unified.json[212],data/proc_markdowns/O_ISAC_356/O_ISAC_356.md,1,0,0,0,"Photonic THz-ISAC Demonstration with Simultaneous 120Gbit/s Communication and 2.5mm Sensing Resolution > **Experimental Setup** :: chirp-based integrated waveform due to OFC, the range resolution of the 3-channel signals can be promoted from c/2B to $c/2(2F_d + 3B)$ , enhancing from || where_hint: O_ISAC_356.md :: chirp-based integrated waveform due to OFC, the range resolution of the 3-channel signals can be promoted from c/2B to $c/2(2F_d + 3B)$ , enhancing from",,,,,,
ESNR_PRIORITIZED_B01,O_ISAC_009,data/ext_res_v4/extraction_v4_unified.json[8],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_009\O_ISAC_009.md,0,0,0,0,,,,,,9,"study_level.classification.oisac_medium_class=wireless_vlc; reasoning_trace[0].value=The paper proposes a new VLPC scheme using DCO-OFDM, where O; scenario_level.receiver.rx_detector=photodiode; scenario_level.receiver.rx_detection_type=direct; scenario_level.identification.experiment_id=E1"
ESNR_PRIORITIZED_B01,O_ISAC_015,data/ext_res_v4/extraction_v4_unified.json[14],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_015\O_ISAC_015.md,0,0,0,0,,,,,,9,study_level.classification.oisac_medium_class=wireless_vlc; scenario_level.receiver.rx_detector=pd; scenario_level.receiver.rx_detection_type=direct; scenario_level.identification.experiment_id=E1
ESNR_PRIORITIZED_B01,O_ISAC_022,data/ext_res_v4/extraction_v4_unified.json[21],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_022\O_ISAC_022.md,0,0,0,0,,,,,,9,study_level.classification.oisac_medium_class=wireless_vlc; scenario_level.receiver.rx_detector=photodiode; scenario_level.receiver.rx_detection_type=direct; scenario_level.identification.experiment_id=E1
ESNR_PRIORITIZED_B01,O_ISAC_039,data/ext_res_v4/extraction_v4_unified.json[38],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_039\O_ISAC_039.md,0,0,0,0,,,,,,9,study_level.classification.oisac_medium_class=wireless_vlc; reasoning_trace[0].value=The paper presents a Visible Light Integrated Positioning an; scenario_level.receiver.rx_detector=pd; scenario_level.receiver.rx_detection_type=direct; scenario_level.identification.experiment_id=E1
ESNR_PRIORITIZED_B01,O_ISAC_049,data/ext_res_v4/extraction_v4_unified.json[48],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_049\O_ISAC_049.md,0,0,0,0,,,,,,9,study_level.classification.oisac_medium_class=vlc; reasoning_trace[0].value=The paper presents a system model for an integrated visible ; scenario_level.receiver.rx_detector=pd; scenario_level.receiver.rx_detection_type=direct_detection; scenario_level.identification.experiment_id=E1
ESNR_PRIORITIZED_B01,O_ISAC_053,data/ext_res_v4/extraction_v4_unified.json[52],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_053\O_ISAC_053.md,0,0,0,0,,,,,,9,study_level.classification.oisac_medium_class=wireless_vlc; scenario_level.receiver.rx_detector=photodiode; scenario_level.receiver.rx_detection_type=direct; scenario_level.identification.experiment_id=E1
ESNR_PRIORITIZED_B01,O_ISAC_062,data/ext_res_v4/extraction_v4_unified.json[61],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_062\O_ISAC_062.md,0,0,0,0,,,,,,9,study_level.classification.oisac_medium_class=wireless_vlc; reasoning_trace.step_0_visual_inspection=The paper discusses a novel VLC-enabled anti-disturbance mec; scenario_level.receiver.rx_detection_type=direct; scenario_level.identification.experiment_id=E1
ESNR_PRIORITIZED_B01,O_ISAC_084,data/ext_res_v4/extraction_v4_unified.json[83],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_084\O_ISAC_084.md,0,0,0,0,,,,,,9,study_level.classification.oisac_medium_class=wireless_vlc; scenario_level[0].receiver.rx_detector=photodiode; scenario_level.receiver.rx_detection_type=direct; scenario_level.identification.experiment_id=E1
ESNR_PRIORITIZED_B01,O_ISAC_131,data/ext_res_v4/extraction_v4_unified.json[129],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_131\O_ISAC_131\O_ISAC_131.md,0,0,0,0,,,,,,9,study_level.classification.oisac_medium_class=wireless_vlc; reasoning_trace[0].value=The paper discusses a joint Lambertian model calibration and; reasoning_trace[1].value=The system mechanism involves the use of LEDs as beacons to ; scenario_level.receiver.rx_detection_type=direct; scenario_level.identification.experiment_id=E1
ESNR_PRIORITIZED_B01,O_ISAC_185,data/ext_res_v4/extraction_v4_unified.json[169],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_185\O_ISAC_185.md,0,0,0,0,,,,,,9,study_level.classification.oisac_medium_class=wireless_vlc; reasoning_trace[0].description=The paper presents a novel approach to integrated sensing an; scenario_level.receiver.rx_detection_type=direct; scenario_level.identification.experiment_id=E1
ESNR_PRIORITIZED_B01,O_ISAC_050,data/ext_res_v4/extraction_v4_unified.json[49],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_050\O_ISAC_050.md,0,0,0,0,,,,,,8,study_level.classification.oisac_medium_class=wireless_vlc; reasoning_trace.step_0_visual_inspection=The paper discusses a novel OFDM-based simultaneous position; scenario_level.receiver.rx_detector=photodiode; scenario_level.receiver.rx_detection_type=direct
ESNR_PRIORITIZED_B01,O_ISAC_077,data/ext_res_v4/extraction_v4_unified.json[76],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_077\O_ISAC_077.md,0,0,0,0,,,,,,8,scenario_level[0].receiver.rx_detector=photodiode; scenario_level.comm_metrics.snr_db=present; scenario_level.comm_metrics.osnr_db=absent; scenario_level.receiver.rx_detector=photodiode; scenario_level.identification.experiment_id=E1
