paper_id,extraction_json_path,oisac_modality_label,carrier_band_label,sensing_task_type,has_rate,has_spectral_efficiency,has_resolution_any,has_range_resolution_field,has_spatial_resolution_field,resolution_defensibility_label,snr_plane_label,verified_manual,manual_markdown_path,manual_evidence_locator,rule_applied
O_ISAC_030,data/extraction_results_v4/extraction_v4_unified.json[29],hybrid,visible,hand_gesture_recognition,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_031,data/extraction_results_v4/extraction_v4_unified.json[30],hybrid,millimeter-wave,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_032,data/extraction_results_v4/extraction_v4_unified.json[31],cabled_fibre,C-band,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_033,data/extraction_results_v4/extraction_v4_unified.json[32],cabled_fibre,C-band,vibration,1,1,1,1,1,DZ_DEFENSIBLE,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_034,data/extraction_results_v4/extraction_v4_unified.json[33],wireless_fso,NIR,ranging;localization_2d,1,1,1,1,0,DRMIN_DEFENSIBLE,AMBIGUOUS,0,,,DR1|SNR_AMB
O_ISAC_035,data/extraction_results_v4/extraction_v4_unified.json[34],wireless_fso,C-band,ranging,1,1,1,1,0,DRMIN_DEFENSIBLE,AMBIGUOUS,0,,,DR1|SNR_AMB
O_ISAC_036,data/extraction_results_v4/extraction_v4_unified.json[35],hybrid,C-band,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_037,data/extraction_results_v4/extraction_v4_unified.json[36],cabled_fibre,C-band,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_038,data/extraction_results_v4/extraction_v4_unified.json[37],cabled_fibre,C-band,ranging,1,1,1,1,1,DZ_DEFENSIBLE,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_039,data/extraction_results_v4/extraction_v4_unified.json[38],wireless_vlc,visible,ranging,1,1,1,1,0,DRMIN_DEFENSIBLE,AMBIGUOUS,0,,,DR1|SNR_AMB
O_ISAC_040,data/extraction_results_v4/extraction_v4_unified.json[39],wireless_retroreflective,visible,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_041,data/extraction_results_v4/extraction_v4_unified.json[40],hybrid,C-band,ranging,1,1,1,1,0,DRMIN_DEFENSIBLE,AMBIGUOUS,0,,,DR1|SNR_AMB
O_ISAC_042,data/extraction_results_v4/extraction_v4_unified.json[41],cabled_fibre,C-band,vibration,1,1,1,1,1,DZ_DEFENSIBLE,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_043,data/extraction_results_v4/extraction_v4_unified.json[42],hybrid,W-band,ranging,1,1,1,1,1,DRMIN_DEFENSIBLE,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_044,data/extraction_results_v4/extraction_v4_unified.json[43],hybrid,W-band,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_045,data/extraction_results_v4/extraction_v4_unified.json[44],cabled_fibre,C-band,ranging;localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_046,data/extraction_results_v4/extraction_v4_unified.json[45],cabled_fibre,C-band,ranging;localization_2d,1,1,1,1,1,DZ_DEFENSIBLE,ESNR_PLANE,0,,,C0_AMB|SNR_ESNR1
O_ISAC_047,data/extraction_results_v4/extraction_v4_unified.json[46],hybrid,W-band,ranging;localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_048,data/extraction_results_v4/extraction_v4_unified.json[47],wireless_fso,visible,ranging;localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_049,data/extraction_results_v4/extraction_v4_unified.json[48],vlc,visible,localization,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_050,data/extraction_results_v4/extraction_v4_unified.json[49],wireless_vlc,visible,localization_2d,1,1,1,1,0,AMBIGUOUS,AMBIGUOUS,0,,,AMB|SNR_AMB
O_ISAC_051,data/extraction_results_v4/extraction_v4_unified.json[50],hybrid,C-band,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_052,data/extraction_results_v4/extraction_v4_unified.json[51],hybrid,visible,ranging;localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_053,data/extraction_results_v4/extraction_v4_unified.json[52],wireless_vlc,visible,ranging;localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_054,data/extraction_results_v4/extraction_v4_unified.json[53],hybrid,visible,localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_055,data/extraction_results_v4/extraction_v4_unified.json[54],wireless_fso,other,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_056,data/extraction_results_v4/extraction_v4_unified.json[55],cabled_fibre,visible,ranging,1,1,1,1,1,AMBIGUOUS,OSNR_PLANE,0,,,C0_AMB|SNR_AMB
O_ISAC_057,data/extraction_results_v4/extraction_v4_unified.json[56],hybrid,mm-wave,ranging;localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_058,data/extraction_results_v4/extraction_v4_unified.json[57],hybrid,W-band,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_059,data/extraction_results_v4/extraction_v4_unified.json[58],hybrid,mmWave,ranging;localization,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_060,data/extraction_results_v4/extraction_v4_unified.json[59],wireless_fso,NIR,ranging;localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_061,data/extraction_results_v4/extraction_v4_unified.json[60],hybrid,NIR,ranging,1,1,1,1,1,AMBIGUOUS,ESNR_PLANE,1,data\processed_markdowns\O_ISAC_061\O_ISAC_061\O_ISAC_061.md,"ESNR: #### <span id=""page-11-3""></span>*C. Practical C&S Performance Metrics* :: <span id=""page-12-1""></span>Fig. 11. BER for communication w.r.t. electrical SNR under different constraints on light-field SINR.",C0_AMB|SNR_ESNR_MAN
O_ISAC_062,data/extraction_results_v4/extraction_v4_unified.json[61],wireless_vlc,visible,localization,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_063,data/extraction_results_v4/extraction_v4_unified.json[62],cabled_fibre,C-band,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_064,data/extraction_results_v4/extraction_v4_unified.json[63],cabled_fibre,NR,vibration,1,1,1,1,0,AMBIGUOUS,AMBIGUOUS,0,,,AMB|SNR_AMB
O_ISAC_065,data/extraction_results_v4/extraction_v4_unified.json[64],hybrid,THz,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_066,data/extraction_results_v4/extraction_v4_unified.json[65],hybrid,C-band,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_067,data/extraction_results_v4/extraction_v4_unified.json[66],wireless_fso,sub_thz,localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_068,data/extraction_results_v4/extraction_v4_unified.json[67],hybrid,visible,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_069,data/extraction_results_v4/extraction_v4_unified.json[68],hybrid,other,localization_2d,1,1,1,1,0,AMBIGUOUS,AMBIGUOUS,0,,,AMB|SNR_AMB
O_ISAC_070,data/extraction_results_v4/extraction_v4_unified.json[69],hybrid,THz,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_071,data/extraction_results_v4/extraction_v4_unified.json[70],hybrid,visible,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_072,data/extraction_results_v4/extraction_v4_unified.json[71],cabled_fibre,C-band,vibration,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_073,data/extraction_results_v4/extraction_v4_unified.json[72],hybrid,C-band,ranging;localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_074,data/extraction_results_v4/extraction_v4_unified.json[73],cabled_fibre,C-band,ranging;localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_075,data/extraction_results_v4/extraction_v4_unified.json[74],retroreflective_optical,visible,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_076,data/extraction_results_v4/extraction_v4_unified.json[75],cabled_fibre,C-band,vibration,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_077,data/extraction_results_v4/extraction_v4_unified.json[76],hybrid,THz,ranging;localization_2d,1,1,1,1,0,DRMIN_DEFENSIBLE,ESNR_PLANE,0,,,DR1|SNR_ESNR1
O_ISAC_078,data/extraction_results_v4/extraction_v4_unified.json[77],cabled_fibre,O-band,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_079,data/extraction_results_v4/extraction_v4_unified.json[78],cabled_fibre,C-band,ranging;localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_080,data/extraction_results_v4/extraction_v4_unified.json[79],cabled_fibre,C-band,vibration,1,1,1,1,0,AMBIGUOUS,AMBIGUOUS,0,,,AMB|SNR_AMB
O_ISAC_081,data/extraction_results_v4/extraction_v4_unified.json[80],hybrid,mmWave,ranging;localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_082,data/extraction_results_v4/extraction_v4_unified.json[81],hybrid,THz,ranging,1,0,1,1,0,DRMIN_DEFENSIBLE,AMBIGUOUS,0,,,DR1|SNR_AMB
O_ISAC_083,data/extraction_results_v4/extraction_v4_unified.json[82],hybrid,Not reported,ranging;localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_084,data/extraction_results_v4/extraction_v4_unified.json[83],wireless_vlc,visible,ranging;localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_085,data/extraction_results_v4/extraction_v4_unified.json[84],cabled_fibre,C-band,vibration,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_086,data/extraction_results_v4/extraction_v4_unified.json[85],hybrid,millimeter-wave,ranging,1,1,1,1,0,DRMIN_DEFENSIBLE,ESNR_PLANE,0,,,DR1|SNR_ESNR1
O_ISAC_088,data/extraction_results_v4/extraction_v4_unified.json[86],hybrid,other,localization_2d;target_detection,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_089,data/extraction_results_v4/extraction_v4_unified.json[87],cabled_fibre,NIR,ranging;localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_090,data/extraction_results_v4/extraction_v4_unified.json[88],cabled_fibre,C-band,localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_091,data/extraction_results_v4/extraction_v4_unified.json[89],wireless_fso,NIR,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_092,data/extraction_results_v4/extraction_v4_unified.json[90],visible_light,visible,localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_093,data/extraction_results_v4/extraction_v4_unified.json[91],hybrid,other,other,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_094,data/extraction_results_v4/extraction_v4_unified.json[92],hybrid,NR,target_detection,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_095,data/extraction_results_v4/extraction_v4_unified.json[93],hybrid,mmw,ranging,1,1,1,1,0,DRMIN_DEFENSIBLE,ESNR_PLANE,0,,,DR1|SNR_ESNR1
O_ISAC_096,data/extraction_results_v4/extraction_v4_unified.json[94],hybrid,terahertz,ranging,1,1,1,1,0,DRMIN_DEFENSIBLE,AMBIGUOUS,0,,,DR1|SNR_AMB
O_ISAC_097,data/extraction_results_v4/extraction_v4_unified.json[95],hybrid,C-band,ranging,1,1,1,1,0,DRMIN_DEFENSIBLE,AMBIGUOUS,0,,,DR1|SNR_AMB
O_ISAC_098,data/extraction_results_v4/extraction_v4_unified.json[96],wireless_fso,C-band,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_099,data/extraction_results_v4/extraction_v4_unified.json[97],retroreflective,visible,ranging;localization,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_100,data/extraction_results_v4/extraction_v4_unified.json[98],hybrid,visible,ranging,1,1,1,1,1,AMBIGUOUS,ESNR_PLANE,1,data\processed_markdowns\O_ISAC_100\O_ISAC_100\O_ISAC_100.md,"ESNR: # <span id=""page-11-0""></span>*B. Communication Performance Metrics* :: BER and normalized MSE of DCO and ACO components w.r.t. electrical SNR for communication, i.e., SNRe,c = Pe/ (N∆fNc), are displayed separately in Fig. [7.](#page-12-1)",C0_AMB|SNR_ESNR_MAN
O_ISAC_101,data/extraction_results_v4/extraction_v4_unified.json[99],cabled_fibre,NR,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_102,data/extraction_results_v4/extraction_v4_unified.json[100],cabled_fibre,C+L+U,ranging,1,1,1,1,0,AMBIGUOUS,AMBIGUOUS,0,,,AMB|SNR_AMB
O_ISAC_103,data/extraction_results_v4/extraction_v4_unified.json[101],cabled_fibre,C-band,fault_localization,1,1,1,1,0,AMBIGUOUS,ESNR_PLANE,0,,,AMB|SNR_ESNR1
O_ISAC_104,data/extraction_results_v4/extraction_v4_unified.json[102],cabled_fibre,other,localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_105,data/extraction_results_v4/extraction_v4_unified.json[103],hybrid,THz,ranging,1,1,1,1,0,DRMIN_DEFENSIBLE,ESNR_PLANE,0,,,DR1|SNR_ESNR1
O_ISAC_106,data/extraction_results_v4/extraction_v4_unified.json[104],wireless_retroreflective,other,localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_107,data/extraction_results_v4/extraction_v4_unified.json[105],hybrid,visible,localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_108,data/extraction_results_v4/extraction_v4_unified.json[106],wireless_vlc,visible,localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_109,data/extraction_results_v4/extraction_v4_unified.json[107],hybrid,other,ranging;localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_110,data/extraction_results_v4/extraction_v4_unified.json[108],wireless_vlc,visible,ranging;localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_111,data/extraction_results_v4/extraction_v4_unified.json[109],hybrid,sub-THz,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_112,data/extraction_results_v4/extraction_v4_unified.json[110],hybrid,visible,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_113,data/extraction_results_v4/extraction_v4_unified.json[111],cabled_fibre,C-band,temperature,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_114,data/extraction_results_v4/extraction_v4_unified.json[112],hybrid,visible,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_115,data/extraction_results_v4/extraction_v4_unified.json[113],wireless_fso,THz,ranging;localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_116,data/extraction_results_v4/extraction_v4_unified.json[114],wireless_uv,uv,localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_117,data/extraction_results_v4/extraction_v4_unified.json[115],hybrid,other,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_118,data/extraction_results_v4/extraction_v4_unified.json[116],wireless,mmWave,ranging;localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_119,data/extraction_results_v4/extraction_v4_unified.json[117],hybrid,W-band,ranging,1,1,1,1,0,DRMIN_DEFENSIBLE,ESNR_PLANE,0,,,DR1|SNR_ESNR1
O_ISAC_120,data/extraction_results_v4/extraction_v4_unified.json[118],wireless_fso,mmWave,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_121,data/extraction_results_v4/extraction_v4_unified.json[119],other,other,ranging;localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_122,data/extraction_results_v4/extraction_v4_unified.json[120],other,other,direction_of_arrival,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_123,data/extraction_results_v4/extraction_v4_unified.json[121],hybrid,visible,localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_124,data/extraction_results_v4/extraction_v4_unified.json[122],hybrid,millimeter-wave,ranging,1,1,1,1,0,DRMIN_DEFENSIBLE,AMBIGUOUS,0,,,DR1|SNR_AMB
O_ISAC_125,data/extraction_results_v4/extraction_v4_unified.json[123],wireless,other,ranging;localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_126,data/extraction_results_v4/extraction_v4_unified.json[124],hybrid,other,ranging;localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_127,data/extraction_results_v4/extraction_v4_unified.json[125],wireless_fso,visible,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_128,data/extraction_results_v4/extraction_v4_unified.json[126],cabled_fibre,C-band,ranging;vibration,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_129,data/extraction_results_v4/extraction_v4_unified.json[127],wireless_vlc,visible,ranging;localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_130,data/extraction_results_v4/extraction_v4_unified.json[128],hybrid,visible,ranging,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_131,data/extraction_results_v4/extraction_v4_unified.json[129],wireless_vlc,visible,localization_2d,1,1,1,1,1,AMBIGUOUS,AMBIGUOUS,0,,,C0_AMB|SNR_AMB
O_ISAC_132,data/extraction_results_v4/extraction_v4_unified.json[130],hybrid,terahertz,ranging,1,1,1,1,1,AMBIGUOUS,OSNR_PLANE,1,data\processed_markdowns\O_ISAC_132\O_ISAC_132\O_ISAC_132.md,OSNR: ## *A. Antenna Polarization Diversity for High-Speed Polarization Multiplexing Wireless Signal Delivery at W-band* :: Fig. 3. (a) The relationship between BER and OSNR of 128 Gbit/s signal after 2 m wireless with and without fiber transmission. (b) The relationship,C0_AMB|SNR_OSNR_MAN
