paper_id,fidelity_score,qa_status,title,score,char_count,headers_found,fig_count,has_bib,r_text,r_struct,r_fig,r_bib,md_path
COMST_011,0.94,qa_ok,A Survey on Beyond 5G Network Slicing for Smart Cities Applications,0.94,247643,4,12,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_011\COMST_011.md
COMST_012,0.94,qa_ok,A Survey on Controller Area Network Reverse Engineering,0.94,250546,4,28,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_012\COMST_012.md
COMST_013,0.94,qa_ok,A Survey on IEEE 802.11bn Wi-Fi 8 Advantages of Ultra High Reliability for Next Generation Wireless LANs,0.94,202921,4,17,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_013\COMST_013.md
COMST_014,0.94,qa_ok,A Survey on Indoor Visible Light Positioning Systems Fundamentals- Applications- and Challenges,0.94,210083,4,20,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_014\COMST_014.md
COMST_015,0.94,qa_ok,"A Survey on Integrated Sensing, Communication, and Computation",0.94,284651,4,21,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_015\COMST_015.md
COMST_016,0.94,qa_ok,A Survey on Integration of Network Communication into Vehicle Real-Time Motion Control,0.94,305694,4,13,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_016\COMST_016.md
COMST_017,0.94,qa_ok,A Survey on IoT-Enabled Home Automation Systems: Attacks and Defenses,0.94,252862,4,30,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_017\COMST_017.md
COMST_018,0.94,qa_ok,A Survey on Mobility of Edge Computing Networks in IoT State-of-the-Art- Architectures- and Challenges,0.94,245896,4,14,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_018\COMST_018.md
COMST_019,0.88,qa_ok,A Survey on Model-Based- Heuristic- and Machine Learning Optimization Approaches in RIS-Aided Wireless Networks,0.88,318277,3,31,True,1.0,0.6,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_019\COMST_019.md
COMST_020,0.94,qa_ok,A Survey on Multi-AP Coordination Approaches Over Emerging WLANs Future Directions and Open Challenges,0.94,252778,4,17,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_020\COMST_020.md
COMST_021,0.88,qa_ok,A Survey on Nongeostationary Satellite Systems: The Communication Perspective,0.88,246317,3,9,True,1.0,0.6,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_021\COMST_021.md
COMST_022,0.94,qa_ok,A Survey on Scheduling Techniques in Computing and Network Convergence,0.94,286397,4,18,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_022\COMST_022.md
COMST_023,0.88,qa_ok,A Survey on Trust Models in Heterogeneous Networks,0.88,261669,3,10,True,1.0,0.6,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_023\COMST_023.md
COMST_024,0.88,qa_ok,A Systematic Review of Human Activity Recognition Based on Mobile Devices Overview- Progress and Trends,0.88,284536,3,37,True,1.0,0.6,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_024\COMST_024.md
COMST_025,0.88,qa_ok,A Systematic Survey on Security in Anonymity Networks Vulnerabilities- Attacks- Defenses- and Formalization,0.88,411260,3,21,True,1.0,0.6,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_025\COMST_025.md
COMST_026,0.94,qa_ok,A Top-Down Survey on Optical Wireless Communications for the Internet of Things,0.94,343823,4,18,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_026\COMST_026.md
COMST_027,0.94,qa_ok,A Tutorial on Beyond-Diagonal Reconfigurable Intelligent Surfaces Modeling- Architectures- System Design and Optimization- and Applications,0.94,259429,4,43,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_027\COMST_027.md
COMST_028,0.88,qa_ok,Active Reconfigurable Intelligent Surfaces Expanding the Frontiers of Wireless Communication-A Survey,0.88,229874,3,17,True,1.0,0.6,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_028\COMST_028.md
COMST_029,0.94,qa_ok,Advances in Machine Learning-Driven Cognitive Radio for Wireless Networks A Survey,0.94,308444,4,13,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_029\COMST_029.md
COMST_030,0.94,qa_ok,Aerospace Integrated Networks Innovation for Empowering 6G A Survey and Future Challenges,0.94,357538,4,14,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_030\COMST_030.md
COMST_031,0.94,qa_ok,AI-driven Wireless Positioning Fundamentals- Standards- State-of-the-art- and Challenges,0.94,234527,4,15,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_031\COMST_031.md
COMST_032,0.88,qa_ok,An Overview on IEEE 802.11bf: WLAN Sensing,0.88,201924,3,36,True,1.0,0.6,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_032\COMST_032.md
COMST_033,0.82,qa_ok,Beam Alignment in mmWave V2X Communications: A Survey,0.82,254732,2,21,True,1.0,0.4,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_033\COMST_033.md
COMST_034,0.88,qa_ok,Computational Intelligence Algorithms for UAV Swarm Networking and Collaboration A Comprehensive Survey and Future Directions,0.88,313189,3,30,True,1.0,0.6,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_034\COMST_034.md
COMST_035,0.88,qa_ok,Data and Model Poisoning Backdoor Attacks on Wireless Federated Learning- and the Defense Mechanisms A Comprehensive Survey,0.88,252786,3,28,True,1.0,0.6,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_035\COMST_035.md
COMST_036,0.94,qa_ok,Design Guidelines on Trust Management for Underwater Wireless Sensor Networks,0.94,212401,4,12,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_036\COMST_036.md
COMST_037,0.94,qa_ok,Enabling Intelligent Connectivity: A Survey of Secure ISAC in 6G Networks,0.94,263964,4,20,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_037\COMST_037.md
COMST_038,0.82,qa_ok,Evasion Attack and Defense on Machine Learning Models in Cyber-Physical Systems A Survey,0.82,278941,2,8,True,1.0,0.4,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_038\COMST_038.md
COMST_039,0.94,qa_ok,Evolution of Non-Terrestrial Networks From 5G to 6G: A Survey,0.94,302548,4,12,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_039\COMST_039.md
COMST_040,0.88,qa_ok,Holographic MIMO Communications Theoretical Foundations- Enabling Technologies- and Future Directions,0.88,457619,3,33,True,1.0,0.6,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_040\COMST_040.md
COMST_041,0.88,qa_ok,How Can Optical Communications Shape the Future of Deep Space Communications- A Survey,0.88,184917,3,10,True,1.0,0.6,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_041\COMST_041.md
COMST_042,0.94,qa_ok,In-Network Machine Learning Using Programmable Network Devices: A Survey,0.94,240179,4,20,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_042\COMST_042.md
COMST_043,0.94,qa_ok,Integrated 5G and Time Sensitive Networking for Emerging Applications A Survey of Advancements- Challenges- and Future Directions,0.94,245387,4,20,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_043\COMST_043.md
COMST_044,0.94,qa_ok,Integrated Sonar and Communication: A Survey,0.94,171606,4,20,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_044\COMST_044.md
COMST_045,0.94,qa_ok,Intellicise Wireless Networks From Semantic Communications A Survey- Research Issues- and Challenges,0.94,224908,4,13,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_045\COMST_045.md
COMST_046,1.0,qa_ok,Metaverse Communications- Networking- Security- and Applications Research Issues- State-of-the-Art- and Future Directions,1.0,279442,5,24,True,1.0,1.0,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_046\COMST_046.md
COMST_047,0.88,qa_ok,MIMO Satellite Communication Systems: A Survey From the PHY Layer Perspective,0.88,173928,3,28,True,1.0,0.6,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_047\COMST_047.md
COMST_048,0.68,qa_fix,Models- Methods- and Solutions for Multicasting in 5G-6G mmWave and Sub-THz Systems,0.68,327653,3,16,False,1.0,0.6,1.0,0.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_048\COMST_048.md
COMST_049,0.88,qa_ok,Multi-Modal Data-Enhanced Foundation Models for Prediction and Control in Wireless Networks A Survey,0.88,248322,3,5,True,1.0,0.6,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_049\COMST_049.md
COMST_050,0.88,qa_ok,Navigating Industry 5.0 A Survey of Key Enabling Technologies- Trends- Challenges- and Opportunities,0.88,344393,3,19,True,1.0,0.6,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_050\COMST_050.md
COMST_051,0.82,qa_ok,Near-Field Communications: A Comprehensive Survey,0.82,321886,2,23,True,1.0,0.4,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_051\COMST_051.md
COMST_052,0.94,qa_ok,Network Slicing-Based Learning Techniques for IoV in 5G and Beyond Networks,0.94,478741,4,9,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_052\COMST_052.md
COMST_053,0.88,qa_ok,"On the Road to 6G: Visions, Requirements, Key Technologies, and Testbeds",0.88,574109,3,29,True,1.0,0.6,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_053\COMST_053.md
COMST_054,0.94,qa_ok,Optical Wireless Communication in Atmosphere and Underwater Statistical Models- Improvement Techniques- and Recent Applications,0.94,284584,4,5,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_054\COMST_054.md
COMST_055,0.88,qa_ok,Post-Quantum Blockchain Security for the Internet of Things Survey and Research Directions,0.88,186292,3,8,True,1.0,0.6,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_055\COMST_055.md
COMST_056,0.82,qa_ok,Precoding for High-Throughput Satellite Communication Systems: A Survey,0.82,295601,2,11,True,1.0,0.4,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_056\COMST_056.md
COMST_057,0.94,qa_ok,Principles- Applications- and Challenges of Reconfigurable Intelligent Surface-Enabled Backscatter Communication A Comprehensive Survey and Outlook,0.94,255401,4,25,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_057\COMST_057.md
COMST_058,0.94,qa_ok,Quantum AI-Enhanced IoT-Fog Communication A Survey from Cybersecurity and Data Privacy Perspective,0.94,204472,4,10,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_058\COMST_058.md
COMST_059,0.94,qa_ok,Rate-Splitting Multiple Access Fundamentals- Survey- and Future Research Trends,0.94,380114,4,46,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_059\COMST_059.md
COMST_060,0.94,qa_ok,Reconfigurable Intelligent Surfaces in 6G Radio Localization A Survey of Recent Developments- Opportunities- and Challenges,0.94,265967,4,20,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_060\COMST_060.md
COMST_061,1.0,qa_ok,RIS-Assisted Physical Layer Security in Emerging RF and Optical Wireless Communications Systems A Comprehensive Survey,1.0,385506,5,20,True,1.0,1.0,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_061\COMST_061.md
COMST_062,0.88,qa_ok,RIS-Empowered Satellite-Aerial-Terrestrial Networks With PD-NOMA,0.88,213199,3,24,True,1.0,0.6,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_062\COMST_062.md
COMST_063,0.82,qa_ok,Seamless Connectivity The Power of Integrating Power Line and Wireless Communications,0.82,280828,2,17,True,1.0,0.4,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_063\COMST_063.md
COMST_064,0.94,qa_ok,Security and Privacy on 6G Network Edge: A Survey,0.94,234122,4,13,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_064\COMST_064.md
COMST_065,0.94,qa_ok,Semantics-Empowered Space-Air-Ground-Sea Integrated Network New Paradigm- Frameworks- and Challenges,0.94,291598,4,21,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_065\COMST_065.md
COMST_066,0.94,qa_ok,Spectrum Sharing and Interference Management for 6G LEO Satellite-Terrestrial Network Integration,0.94,210897,4,18,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_066\COMST_066.md
COMST_067,0.88,qa_ok,Terahertz Communications and Sensing for 6G and Beyond A Comprehensive Review,0.88,474392,3,27,True,1.0,0.6,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_067\COMST_067.md
COMST_068,0.88,qa_ok,Toward 6G Optical Fronthaul A Survey on Enabling Technologies and Research Perspectives,0.88,285143,3,13,True,1.0,0.6,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_068\COMST_068.md
COMST_069,0.82,qa_ok,Two Decades of Research Progress in Resource Allocation for PLC Systems From Core Concepts to Frontiers,0.82,260243,2,12,True,1.0,0.4,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_069\COMST_069.md
COMST_070,0.94,qa_ok,UAV-Assisted Communications With RF Energy Harvesting: A Comprehensive Survey,0.94,428838,4,27,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_070\COMST_070.md
COMST_071,0.94,qa_ok,Unleashing the Power of Edge-Cloud Generative AI in Mobile Networks A Survey of AIGC Services,0.94,302053,4,35,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_071\COMST_071.md
COMST_072,0.88,qa_ok,Vehicle as a Service -VaaS- Leverage Vehicles to Build Service Networks and Capabilities for Smart Cities,0.88,231306,3,21,True,1.0,0.6,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_072\COMST_072.md
COMST_073,0.94,qa_ok,Visible Light Positioning as a Next-Generation Indoor Positioning Technology A Tutorial,0.94,512548,4,27,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_073\COMST_073.md
COMST_074,0.88,qa_ok,WiFi Sensing on the Edge Signal Processing Techniques and Challenges for Real-World Systems,0.88,217325,3,20,True,1.0,0.6,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_074\COMST_074.md
COMST_075,0.94,qa_ok,Wireless Access for V2X Communications Research- Challenges and Opportunities,0.94,266454,4,18,True,1.0,0.8,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_075\COMST_075.md
COMST_076,0.88,qa_ok,"Wireless Backhaul in 5G and Beyond: Issues, Challenges and Opportunities",0.88,370765,3,9,True,1.0,0.6,1.0,1.0,c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\corpus_standardized\COMST_076\COMST_076.md
