entry_type,sheet_name,field_name,code_group,code,label_or_definition,decision_rule,data_type,required_stage,missing_rule,rq_mapping,phase_boundary,schema_version
field,01_STUDY_MASTER,source_url,,,source url,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,primary_source_path,,,primary source path,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,primary_source_exists,,,primary source exists,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,primary_source_sha256,,,primary source sha256,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,primary_source_size_bytes,,,primary source size bytes,Complete during extraction when applicable; do not infer unsupported content.,number,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,date_eligibility_status,,,date eligibility status,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,corpus_role,,,corpus role,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,pilot_selected,,,pilot selected,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,pilot_order,,,pilot order,Complete during extraction when applicable; do not infer unsupported content.,number,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,extraction_status,,,extraction status,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,extractor_id,,,extractor id,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,extractor_actor_type,,,extractor actor type,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,extraction_date,,,extraction date,Complete during extraction when applicable; do not infer unsupported content.,date_or_iso_text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,verifier_id,,,verifier id,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,verifier_actor_type,,,verifier actor type,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,verification_status,,,verification status,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,verification_date,,,verification date,Complete during extraction when applicable; do not infer unsupported content.,date_or_iso_text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,adjudication_status,,,adjudication status,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,human_review_required,,,Whether the study requires source-open human review before lock.,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,human_review_reason,,,human review reason,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,qa_flag,,,qa flag,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,record_lock_status,,,Current baseline/pilot/full-corpus lock state.,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,primary_optical_modality_code,,,primary optical modality code,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,RQ1|RQ5,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,integration_level_code,,,integration level code,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,RQ1|RQ5,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,integration_mechanism_codes,,,integration mechanism codes,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,RQ1|RQ5,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,shared_hardware_waveform_resource,,,shared hardware waveform resource,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,communication_functions,,,communication functions,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,RQ1|RQ5,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,sensing_tasks,,,sensing tasks,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,RQ1|RQ5,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,waveform_modulation,,,waveform modulation,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,optical_front_end,,,optical front end,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,network_setting,,,network setting,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,channel_models,,,channel models,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,hardware_assumptions,,,hardware assumptions,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,signal_processing_methods,,,signal processing methods,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,system_design_strategies,,,system design strategies,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,validation_type_codes,,,validation type codes,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,RQ6,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,scenario_environment,,,scenario environment,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,application_domain_codes,,,application domain codes,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,enabling_technology_codes,,,enabling technology codes,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,six_g_relevance_code,,,six g relevance code,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,rate_sensing_tradeoff_screening_status,,,rate sensing tradeoff screening status,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,RQ4,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,dataset_availability_status,,,dataset availability status,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,RQ6,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,code_model_availability_status,,,code model availability status,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,RQ6,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,repeatable_parameters_status,,,repeatable parameters status,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,baseline_comparator_summary,,,baseline comparator summary,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,author_reported_limitations,,,author reported limitations,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,author_reported_research_gaps,,,author reported research gaps,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,funding,,,funding,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,conflicts_of_interest,,,conflicts of interest,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,missing_data_summary,,,missing data summary,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,assumptions_summary,,,assumptions summary,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,derived_or_digitized_data_present,,,derived or digitized data present,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,author_contact_needed,,,author contact needed,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,extraction_notes,,,extraction notes,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,schema_version,,,Version of the extraction schema applied to the row.,Required in the Phase D baseline or when a row is created.,text,baseline,Must not be blank.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,01_STUDY_MASTER,last_updated_at,,,last updated at,Complete during extraction when applicable; do not infer unsupported content.,date_or_iso_text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,02_REPORT_LINEAGE,study_cluster_id,,,Locked Phase B study-level primary key.,Required in the Phase D baseline or when a row is created.,text,baseline,Must not be blank.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,02_REPORT_LINEAGE,screening_record_id,,,screening record id,Required in the Phase D baseline or when a row is created.,text,baseline,Must not be blank.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,02_REPORT_LINEAGE,report_id,,,report id,Required in the Phase D baseline or when a row is created.,text,baseline,Must not be blank.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,02_REPORT_LINEAGE,canonical_report_flag,,,canonical report flag,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,02_REPORT_LINEAGE,primary_extraction_report_flag,,,primary extraction report flag,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,02_REPORT_LINEAGE,evidence_use_role,,,evidence use role,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,02_REPORT_LINEAGE,final_relation_code,,,final relation code,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,02_REPORT_LINEAGE,final_report_role,,,final report role,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,02_REPORT_LINEAGE,final_decision,,,final decision,Required in the Phase D baseline or when a row is created.,text,baseline,Must not be blank.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,02_REPORT_LINEAGE,final_double_count_disposition,,,final double count disposition,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,02_REPORT_LINEAGE,batch,,,batch,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,02_REPORT_LINEAGE,title,,,title,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,02_REPORT_LINEAGE,authors,,,authors,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,02_REPORT_LINEAGE,year,,,year,Complete during extraction when applicable; do not infer unsupported content.,number,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,02_REPORT_LINEAGE,venue,,,venue,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,02_REPORT_LINEAGE,doi,,,doi,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,02_REPORT_LINEAGE,document_type,,,document type,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,02_REPORT_LINEAGE,database_sources,,,database sources,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,02_REPORT_LINEAGE,source_path,,,source path,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,02_REPORT_LINEAGE,source_exists,,,source exists,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,02_REPORT_LINEAGE,source_extension,,,source extension,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,02_REPORT_LINEAGE,source_pdf_signature,,,source pdf signature,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,02_REPORT_LINEAGE,source_size_bytes,,,source size bytes,Complete during extraction when applicable; do not infer unsupported content.,number,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,02_REPORT_LINEAGE,source_sha256,,,source sha256,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,02_REPORT_LINEAGE,mapping_lock_status,,,mapping lock status,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,02_REPORT_LINEAGE,contradiction_flag,,,contradiction flag,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,02_REPORT_LINEAGE,lineage_note,,,lineage note,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,02_REPORT_LINEAGE,schema_version,,,Version of the extraction schema applied to the row.,Required in the Phase D baseline or when a row is created.,text,baseline,Must not be blank.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,03_EVIDENCE_ITEMS,evidence_id,,,Unique evidence-item identifier.,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,03_EVIDENCE_ITEMS,study_cluster_id,,,Locked Phase B study-level primary key.,Required in the Phase D baseline or when a row is created.,text,baseline,Must not be blank.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
field,03_EVIDENCE_ITEMS,scope_type,,,scope type,Complete during extraction when applicable; do not infer unsupported content.,text,extraction_or_verification,Blank=not reviewed; after review use reported/NR/NA/UNC where applicable.,,Phase_D_raw_evidence,phase_d_schema_v1.0_pilot_locked
