paper_id,medium,mechanism,detection,sensing_task,medium_raw,mechanism_raw,detection_raw,sensing_task_raw
O_ISAC_059,hybrid,shared_frontend,coherent,ranging|_localization,hybrid,shared_frontend,coherent,"['ranging', 'localization']"
O_ISAC_060,wireless_fso,shared_frontend,coherent,ranging|_localization_2d,wireless_fso,shared_frontend,coherent,"['ranging', 'localization_2d']"
O_ISAC_061,hybrid,shared_frontend,direct,ranging,hybrid,shared_frontend,direct,ranging
O_ISAC_062,wireless_vlc,shared_frontend,direct,localization,wireless_vlc,shared_frontend,direct,localization
O_ISAC_063,cabled_fibre,separate_frontends,direct,ranging,cabled_fibre,separate_frontends,direct,ranging
O_ISAC_064,cabled_fibre,shared_frontend,coherent,vibration,cabled_fibre,shared_frontend,coherent,['vibration']
O_ISAC_065,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_066,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_067,wireless_fso,separate_frontends,direct,localization_2d,wireless_fso,separate_frontends,direct,localization_2d
O_ISAC_068,hybrid,shared_frontend,direct,ranging,hybrid,shared_frontend,direct,ranging
O_ISAC_069,hybrid,shared_frontend,coherent,localization_2d,hybrid,shared_frontend,coherent,localization_2d
O_ISAC_070,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_071,hybrid,shared_frontend,direct,ranging,hybrid,shared_frontend,direct,['ranging']
O_ISAC_072,cabled_fibre,shared_frontend,coherent,vibration,cabled_fibre,shared_frontend,coherent,vibration
O_ISAC_073,hybrid,shared_frontend,coherent,ranging|_localization_2d,hybrid,shared_frontend,coherent,"['ranging', 'localization_2d']"
O_ISAC_074,cabled_fibre,shared_frontend,coherent,ranging|_localization_2d,cabled_fibre,shared_frontend,coherent,"['ranging', 'localization_2d']"
O_ISAC_075,retroreflective_optical,shared_frontend,direct,ranging,retroreflective_optical,shared_frontend,direct,ranging
O_ISAC_076,cabled_fibre,shared_frontend,coherent,vibration,cabled_fibre,shared_frontend,coherent,vibration
O_ISAC_077,hybrid,shared_frontend,coherent,ranging|_localization_2d,hybrid,shared_frontend,coherent,"['ranging', 'localization_2d']"
O_ISAC_078,cabled_fibre,separate_frontends,direct,ranging,cabled_fibre,separate_frontends,direct,ranging
O_ISAC_079,cabled_fibre,shared_frontend,coherent,ranging|_localization_2d,cabled_fibre,shared_frontend,coherent,"['ranging', 'localization_2d']"
O_ISAC_080,cabled_fibre,shared_frontend,coherent,vibration,cabled_fibre,shared_frontend,coherent,vibration
O_ISAC_081,hybrid,shared_frontend,coherent,ranging|_localization_2d,hybrid,shared_frontend,coherent,"['ranging', 'localization_2d']"
O_ISAC_082,hybrid,shared_frontend,envelope_detection,ranging,hybrid,shared_frontend,envelope_detection,ranging
O_ISAC_083,hybrid,shared_frontend,coherent,ranging|_localization_2d,hybrid,shared_frontend,coherent,"['ranging', 'localization_2d']"
O_ISAC_084,wireless_vlc,shared_frontend,direct,ranging|_localization_2d,wireless_vlc,shared_frontend,direct,"['ranging', 'localization_2d']"
O_ISAC_085,cabled_fibre,shared_frontend,coherent,vibration,cabled_fibre,shared_frontend,coherent,vibration
O_ISAC_086,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_088,hybrid,shared_frontend,direct,localization_2d|_target_detection,hybrid,shared_frontend,direct,"['localization_2d', 'target_detection']"
O_ISAC_089,cabled_fibre,shared_frontend,direct,ranging|_localization_2d,cabled_fibre,shared_frontend,direct_detection,"['ranging', 'localization_2d']"
O_ISAC_090,cabled_fibre,shared_frontend,coherent,localization_2d,cabled_fibre,shared_frontend,coherent,localization_2d
O_ISAC_091,wireless_fso,shared_frontend,coherent,ranging,wireless_fso,shared_frontend,coherent,ranging
O_ISAC_092,wireless_vlc,shared_frontend,direct,localization_2d,visible_light,shared_frontend,direct,localization_2d
O_ISAC_093,hybrid,shared_frontend,direct,other,hybrid,shared_frontend,direct,other
O_ISAC_094,hybrid,shared_frontend,direct,target_detection,hybrid,shared_frontend,direct,target_detection
O_ISAC_095,hybrid,shared_frontend,direct,ranging,hybrid,shared_frontend,direct,ranging
O_ISAC_096,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_097,hybrid,shared_frontend,direct,ranging,hybrid,shared_frontend,direct,ranging
O_ISAC_098,wireless_fso,shared_frontend,direct,ranging,wireless_fso,shared_frontend,direct,ranging
O_ISAC_099,retroreflective,shared_frontend,direct,ranging|_localization,retroreflective,shared_frontend,direct,"['ranging', 'localization']"
O_ISAC_100,hybrid,shared_frontend,direct,ranging,hybrid,shared_frontend,direct,ranging
O_ISAC_101,cabled_fibre,shared_frontend,direct,ranging,cabled_fibre,shared_frontend,direct,ranging
O_ISAC_102,cabled_fibre,shared_frontend,direct,ranging,cabled_fibre,shared_frontend,direct,ranging
O_ISAC_103,cabled_fibre,shared_frontend,coherent,fault_localization,cabled_fibre,shared_frontend,coherent,fault_localization
O_ISAC_104,cabled_fibre,shared_frontend,direct,localization_2d,cabled_fibre,shared_frontend,direct,localization_2d
O_ISAC_105,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_106,wireless_retroreflective,shared_frontend,direct,localization_2d,wireless_retroreflective,shared_frontend,direct,['localization_2d']
O_ISAC_107,hybrid,shared_frontend,direct,localization_2d,hybrid,shared_frontend,direct,localization_2d
O_ISAC_108,wireless_vlc,shared_frontend,direct,localization_2d,wireless_vlc,shared_frontend,direct,['localization_2d']
O_ISAC_109,hybrid,shared_frontend,direct,ranging|_localization_2d,hybrid,shared_frontend,direct,"['ranging', 'localization_2d']"
O_ISAC_110,wireless_vlc,shared_frontend,direct,ranging|_localization_2d,wireless_vlc,shared_frontend,direct,"['ranging', 'localization_2d']"
O_ISAC_111,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_112,hybrid,shared_frontend,direct,ranging,hybrid,shared_frontend,direct,ranging
O_ISAC_113,cabled_fibre,shared_frontend,coherent,temperature,cabled_fibre,shared_frontend,coherent,['temperature']
O_ISAC_114,hybrid,shared_frontend,direct,ranging,hybrid,shared_frontend,direct,ranging
O_ISAC_115,wireless_fso,separate_frontends,direct,ranging|_localization_2d,wireless_fso,separate_frontends,direct_detection,"['ranging', 'localization_2d']"
O_ISAC_116,wireless_uv,separate_frontends,direct,localization_2d,wireless_uv,separate_frontends,direct,['localization_2d']
O_ISAC_117,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_118,wireless,shared_frontend,coherent,ranging|_localization_2d,wireless,shared_frontend,coherent,"['ranging', 'localization_2d']"
O_ISAC_119,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_120,wireless_fso,shared_frontend,coherent,ranging,wireless_fso,shared_frontend,coherent,ranging
O_ISAC_121,other,separate_frontends,direct,ranging|_localization_2d,other,separate_frontends,direct,"['ranging', 'localization_2d']"
O_ISAC_122,other,shared_frontend,direct,direction_of_arrival,other,shared_frontend,direct,direction_of_arrival
O_ISAC_123,hybrid,shared_frontend,direct,localization_2d,hybrid,shared_frontend,direct,localization_2d
O_ISAC_124,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_125,wireless,shared_frontend,direct,ranging|_localization_2d,wireless,shared_frontend,direct,"['ranging', 'localization_2d']"
O_ISAC_126,hybrid,shared_frontend,coherent,ranging|_localization_2d,hybrid,shared_frontend,coherent,"['ranging', 'localization_2d']"
O_ISAC_127,wireless_fso,shared_frontend,coherent,ranging,wireless_fso,shared_frontend,coherent,ranging
O_ISAC_128,cabled_fibre,shared_frontend,coherent,ranging|_vibration,cabled_fibre,shared_frontend,coherent,"['ranging', 'vibration']"
O_ISAC_129,wireless_vlc,shared_frontend,direct,ranging|_localization_2d,wireless_vlc,shared_frontend,direct,"['ranging', 'localization_2d']"
O_ISAC_130,hybrid,shared_frontend,direct,ranging,hybrid,shared_frontend,direct,ranging
O_ISAC_131,wireless_vlc,separate_frontends,direct,localization_2d,wireless_vlc,separate_frontends,direct,['localization_2d']
O_ISAC_132,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_133,wireless_fso,shared_frontend,direct,ranging,wireless_fso,shared_frontend,direct,ranging
O_ISAC_134,hybrid,shared_frontend,coherent,localization,hybrid,shared_frontend,coherent,localization
O_ISAC_135,hybrid,separate_frontends,direct,volcanic_ash_detection,hybrid,separate_frontends,direct_detection,volcanic_ash_detection
O_ISAC_136,hybrid,shared_frontend,coherent,ranging|_localization_2d,hybrid,shared_frontend,coherent,"['ranging', 'localization_2d']"
O_ISAC_137,wireless_fso,shared_frontend,direct,ranging|_localization_2d,wireless_fso,shared_frontend,direct,"['ranging', 'localization_2d']"
O_ISAC_138,hybrid,shared_frontend,coherent,localization,hybrid,shared_frontend,coherent,localization
O_ISAC_139,wireless,shared_frontend,direct,localization,wireless,shared_frontend,direct,['localization']
O_ISAC_140,wireless,shared_frontend,mimo,ranging,wireless,shared_frontend,MIMO,ranging
O_ISAC_141,wireless,shared_frontend,direct,ranging|_localization_2d,wireless,shared_frontend,direct,"['ranging', 'localization_2d']"
O_ISAC_142,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_143,wireless_vlc,shared_frontend,direct,ranging|_localization_2d|_velocity,wireless_vlc,shared_frontend,direct,"ranging, localization_2d, velocity"
O_ISAC_144,hybrid,separate_frontends,direct,localization_2d|_localization_3d,hybrid,separate_frontends,direct,"['localization_2d', 'localization_3d']"
O_ISAC_145,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_146,hybrid,shared_frontend,unknown,ranging|_localization_2d,hybrid,shared_frontend,NR,"['ranging', 'localization_2d']"
O_ISAC_147,wireless_fso,separate_frontends,direct,ranging,wireless_fso,separate_frontends,direct,ranging
O_ISAC_148,hybrid,separate_frontends,direct,ranging|_localization_2d,hybrid,separate_frontends,direct,"['ranging', 'localization_2d']"
O_ISAC_149,hybrid,separate_frontends,direct,ranging|_localization_2d,hybrid,separate_frontends,direct,"['ranging', 'localization_2d']"
O_ISAC_150,hybrid,shared_frontend,coherent,ranging|_localization_2d,hybrid,shared_frontend,coherent,"['ranging', 'localization_2d']"
O_ISAC_151,hybrid,separate_frontends,direct,localization_2d,hybrid,separate_frontends,direct,localization_2d
O_ISAC_152,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_153,terahertz,shared_frontend,direct,ranging,terahertz,shared_frontend,direct_detection,ranging
O_ISAC_154,hybrid,separate_frontends,direct,localization_2d,hybrid,separate_frontends,direct,localization_2d
O_ISAC_155,hybrid,separate_frontends,other,localization_2d|_localization_3d,hybrid,separate_frontends,other,"['localization_2d', 'localization_3d']"
O_ISAC_156,hybrid,separate_frontends,direct,other,hybrid,separate_frontends,direct,other
O_ISAC_157,wireless,shared_frontend,direct,ranging,wireless,shared_frontend,direct,ranging
O_ISAC_158,hybrid,shared_frontend,coherent,ranging|_localization_2d,hybrid,shared_frontend,coherent,"['ranging', 'localization_2d']"
O_ISAC_159,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_160,wireless_rf,shared_frontend,coherent,localization,RF,shared_frontend,coherent,localization
O_ISAC_161,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_162,hybrid,shared_frontend,coherent,ranging|_localization_2d,hybrid,shared_frontend,coherent,"['ranging', 'localization_2d']"
O_ISAC_163,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_164,hybrid,shared_frontend,direct,ranging,hybrid,shared_frontend,direct,ranging
O_ISAC_165,hybrid,shared_frontend,direct,ranging,hybrid,shared_frontend,direct,ranging
O_ISAC_166,hybrid,shared_frontend,direct,ranging,hybrid,shared_frontend,direct,ranging
O_ISAC_167,hybrid,shared_frontend,direct,ranging,hybrid,shared_frontend,direct,ranging
O_ISAC_171,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_172,cabled_fibre,shared_frontend,direct,ranging,cabled_fibre,shared_frontend,direct,ranging
O_ISAC_173,wireless_vlc,shared_frontend,direct,localization_2d,wireless_vlc,shared_frontend,direct,['localization_2d']
O_ISAC_185,wireless_vlc,shared_frontend,direct,localization_2d,wireless_vlc,shared_frontend,direct,localization_2d
O_ISAC_186,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_187,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_188,cabled_fibre,shared_frontend,coherent,localization_2d,cabled_fibre,shared_frontend,coherent,localization_2d
O_ISAC_189,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_190,cabled_fibre,shared_frontend,direct,localization_2d,cabled_fibre,shared_frontend,direct,localization_2d
O_ISAC_195,hybrid,shared_frontend,direct,ranging|_localization_2d,hybrid,shared_frontend,direct,"['ranging', 'localization_2d']"
O_ISAC_199,hybrid,shared_frontend,direct,ranging,hybrid,shared_frontend,direct_detection,ranging
O_ISAC_200,cabled_fibre,shared_frontend,coherent,ranging,cabled_fibre,shared_frontend,coherent,ranging
O_ISAC_202,cabled_fibre,shared_frontend,direct,ranging|_localization_2d,cabled_fibre,shared_frontend,direct,"['ranging', 'localization_2d']"
O_ISAC_203,hybrid,shared_frontend,direct,ranging,hybrid,shared_frontend,direct,ranging
O_ISAC_206,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_218,hybrid,shared_frontend,direct,ranging,hybrid,shared_frontend,direct,ranging
O_ISAC_219,hybrid,shared_frontend,direct,ranging,hybrid,shared_frontend,direct,['ranging']
O_ISAC_220,cabled_fibre,shared_frontend,coherent,temperature_sensing,cabled_fibre,shared_frontend,coherent,temperature_sensing
O_ISAC_237,hybrid,shared_frontend,unknown,ranging,hybrid,shared_frontend,Not Reported,ranging
O_ISAC_241,hybrid,shared_frontend,direct,ranging|_localization,hybrid,shared_frontend,direct,"['ranging', 'localization']"
O_ISAC_242,hybrid,shared_frontend,direct,ranging|_localization,hybrid,shared_frontend,direct,"['ranging', 'localization']"
O_ISAC_245,wireless_fso,separate_frontends,coherent,ranging,wireless_fso,separate_frontends,coherent,ranging
O_ISAC_248,cabled_fibre,shared_frontend,direct,vibration,cabled_fibre,shared_frontend,direct,vibration
O_ISAC_252,wireless_fso,separate_frontends,direct,ranging|_turbulence_sensing,wireless_fso,separate_frontends,direct,"['ranging', 'turbulence_sensing']"
O_ISAC_259,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_272,hybrid,shared_frontend,direct,ranging|_localization_2d,hybrid,shared_frontend,direct,"['ranging', 'localization_2d']"
O_ISAC_276,cabled_fibre,shared_frontend,direct,ranging|_localization_2d,cabled_fibre,shared_frontend,direct,"['ranging', 'localization_2d']"
O_ISAC_280,hybrid,shared_frontend,coherent,localization_2d,hybrid,shared_frontend,coherent,localization_2d
O_ISAC_283,hybrid,shared_frontend,direct,ranging,hybrid,shared_frontend,direct,ranging
O_ISAC_286,hybrid,shared_frontend,direct,ranging,hybrid,shared_frontend,direct,ranging
O_ISAC_288,hybrid,shared_frontend,direct,ranging,hybrid,shared_frontend,direct,ranging
O_ISAC_291,hybrid,shared_frontend,direct,localization_2d|_localization_3d,hybrid,shared_frontend,direct,"['localization_2d', 'localization_3d']"
O_ISAC_300,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_301,hybrid,shared_frontend,coherent,ranging|_localization_2d,hybrid,shared_frontend,coherent,"['ranging', 'localization_2d']"
O_ISAC_303,wireless_vlc,shared_frontend,direct,ranging,wireless_vlc,shared_frontend,direct,ranging
O_ISAC_304,hybrid,shared_frontend,coherent,ranging|_localization_2d,hybrid,shared_frontend,coherent,"['ranging', 'localization_2d']"
O_ISAC_310,hybrid,shared_frontend,coherent,ranging|_localization_2d,hybrid,shared_frontend,coherent,"['ranging', 'localization_2d']"
O_ISAC_324,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_327,hybrid,separate_frontends,direct,localization_2d,hybrid,separate_frontends,direct,localization_2d
O_ISAC_340,hybrid,shared_frontend,coherent,ranging|_localization_2d,hybrid,shared_frontend,coherent,"['ranging', 'localization_2d']"
O_ISAC_348,hybrid,shared_frontend,direct,vibration,hybrid,shared_frontend,direct,vibration
O_ISAC_349,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_350,hybrid,shared_frontend,direct,motion_detection,hybrid,shared_frontend,direct,motion_detection
O_ISAC_351,hybrid,shared_frontend,direct,ranging,hybrid,Shared frontend,Direct detection,ranging
O_ISAC_354,wireless_vlc,shared_frontend,direct,ranging,wireless_vlc,shared_frontend,direct,ranging
O_ISAC_356,wireless_fso,shared_frontend,coherent,ranging|_localization_2d,wireless_fso,shared_frontend,coherent,"['ranging', 'localization_2d']"
O_ISAC_360,cabled_fibre,shared_frontend,direct,localization_2d|_target_detection,cabled_fibre,shared_frontend,direct,"['localization_2d', 'target_detection']"
O_ISAC_368,hybrid,shared_frontend,direct,ranging|_localization_2d,hybrid,shared_frontend,direct,"['ranging', 'localization_2d']"
O_ISAC_371,wireless_vlc,separate_frontends,direct,localization_2d,wireless_vlc,separate_frontends,direct,localization_2d
O_ISAC_377,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_379,hybrid,shared_frontend,coherent,ranging,hybrid,shared_frontend,coherent,ranging
O_ISAC_381,wireless_vlc,separate_frontends,direct,ranging,wireless_vlc,separate_frontends,direct,['ranging']
O_ISAC_386,wireless_vlc,separate_frontends,direct,localization_2d,wireless_vlc,separate_frontends,direct,['localization_2d']
O_ISAC_388,wireless_vlc,separate_frontends,direct,ranging,wireless_vlc,separate_frontends,direct,ranging
