"source_metric_record_id","canonical_study_cluster_id","canonical_source_report_id","modality","canonical_metric_domain","canonical_metric_family_code","canonical_metric_name_reported","canonical_condition_set_id","canonical_comparison_group_id","canonical_comparison_operator","canonical_value_numeric","canonical_value_low","canonical_value_high","canonical_unit_reported","canonical_measurement_plane_code","canonical_validation_type_code","canonical_scenario_summary","canonical_baseline_comparator","canonical_pdf_page","canonical_section_heading","canonical_table_id","canonical_figure_id","canonical_equation_id","reviewed_source_pdf_sha256","reviewer_1_status","reviewer_2_status","discrepancy_status","verification_outcome","recommended_comparison_decision","recommended_survey_use_decision","recommended_card_id","recommendation_status","lock_date"
"MET-SCR00008-013","STC-SINGLETON-SCR-00008","SCR-00008","fiber","sensing","other","No-vibration mean noise floor after LPN compensation","COND-SCR00008-PZT-OFF-PSD-100KHZ","CG-FTDVS-PHASE-PSD-NOISE-FLOOR","eq","-50.2","","","dB (ref rad^2/Hz)","link","laboratory_experiment","PZT drive off; mean PSD up to 100 kHz.","Before-compensation value -1.6 dB.","5","3. Experiments and Result Discussion","","Fig. 5(b)","","36F3A5197EFA32B5E29E29C0A1989250321B1E03D0AF152C735F24DC8090BA06","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00008-014","STC-SINGLETON-SCR-00008","SCR-00008","fiber","sensing","other","No-vibration noise-floor reduction","COND-SCR00008-PZT-OFF-PSD-100KHZ","CG-FTDVS-NOISE-FLOOR-REDUCTION","eq","48.6","","","dB","link","laboratory_experiment","PZT drive off; mean PSD up to 100 kHz.","-1.6 to -50.2 dB.","5","3. Experiments and Result Discussion","","Fig. 5(b)","","36F3A5197EFA32B5E29E29C0A1989250321B1E03D0AF152C735F24DC8090BA06","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00008-015","STC-SINGLETON-SCR-00008","SCR-00008","fiber","sensing","other","Pearson correlation coefficient","COND-SCR00008-DBR-VS-UNLL","CG-LPN-COMPENSATION-PSD-CORRELATION","eq","0.995","","","unitless","link","laboratory_experiment","Same vibration comparison; DBR uses LPN compensation and NKT X15 UNLL does not.","NKT X15 UNLL below 100 Hz.","5-6","3. Experiments and Result Discussion","","Fig. 5(c)","","36F3A5197EFA32B5E29E29C0A1989250321B1E03D0AF152C735F24DC8090BA06","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","non_poolable","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00008-016","STC-SINGLETON-SCR-00008","SCR-00008","fiber","sensing","sensing_SNR","UNLL time-domain SNR","COND-SCR00008-DBR-VS-UNLL","CG-FTDVS-SENSING-SNR","eq","45","","","dB","link","laboratory_experiment","NKT X15 UNLL; LPN compensation not applied.","DBR with LPN compensation: 45.4 dB.","6","3. Experiments and Result Discussion","","Fig. 5(c)","","36F3A5197EFA32B5E29E29C0A1989250321B1E03D0AF152C735F24DC8090BA06","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00008-017","STC-SINGLETON-SCR-00008","SCR-00008","fiber","sensing","sensing_SNR","DBR time-domain SNR","COND-SCR00008-DBR-VS-UNLL","CG-FTDVS-SENSING-SNR","eq","45.4","","","dB","link","laboratory_experiment","TL5600AN DBR with reference-phase LPN compensation.","NKT X15 UNLL: 45.0 dB.","6","3. Experiments and Result Discussion","","Fig. 5(c)","","36F3A5197EFA32B5E29E29C0A1989250321B1E03D0AF152C735F24DC8090BA06","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00008-018","STC-SINGLETON-SCR-00008","SCR-00008","fiber","sensing","sensing_SNR","SNR discrepancy","COND-SCR00008-DBR-VS-UNLL","CG-FTDVS-SENSING-SNR-DIFFERENCE","eq","0.4","","","dB","link","laboratory_experiment","UNLL versus DBR with LPN compensation.","45.0 versus 45.4 dB.","6","3. Experiments and Result Discussion","","Fig. 5(c)","","36F3A5197EFA32B5E29E29C0A1989250321B1E03D0AF152C735F24DC8090BA06","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","non_poolable","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00008-019","STC-SINGLETON-SCR-00008","SCR-00008","fiber","sensing","other","Uncompensated negative cross-correlation-spike delay","COND-SCR00008-UNCOMPENSATED-CORRELATION","CG-FTDVS-CROSS-CORRELATION-DELAY","eq","0.88687","","","ms","link","laboratory_experiment","Differential phases without LPN compensation.","Theoretical 2tT+tD delay 0.89057 ms.","6","3. Experiments and Result Discussion","","Fig. 6(a)","Eq. (7)","36F3A5197EFA32B5E29E29C0A1989250321B1E03D0AF152C735F24DC8090BA06","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00008-020","STC-SINGLETON-SCR-00008","SCR-00008","fiber","sensing","other","Theoretical LPN cross-correlation delay","COND-SCR00008-UNCOMPENSATED-CORRELATION","CG-FTDVS-CROSS-CORRELATION-DELAY","eq","0.89057","","","ms","link","analytical","Analytical delay for the 90-km link and 2-km delay fiber.","Measured negative-spike delay 0.88687 ms.","6","3. Experiments and Result Discussion","","Fig. 6(a)","Eq. (7)","36F3A5197EFA32B5E29E29C0A1989250321B1E03D0AF152C735F24DC8090BA06","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00008-021","STC-SINGLETON-SCR-00008","SCR-00008","fiber","sensing","other","Compensated vibration delay t2","COND-SCR00008-COMPENSATED-LOCATION","CG-FTDVS-CROSS-CORRELATION-DELAY","eq","0.40662","","","ms","link","laboratory_experiment","DBR with LPN compensation; positive cross-correlation peak.","Uncompensated phases do not show the required positive peak.","6","3. Experiments and Result Discussion","","Fig. 6(a)","Eqs. (7) and (8)","36F3A5197EFA32B5E29E29C0A1989250321B1E03D0AF152C735F24DC8090BA06","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00008-024","STC-SINGLETON-SCR-00008","SCR-00008","fiber","sensing","other","Location fluctuation range at 1 kHz","COND-SCR00008-1KHZ-30TRIALS","CG-FTDVS-LOCATION-FLUCTUATION-RANGE","eq","38.8","","","m","link","laboratory_experiment","1-kHz PZT; 30 acquisitions; communication off.","3-kHz range 18.2 m; 10-kHz range 9.4 m.","6","3. Experiments and Result Discussion","","Fig. 6(b)","","36F3A5197EFA32B5E29E29C0A1989250321B1E03D0AF152C735F24DC8090BA06","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00008-026","STC-SINGLETON-SCR-00008","SCR-00008","fiber","sensing","other","Location fluctuation range at 3 kHz","COND-SCR00008-3KHZ-30TRIALS","CG-FTDVS-LOCATION-FLUCTUATION-RANGE","eq","18.2","","","m","link","laboratory_experiment","3-kHz PZT; 30 acquisitions; communication off.","1-kHz range 38.8 m; 10-kHz range 9.4 m.","6","3. Experiments and Result Discussion","","Fig. 6(b)","","36F3A5197EFA32B5E29E29C0A1989250321B1E03D0AF152C735F24DC8090BA06","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00008-028","STC-SINGLETON-SCR-00008","SCR-00008","fiber","sensing","other","Location fluctuation range at 10 kHz","COND-SCR00008-10KHZ-30TRIALS","CG-FTDVS-LOCATION-FLUCTUATION-RANGE","eq","9.4","","","m","link","laboratory_experiment","10-kHz PZT; 30 acquisitions; communication off.","1-kHz range 38.8 m; 3-kHz range 18.2 m.","6","3. Experiments and Result Discussion","","Fig. 6(b)","","36F3A5197EFA32B5E29E29C0A1989250321B1E03D0AF152C735F24DC8090BA06","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00036-G2-001","STC-SINGLETON-SCR-00036","SCR-00036","photonic_mmwave","sensing","sensing_SNR","Echo SNR enhancement after switch calibration","COND-SCR00036-CALIBRATED-ECHO","CG-SCR00036-ECHO-CALIBRATION","eq","16.5","","","dB","system","laboratory_experiment","Eight-channel PAPA echo after on-chip optical-switch calibration.","Before calibration.","5-6","2.2 Implementation of ISAC Based on the Phased-Array Chip","","Fig. 4(b)","","E20C735D16C6D25519FB3FE684B889EA6026F1FDA7DA62D12ED2562A7558075A","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","non_poolable","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00036-G2-002","STC-SINGLETON-SCR-00036","SCR-00036","photonic_mmwave","sensing","ranging_error","Maximum ranging error","COND-SCR00036-SINGLE-TARGET","CG-SCR00036-RANGING-ERROR","lt","1","","","cm","system","laboratory_experiment","Single-target anechoic-chamber ranging over 1.6-2.7 m.","","6","2.2 Implementation of ISAC Based on the Phased-Array Chip","","Fig. 4(c)","","E20C735D16C6D25519FB3FE684B889EA6026F1FDA7DA62D12ED2562A7558075A","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","main_text","K5","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00036-G2-003","STC-SINGLETON-SCR-00036","SCR-00036","photonic_mmwave","sensing","ranging_error","Relative ranging error","COND-SCR00036-SINGLE-TARGET","CG-SCR00036-RANGING-ERROR","lt","0.4","","","%","system","laboratory_experiment","Single-target ranging at 1.6-2.7 m.","","6","2.2 Implementation of ISAC Based on the Phased-Array Chip","","Fig. 4(c)","","E20C735D16C6D25519FB3FE684B889EA6026F1FDA7DA62D12ED2562A7558075A","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00036-G2-004","STC-SINGLETON-SCR-00036","SCR-00036","photonic_mmwave","sensing","range_resolution","Measured ranging resolution","COND-SCR00036-TWO-TARGET","CG-SCR00036-RANGE-RESOLUTION","approx","3","","","cm","system","laboratory_experiment","Two targets separated by 3 cm.","","6","2.2 Implementation of ISAC Based on the Phased-Array Chip","","Fig. 4(e)","Eq. (2)","E20C735D16C6D25519FB3FE684B889EA6026F1FDA7DA62D12ED2562A7558075A","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","non_poolable","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00036-G2-005","STC-SINGLETON-SCR-00036","SCR-00036","photonic_mmwave","communication","data_rate","Communication data rate","COND-SCR00036-20GBPS-16QAM","CG-SCR00036-DATA-RATE","eq","20","","","Gbps","system","laboratory_experiment","5-GBaud integrated 21-26-GHz OFDM-FMCW signal.","","6","2.2 Implementation of ISAC Based on the Phased-Array Chip","","Fig. 4(f)","","E20C735D16C6D25519FB3FE684B889EA6026F1FDA7DA62D12ED2562A7558075A","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","non_poolable","main_text","K5","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00036-G2-006","STC-SINGLETON-SCR-00036","SCR-00036","photonic_mmwave","communication","BER","Best BER","COND-SCR00036-20GBPS-16QAM","CG-SCR00036-BER","eq","0.000076","","","BER","system","laboratory_experiment","20-Gbps 16-QAM; varying optical input power to the chip.","7% HD-FEC threshold.","6","2.2 Implementation of ISAC Based on the Phased-Array Chip","","Fig. 4(f)","","E20C735D16C6D25519FB3FE684B889EA6026F1FDA7DA62D12ED2562A7558075A","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","non_poolable","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00036-G2-007","STC-SINGLETON-SCR-00036","SCR-00036","photonic_mmwave","joint","other","Beam-steering switching time","COND-SCR00036-BEAM-STEERING","CG-SCR00036-STEERING-SPEED","eq","23","","","us","device_component","laboratory_experiment","Thermo-optic switch/time-delay network.","","4;6","2.1 Design and Characterization; 3 Conclusion","Table 1","Fig. 3","","E20C735D16C6D25519FB3FE684B889EA6026F1FDA7DA62D12ED2562A7558075A","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","non_poolable","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00038-G2-001","STC-SINGLETON-SCR-00038","SCR-00038","fiber","communication","other","64QAM symbol rate","COND-SCR00038-COMM-2KM","CG-SCR00038-COMM","eq","10","","","GBaud","device_component","laboratory_experiment","2-km coherent link; sensing probes embedded in the standard symbol stream.","","2","Experimental Setup","","Fig. 2","","CBD9BCA53301017984EDCA6E3F2E13FFE24E4A9DEAAE030CD7000B2ECE4CC7E1","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00038-G2-002","STC-SINGLETON-SCR-00038","SCR-00038","fiber","communication","other","Required received optical power at SD-FEC threshold","COND-SCR00038-COMM-2KM","CG-SCR00038-COMM","eq","-27","","","dBm","system","laboratory_experiment","10-GBaud 64QAM after 2-km transmission.","Back-to-back curve is reported as almost unchanged.","2","Experimental Results","","Fig. 3(a)","","CBD9BCA53301017984EDCA6E3F2E13FFE24E4A9DEAAE030CD7000B2ECE4CC7E1","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00038-G2-003","STC-SINGLETON-SCR-00038","SCR-00038","fiber","communication","link_budget","Power budget","COND-SCR00038-COMM-2KM","CG-SCR00038-COMM","eq","31","","","dB","link","laboratory_experiment","2-km link at the reported SD-FEC threshold.","","2","Experimental Results","","Fig. 3(a)","","CBD9BCA53301017984EDCA6E3F2E13FFE24E4A9DEAAE030CD7000B2ECE4CC7E1","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00038-G2-004","STC-SINGLETON-SCR-00038","SCR-00038","fiber","sensing","resolution","Spatial resolution at probe interval k=1","COND-SCR00038-K1","CG-SCR00038-PROBE-INTERVAL","eq","1.6","","","m","system","laboratory_experiment","1-kHz PZT vibration; native 64QAM probe interval k=1.","","3","Experimental Results; Conclusion","","Fig. 3(b)-(f)","","CBD9BCA53301017984EDCA6E3F2E13FFE24E4A9DEAAE030CD7000B2ECE4CC7E1","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","main_text","K3","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00038-G2-005","STC-SINGLETON-SCR-00038","SCR-00038","fiber","sensing","resolution","Spatial resolution at probe interval k=2","COND-SCR00038-K2","CG-SCR00038-PROBE-INTERVAL","eq","3.2","","","m","system","laboratory_experiment","1-kHz PZT vibration; probe interval k=2.","","3","Experimental Results; Conclusion","","Fig. 3(b)-(f)","","CBD9BCA53301017984EDCA6E3F2E13FFE24E4A9DEAAE030CD7000B2ECE4CC7E1","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","main_text","K3","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00038-G2-006","STC-SINGLETON-SCR-00038","SCR-00038","fiber","sensing","resolution","Spatial resolution at probe interval k=4","COND-SCR00038-K4","CG-SCR00038-PROBE-INTERVAL","eq","6.4","","","m","system","laboratory_experiment","1-kHz PZT vibration; probe interval k=4.","","3","Experimental Results; Conclusion","","Fig. 3(b)-(f)","","CBD9BCA53301017984EDCA6E3F2E13FFE24E4A9DEAAE030CD7000B2ECE4CC7E1","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","main_text","K3","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00038-G2-007","STC-SINGLETON-SCR-00038","SCR-00038","fiber","sensing","resolution","Spatial resolution at probe interval k=5","COND-SCR00038-K5","CG-SCR00038-PROBE-INTERVAL","eq","8","","","m","system","laboratory_experiment","1-kHz PZT vibration; probe interval k=5.","","3","Experimental Results; Conclusion","","Fig. 3(b)-(f)","","CBD9BCA53301017984EDCA6E3F2E13FFE24E4A9DEAAE030CD7000B2ECE4CC7E1","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","main_text","K3","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00038-G2-008","STC-SINGLETON-SCR-00038","SCR-00038","fiber","sensing","other","Phase noise floor at k=1","COND-SCR00038-K1","CG-SCR00038-PROBE-INTERVAL","approx","-64.5","","","dB rad^2/Hz","system","laboratory_experiment","PSD of recovered 1-kHz vibration.","","3","Experimental Results; Conclusion","","Fig. 3","","CBD9BCA53301017984EDCA6E3F2E13FFE24E4A9DEAAE030CD7000B2ECE4CC7E1","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00038-G2-009","STC-SINGLETON-SCR-00038","SCR-00038","fiber","sensing","other","Phase noise floor at k=2","COND-SCR00038-K2","CG-SCR00038-PROBE-INTERVAL","approx","-59","","","dB rad^2/Hz","system","laboratory_experiment","PSD of recovered 1-kHz vibration.","","3","Experimental Results; Conclusion","","Fig. 3","","CBD9BCA53301017984EDCA6E3F2E13FFE24E4A9DEAAE030CD7000B2ECE4CC7E1","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00038-G2-010","STC-SINGLETON-SCR-00038","SCR-00038","fiber","sensing","other","Phase noise floor at k=4","COND-SCR00038-K4","CG-SCR00038-PROBE-INTERVAL","approx","-53.3","","","dB rad^2/Hz","system","laboratory_experiment","PSD of recovered 1-kHz vibration.","","3","Experimental Results; Conclusion","","Fig. 3","","CBD9BCA53301017984EDCA6E3F2E13FFE24E4A9DEAAE030CD7000B2ECE4CC7E1","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
"MET-SCR00038-G2-011","STC-SINGLETON-SCR-00038","SCR-00038","fiber","sensing","other","Phase noise floor at k=5","COND-SCR00038-K5","CG-SCR00038-PROBE-INTERVAL","approx","-48.9","","","dB rad^2/Hz","system","laboratory_experiment","PSD of recovered 1-kHz vibration.","","3","Experimental Results; Conclusion","","Fig. 3","","CBD9BCA53301017984EDCA6E3F2E13FFE24E4A9DEAAE030CD7000B2ECE4CC7E1","COMPLETE_LOCKED","COMPLETE_LOCKED","none","verified_as_reported","within_study_only","supplement_only","","G6_METHODS_LOCKED__G7_CARRIERS_APPROVED","2026-09-01"
