metric_record_id,study_cluster_id,source_screening_record_id,condition_set_id,tradeoff_id,metric_domain,metric_family_code,metric_name_reported,measurement_plane_code,validation_type_code,result_representation,comparison_operator,value_numeric,value_low,value_high,uncertainty_type,uncertainty_value,unit_reported,value_status,value_origin,normalization_status,normalized_value,normalized_unit,normalization_formula,normalization_input_ids,scenario_summary,baseline_comparator,comparison_group_id,metric_comparability_class,metric_comparison_admissibility_class,pdf_page,section_heading,table_id,figure_id,equation_id,verification_status,conflict_flag,schema_version,final_claim_status,final_survey_use_class,final_comparison_admissibility,cross_study_quantitative_comparison_allowed,final_reason_code,independent_human_status,source_workbook_sha256
MET-SCR00008-005,STC-SINGLETON-SCR-00008,SCR-00008,COND-SCR00008-10KHZ-COMM-OFF,,sensing,other,Original-phase drift magnitude,link,laboratory_experiment,threshold,gt,50000,,,NR,,rad,reported,reported,not_normalized_reported_value,,,,,600-kHz DBR laser; 10-kHz single-cycle PZT vibration; communication off.,Differential processing before and after LPN compensation.,CG-FTDVS-RAW-PHASE-DRIFT,conditionally_comparable,conditionally_admissible,4,3. Experiments and Result Discussion,,Fig. 4(a),Eq. (4),verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00008-006,STC-SINGLETON-SCR-00008,SCR-00008,COND-SCR00008-10KHZ-COMM-OFF,,sensing,other,Differential-phase fluctuation before LPN compensation,link,laboratory_experiment,threshold,lt,2000,,,NR,,rad,reported,reported,not_normalized_reported_value,,,,,600-kHz DBR; 10-kHz PZT; communication off; before LPN compensation.,"Original phase drift above 50,000 rad.",CG-FTDVS-DIFFERENTIAL-PHASE-FLUCTUATION,conditionally_comparable,conditionally_admissible,4-5,3. Experiments and Result Discussion,,Fig. 4(b),Eq. (5),verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00008-007,STC-SINGLETON-SCR-00008,SCR-00008,COND-SCR00008-10KHZ-COMM-OFF,,sensing,other,LPN-compensated vibration-phase peak,link,laboratory_experiment,scalar,approx,40,,,NR,,rad,reported,reported,not_normalized_reported_value,,,,,600-kHz DBR; 10-kHz PZT; communication off; after reference-phase LPN compensation.,Differential phase before LPN compensation.,CG-FTDVS-COMPENSATED-PHASE-PEAK,conditionally_comparable,conditionally_admissible,5,3. Experiments and Result Discussion,,Fig. 4(c),Eq. (11),verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00008-008,STC-SINGLETON-SCR-00008,SCR-00008,COND-SCR00008-10KHZ-COMM-OFF,,sensing,sensing_SNR,Signal-to-noise ratio (SNR),link,laboratory_experiment,scalar,eq,45.4,,,NR,,dB,reported,reported,not_normalized_reported_value,,,,,10-kHz PZT vibration; DBR with LPN compensation; communication signal absent.,Communication-on sensing SNR 44.6 dB; UNLL SNR 45.0 dB.,CG-FTDVS-SENSING-SNR,conditionally_comparable,conditionally_admissible,5,3. Experiments and Result Discussion,,Fig. 4(c),,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00008-009,STC-SINGLETON-SCR-00008,SCR-00008,COND-SCR00008-10KHZ-PSD-LT3KHZ,,sensing,other,Low-frequency background noise floor before LPN compensation,link,laboratory_experiment,scalar,eq,11.8,,,NR,,dB (ref rad^2/Hz),reported,reported,not_normalized_reported_value,,,,,10-kHz PZT vibration; PSD values below 3 kHz averaged.,After-compensation value -44.1 dB.,CG-FTDVS-PHASE-PSD-NOISE-FLOOR,conditionally_comparable,conditionally_admissible,5,3. Experiments and Result Discussion,,Fig. 5(a),,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00008-010,STC-SINGLETON-SCR-00008,SCR-00008,COND-SCR00008-10KHZ-PSD-LT3KHZ,,sensing,other,Low-frequency background noise floor after LPN compensation,link,laboratory_experiment,scalar,eq,-44.1,,,NR,,dB (ref rad^2/Hz),reported,reported,not_normalized_reported_value,,,,,10-kHz PZT vibration; PSD values below 3 kHz averaged.,Before-compensation value 11.8 dB.,CG-FTDVS-PHASE-PSD-NOISE-FLOOR,conditionally_comparable,conditionally_admissible,5,3. Experiments and Result Discussion,,Fig. 5(a),,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00008-011,STC-SINGLETON-SCR-00008,SCR-00008,COND-SCR00008-10KHZ-PSD-LT3KHZ,,sensing,other,Low-frequency noise-floor reduction,link,laboratory_experiment,scalar,eq,55.9,,,NR,,dB,reported,reported,not_normalized_reported_value,,,,,10-kHz vibration; mean PSD below 3 kHz.,11.8 to -44.1 dB.,CG-FTDVS-NOISE-FLOOR-REDUCTION,conditionally_comparable,conditionally_admissible,5,3. Experiments and Result Discussion,,Fig. 5(a),,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00008-012,STC-SINGLETON-SCR-00008,SCR-00008,COND-SCR00008-PZT-OFF-PSD-100KHZ,,sensing,other,No-vibration mean noise floor before LPN compensation,link,laboratory_experiment,scalar,eq,-1.6,,,NR,,dB (ref rad^2/Hz),reported,reported,not_normalized_reported_value,,,,,PZT drive off; mean PSD up to 100 kHz.,After-compensation value -50.2 dB.,CG-FTDVS-PHASE-PSD-NOISE-FLOOR,conditionally_comparable,conditionally_admissible,5,3. Experiments and Result Discussion,,Fig. 5(b),,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00008-013,STC-SINGLETON-SCR-00008,SCR-00008,COND-SCR00008-PZT-OFF-PSD-100KHZ,,sensing,other,No-vibration mean noise floor after LPN compensation,link,laboratory_experiment,scalar,eq,-50.2,,,NR,,dB (ref rad^2/Hz),reported,reported,not_normalized_reported_value,,,,,PZT drive off; mean PSD up to 100 kHz.,Before-compensation value -1.6 dB.,CG-FTDVS-PHASE-PSD-NOISE-FLOOR,conditionally_comparable,conditionally_admissible,5,3. Experiments and Result Discussion,,Fig. 5(b),,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00008-014,STC-SINGLETON-SCR-00008,SCR-00008,COND-SCR00008-PZT-OFF-PSD-100KHZ,,sensing,other,No-vibration noise-floor reduction,link,laboratory_experiment,scalar,eq,48.6,,,NR,,dB,reported,reported,not_normalized_reported_value,,,,,PZT drive off; mean PSD up to 100 kHz.,-1.6 to -50.2 dB.,CG-FTDVS-NOISE-FLOOR-REDUCTION,conditionally_comparable,conditionally_admissible,5,3. Experiments and Result Discussion,,Fig. 5(b),,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00008-015,STC-SINGLETON-SCR-00008,SCR-00008,COND-SCR00008-DBR-VS-UNLL,,sensing,other,Pearson correlation coefficient,link,laboratory_experiment,scalar,eq,0.995,,,NR,,unitless,reported,reported,not_normalized_reported_value,,,,,Same vibration comparison; DBR uses LPN compensation and NKT X15 UNLL does not.,NKT X15 UNLL below 100 Hz.,CG-LPN-COMPENSATION-PSD-CORRELATION,conditionally_comparable,conditionally_admissible,5-6,3. Experiments and Result Discussion,,Fig. 5(c),,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00008-016,STC-SINGLETON-SCR-00008,SCR-00008,COND-SCR00008-DBR-VS-UNLL,,sensing,sensing_SNR,UNLL time-domain SNR,link,laboratory_experiment,scalar,eq,45,,,NR,,dB,reported,reported,not_normalized_reported_value,,,,,NKT X15 UNLL; LPN compensation not applied.,DBR with LPN compensation: 45.4 dB.,CG-FTDVS-SENSING-SNR,conditionally_comparable,conditionally_admissible,6,3. Experiments and Result Discussion,,Fig. 5(c),,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00008-017,STC-SINGLETON-SCR-00008,SCR-00008,COND-SCR00008-DBR-VS-UNLL,,sensing,sensing_SNR,DBR time-domain SNR,link,laboratory_experiment,scalar,eq,45.4,,,NR,,dB,reported,reported,not_normalized_reported_value,,,,,TL5600AN DBR with reference-phase LPN compensation.,NKT X15 UNLL: 45.0 dB.,CG-FTDVS-SENSING-SNR,conditionally_comparable,conditionally_admissible,6,3. Experiments and Result Discussion,,Fig. 5(c),,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00008-018,STC-SINGLETON-SCR-00008,SCR-00008,COND-SCR00008-DBR-VS-UNLL,,sensing,sensing_SNR,SNR discrepancy,link,laboratory_experiment,scalar,eq,0.4,,,NR,,dB,reported,reported,not_normalized_reported_value,,,,,UNLL versus DBR with LPN compensation.,45.0 versus 45.4 dB.,CG-FTDVS-SENSING-SNR-DIFFERENCE,conditionally_comparable,conditionally_admissible,6,3. Experiments and Result Discussion,,Fig. 5(c),,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00008-019,STC-SINGLETON-SCR-00008,SCR-00008,COND-SCR00008-UNCOMPENSATED-CORRELATION,,sensing,other,Uncompensated negative cross-correlation-spike delay,link,laboratory_experiment,scalar,eq,0.88687,,,NR,,ms,reported,reported,not_normalized_reported_value,,,,,Differential phases without LPN compensation.,Theoretical 2tT+tD delay 0.89057 ms.,CG-FTDVS-CROSS-CORRELATION-DELAY,conditionally_comparable,conditionally_admissible,6,3. Experiments and Result Discussion,,Fig. 6(a),Eq. (7),verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00008-020,STC-SINGLETON-SCR-00008,SCR-00008,COND-SCR00008-UNCOMPENSATED-CORRELATION,,sensing,other,Theoretical LPN cross-correlation delay,link,analytical,scalar,eq,0.89057,,,NA,,ms,reported,reported,not_normalized_reported_value,,,,,Analytical delay for the 90-km link and 2-km delay fiber.,Measured negative-spike delay 0.88687 ms.,CG-FTDVS-CROSS-CORRELATION-DELAY,conditionally_comparable,conditionally_admissible,6,3. Experiments and Result Discussion,,Fig. 6(a),Eq. (7),verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00008-021,STC-SINGLETON-SCR-00008,SCR-00008,COND-SCR00008-COMPENSATED-LOCATION,,sensing,other,Compensated vibration delay t2,link,laboratory_experiment,scalar,eq,0.40662,,,NR,,ms,reported,reported,not_normalized_reported_value,,,,,DBR with LPN compensation; positive cross-correlation peak.,Uncompensated phases do not show the required positive peak.,CG-FTDVS-CROSS-CORRELATION-DELAY,conditionally_comparable,conditionally_admissible,6,3. Experiments and Result Discussion,,Fig. 6(a),Eqs. (7) and (8),verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00008-022,STC-SINGLETON-SCR-00008,SCR-00008,COND-SCR00008-COMPENSATED-LOCATION,,sensing,other,Localized event coordinate,link,laboratory_experiment,scalar,eq,48.946,,,NR,,km,reported,reported,not_normalized_reported_value,,,,,PZT at the connection of nominal 50-km and 40-km coils; exact physical ground truth NR.,Expected location described only as around 50 km.,NO-DIRECT-GROUP-RAW-EVENT-COORDINATE,not_comparable,not_admissible,6,3. Experiments and Result Discussion,,Fig. 6(a),Eq. (8),verified,yes_ground_truth_approximate,phase_d_schema_v1.0_pilot_locked,supported_with_source_specific_guardrail,eligible_quantitative,not_admissible,no,metric_scope_or_definition_guardrail,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00008-023,STC-SINGLETON-SCR-00008,SCR-00008,COND-SCR00008-1KHZ-30TRIALS,,sensing,other,Location results at 1-kHz vibration,link,laboratory_experiment,mean_SD,eq,48.952,,,standard_deviation,11.15,mean km; SD m,reported,reported,not_normalized_reported_value,,,,,1-kHz single-cycle PZT vibration; DBR with LPN compensation; 30 acquisitions; communication off.,3- and 10-kHz repeatability results; NKT X15 comparator shown in Fig. 6(c).,CG-FTDVS-LOCALIZATION-PRECISION-SD,conditionally_comparable,conditionally_admissible,6,3. Experiments and Result Discussion,Table 2 summary,Fig. 6(b)-(c),,verified,yes_precision_not_absolute_error,phase_d_schema_v1.0_pilot_locked,supported_with_source_specific_guardrail,eligible_quantitative,conditionally_admissible,no,metric_scope_or_definition_guardrail,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00008-024,STC-SINGLETON-SCR-00008,SCR-00008,COND-SCR00008-1KHZ-30TRIALS,,sensing,other,Location fluctuation range at 1 kHz,link,laboratory_experiment,scalar,eq,38.8,,,NA,,m,reported,reported,not_normalized_reported_value,,,,,1-kHz PZT; 30 acquisitions; communication off.,3-kHz range 18.2 m; 10-kHz range 9.4 m.,CG-FTDVS-LOCATION-FLUCTUATION-RANGE,conditionally_comparable,conditionally_admissible,6,3. Experiments and Result Discussion,,Fig. 6(b),,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00008-025,STC-SINGLETON-SCR-00008,SCR-00008,COND-SCR00008-3KHZ-30TRIALS,,sensing,other,Location results at 3-kHz vibration,link,laboratory_experiment,mean_SD,eq,48.957,,,standard_deviation,4.55,mean km; SD m,reported,reported,not_normalized_reported_value,,,,,3-kHz single-cycle PZT vibration; DBR with LPN compensation; 30 acquisitions; communication off.,1- and 10-kHz repeatability results; NKT X15 comparator shown in Fig. 6(c).,CG-FTDVS-LOCALIZATION-PRECISION-SD,conditionally_comparable,conditionally_admissible,6,3. Experiments and Result Discussion,Table 2 summary,Fig. 6(b)-(c),,verified,yes_precision_not_absolute_error,phase_d_schema_v1.0_pilot_locked,supported_with_source_specific_guardrail,eligible_quantitative,conditionally_admissible,no,metric_scope_or_definition_guardrail,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00008-026,STC-SINGLETON-SCR-00008,SCR-00008,COND-SCR00008-3KHZ-30TRIALS,,sensing,other,Location fluctuation range at 3 kHz,link,laboratory_experiment,scalar,eq,18.2,,,NA,,m,reported,reported,not_normalized_reported_value,,,,,3-kHz PZT; 30 acquisitions; communication off.,1-kHz range 38.8 m; 10-kHz range 9.4 m.,CG-FTDVS-LOCATION-FLUCTUATION-RANGE,conditionally_comparable,conditionally_admissible,6,3. Experiments and Result Discussion,,Fig. 6(b),,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00008-027,STC-SINGLETON-SCR-00008,SCR-00008,COND-SCR00008-10KHZ-30TRIALS,,sensing,other,Location results at 10-kHz vibration,link,laboratory_experiment,mean_SD,eq,48.957,,,standard_deviation,1.55,mean km; SD m,reported,reported,not_normalized_reported_value,,,,,10-kHz single-cycle PZT vibration; DBR with LPN compensation; 30 acquisitions; communication off.,1- and 3-kHz repeatability results; NKT X15 comparator shown in Fig. 6(c).,CG-FTDVS-LOCALIZATION-PRECISION-SD,conditionally_comparable,conditionally_admissible,6,3. Experiments and Result Discussion,Table 2 summary,Fig. 6(b)-(c),,verified,yes_precision_not_absolute_error,phase_d_schema_v1.0_pilot_locked,supported_with_source_specific_guardrail,eligible_quantitative,conditionally_admissible,no,metric_scope_or_definition_guardrail,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
MET-SCR00008-028,STC-SINGLETON-SCR-00008,SCR-00008,COND-SCR00008-10KHZ-30TRIALS,,sensing,other,Location fluctuation range at 10 kHz,link,laboratory_experiment,scalar,eq,9.4,,,NA,,m,reported,reported,not_normalized_reported_value,,,,,10-kHz PZT; 30 acquisitions; communication off.,1-kHz range 38.8 m; 3-kHz range 18.2 m.,CG-FTDVS-LOCATION-FLUCTUATION-RANGE,conditionally_comparable,conditionally_admissible,6,3. Experiments and Result Discussion,,Fig. 6(b),,verified,no,phase_d_schema_v1.0_pilot_locked,supported_as_extracted,eligible_quantitative,conditionally_admissible,yes_with_conditions,source_supported_scope_conditioned,not_documented,e0ea51c332483f0e7150b25ecfae9a1b1c19232a74b1f484d1277fd8a46da55c
