type,old_name,new_name,old_path,new_path,changed
file,distill_gold_v3_2.py,dist_gold_v3_2.py,analysis/distill_gold_v3_2.py,analysis/dist_gold_v3_2.py,yes
file,extract_gap_methods.py,ext_gap_meth.py,analysis/extract_gap_methods.py,analysis/ext_gap_meth.py,yes
file,extract_phrasebank.py,ext_pbank.py,analysis/extract_phrasebank.py,analysis/ext_pbank.py,yes
file,extract_structure.py,ext_struct.py,analysis/extract_structure.py,analysis/ext_struct.py,yes
file,gap_analysis.py,gap_an.py,analysis/gap_analysis.py,analysis/gap_an.py,yes
file,gap_methodology_report.csv,gap_meth_rpt.csv,analysis/gap_methodology_report.csv,analysis/gap_meth_rpt.csv,yes
file,gap_report.json,gap_rpt.json,analysis/gap_report.json,analysis/gap_rpt.json,yes
file,generate_manifest.py,gen_man.py,analysis/generate_manifest.py,analysis/gen_man.py,yes
file,generate_trend_plots.py,gen_tr_plots.py,analysis/generate_trend_plots.py,analysis/gen_tr_plots.py,yes
file,IC_C3_audit_v3_2.csv,IC_C3_aud_v3_2.csv,analysis/IC_C3_audit_v3_2.csv,analysis/IC_C3_aud_v3_2.csv,yes
file,IC_conflicts_gold_v3_2.csv,IC_conf_gold_v3_2.csv,analysis/IC_conflicts_gold_v3_2.csv,analysis/IC_conf_gold_v3_2.csv,yes
file,IC_evidence_claims.csv,IC_ev_claims.csv,analysis/IC_evidence_claims.csv,analysis/IC_ev_claims.csv,yes
file,IC_evidence_claims_v2.csv,IC_ev_claims_v2.csv,analysis/IC_evidence_claims_v2.csv,analysis/IC_ev_claims_v2.csv,yes
file,IC_evidence_claims_v3.csv,IC_ev_claims_v3.csv,analysis/IC_evidence_claims_v3.csv,analysis/IC_ev_claims_v3.csv,yes
file,IC_evidence_claims_v3_1.csv,IC_ev_claims_v3_1.csv,analysis/IC_evidence_claims_v3_1.csv,analysis/IC_ev_claims_v3_1.csv,yes
file,IC_evidence_gold_v3_2.csv,IC_ev_gold_v3_2.csv,analysis/IC_evidence_gold_v3_2.csv,analysis/IC_ev_gold_v3_2.csv,yes
file,IC_evidence_summary.md,IC_ev_sum.md,analysis/IC_evidence_summary.md,analysis/IC_ev_sum.md,yes
file,IC_evidence_summary_v2.md,IC_ev_sum_v2.md,analysis/IC_evidence_summary_v2.md,analysis/IC_ev_sum_v2.md,yes
file,IC_evidence_summary_v3.md,IC_ev_sum_v3.md,analysis/IC_evidence_summary_v3.md,analysis/IC_ev_sum_v3.md,yes
file,IC_evidence_summary_v3_1.md,IC_ev_sum_v3_1.md,analysis/IC_evidence_summary_v3_1.md,analysis/IC_ev_sum_v3_1.md,yes
file,IC_I-C_skeleton_v3_2.md,IC_I-C_skel_v3_2.md,analysis/IC_I-C_skeleton_v3_2.md,analysis/IC_I-C_skel_v3_2.md,yes
file,IC_QA_report_v3.txt,IC_QA_rpt_v3.txt,analysis/IC_QA_report_v3.txt,analysis/IC_QA_rpt_v3.txt,yes
file,IC_QA_report_v3_1.txt,IC_QA_rpt_v3_1.txt,analysis/IC_QA_report_v3_1.txt,analysis/IC_QA_rpt_v3_1.txt,yes
file,IC_QA_report_v3_2.txt,IC_QA_rpt_v3_2.txt,analysis/IC_QA_report_v3_2.txt,analysis/IC_QA_rpt_v3_2.txt,yes
file,IC_term_metric_conflicts.csv,IC_term_met_conf.csv,analysis/IC_term_metric_conflicts.csv,analysis/IC_term_met_conf.csv,yes
file,IC_term_metric_conflicts_v2.csv,IC_term_met_conf_v2.csv,analysis/IC_term_metric_conflicts_v2.csv,analysis/IC_term_met_conf_v2.csv,yes
file,IC_term_metric_conflicts_v3.csv,IC_term_met_conf_v3.csv,analysis/IC_term_metric_conflicts_v3.csv,analysis/IC_term_met_conf_v3.csv,yes
file,IC_term_metric_conflicts_v3_1.csv,IC_term_met_conf_v3_1.csv,analysis/IC_term_metric_conflicts_v3_1.csv,analysis/IC_term_met_conf_v3_1.csv,yes
file,ID_COMST_style_alignment.md,ID_COMST_sty_align.md,analysis/ID_COMST_style_alignment.md,analysis/ID_COMST_sty_align.md,yes
file,ID_gap_matrix.csv,ID_gap_mtx.csv,analysis/ID_gap_matrix.csv,analysis/ID_gap_mtx.csv,yes
file,ID_gap_summary.md,ID_gap_sum.md,analysis/ID_gap_summary.md,analysis/ID_gap_sum.md,yes
file,ID_outline_skeleton.md,ID_out_skel.md,analysis/ID_outline_skeleton.md,analysis/ID_out_skel.md,yes
file,ID_survey_catalog.csv,ID_surv_cat.csv,analysis/ID_survey_catalog.csv,analysis/ID_surv_cat.csv,yes
file,II_channel_governance.md,II_chan_gov.md,analysis/II_channel_governance.md,analysis/II_chan_gov.md,yes
file,II_high_confidence_artifacts.md,II_hi_conf_art.md,analysis/II_high_confidence_artifacts.md,analysis/II_hi_conf_art.md,yes
file,II_high_confidence_metric_index.csv,II_hi_conf_met_idx.csv,analysis/II_high_confidence_metric_index.csv,analysis/II_hi_conf_met_idx.csv,yes
file,II_high_confidence_QA.md,II_hi_conf_QA.md,analysis/II_high_confidence_QA.md,analysis/II_hi_conf_QA.md,yes
file,II_high_confidence_summary.md,II_hi_conf_sum.md,analysis/II_high_confidence_summary.md,analysis/II_hi_conf_sum.md,yes
file,II_markdown_inventory.csv,II_md_inv.csv,analysis/II_markdown_inventory.csv,analysis/II_md_inv.csv,yes
file,II_metric_evaluation_governance_2D.md,II_met_eval_gov_2D.md,analysis/II_metric_evaluation_governance_2D.md,analysis/II_met_eval_gov_2D.md,yes
file,II_metric_governance.md,II_met_gov.md,analysis/II_metric_governance.md,analysis/II_met_gov.md,yes
file,II_schema_map.md,II_sch_map.md,analysis/II_schema_map.md,analysis/II_sch_map.md,yes
file,II_section2_evidence_coverage_matrix.csv,II_s2_ev_cov_mtx.csv,analysis/II_section2_evidence_coverage_matrix.csv,analysis/II_s2_ev_cov_mtx.csv,yes
file,II_section2_evidence_coverage_report.md,II_s2_ev_cov_rpt.md,analysis/II_section2_evidence_coverage_report.md,analysis/II_s2_ev_cov_rpt.md,yes
file,II_section2_gapfill_plan.md,II_s2_gapfill.md,analysis/II_section2_gapfill_plan.md,analysis/II_s2_gapfill.md,yes
file,II_semantic_audit_artifacts.md,II_sem_aud_art.md,analysis/II_semantic_audit_artifacts.md,analysis/II_sem_aud_art.md,yes
file,II_semantic_audit_report.md,II_sem_aud_rpt.md,analysis/II_semantic_audit_report.md,analysis/II_sem_aud_rpt.md,yes
file,II_text_candidates_index.csv,II_txt_cand_idx.csv,analysis/II_text_candidates_index.csv,analysis/II_txt_cand_idx.csv,yes
file,II_text_evidence_index.csv,II_txt_ev_idx.csv,analysis/II_text_evidence_index.csv,analysis/II_txt_ev_idx.csv,yes
file,II_text_evidence_index_only_evidence.csv,II_txt_ev_idx_only_ev.csv,analysis/II_text_evidence_index_only_evidence.csv,analysis/II_txt_ev_idx_only_ev.csv,yes
file,II_tradeoff_governance_2E.md,II_trade_gov_2E.md,analysis/II_tradeoff_governance_2E.md,analysis/II_trade_gov_2E.md,yes
file,layout_stats.json,lay_stats.json,analysis/layout_stats.json,analysis/lay_stats.json,yes
file,llm_analysis_card_template.json,llm_card_tmpl.json,analysis/llm_analysis_card_template.json,analysis/llm_card_tmpl.json,yes
file,llm_analysis_card_template_v1.2.json,llm_card_tmpl_v1.2.json,analysis/llm_analysis_card_template_v1.2.json,analysis/llm_card_tmpl_v1.2.json,yes
file,mine_IC_evidence.py,mine_IC_ev.py,analysis/mine_IC_evidence.py,analysis/mine_IC_ev.py,yes
file,mine_IC_evidence_v3.py,mine_IC_ev_v3.py,analysis/mine_IC_evidence_v3.py,analysis/mine_IC_ev_v3.py,yes
file,mine_IC_evidence_v3_1.py,mine_IC_ev_v3_1.py,analysis/mine_IC_evidence_v3_1.py,analysis/mine_IC_ev_v3_1.py,yes
file,mine_ID_surveys_v1.py,mine_ID_surv_v1.py,analysis/mine_ID_surveys_v1.py,analysis/mine_ID_surv_v1.py,yes
file,mine_ID_surveys_v2.py,mine_ID_surv_v2.py,analysis/mine_ID_surveys_v2.py,analysis/mine_ID_surv_v2.py,yes
file,mine_ID_surveys_v2_1.py,mine_ID_surv_v2_1.py,analysis/mine_ID_surveys_v2_1.py,analysis/mine_ID_surv_v2_1.py,yes
file,mine_ID_surveys_v2_2.py,mine_ID_surv_v2_2.py,analysis/mine_ID_surveys_v2_2.py,analysis/mine_ID_surv_v2_2.py,yes
file,mine_ID_surveys_v2_3.py,mine_ID_surv_v2_3.py,analysis/mine_ID_surveys_v2_3.py,analysis/mine_ID_surv_v2_3.py,yes
file,mine_ID_surveys_v2_3_1.py,mine_ID_surv_v2_3_1.py,analysis/mine_ID_surveys_v2_3_1.py,analysis/mine_ID_surv_v2_3_1.py,yes
file,NEW_COMST_020_blueprint.json,COMST_020_bp.json,analysis/NEW_COMST_020_blueprint.json,analysis/COMST_020_bp.json,yes
file,oisac_extraction_schema.yaml,oisac_ext_sch.yaml,analysis/oisac_extraction_schema.yaml,analysis/oisac_ext_sch.yaml,yes
file,oisac_extraction_schema_v2.yaml,oisac_ext_sch_v2.yaml,analysis/oisac_extraction_schema_v2.yaml,analysis/oisac_ext_sch_v2.yaml,yes
file,phrasebank.json,pbank.json,analysis/phrasebank.json,analysis/pbank.json,yes
file,PRISMA_STATUS.md,PRISMA_stat.md,analysis/PRISMA_STATUS.md,analysis/PRISMA_stat.md,yes
file,README.md,README.md,analysis/README.md,analysis/README.md,no
file,references.bib,refs.bib,analysis/references.bib,analysis/refs.bib,yes
file,rhetoric_report.json,rhet_rpt.json,analysis/rhetoric_report.json,analysis/rhet_rpt.json,yes
file,section_02C_audit.md,s02C_aud.md,analysis/section_02C_audit.md,analysis/s02C_aud.md,yes
file,section_08_reference_sweep_note.md,s08_ref_swp_note.md,analysis/section_08_reference_sweep_note.md,analysis/s08_ref_swp_note.md,yes
file,section_08_repo_decision_matrix.md,s08_repo_dec_mtx.md,analysis/section_08_repo_decision_matrix.md,analysis/s08_repo_dec_mtx.md,yes
file,section_IC_draft_v1.md,sIC_drft_v1.md,analysis/section_IC_draft_v1.md,analysis/sIC_drft_v1.md,yes
file,standardize_corpus.py,std_corp.py,analysis/standardize_corpus.py,analysis/std_corp.py,yes
file,stylometric_report.json,stylo_rpt.json,analysis/stylometric_report.json,analysis/stylo_rpt.json,yes
file,synthesis_report.md,synth_rpt.md,analysis/synthesis_report.md,analysis/synth_rpt.md,yes
file,synthesis_v4_unified.py,synth_v4_uni.py,analysis/synthesis_v4_unified.py,analysis/synth_v4_uni.py,yes
file,synthesize_conflicts.py,synth_conf.py,analysis/synthesize_conflicts.py,analysis/synth_conf.py,yes
file,validate_corpus.py,val_corp.py,analysis/validate_corpus.py,analysis/val_corp.py,yes
file,writing_blueprints_master.json,wrt_bp_master.json,analysis/writing_blueprints_master.json,analysis/wrt_bp_master.json,yes
file,writing_blueprints_schema.json,wrt_bp_sch.json,analysis/writing_blueprints_schema.json,analysis/wrt_bp_sch.json,yes
