study_id,primary_report_id,citation_key,canonical_modality,maximum_validation_tier,tqaf_validation_maturity_score,communication_field_or_deployment_outcome,sensing_field_or_deployment_outcome,maximum_field_or_deployment_subset,paired_function_evidence_subset
STC-SINGLETON-SCR-00312,RPT-SCR-00312-01,OISAC_SCR00312,photonic_THz,5,2,no,no,no,no
STC-SINGLETON-SCR-00344,RPT-SCR-00344-01,OISAC_SCR00344,fiber,5,2,no,no,no,no
STC-SINGLETON-SCR-00356,RPT-SCR-00356-01,OISAC_SCR00356,fiber,5,2,no,no,no,no
STC-SINGLETON-SCR-00361,RPT-SCR-00361-01,OISAC_SCR00361,photonic_THz,5,2,no,no,no,no
STC-SINGLETON-SCR-00362,RPT-SCR-00362-01,OISAC_SCR00362,photonic_THz,5,2,no,no,no,no
STC-SINGLETON-SCR-00366,RPT-SCR-00366-01,OISAC_SCR00366,hybrid_optical,5,2,no,no,no,no
STC-SINGLETON-SCR-00367,RPT-SCR-00367-01,OISAC_SCR00367,fiber,5,2,no,no,no,no
STC-SINGLETON-SCR-00369,RPT-SCR-00369-01,OISAC_SCR00369,fiber,5,2,no,no,no,no
STC-SINGLETON-SCR-00376,RPT-SCR-00376-01,OISAC_SCR00376,VLC_LiFi,5,2,no,no,no,no
STC-SINGLETON-SCR-00379,RPT-SCR-00379-01,OISAC_SCR00379,other_optical,5,2,no,no,no,no
STC-SINGLETON-SCR-00387,RPT-SCR-00387-01,OISAC_SCR00387,FSO,5,2,no,no,no,no
STC-SINGLETON-SCR-00396,RPT-SCR-00396-01,OISAC_SCR00396,photonic_THz,5,2,no,no,no,no
STC-SINGLETON-SCR-00406,RPT-SCR-00406-01,OISAC_SCR00406,photonic_THz,5,2,no,no,no,no
STC-SINGLETON-SCR-00407,RPT-SCR-00407-01,OISAC_SCR00407,VLC_LiFi,2,1,no,no,no,no
STC-SINGLETON-SCR-00418,RPT-SCR-00418-01,OISAC_SCR00418,photonic_THz,5,2,no,no,no,no
STC-SINGLETON-SCR-00432,RPT-SCR-00432-01,OISAC_SCR00432,fiber,5,2,no,no,no,no
STC-SINGLETON-SCR-00436,RPT-SCR-00436-01,OISAC_SCR00436,hybrid_optical,5,2,no,no,no,no
STC-SINGLETON-SCR-00451,RPT-SCR-00451-01,OISAC_SCR00451,VLC_LiFi,5,2,no,no,no,no
STC-SINGLETON-SCR-00456,RPT-SCR-00456-01,OISAC_SCR00456,FSO,2,1,no,no,no,no
STC-SINGLETON-SCR-00460,RPT-SCR-00460-01,OISAC_SCR00460,VLC_LiFi,5,2,no,no,no,no
STC-SINGLETON-SCR-00473,RPT-SCR-00473-01,OISAC_SCR00473,fiber,5,2,no,no,no,no
STC-SINGLETON-SCR-00488,RPT-SCR-00488-01,OISAC_SCR00488,VLC_LiFi,2,1,no,no,no,no
STC-SINGLETON-SCR-00492,RPT-SCR-00492-01,OISAC_SCR00492,photonic_THz,5,2,no,no,no,no
STC-SINGLETON-SCR-00496,RPT-SCR-00496-01,OISAC_SCR00496,fiber,6,3,yes,yes,yes,yes
STC-SINGLETON-SCR-00502,RPT-SCR-00502-01,OISAC_SCR00502,photonic_THz,5,2,no,no,no,no
STC-SINGLETON-SCR-00506,RPT-SCR-00506-01,OISAC_SCR00506,FSO,5,2,no,no,no,no
STC-SINGLETON-SCR-00527,RPT-SCR-00527-01,OISAC_SCR00527,VLC_LiFi,2,1,no,no,no,no
STC-SINGLETON-SCR-00557,RPT-SCR-00557-01,OISAC_SCR00557,VLC_LiFi,2,1,no,no,no,no
STC-SINGLETON-SCR-00576,RPT-SCR-00576-01,OISAC_SCR00576,FSO,4,2,no,no,no,no
STC-SINGLETON-SCR-00589,RPT-SCR-00589-01,OISAC_SCR00589,fiber,5,2,no,no,no,no
STC-SINGLETON-SCR-00594,RPT-SCR-00594-01,OISAC_SCR00594,FSO,2,1,no,no,no,no
STC-SINGLETON-SCR-00602,RPT-SCR-00602-01,OISAC_SCR00602,photonic_THz,5,2,no,no,no,no
STC-SINGLETON-SCR-00607,RPT-SCR-00607-01,OISAC_SCR00607,fiber,5,2,no,no,no,no
STC-SINGLETON-SCR-00626,RPT-SCR-00626-01,OISAC_SCR00626,fiber,2,1,no,no,no,no
STC-SINGLETON-SCR-00631,RPT-SCR-00631-01,OISAC_SCR00631,fiber,6,3,yes,yes,yes,yes
STC-SINGLETON-SCR-00647,RPT-SCR-00647-01,OISAC_SCR00647,fiber,5,2,no,no,no,no
STC-SINGLETON-SCR-00665,RPT-SCR-00665-01,OISAC_SCR00665,fiber,4,2,no,no,no,no
STC-SINGLETON-SCR-00679,RPT-SCR-00679-01,OISAC_SCR00679,fiber,4,2,no,no,no,no
STC-SINGLETON-SCR-00680,RPT-SCR-00680-01,OISAC_SCR00680,fiber,4,2,no,no,no,no
STC-SINGLETON-SCR-00719,RPT-SCR-00719-01,OISAC_SCR00719,fiber,4,2,no,no,no,no
STC-SINGLETON-SCR-00730,RPT-SCR-00730-01,OISAC_SCR00730,FSO,6,3,yes,yes,yes,yes
STC-SINGLETON-SCR-00761,RPT-SCR-00761-01,OISAC_SCR00761,fiber,2,1,no,no,no,no
STC-SINGLETON-SCR-00808,RPT-SCR-00808-01,OISAC_SCR00808,photonic_THz,5,2,no,no,no,no
STC-SINGLETON-SCR-00833,RPT-SCR-00833-01,OISAC_SCR00833,VLC_LiFi,5,2,no,no,no,no
STC-SINGLETON-SCR-00836,RPT-SCR-00836-01,OISAC_SCR00836,VLC_LiFi,5,2,no,no,no,no
STC-SINGLETON-SCR-00873,RPT-SCR-00873-01,OISAC_SCR00873,VLC_LiFi,5,2,no,no,no,no
STC-SINGLETON-SCR-00882,RPT-SCR-00882-01,OISAC_SCR00882,photonic_THz,2,1,no,no,no,no
STC-SINGLETON-SCR-00884,RPT-SCR-00884-01,OISAC_SCR00884,photonic_THz,4,2,no,no,no,no
STC-SINGLETON-SCR-00885,RPT-SCR-00885-01,OISAC_SCR00885,photonic_THz,2,1,no,no,no,no
STC-SINGLETON-SCR-00887,RPT-SCR-00887-01,OISAC_SCR00887,photonic_THz,4,2,no,no,no,no
STC-SINGLETON-SCR-00891,RPT-SCR-00891-01,OISAC_SCR00891,photonic_THz,4,2,no,no,no,no
STC-SINGLETON-SCR-00893,RPT-SCR-00893-01,OISAC_SCR00893,photonic_THz,4,2,no,no,no,no
STC-SINGLETON-SCR-00896,RPT-SCR-00896-01,OISAC_SCR00896,photonic_THz,4,2,no,no,no,no
STC-SINGLETON-SCR-00899,RPT-SCR-00899-01,OISAC_SCR00899,photonic_THz,4,2,no,no,no,no
STC-SINGLETON-SCR-00902,RPT-SCR-00902-01,OISAC_SCR00902,VLC_LiFi,4,2,no,no,no,no
STC-SINGLETON-SCR-00903,RPT-SCR-00903-01,OISAC_SCR00903,FSO,2,1,no,no,no,no
STC-SINGLETON-SCR-00904,RPT-SCR-00904-01,OISAC_SCR00904,FSO,3,2,no,no,no,no
STC-SINGLETON-SCR-00905,RPT-SCR-00905-01,OISAC_SCR00905,VLC_LiFi,2,1,no,no,no,no
STC-SINGLETON-SCR-00906,RPT-SCR-00906-01,OISAC_SCR00906,other_optical,2,1,no,no,no,no
STC-SINGLETON-SCR-00908,RPT-SCR-00908-01,OISAC_SCR00908,FSO,2,1,no,no,no,no
STC-SINGLETON-SCR-00909,RPT-SCR-00909-01,OISAC_SCR00909,FSO,3,2,no,no,no,no
STC-SINGLETON-SCR-00910,RPT-SCR-00910-01,OISAC_SCR00910,VLC_LiFi,6,2,no,no,yes,no
STC-SINGLETON-SCR-00912,RPT-SCR-00912-01,OISAC_SCR00912,VLC_LiFi,4,2,no,no,no,no
STC-SINGLETON-SCR-00913,RPT-SCR-00913-01,OISAC_SCR00913,FSO,3,2,no,no,no,no
STC-SINGLETON-SCR-00914,RPT-SCR-00914-01,OISAC_SCR00914,FSO,3,2,no,no,no,no
STC-SINGLETON-SCR-00915,RPT-SCR-00915-01,OISAC_SCR00915,VLC_LiFi,2,1,no,no,no,no
STC-SINGLETON-SCR-00916,RPT-SCR-00916-01,OISAC_SCR00916,FSO,4,2,no,no,no,no
STC-SINGLETON-SCR-00917,RPT-SCR-00917-01,OISAC_SCR00917,FSO,3,2,no,no,no,no
STC-SINGLETON-SCR-00918,RPT-SCR-00918-01,OISAC_SCR00918,VLC_LiFi,4,2,no,no,no,no
STC-SINGLETON-SCR-00919,RPT-SCR-00919-01,OISAC_SCR00919,VLC_LiFi,4,2,no,no,no,no
STC-SINGLETON-SCR-00920,RPT-SCR-00920-01,OISAC_SCR00920,VLC_LiFi,4,2,no,no,no,no
STC-SINGLETON-SCR-00922,RPT-SCR-00922-01,OISAC_SCR00922,FSO,3,2,no,no,no,no
STC-SINGLETON-SCR-00925,RPT-SCR-00925-01,OISAC_SCR00925,VLC_LiFi,2,1,no,no,no,no
STC-SINGLETON-SCR-00926,RPT-SCR-00926-01,OISAC_SCR00926,FSO,3,2,no,no,no,no
STC-SINGLETON-SCR-00937,RPT-SCR-00937-01,OISAC_SCR00937,photonic_THz,2,1,no,no,no,no
STC-SINGLETON-SCR-00941,RPT-SCR-00941-01,OISAC_SCR00941,FSO,2,1,no,no,no,no
STC-SINGLETON-SCR-00943,RPT-SCR-00943-01,OISAC_SCR00943,VLC_LiFi,5,2,no,no,no,no
STC-SINGLETON-SCR-00944,RPT-SCR-00944-01,OISAC_SCR00944,hybrid_optical,5,2,no,no,no,no
STC-SINGLETON-SCR-00949,RPT-SCR-00949-01,OISAC_SCR00949,fiber,3,2,no,no,no,no
STC-SINGLETON-SCR-00953,RPT-SCR-00953-01,OISAC_SCR00953,photonic_THz,4,2,no,no,no,no
STC-SINGLETON-SCR-00954,RPT-SCR-00954-01,OISAC_SCR00954,photonic_THz,4,2,no,no,no,no
STC-SINGLETON-SCR-00959,RPT-SCR-00959-01,OISAC_SCR00959,fiber,4,2,no,no,no,no
STC-SINGLETON-SCR-00965,RPT-SCR-00965-01,OISAC_SCR00965,photonic_THz,4,2,no,no,no,no
STC-SINGLETON-SCR-00970,RPT-SCR-00970-01,OISAC_SCR00970,photonic_THz,5,2,no,no,no,no
STC-SINGLETON-SCR-00974,RPT-SCR-00974-01,OISAC_SCR00974,photonic_THz,5,2,no,no,no,no
STC-SINGLETON-SCR-00975,RPT-SCR-00975-01,OISAC_SCR00975,photonic_THz,5,2,no,no,no,no
STC-SINGLETON-SCR-00977,RPT-SCR-00977-01,OISAC_SCR00977,photonic_THz,4,2,no,no,no,no
STC-SINGLETON-SCR-00979,RPT-SCR-00979-01,OISAC_SCR00979,photonic_THz,6,2,no,yes,yes,no
STC-SINGLETON-SCR-00980,RPT-SCR-00980-01,OISAC_SCR00980,FSO,2,1,no,no,no,no
STC-SINGLETON-SCR-00983,RPT-SCR-00983-01,OISAC_SCR00983,fiber,4,2,no,no,no,no
STC-SINGLETON-SCR-00985,RPT-SCR-00985-01,OISAC_SCR00985,photonic_THz,4,2,no,no,no,no
STC-SINGLETON-SCR-00986,RPT-SCR-00986-01,OISAC_SCR00986,photonic_THz,4,2,no,no,no,no
STC-SINGLETON-SCR-00990,RPT-SCR-00990-01,OISAC_SCR00990,photonic_THz,5,2,no,no,no,no
STC-SINGLETON-SCR-00992,RPT-SCR-00992-01,OISAC_SCR00992,photonic_THz,5,2,no,no,no,no
STC-SINGLETON-SCR-00994,RPT-SCR-00994-01,OISAC_SCR00994,photonic_THz,4,2,no,no,no,no
STC-SINGLETON-SCR-00996,RPT-SCR-00996-01,OISAC_SCR00996,photonic_THz,4,2,no,no,no,no
STC-SINGLETON-SCR-00998,RPT-SCR-00998-01,OISAC_SCR00998,photonic_THz,4,2,no,no,no,no
STC-SINGLETON-SCR-01000,RPT-SCR-01000-01,OISAC_SCR01000,photonic_THz,4,2,no,no,no,no
STC-SINGLETON-SCR-01001,RPT-SCR-01001-01,OISAC_SCR01001,VLC_LiFi,3,2,no,no,no,no
STC-SINGLETON-SCR-01004,RPT-SCR-01004-01,OISAC_SCR01004,photonic_THz,4,2,no,no,no,no
STC-SINGLETON-SCR-01006,RPT-SCR-01006-01,OISAC_SCR01006,fiber,6,2,no,no,yes,no
STC-SINGLETON-SCR-01008,RPT-SCR-01008-01,OISAC_SCR01008,fiber,6,2,no,yes,yes,no
STC-SINGLETON-SCR-01009,RPT-SCR-01009-01,OISAC_SCR01009,photonic_THz,5,2,no,no,no,no
STC-SINGLETON-SCR-01010,RPT-SCR-01010-01,OISAC_SCR01010,photonic_THz,5,2,no,no,no,no
STC-SINGLETON-SCR-01011,RPT-SCR-01011-01,OISAC_SCR01011,hybrid_optical,3,2,no,no,no,no
STC-SINGLETON-SCR-01012,RPT-SCR-01012-01,OISAC_SCR01012,photonic_THz,4,2,no,no,no,no
STC-SINGLETON-SCR-01018,RPT-SCR-01018-01,OISAC_SCR01018,photonic_THz,4,2,no,no,no,no
STC-SINGLETON-SCR-01020,RPT-SCR-01020-01,OISAC_SCR01020,photonic_THz,4,2,no,no,no,no
STC-SINGLETON-SCR-01021,RPT-SCR-01021-01,OISAC_SCR01021,VLC_LiFi,4,2,no,no,no,no
STC-SINGLETON-SCR-01023,RPT-SCR-01023-01,OISAC_SCR01023,FSO,3,2,no,no,no,no
STC-SINGLETON-SCR-01024,RPT-SCR-01024-01,OISAC_SCR01024,VLC_LiFi,3,2,no,no,no,no
STC-SINGLETON-SCR-01025,RPT-SCR-01025-01,OISAC_SCR01025,FSO,4,2,no,no,no,no
STC-SINGLETON-SCR-01028,RPT-SCR-01028-01,OISAC_SCR01028,VLC_LiFi,3,2,no,no,no,no
STC-SINGLETON-SCR-01029,RPT-SCR-01029-01,OISAC_SCR01029,FSO,5,2,no,no,no,no
STC-SINGLETON-SCR-01030,RPT-SCR-01030-01,OISAC_SCR01030,VLC_LiFi,3,2,no,no,no,no
STC-SINGLETON-SCR-01032,RPT-SCR-01032-01,OISAC_SCR01032,FSO,5,2,no,no,no,no
STC-SINGLETON-SCR-01033,RPT-SCR-01033-01,OISAC_SCR01033,VLC_LiFi,2,1,no,no,no,no
STC-SINGLETON-SCR-01034,RPT-SCR-01034-01,OISAC_SCR01034,VLC_LiFi,5,2,no,no,no,no
STC-SINGLETON-SCR-01036,RPT-SCR-01036-01,OISAC_SCR01036,VLC_LiFi,5,2,no,no,no,no
STC-SINGLETON-SCR-01040,RPT-SCR-01040-01,OISAC_SCR01040,photonic_THz,4,2,no,no,no,no
STC-SINGLETON-SCR-01041,RPT-SCR-01041-01,OISAC_SCR01041,photonic_THz,4,2,no,no,no,no
STC-SINGLETON-SCR-01045,RPT-SCR-01045-01,OISAC_SCR01045,fiber,3,2,no,no,no,no
STC-SINGLETON-SCR-01047,RPT-SCR-01047-01,OISAC_SCR01047,VLC_LiFi,4,2,no,no,no,no
STC-SINGLETON-SCR-01049,RPT-SCR-01049-01,OISAC_SCR01049,fiber,3,2,no,no,no,no
STC-SINGLETON-SCR-01050,RPT-SCR-01050-01,OISAC_SCR01050,FSO,4,2,no,no,no,no
STC-SINGLETON-SCR-01059,RPT-SCR-01059-01,OISAC_SCR01059,VLC_LiFi,3,2,no,no,no,no
STC-SINGLETON-SCR-01060,RPT-SCR-01060-01,OISAC_SCR01060,photonic_THz,4,2,no,no,no,no
STC-SINGLETON-SCR-01070,RPT-SCR-01070-01,OISAC_SCR01070,fiber,4,2,no,no,no,no
STC-SINGLETON-SCR-01071,RPT-SCR-01071-01,OISAC_SCR01071,fiber,4,2,no,no,no,no
STC-SINGLETON-SCR-01072,RPT-SCR-01072-01,OISAC_SCR01072,fiber,4,2,no,no,no,no
STC-SINGLETON-SCR-01073,RPT-SCR-01073-01,OISAC_SCR01073,photonic_THz,4,2,no,no,no,no
STC-SINGLETON-SCR-01079,RPT-SCR-01079-01,OISAC_SCR01079,fiber,4,2,no,no,no,no
STC-SINGLETON-SCR-01081,RPT-SCR-01081-01,OISAC_SCR01081,VLC_LiFi,2,1,no,no,no,no
STC-SINGLETON-SCR-01085,RPT-SCR-01085-01,OISAC_SCR01085,FSO,4,2,no,no,no,no
STC-SINGLETON-SCR-01086,RPT-SCR-01086-01,OISAC_SCR01086,fiber,6,3,yes,yes,yes,yes
STC-SINGLETON-SCR-01088,RPT-SCR-01088-01,OISAC_SCR01088,fiber,4,2,no,no,no,no
STC-SINGLETON-SCR-01093,RPT-SCR-01093-01,OISAC_SCR01093,photonic_THz,4,2,no,no,no,no
STC-SINGLETON-SCR-01095,RPT-SCR-01095-01,OISAC_SCR01095,fiber,4,2,no,no,no,no
STC-SINGLETON-SCR-01101,RPT-SCR-01101-01,OISAC_SCR01101,photonic_THz,4,2,no,no,no,no
STC-SINGLETON-SCR-01103,RPT-SCR-01103-01,OISAC_SCR01103,fiber,2,1,no,no,no,no
STC-SINGLETON-SCR-01105,RPT-SCR-01105-01,OISAC_SCR01105,fiber,4,2,no,no,no,no
STC-SINGLETON-SCR-01151,RPT-SCR-01151-01,OISAC_SCR01151,photonic_THz,4,2,no,no,no,no
STC-SINGLETON-SCR-01152,RPT-SCR-01152-01,OISAC_SCR01152,photonic_THz,4,2,no,no,no,no
STC-SINGLETON-SCR-01153,RPT-SCR-01153-01,OISAC_SCR01153,photonic_THz,4,2,no,no,no,no
STC-SINGLETON-SCR-01165,RPT-SCR-01165-01,OISAC_SCR01165,photonic_THz,4,2,no,no,no,no
STC-SINGLETON-SCR-01180,RPT-SCR-01180-01,OISAC_SCR01180,fiber,6,2,no,yes,yes,no
STC-SINGLETON-SCR-01188,RPT-SCR-01188-01,OISAC_SCR01188,fiber,6,2,no,yes,yes,no
STC-SINGLETON-SCR-01229,RPT-SCR-01229-01,OISAC_SCR01229,hybrid_optical,4,2,no,no,no,no
STC-SUBCARRIER-CHIRP-DBAND-2025,RPT-SCR-00981-01,OISAC_SCR00981,photonic_THz,4,2,no,no,no,no
STC-SUBMARINE-CABLE-DAS-HUIZHOU-2022-2026,RPT-SCR-00957-01,OISAC_SCR00957,fiber,6,3,yes,yes,yes,yes
STC-TUNABLE-LASER-THZ-FMCW-2025-2026,RPT-SCR-00083-01,OISAC_SCR00083,photonic_THz,4,2,no,no,no,no
STC-WBAND-POLARIZATION-JRC-2023-2025,RPT-SCR-01075-01,OISAC_SCR01075,photonic_THz,4,2,no,no,no,no
STC-WBAND-TFDM-DONG-2022-2024,RPT-SCR-00966-01,OISAC_SCR00966,photonic_THz,4,2,no,no,no,no
