Paper_ID,step_0_visual_inspection,step_1_concept_analysis,step_2_benchmark_verification,step_3_strategic_critique
O_ISAC_011,"The paper includes several figures, including Fig. 1, which illustrates the schematic diagram of a R...",The proposed system is a retroreflective optical ISAC (RO-ISAC) system that uses OFDM for data trans...,The paper reports a range resolution of 1cm and a maximum ranging distance. The simulation results s...,The proposed system solves the problem of achieving high-speed communication and positioning functio...
O_ISAC_012,"The paper includes several figures, including Fig. 1, which shows the schematic diagram and post-pro...",The system uses a phase-coded FMCW scheme for optical sensing and communication. The ISAC coupling m...,"The paper reports a code rate of 1 Gbit/s and distances of 10, 20, and 30 m. The simulation results ...",The paper solves the problem of integrating optical sensing and communication without mutual interfe...
O_ISAC_013,The paper presents a single-ended > 100-km distributed vibration sensor based on OFDR using the Pear...,"The system mechanism is based on OFDR, which uses the Pearson correlation coefficient to evaluate th...","The reported metrics, such as the sensing range of 100.9 km, sensing spatial resolution of 15.3 m, a...",The paper solves the problem of detecting vibration events over 100 km using a simple and effective ...
O_ISAC_014,"The paper includes several figures, including Figure 1, which shows the experimental setup of the SS...","The system uses a Power over Fiber (PoF) mechanism, where high optical power and data signals are tr...",The paper reports an optical power transfer efficiency (PTE) of 49% and a data rate of 155 Mbit/s. T...,"The paper demonstrates the potential application of PoF technology for Power Grid systems, providing..."
O_ISAC_015,"The paper includes several figures, including Figure 1, which depicts a MAP-aided IVLCS system with ...",The system model for a MAP-aided integrated visible light communication and sensing (IVLCS) network ...,The paper reports that the proposed MAP-aided IVLCS system outperforms the traditional fixed AP syst...,"The paper solves the problems of LOS blockage, device orientation, limited FOV, and user mobility is..."
O_ISAC_016,"The paper includes several figures, including Fig. 1, which shows the schematic diagram of the propo...","The system uses a photonic sub-THz ISAC transmitter, which generates a pair of sub-THz ISAC signals ...",The paper reports a real-time line rate of 251.03 Gbps and an offline sensing resolution of 2.5 cm. ...,The paper solves the problem of achieving high-speed real-time communication and high-resolution sen...
O_ISAC_017,"The paper includes several figures, including Fig.1, which shows the detailed structure of the Doubl...",The paper proposes a double-effect DNN-based DBP scheme for Integrated Sensing and Communications (I...,The paper reports the nonlinear interference mitigation effects and abnormal loss detection results....,The paper solves the problem of nonlinear interference mitigation and abnormal loss detection in opt...
O_ISAC_018,The paper presents a system model for the coexistence of distributed sensing and ultra-simple cohere...,The system mechanism is based on the use of a linear frequency modulated (LFM) carrier to enable dis...,The system achieves a distributed sensing detection sensitivity of 28 pε/√Hz and supports 1.6 GBaud ...,The system solves the problem of integrating distributed sensing and RoF communication in a single s...
O_ISAC_019,"The paper includes several figures, including Fig. 1, which shows a schematic of the proposed microw...","The proposed system employs a microwave photonics-based full-duplex ISAC architecture, which separat...",The paper reports a distance resolution of 1.5 cm and a communication data rate of 600 Mbit/s. The s...,The proposed system addresses the challenge of integrating sensing and communication functionalities...
O_ISAC_020,The paper presents a photonic integrated sensing and communication system using submarine fiber opti...,The system utilizes the existing monitoring channel of the commercial fiber optic communication syst...,"The system has been tested and validated through experiments, demonstrating its ability to detect an...",The photonic ISAC system has the potential to provide a new supplementary approach for conventional ...
O_ISAC_021,The paper includes several figures and tables that illustrate the concept of Optical Integrated Sens...,The system mechanism of O-ISAC involves the integration of free-space optical (FSO) communication an...,The paper reports a communication rate of 100 Gbps at a distance of about 700 m using a 1550-nm lase...,The paper solves the problem of integrating FSO communication and optical sensing into a single syst...
O_ISAC_022,The paper proposes a joint visible light communication and sensing system using m-CAP modulation and...,"The system uses m-CAP modulation, which is a variant of CAP modulation that changes the conventional...","The reported metrics, such as the positioning error and data rate, are physically consistent with th...",The system solves the problem of providing a joint visible light communication and sensing system wi...
O_ISAC_023,"The paper proposes a DCO-OFDM scheme for FSO-ISAC, which combines communication and sensing function...","The system mechanism is based on the DCO-OFDM scheme, which adds a direct-current (DC) bias to the o...",The paper provides numerical simulations to evaluate the proposed DCO-OFDM scheme for FSO-ISAC. The ...,The paper solves the problem of joint optimization of communication and sensing performance metrics ...
O_ISAC_024,"The paper includes several figures, such as Fig. 1, which shows the time-domain waveform of the LFM ...",The system uses a digital subcarrier multiplexing (DSCM)-based integrated sensing and communication ...,"The paper reports a spatial resolution of 1 m in a 40-km fiber link, with an SNR improvement of 2.4 ...",The paper solves the problem of frequency-dependent distortions in LFM probes used in distributed fi...
O_ISAC_025,The paper proposes an architecture for an optical transport network that supports integrated sensing...,The system architecture exploits an optoelectronic transport network interconnecting the Radio Acces...,"The paper presents numerical results for the proposed scheme, evaluating three different management ...",The proposed architecture has the potential to optimize the operation of an optical transport networ...
O_ISAC_026,"The paper includes several figures, including Figure 1, which shows the concept of adaptive photonic...",The proposed system is a photonic-based millimeter-wave integrated sensing and communication (ISAC) ...,"The paper reports a data rate of 48 Gbit/s in communication-only mode and 8 Gbit/s in ISAC mode, wit...",The proposed system solves the problem of achieving high-speed communication and high-resolution sen...
O_ISAC_027,"The paper includes several figures, including Fig. 1, which shows the setup for ocean salinity sensi...",The system mechanism is based on an all-optical fiber marine salinity sensor designed for deep ocean...,"The paper reports a refractive index sensitivity of 1200.7 nm/RIU, which corresponds to a salinity s...",The paper solves the problem of designing a salinity sensor with high sensitivity and low crosstalk ...
O_ISAC_028,The paper discusses the performance improvement of symmetric carrier-assisted differential detection...,The S-CADD receiver is a self-coherent detection technique that can overcome frequency-selective fad...,The simulation results show that the PWC scheme can achieve a lower BER compared to the traditional ...,The PWC scheme is a promising solution for cost-effective direct detection schemes with field recove...
O_ISAC_029,The paper presents a photonic-based THz ISAC system with full-photonic direct LFM reception and de-c...,The system uses a TFLN-MZM to directly receive and de-chirp THz LFM echo signals. The TFLN-MZM opera...,"The system achieves a range resolution of 6 mm, which is slightly higher than the theoretical value....",The system solves the problem of direct reception and de-chirping of THz LFM echo signals using a TF...
O_ISAC_030,"The paper presents a system called ReflexGest, which is designed for hand gesture recognition using ...","The ReflexGest system uses a VLC-capable lamp to emit light with distinct modulation frequencies, wh...","The paper reports various performance metrics, including recognition accuracy, bit error rate (BER),...",The ReflexGest system solves the problem of hand gesture recognition using visible light communicati...
O_ISAC_031,"The paper includes several figures, including Figure 1, which illustrates the phenomenon of signal s...",The proposed system is a photonics-enabled full-duplex millimeter-wave integrated sensing and commun...,The paper reports a self-interference cancellation (SIC) depth of 43.7 dB for the LFM-BPSK signal wi...,"The proposed system solves the problem of self-interference in full-duplex ISAC systems, achieving a..."
O_ISAC_032,"The paper includes several figures, including Figure 1, which shows a schematic of the temperature c...",The system mechanism is based on a polarization-multiplexed fiber-optic vibration sensing unit (FOVS...,The paper reports a suppression effect of temperature drift noise of 43 dB at 1 mHz under unidirecti...,The paper addresses the problem of temperature cross-sensitivity in fiber-optic vibration sensing un...
O_ISAC_033,"The paper includes several figures, including Fig. 1, which shows a 380-km long field fiber link and...",The paper explores two fiber sensing methods that enable coexistence with data transmission on DWDM ...,The paper reports a spatial resolution of 10 m and an SNR gain of 32 dB over conventional DAS at the...,The paper solves the problem of coexisting sensing and data transmission on the same fiber using wav...
O_ISAC_034,"The paper includes several figures, including Fig. 1, which shows the system model of the proposed P...",The proposed PSS-PPM method integrates optical wireless communication and optical sensing by generat...,"The paper provides theoretical analysis and simulation results for the achievable rate, BER, and RMS...",The proposed PSS-PPM method solves the problem of integrating optical wireless communication and opt...
O_ISAC_035,"The paper includes several figures, including Fig. 1, which illustrates the FMCW LiDAR principle, an...",The proposed system uses an OCDM-based FMCW waveform design for FSO integrated sensing and communica...,The paper reports a centimeter-level ranging accuracy and a communication rate of 3.182 Gbps. The sy...,The proposed system solves the problem of achieving high-accuracy ranging and high-speed communicati...
O_ISAC_036,"The paper includes several figures, including Fig. 1, which shows a conceptual schematic of the depl...",The system mechanism is based on a heterogeneous fully integrated photonics transmitter with a III-V...,"The reported metrics, such as the 16-QAM transmission at 24 Gbps capacity and the LFMCW with a resol...",The paper solves the problem of integrating laser and other III-V active components on a Si platform...
O_ISAC_037,"The paper includes several figures, including Fig. 1, which illustrates the wavefront matching algor...",The paper proposes a linearly polarized mode demultiplexing hybrid (MDH) based on multi-plane light ...,"The paper reports an insertion loss (IL) of 1.62dB, a mode dependent loss (MDL) of 0.34dB, and a cro...",The paper solves the problem of complex optical front ends in MDM coherent fiber communication syste...
O_ISAC_038,"The paper includes several figures, including Fig. 1, which shows the NOMA 16-QAM constellation befo...",The paper proposes a NOMA-based scheme for integrating distributed acoustic sensing (DAS) and cohere...,The paper reports a negligible communication penalty in 60 GBaud 16QAM and a 100 MHz LFM tone experi...,The paper solves the problem of integrating distributed sensing into optical coherent networks throu...
O_ISAC_039,"The paper presents a Visible Light Integrated Positioning and Communication (VIPAC) framework, which...",The VIPAC framework integrates positioning and communication tasks by utilizing the channel state in...,The paper provides a theoretical analysis of the performance bounds of positioning and channel estim...,The proposed VIPAC framework addresses the limitations of traditional VLP and VLC systems by integra...
O_ISAC_040,"The paper includes several figures, including Figure 1, which illustrates the UAV-aided flying RO-IS...",The system mechanism involves a UAV-aided flying RO-ISAC system with angle diversity transmitters (A...,The paper reports simulation results for the communication BER and positioning RMSE of the UAV-aided...,The paper solves the problem of improving the sensing and communication performance of UAV-aided fly...
O_ISAC_041,The paper presents a system architecture for co-route fiber recognition and status diagnosis based o...,The system mechanism involves the use of ISUs to extract sensing information from optical fibers and...,"The paper reports a co-cable fiber identification accuracy of 99.7%, optical fiber trench identifica...",The paper solves the problem of co-route fiber identification and fiber state prediction in 6G trans...
O_ISAC_042,"The paper includes several figures, including Fig. 1, which shows the frame structure comprised of I...",The paper proposes an ISAC scheme by inserting LFM sensing probes into the training sequence part of...,"The paper reports a spatial resolution of 0.5 m for vibration sensing over a 10 km fiber, and a data...",The paper solves the problem of achieving high spatial resolution for vibration sensing in optical f...
O_ISAC_043,"The paper includes several figures, including Fig. 1, which shows the concept of photonic-based ISAC...","The system uses a photonic-based integration of sensing and communication, with a W-band flexible ti...",The paper reports a range resolution of 1.59 cm to 4.39 cm and a data rate of 15 Gbit/s to 60 Gbit/s...,The paper solves the problem of achieving high-resolution sensing and high-speed communication in a ...
O_ISAC_044,The paper presents a photonic-based W-band integrated sensing and communication system with flexible...,"The system uses a photonic-based approach to generate W-band millimeter-wave signals, which are then...","The paper reports a range resolution of 1.59-4.39 cm and a data rate of 15-60 Gbps, which are physic...","The paper solves the problem of achieving a tradeoff between range resolution, data rate, and detect..."
O_ISAC_045,"The paper includes several figures, including Fig. 1, which shows a conceptual illustration of IOSAC...",The system uses a Si3N4 micro-ring resonator for simultaneous sensing and communication. The micro-r...,The paper reports a sensitivity of 294 nm/RIU in refractive index sensing and 1.25-Gbit/s OOK optica...,The paper solves the problem of simultaneous sensing and communication over a 20 km fiber using a Si...
O_ISAC_046,"The paper includes several figures, including Fig.1(a) which shows the experimental setup, Fig.1(b) ...",The system uses a co-wavelength-channel integration of ultra-low-frequency distributed acoustic sens...,"The reported metrics, such as the sensing sensitivity of 3.89 - nε Hz @0.1-Hz with 20-m spatial-reso...",The paper solves the problem of integrating ultra-low-frequency DAS and high-capacity communication ...
O_ISAC_047,"The paper includes several figures, including Fig. 1, which illustrates the digital signal processin...",The system uses an OTFS waveform based on photonics-assisted technology in a W-band fiber-wireless I...,The paper reports a communication data rate of 5.44 Gbit/s and a theoretical ranging resolution of 1...,The paper solves the problem of achieving high communication data rates and accurate ranging resolut...
O_ISAC_048,"The system model of the DCO-OFDM scheme for FSO-ISAC is illustrated in Fig. 1, which shows the FSO-I...",The optimization problem is formulated to maximize the spectral efficiency for communication while g...,The numerical simulations demonstrate the effectiveness of the proposed algorithm and reveal the tra...,The proposed DCO-OFDM scheme and the iterative algorithm can efficiently optimize the power allocati...
O_ISAC_049,The paper presents a system model for an integrated visible light communication and sensing (IVLCS) ...,The system uses a joint optimization of slot selection and power allocation to minimize the total tr...,The paper presents numerical results to verify the effectiveness of the proposed algorithms and comp...,The paper solves the problem of joint optimization of slot selection and power allocation for an IVL...
O_ISAC_050,,,,
O_ISAC_051,The paper presents a novel LiDAR system called Phase-Shift Laser Ranging with Communication (PLRC) t...,"The PLRC system uses a PRN code to modulate the phase of a subcarrier signal, which is then used for...",The paper reports a range precision of 3.54 × 10^−3 m and a communication capacity of 1.43 Mbit/s. T...,The PLRC system solves the problem of integrating sensing and communication functions in a single sy...
O_ISAC_052,The paper presents an optical wireless (OW)-ISAC scheme based on asymmetrically clipped direct-curre...,"The system uses ADO-OFDM, which combines DCO-OFDM and ACO-OFDM. The Bussgang theorem is adopted to m...",The paper presents numerical results that demonstrate the effectiveness of the proposed ADO-OFDM sch...,"The paper solves the problem of adaptive resource allocation in ADO-OFDM for OW-ISAC. However, the p..."
O_ISAC_053,"The paper includes several figures, such as Fig. 1, which shows the 3D models of the Coordinator and...",The system proposed is an Integrated Sensing and Communication (ISAC) system based on Visible Light ...,The paper reports an average absolute deviation of 1.2° and 1.3° in the rotation angle determination...,The paper demonstrates the feasibility of a VLC-VLS ISAC system for remote sensing and control of a ...
O_ISAC_054,The paper presents a new optical integrated sensing and communication (O-ISAC) framework tailored fo...,"The O-ISAC system operates in two phases: directionless and directional. In the directionless phase,...",The paper presents numerical and simulation results that demonstrate the feasibility and performance...,"The paper addresses the challenges of incoherent light, divergent light, and massive echo in LED-bas..."
O_ISAC_055,"The paper includes several figures, including Fig. 1, which illustrates the proposed system model of...",The proposed system combines linear frequency modulation (LFM) and continuous phase modulation (CPM)...,"The paper provides theoretical derivations for the achievable data rate, bit error rate (BER), and C...",The proposed LFM-CPM scheme solves the problem of achieving simultaneous communication and sensing i...
O_ISAC_056,The paper presents a system model for Optical Integrated Sensing and Communication (O-ISAC) with a s...,The system mechanism involves a point-to-point O-ISAC system with a single-input single-output (SISO...,"The paper reports on the optimal C-D tradeoff, which is validated through numerical results. The rep...","The paper solves the problem of characterizing the optimal C-D tradeoff for O-ISAC systems. However,..."
O_ISAC_057,"The paper includes several figures, including Figure 1, which shows the schematic diagram of the pro...",The system uses photonic techniques to generate and de-chirp mm-wave ultra-wideband linearly frequen...,"The reported metrics, such as the range resolution of 1.8-cm and the communication data rate of 1-Gb...",The system solves the problem of achieving high-resolution radar detection and high-capacity wireles...
O_ISAC_058,"The paper presents a photonic-based W-band ISAC system for fiber-wireless networks, with a focus on ...",The system uses a photonic-based approach to generate high-frequency broadband signals for both sens...,The paper reports a range resolution of 1.76 to 3.15 cm and a communication data rate of 15 to 60 Gb...,The paper solves the problem of multitarget detection in photonic-based ISAC systems by proposing a ...
O_ISAC_059,The paper discusses the integration of Terrestrial Networks (TNs) and Non-Terrestrial Networks (NTNs...,"The paper explores the concept of ISAC, which involves the integration of sensing and communication ...","The paper discusses the challenges associated with integrating TNs and NTNs, including the need for ...",The paper provides a comprehensive overview of the current state of ISAC and its potential applicati...
O_ISAC_060,"The paper includes several figures, including Figure 1, which shows the block diagram of the propose...","The proposed system uses a unified waveform based on QPSK and DSSS, where the user data is loaded on...",The paper reports a BER performance improvement of 1.5dB and 7.5dB under weak and moderate turbulenc...,"The proposed system addresses the challenge of designing a unified waveform for ISAC-OW systems, ena..."
O_ISAC_061,The paper proposes an Optical Phased Array (OPA)-based Optical Wireless Integrated Sensing and Commu...,The OPA-based OW-ISAC system uses optical beamforming and atmospheric propagation to enable concurre...,"The paper derives dedicated performance metrics for the communication and sensing subsystems, includ...",The paper solves the problem of integrating sensing and communication in an optical wireless system ...
O_ISAC_062,,,,
O_ISAC_063,The paper discusses a method for characterizing the full-field frequency response of a coherent Tran...,The system mechanism involves using multiple dual-tone signals to characterize the TOSA's frequency ...,The paper reports a maximum AFR deviation of less than 1 dB over the 10 dB bandwidth and a maximum P...,The paper solves the problem of characterizing the full-field frequency response of a TOSA using a s...
O_ISAC_064,"The paper discusses integrated sensing and communications for metropolitan environments, focusing on...",The system mechanism involves using fiber interferometry to add vibration sensing to unidirectional ...,"The paper reports various applications of the proposed system, including traffic monitoring and othe...",The solved problem is the integration of sensing and communications in metropolitan environments usi...
O_ISAC_065,"The paper includes several figures, including Fig. 1, which depicts the OCDM waveform generation sch...",The system uses an orthogonal chirp division multiplexing (OCDM) waveform-based terahertz-over-fiber...,The paper reports a data rate of 32 Gbit/s and a range resolution of 1.875 cm. The physical consiste...,The paper solves the problem of achieving high-data-rate communication and high-resolution sensing i...
O_ISAC_066,The paper discusses the concept of interaction-tolerant (IT) soliton signals for dual-polarization t...,"The system mechanism is based on the nonlinear Fourier transform (NFT) and the Manakov equation, whi...","The authors provide numerical results to verify the effectiveness of the pre-distortion scheme, whic...",The solved problem is the mitigation of collision distortion on the soliton quantities in IT soliton...
O_ISAC_067,"The paper includes several figures, including Figure 1, which shows the top-view schematic of the me...",The paper presents a measurement-based validation of a ray-tracing model at sub-THz for ISAC applica...,"The paper reports a good agreement between the measured and simulated marginal power profiles, which...",The paper solves the problem of validating a ray-tracing model for ISAC applications in an industria...
O_ISAC_068,The paper includes two figures: Figure 1 illustrates the typical architecture of JCS systems in both...,"The paper discusses Joint Communication and Sensing (JCS) systems, which integrate communication and...","The paper reports various metrics, including data rates, sensing accuracy, and communication perform...","The paper identifies several challenges associated with current communication and sensing systems, i..."
O_ISAC_069,The paper discusses the use of Distributed Acoustic Sensing (DAS) with submarine cables for seismolo...,The system mechanism is based on the use of DAS with submarine cables to detect seismic waves. The I...,The paper reports a high signal-to-noise ratio (SNR) improvement of 3.02 dB to 8.42 dB after denoisi...,"The paper solves the problem of seismic analysis using DAS with submarine cables, but leaves open ch..."
O_ISAC_070,"The paper discusses photonic THz-ISAC systems with integrated waveforms, focusing on system-level in...","The paper explores the concept of integrated sensing and communication (ISAC) systems, which enables...",The paper presents several experimental demonstrations of photonic THz-ISAC systems using integrated...,"The paper discusses the challenges and limitations of photonic THz-ISAC systems, such as the need fo..."
O_ISAC_071,The paper proposes a full-duplex RO-ISAC system based on wavelength division duplexing (WDD) with a ...,"The system mechanism is based on retroreflective optical ISAC (RO-ISAC), which equips the target wit...","The paper reports a downlink data rate of 125 Mb/s and an uplink data rate of 12.5 Mb/s, with a rang...",The proposed system addresses the challenges of bidirectional transmission and waveform design in RO...
O_ISAC_072,"The paper includes several figures, including Fig. 1, which illustrates the ANN training method base...",The system mechanism involves using artificial neural networks (ANN) and digital twin technology for...,The paper reports a 12 dB improvement in sensing signal-to-noise ratio (SSNR) compared to traditiona...,The paper solves the problem of vibration-induced phase extraction in DSCM systems using commercial ...
O_ISAC_073,"The paper includes several figures, including Fig. 1, which depicts an optical frequency comb, and F...",The system utilizes optical frequency combs for clock and carrier synchronization in wireless commun...,"The paper presents simulation and experimental results, demonstrating the successful generation, tra...",The paper addresses the need for precise clock and carrier synchronization in wireless communication...
O_ISAC_074,The paper discusses an endogenous ISAC system using telecom training sequences for interference-fadi...,"The system mechanism involves using chirp training sequences as sensing probes, which are inserted p...",The paper reports a mean root mean square error of 0.48 for state of polarization rotation estimatio...,The proposed system demonstrates the potential for endogenous ISAC using telecom training sequences....
O_ISAC_075,"The paper includes several figures, including Fig. 1, which depicts the schematic diagram of a RO-IS...",The proposed system is a retroreflective optical integrated sensing and communication (RO-ISAC) syst...,"The paper reports experimental results for the RO-ISAC system using the proposed OFDM-MLS waveform, ...",The proposed OFDM-MLS waveform design solves the problem of achieving flexible performance trade-off...
O_ISAC_076,"The paper includes several figures, including Fig. 1, which illustrates the principles for co-cable ...",The proposed system uses frequency-domain pilot tones (FPTs) for integrated communication and enhanc...,The paper reports a sensing signal-to-noise ratio (SSNR) improvement of 10 dB at 10 kHz with the aid...,The proposed system solves the problem of accurate vibration sensing in DSCM systems using commercia...
O_ISAC_077,"The paper includes several figures, including Fig. 1, which depicts the OCDM waveform generation sch...",The system uses an orthogonal chirp division multiplexing (OCDM) waveform-based terahertz-over-fiber...,"The reported metrics, such as the 32 Gbit/s data rate and 1.875 cm range resolution, are physically ...",The paper solves the problem of achieving high-performance ISAC in the THz frequency band by using a...
O_ISAC_078,The paper presents a system for O-band DML enabled 4×100G short-reach photonic interconnections usin...,"The system uses a WD-RNN for nonlinear equalization, which is a type of machine learning algorithm. ...","The paper reports a transmission rate of 4×100 Gb/s over 10 km SSMF, which is physically consistent ...",The paper solves the problem of nonlinear equalization in O-band DML enabled short-reach photonic in...
O_ISAC_079,"The paper includes several figures, including Fig. 1, which illustrates the proposed working princip...",The system uses a linear frequency-modulated (LFM) carrier-enabled self-homodyne coherent detection ...,The paper reports a 25-Gbaud DP-16QAM signal transmission performance with less than 1 dB penalty co...,The paper solves the problem of integrating high-fidelity communication and sensing in a SHCD system...
O_ISAC_080,"The paper includes several figures, such as Fig. 1, which illustrates the characterization of direct...",The system mechanism involves the use of Fraction-Division Non-Orthogonal Multiple Access (FD-NOMA) ...,The paper reports a data rate of 480 Gb/s for the DP-16QAM signal transmission over 32.5 km of fiber...,The proposed FD-NOMA scheme addresses the challenge of integrating sensing and communication without...
O_ISAC_081,The paper includes several figures and tables that provide visual details about the proposed traveli...,The proposed TWAoD features a traveling wave antenna integrated into the transparent region of the d...,The paper reports experimental results showing that the TWAoD achieves high gain and dual-mode capab...,"The proposed TWAoD addresses the core limitations of current ISAC antennas, including large physical..."
O_ISAC_082,"The paper includes several figures and diagrams, including Fig. 1, which illustrates the concept of ...",The proposed system is a photonics-aided THz ISAC system using a self-coherent OFDM scheme. The syst...,The paper reports a 20-Gb/s communication rate and a 1.94-cm ranging resolution. The 3-dB resolution...,The proposed system solves the problem of improving sensing performance in THz ISAC systems by trans...
O_ISAC_083,"The paper includes several figures, including Fig. 1, which illustrates the concept of confluent mes...","The system mechanism involves the integration of radio fixed wireless (RFW), free space optics (FSO)...","The paper reports several metrics, including a 1 Tb/s capacity FSO link with a 1 km reach and sub-TH...","The paper addresses the challenge of achieving high-capacity, low-latency, and energy-efficient netw..."
O_ISAC_084,"The paper includes several figures, including Fig. 1, which illustrates two sample applications of L...",LumiPane is an intelligent interaction system that combines visible light communication signals and ...,"The system achieves a maximum rate of 60bps without the need for an active light source, and the 1DC...","The system solves the problem of integrating gesture sensing with ambient light communication, and a..."
O_ISAC_085,"The paper includes several figures, including Fig. 1, which illustrates the principles of the KS-bas...",The system mechanism involves a three-pass Kalman smoother (KS) with a scalar linear time-invariant ...,The paper reports a 1.5 dB improvement in SSNR at 10 kHz compared to the BPF-based scheme. The exper...,The paper solves the problem of flexible vibration-induced phase extraction in integrated sensing an...
O_ISAC_086,"The paper includes several figures, including Figure 1, which shows the schematic diagram of the pro...","The proposed system is a photonics-assisted MMW multiband ISAC system, which uses a single photonic ...","The reported metrics, such as the communication data rate of 16 Gbit/s and the two-dimension radar i...",The proposed system solves the problem of achieving large-capacity wireless communication and high-r...
O_ISAC_088,"The paper includes several figures, including Fig. 1, which illustrates the proposed system architec...",The proposed system architecture adopts an optoelectronic transport network to interconnect the Radi...,The paper reports on the volume of sensing traffic vs resolution velocity and the optical transport ...,The paper proposes the adoption of optical switching technologies as an enabler in aggregating sensi...
O_ISAC_089,"The paper discusses the use of laser inter-satellite links (ISLs) for satellite communication, highl...","The paper analyzes the concept of laser ISLs, discussing their benefits, such as extended communicat...","The paper verifies the physical consistency of reported metrics, such as the communication distance ...","The paper critiques the strategic implications of laser ISLs, discussing their potential to improve ..."
O_ISAC_090,"The paper includes several figures, including Fig. 1, which shows the schematic of the proposed carr...",The system uses a carrier laser phase noise retrieval method to enhance vibration detection and loca...,The paper reports a reduction in localization error from 102 m to 43 m and a reduction in standard d...,The paper solves the problem of mitigating laser phase noise to improve vibration detection and loca...
O_ISAC_091,"The paper includes several figures, including Fig. 1, which illustrates the beamforming process of t...",The proposed system uses an optical phased array (OPA) to serve multiple communication user equipmen...,The paper derives the signal-to-interference-plus-noise ratio (SINR) and integrated sidelobe ratio (...,"The proposed OPA-based OW-ISAC framework solves the problem of integrating optical beamforming, atmo..."
O_ISAC_092,The paper proposes a joint communication and sensing (JCAS) waveform design method for pulse amplitu...,"The system mechanism is based on visible light communication, where the light source transmits an in...",The paper provides numerical and experimental results to validate the performance tradeoff between c...,The paper solves the problem of designing an integrated waveform for joint communication and sensing...
O_ISAC_093,"The paper includes several figures, such as Fig. 1, which illustrates a general system framework of ...","The paper discusses M-ISAC systems, which integrate multiple sensing modalities, such as radar, LiDA...","The paper discusses various challenges and limitations of M-ISAC systems, including the lack of high...","The paper identifies several challenges and open research directions, including the development of h..."
O_ISAC_094,"The paper includes several figures, including Figure 1, which illustrates the perception-enhanced mu...",The system mechanism involves a perception-enhanced multitask multimodal semantic communication (PE-...,The paper reports a performance improvement of 5% to 10% in target classification accuracy compared ...,The paper solves the problem of efficient multitask multimodal data communication in UAV-assisted IS...
