Paper_ID,Title,Year,Venue,Medium_Class,Carrier_Band,Environment,Topology,Evidence_Type,RIS,OPA,ML_Used,Exp_ID,Scenario,TX_Type,TX_Mod_Type,Wavelength_nm,TX_Power_dBm,RX_Detection,RX_Detector,Comm_Waveform,Sensing_Waveform,ISAC_Relationship,Link_Distance_m,Turbulence_Model,Fiber_Length_km,Fiber_Type,Backscatter_Type,Data_Rate_Gbps,Spectral_Eff,BER,SNR_dB,Sensing_Task,Range_Resolution_m,Range_Accuracy_m,Sensing_Range_m,Velocity_Resolution_mps,Localization_Error_m,Coupling_Mode,Tradeoff_Type,Tradeoff_Repr,TQAF_Total,Both_SC_Metrics,Tradeoff_Analyzed,Source
O_ISAC_015,Movable Access Point-Aided Integrated Visible Light Communication and Sensing Networks,2024,IEEE Letters,wireless_vlc,visible,indoor,point_to_point,simulation,False,False,False,E1,Indoor VLC with movable APs,led,not_specified,650,NR,direct,pd,not_specified,pulse_tof,single_dual_function,10,none,,,,5,NR,NR,NR,localization_2d,NR,NR,NR,NR,NR,resource_division,rate_vs_rmse,curve,3,False,True,"Fig. 2, Fig. 3, Fig. 4, Fig. 5"
O_ISAC_016,Demonstration of Photonic Sub-THz ISAC System with Real-Time 251.03-Gbps Communication Rate and Offline 2.5-cm Sensing Resolution,2024,Journal/Conference,wireless_fso,sub-THz,indoor,point_to_point,experimental,False,False,False,E1,Sub-THz ISAC system with 10.3m wireless distance,laser,im_dd,1550,8.5,coherent,balanced_pd,qam,lfm_chirp,multiplexed_separate,10.3,NR,,,,251.03,NR,1.6e-06,19,"ranging, localization_2d",0.025,0.01,10.3,NR,NR,resource_division,rate_vs_rmse,single_point,6,True,False,"Fig. 2, Table 1"
O_ISAC_017,Double-effect DNN-based DBP Scheme for Integrated Sensing and Communications (ISAC),2022,Journal/Conference,cabled_fibre,C-band,lab,point_to_point,simulation,False,False,True,E1,28-GBaud 16-QAM coherent optical system over 15×80 km SSMF transmission link,laser,coherent,1550,NR,coherent,balanced_pd,QAM,same_as_comm,single_dual_function,NR,NR,1200,ssmf,NR,28,NR,NR,NR,channel_sensing,NR,NR,NR,NR,NR,resource_division,rate_vs_rmse,curve,1,False,True,"Fig. 3, Fig. 4"
O_ISAC_018,Coexistence of Distributed Sensing and Ultra-Simple Coherent RoF Based Front-Haul for Radio Access Network,2025,IEEE Journal of Lightwave Technology,hybrid,Ka-band,lab,point_to_point,experimental,False,False,False,E1,10km fiber link and 1m wireless MMW channel,laser,coherent,1550,10,coherent,PD,QAM,LFM,single_dual_function,1,NR,10,SMF,Rayleigh_phi_otdr,25.6,10,1e-09,20,vibration,0.1,0.01,10,0,0,resource_division,rate_vs_rmse,curve,6,True,True,"Fig. 5, Fig. 7"
O_ISAC_019,Full-duplex Integrated Sensing and Communication System Based on Microwave Photonics,2023,Journal/Conference,hybrid,millimeter-wave,indoor,point_to_point,"simulation, experimental",False,False,False,E1,"Indoor, full-duplex ISAC",laser,phase_modulation,1550,10,direct,photodiode,QPSK,LFM,single_dual_function,1,none,1,smf,NR,0.6,1,1e-09,10,"ranging, velocity",0.015,0.015,5,0.1,0.01,resource_division,rate_vs_rmse,single_point,7,True,False,"Fig. 1, Section II-A"
O_ISAC_020,Photonic Integrated Sensing and Communication System Harnessing Submarine Fiber Optic Cables for Coastal Event Monitoring,2022,Journal/Conference,cabled_fibre,NR,outdoor,point_to_point,experimental,False,False,True,E1,Ocean wave analysis using photonic ISAC with submarine telecommunication fiber,NR,NR,1550,NR,coherent,NR,NR,pulse_tof,sensing_embedded_in_comm,NR,NR,10,smf,rayleigh_phi_otdr,NR,NR,NR,NR,"ranging, localization_2d",NR,NR,2000,NR,NR,NR,rate_vs_rmse,NR,5,False,False,Figure 3
O_ISAC_020,Photonic Integrated Sensing and Communication System Harnessing Submarine Fiber Optic Cables for Coastal Event Monitoring,2022,Journal/Conference,cabled_fibre,NR,outdoor,point_to_point,experimental,False,False,True,E2,Earthquake detection using photonic ISAC with submarine telecommunication fiber,NR,NR,1550,NR,coherent,NR,NR,pulse_tof,sensing_embedded_in_comm,NR,NR,10,smf,rayleigh_phi_otdr,NR,NR,NR,NR,"ranging, localization_2d",NR,NR,2000,NR,NR,NR,rate_vs_rmse,NR,5,False,False,Figure 4
O_ISAC_020,Photonic Integrated Sensing and Communication System Harnessing Submarine Fiber Optic Cables for Coastal Event Monitoring,2022,Journal/Conference,cabled_fibre,NR,outdoor,point_to_point,experimental,False,False,True,E3,Ferry monitoring using photonic ISAC with submarine telecommunication fiber,NR,NR,1550,NR,coherent,NR,NR,pulse_tof,sensing_embedded_in_comm,NR,NR,10,smf,rayleigh_phi_otdr,NR,NR,NR,NR,"ranging, localization_2d",NR,NR,2000,NR,NR,NR,rate_vs_rmse,NR,5,False,False,Figure 6
O_ISAC_021,"Optical Integrated Sensing and Communication: Architectures, Potentials and Challenges",2023,IEEE IoT Magazine,wireless_fso,NIR,outdoor,point_to_point,"analytical, simulation",False,True,True,E1,"Outdoor FSO, 200m, LoS",laser,im_dd,1550,10,direct,pin_pd,ofdm,lfm_chirp,single_dual_function,200,lognormal,,,,1,1,1e-06,10,"ranging, localization_2d",0.1,0.01,200,0.1,0.1,resource_division,rate_vs_rmse,curve,3,True,True,Figure 4
O_ISAC_022,Joint Visible Light Sensing and Communication Using m-CAP Modulation,2022,IEEE Transactions on Broadcasting,wireless_vlc,visible,indoor,point_to_point,simulation,False,False,False,E1,Indoor VLC with 9 APs,led,m-cap,630,10,direct,pin_pd,m-cap,same_as_comm,single_dual_function,2.5,none,,,,0.032,0.32,0.0038,10,localization_2d,0.1,0.0717,4,0,0.0717,resource_division,rate_vs_rmse,curve,5,True,True,"Table II, Section III-B"
O_ISAC_023,Free-Space Optical Integrated Sensing and Communication Based on DCO-OFDM: Performance Metrics and Resource Allocation,2024,IEEE Journal,wireless_fso,NIR,outdoor,point_to_point,"analytical, simulation",False,False,False,E1,"Outdoor FSO, 500m, Gamma-Gamma turbulence",laser,im_dd,905,30,direct,pin_pd,ofdm,ofdm,single_dual_function,200,gamma_gamma,0,NA,NA,1,2,1e-06,10,ranging,0.1,0.01,200,0.1,0.1,resource_division,rate_vs_rmse,curve,8,True,True,"Table II, Section IV-B"
O_ISAC_024,Pre-compensation of LFM Sensing Probe via Integrated Sensing and Communication over Fiber System,2025,OECC/PSC,cabled_fibre,NR,lab,point_to_point,experimental,False,False,False,E1,40-km fiber link with 1 m spatial resolution,laser,im_dd,1550,0,coherent,balanced_pd,dscm,lfm_chirp,comm_embedded_in_sensing,NR,NR,40,smf,rayleigh_phi_otdr,240,NR,NR,NR,vibration,1,NR,40000,NR,NR,resource_division,rate_vs_rmse,single_point,2,False,True,Fig. 3
O_ISAC_025,Optical Transport Network Optimization Supporting Integrated Sensing and Communication Services,2024,Journal/Conference,hybrid,other,indoor,point_to_point,experimental,False,False,False,E1,Optical Transport Network Optimization,NR,ofdm,1550,NR,direct,NR,ofdm,ofdm,single_dual_function,200,NR,NR,smf,NR,0.1,NR,1e-09,10,localization_2d,NR,NR,400,NR,NR,resource_division,rate_vs_rmse,curve,2,False,True,"Fig. 2, Section 4"
O_ISAC_026,W-band Photonic-based Integration of Sensing and Communication with Frequency-division Multiplexed Waveforms in Fiber-wireless Integrated Network,2022,Journal/Conference,hybrid,W-band,lab,point_to_point,experimental,False,False,False,E1,W-band Photonic-based ISAC System,laser,mixed,1550,6,direct,pin_pd,qam,lfm,multiplexed_separate,1,none,10,smf,NR,48,NR,1e-09,NR,ranging,0.0275,0.01,1.6,NR,NR,resource_division,rate_vs_rmse,single_point,5,False,False,Figure 4
O_ISAC_027,Low Crosstalk Deep Ocean Salinity Monitoring at 2 µm Wavelength Band,2025,IEEE Journal,cabled_fibre,other,lab,point_to_point,experimental,False,False,False,E1,Ocean salinity monitoring,laser,not_specified,2000,NR,direct,other,other,other,not_specified,NR,NR,NR,other,NR,NR,NR,NR,NR,other,NR,NR,NR,NR,NR,NR,NR,NR,2,False,False,Fig. 6
O_ISAC_028,Performance Improvement for Symmetric Carrier-assisted Differential Detection Receiver by Pairwise Coding,2023,Journal of Lightwave Technology,cabled_fibre,C-band,lab,point_to_point,simulation,False,False,False,E1,64 Gbaud 16-QAM OFDM signal transmission over 80km SSMF,laser,im_dd,1550,6,direct,balanced_pd,ofdm,NR,not_specified,NR,NR,80,smf,NR,256,NR,0.001,NR,NR,NR,NR,NR,NR,NR,NR,rate_vs_osnr,curve,5,False,True,Fig. 6
O_ISAC_029,THz Integrated Sensing and Communication With Full-Photonic Direct LFM Reception and De-Chirping for D-Band Fiber-Wireless Network,2025,IEEE Transactions on Microwave Theory and Techniques,hybrid,D-band,lab,point_to_point,experimental,False,False,False,E1,D-band photonic-based ISAC system,laser,coherent,1550,14.5,coherent,balanced_PD,QAM,LFM,single_dual_function,1,NR,20,SMF,NR,116,4,0.001,20,ranging,0.006,0.003,10,0,0,resource_division,rate_vs_range_resolution,curve,8,True,True,Fig. 7
O_ISAC_030,ReflexGest: Recognizing Hand Gestures Under VLC-Capable Lamps,2025,IEEE Transactions on Mobile Computing,wireless_vlc,visible,indoor,point_to_point,experimental,False,False,True,E1,"Indoor VLC, 10 classes of hand gestures",led,multi_carrier,630,10,direct,photodiode,ook,pulse_tof,single_dual_function,0.5,none,,,,5e-05,0.1,1e-06,10,"ranging, localization_2d",0.01,0.01,0.5,0.1,0.01,resource_division,rate_vs_rmse,single_point,8,True,True,"Table II, Section IV-B"
O_ISAC_048,Power Allocation for OFDM-Based Free Space Optical Integrated Sensing and Communication,2023,IEEE Transactions on Communications,wireless_fso,NR,outdoor,point_to_point,"analytical, simulation",False,False,False,E1,"Outdoor FSO, 100m, LoS channel",laser,ofdm,1550,30,direct,pin_pd,ofdm,same_as_comm,single_dual_function,100,none,,,,1,1,1e-06,10,ranging,0.1,0.01,100,0,0,resource_division,rate_vs_rmse,curve,5,True,True,"Section III, Fig. 2"
O_ISAC_060,A Unified Waveform for Optical Wireless Integrated Sensing and Communication,2022,IEEE Journal,wireless_fso,NIR,outdoor,bistatic,simulation,False,False,False,E1,"Outdoor FSO, 100m, Gamma-Gamma turbulence",laser,qpsk,1550,NR,coherent,balanced_pd,qpsk,dsss,single_dual_function,100,gamma-gamma,,,,NR,NR,3.8e-3,NR,ranging,NR,0.011,100,NR,NR,resource_division,rate_vs_ber,curve,1,False,True,"Table I, Figure 2"
