paper_id,title,reason,checks
O_ISAC_030,ReflexGest: Recognizing Hand Gestures Under VLC-Capable Lamp,Failed 2-of-4: 0 checks passed,
O_ISAC_031,Photonics-enabled full-duplex millimeter-wave integrated sen,Failed 2-of-4: 0 checks passed,
O_ISAC_032,Temperature Compensation Method for Polarization-Multiplexed,Failed 2-of-4: 0 checks passed,
O_ISAC_033,Simultaneous Sensing and Communication in Optical Fibers,Failed 2-of-4: 1 checks passed,intent_statement
O_ISAC_034,Pulse Sequence Sensing and Pulse Position Modulation for Opt,Failed 2-of-4: 0 checks passed,
O_ISAC_035,OCDM-Based FMCW Waveform Design for FSO Integrated Sensing a,Failed 2-of-4: 1 checks passed,taxonomy_structure
O_ISAC_036,Heterogeneous Integrated III-V-on-SOI Transmitter for 6G FiW,Failed 2-of-4: 0 checks passed,
O_ISAC_037,Linearly Polarized Mode Demultiplexing Hybrid based on Multi,Failed 2-of-4: 0 checks passed,
O_ISAC_038,Integration of Distributed Sensing into Optical Coherent Net,Failed 2-of-4: 0 checks passed,
O_ISAC_039,Visible Light Integrated Positioning and Communication: A Mu,Failed 2-of-4: 0 checks passed,
O_ISAC_040,UAV-Aided Flying Retroreflective Optical ISAC with Angle Div,Failed 2-of-4: 0 checks passed,
O_ISAC_041,Co-Route Fiber Recognition and Status Diagnosis Based on Int,Failed 2-of-4: 1 checks passed,taxonomy_structure
O_ISAC_042,High-efficiency ISAC to enable sub-meter level vibration sen,Failed 2-of-4: 0 checks passed,
O_ISAC_043,Photonic-based W-band Flexible TFDM Integrated Sensing and C,Failed 2-of-4: 0 checks passed,
O_ISAC_044,Photonic-Based W-Band Integrated Sensing and Communication S,Failed 2-of-4: 1 checks passed,taxonomy_structure
O_ISAC_045,Simultaneous Sensing and Communication Over 20 km Fiber Base,Failed 2-of-4: 0 checks passed,
O_ISAC_046,Co-wavelength-channel Integration of Ultra-lowfrequency Dist,Failed 2-of-4: 0 checks passed,
O_ISAC_047,Zero-Padding 2D-DFT Scheme for Photonics-Assisted W-Band Fib,Failed 2-of-4: 1 checks passed,taxonomy_structure
O_ISAC_048,Power Allocation for OFDM-Based Free Space Optical Integrate,Failed 2-of-4: 0 checks passed,
O_ISAC_049,Joint Optimization of Slot Selection and Power Allocation in,Failed 2-of-4: 0 checks passed,
O_ISAC_050,"<span id=""page-0-6""></span>Visible Light Communication-Enabl",Failed 2-of-4: 0 checks passed,
O_ISAC_051,Remote Phase-Shift LiDAR With Communication,Failed 2-of-4: 0 checks passed,
O_ISAC_052,Adaptive Resource Allocation in ADO-OFDM for Optical Wireles,Failed 2-of-4: 0 checks passed,
O_ISAC_053,Integrated Sensing and Communication in the Visible Spectral,Failed 2-of-4: 0 checks passed,
O_ISAC_054,Optical Integrated Sensing and Communication With Light-Emit,Failed 2-of-4: 0 checks passed,
O_ISAC_055,Free Space Optical Integrated Sensing and Communication Base,Failed 2-of-4: 0 checks passed,
O_ISAC_056,Optical ISAC: Fundamental Performance Limits and Transceiver,Failed 2-of-4: 0 checks passed,
O_ISAC_057,60-GHz photonic millimeter-wave joint radar-communication sy,Failed 2-of-4: 0 checks passed,
O_ISAC_058,Photonic-Based Flexible Integrated Sensing and Communication,Failed 2-of-4: 0 checks passed,
O_ISAC_059,Terrestrial and Non-Terrestrial Networks for Integrated Sens,Failed 2-of-4: 0 checks passed,
O_ISAC_060,A Unified Waveform for Optical Wireless Integrated Sensing a,Failed 2-of-4: 0 checks passed,
O_ISAC_061,Optical Wireless Integrated Sensing and Communication Based ,Failed 2-of-4: 0 checks passed,
O_ISAC_062,6-DoF Location-and-Pose Estimation Toward Integrated Visible,Failed 2-of-4: 0 checks passed,
O_ISAC_063,Simple and Precise Characterization of Full-Field Frequency ,Failed 2-of-4: 0 checks passed,
O_ISAC_064,Integrated Sensing and Communications for Metropolitan Envir,Failed 2-of-4: 1 checks passed,intent_statement
O_ISAC_065,THz-Over-Fiber System With Orthogonal Chirp Division Multipl,Failed 2-of-4: 0 checks passed,
O_ISAC_066,Pre-Distortion of Soliton Collision in Dual-Polarization Int,Failed 2-of-4: 0 checks passed,
O_ISAC_067,Measurement-based Validation of Ray-tracing Model at sub-THz,Failed 2-of-4: 0 checks passed,
O_ISAC_068,Joint Communication and Sensing Prospects: Potential Through,Failed 2-of-4: 1 checks passed,taxonomy_structure
O_ISAC_069,Advanced Signal Processing in Distributed Acoustic Sensors B,Failed 2-of-4: 0 checks passed,
O_ISAC_070,Exploring Photonic THz-ISAC Systems with Integrated Waveform,Failed 2-of-4: 1 checks passed,intent_statement
O_ISAC_071,Full-Duplex RO-ISAC System: Wavelength Division Duplexing an,Failed 2-of-4: 0 checks passed,
O_ISAC_072,Integrated Vibration Sensing in DSCM Systems Under ECLs Base,Failed 2-of-4: 0 checks passed,
O_ISAC_073,Clock and Carrier Synchronization Using Optical Frequency Co,Failed 2-of-4: 0 checks passed,
O_ISAC_074,Endogenous ISAC Enabled Interference Fading Free Sensing via,Failed 2-of-4: 0 checks passed,
O_ISAC_075,Flexible Waveform Design for RO-ISAC Based on OFDM-Embedded ,Failed 2-of-4: 0 checks passed,
O_ISAC_076,Integrated Communication and Enhanced Forward Phase-Based Se,Failed 2-of-4: 0 checks passed,
O_ISAC_077,THz-over-fiber system with orthogonal chirp division multipl,Failed 2-of-4: 0 checks passed,
O_ISAC_078,O-Band DML Enabled 4×100G Short-Reach Photonic Interconnecti,Failed 2-of-4: 0 checks passed,
O_ISAC_079,LFM Carrier Enabled Integrated Sensing and Communication in ,Failed 2-of-4: 0 checks passed,
O_ISAC_080,Integrated Communication and In-band Spectrum Polarization-B,Failed 2-of-4: 0 checks passed,
O_ISAC_081,Traveling Wave Antenna-on-Display featuring Simultaneous 2-D,Failed 2-of-4: 0 checks passed,
O_ISAC_082,Signal-Signal Beating Interference: From Destructive to Cons,Failed 2-of-4: 0 checks passed,
O_ISAC_083,Towards Efficient Confluent Edge Networks,Failed 2-of-4: 1 checks passed,intent_statement
O_ISAC_084,LumiPane: Intelligent Interaction through Gesture Sensing an,Failed 2-of-4: 1 checks passed,taxonomy_structure
O_ISAC_085,Flexible Vibration Sensing Using Kalman Smoother Integrated ,Failed 2-of-4: 0 checks passed,
O_ISAC_086,Photonics-assisted Millimeter-Wave Multiband Integrated Sens,Failed 2-of-4: 0 checks passed,
O_ISAC_088,Optical Transport Networks Supporting Integrated Communicati,Failed 2-of-4: 0 checks passed,
O_ISAC_089,Free Space Optical Communication for Inter-Satellite Link: A,Failed 2-of-4: 1 checks passed,taxonomy_structure
O_ISAC_090,Demonstration of High Sensitivity Detection and High Precisi,Failed 2-of-4: 0 checks passed,
O_ISAC_091,Optimal Beamforming for Optical Wireless Integrated Sensing ,Failed 2-of-4: 0 checks passed,
O_ISAC_092,PAM Waveform Design for Joint Communication and Sensing Base,Failed 2-of-4: 1 checks passed,intent_statement
O_ISAC_093,Multi-Modal Integrated Sensing and Communication in Internet,Failed 2-of-4: 1 checks passed,intent_statement
O_ISAC_094,Perception-Enhanced Multitask Multimodal Semantic Communicat,Failed 2-of-4: 0 checks passed,
O_ISAC_095,A Spectrum-Efficient MoF Architecture for Joint Sensing and ,Failed 2-of-4: 0 checks passed,
O_ISAC_096,Nanoantennas and Nanoradars: The Future of Integrated Sensin,Failed 2-of-4: 0 checks passed,
O_ISAC_097,Microwave Photonic Integrated Sensing and Communication Base,Failed 2-of-4: 0 checks passed,
O_ISAC_098,Optical Integrated Sensing and Communication System Based on,Failed 2-of-4: 0 checks passed,
O_ISAC_099,Bidirectional Retroreflective Optical ISAC Using Time Divisi,Failed 2-of-4: 0 checks passed,
O_ISAC_100,Optical Wireless Integrated Sensing and Communication Based ,Failed 2-of-4: 0 checks passed,
O_ISAC_101,Intent and Context-Aware Optical Networks,Failed 2-of-4: 0 checks passed,
O_ISAC_102,Machine Learning-Enhanced Multi-Pump RFA for High-Performanc,Failed 2-of-4: 0 checks passed,
O_ISAC_103,Simultaneous Transmission and Sensing Emulation Using Interc,Failed 2-of-4: 0 checks passed,
O_ISAC_104,Joint communication and sensing in access networks for anthr,Failed 2-of-4: 0 checks passed,
O_ISAC_105,Multi-Channel Photonic THz-ISAC System Based on Integrated L,Failed 2-of-4: 0 checks passed,
O_ISAC_106,Retroreflective Optical ISAC Using OFDM and Corner Cube Refl,Failed 2-of-4: 0 checks passed,
O_ISAC_107,Experimental Demonstration of Integrated Optical Wireless Se,Failed 2-of-4: 0 checks passed,
O_ISAC_108,Optical Integrated Sensing and Communication with Light-Emit,Failed 2-of-4: 0 checks passed,
O_ISAC_109,LiDAR aided Simulation Pipeline for Wireless Communication i,Failed 2-of-4: 0 checks passed,
O_ISAC_110,Joint Optical Wireless Communication and Sensing using Neuro,Failed 2-of-4: 0 checks passed,
O_ISAC_111,A Sub-THz ISAC System with Simultaneous Real-Time 125.516-Gb,Failed 2-of-4: 0 checks passed,
O_ISAC_112,Optical IRS-Aided Indoor Visible Light Fingerprint Localizat,Failed 2-of-4: 0 checks passed,
O_ISAC_113,Advanced Integration of Sensing and Communication With High ,Failed 2-of-4: 0 checks passed,
O_ISAC_114,Revolutionizing 6G: Experimental Validation of an Optical In,Failed 2-of-4: 0 checks passed,
O_ISAC_115,Integrated Sensing and Communication in 6G: The Deterministi,Failed 2-of-4: 0 checks passed,
O_ISAC_116,Enhanced Room Coverage With Photon-Level NLOS Ultraviolet Op,Failed 2-of-4: 0 checks passed,
O_ISAC_117,Integrated Design of OFDM-LFM Lidar Communication in IoV Env,Failed 2-of-4: 0 checks passed,
O_ISAC_118,On the Feasibility of Cyclist Detection Using MIMO-Radar for,Failed 2-of-4: 0 checks passed,
O_ISAC_119,Integration of Sensing and Communication in a W-Band Fiber-W,Failed 2-of-4: 0 checks passed,
O_ISAC_120,A Reconfigurable Phase-Time Array Transmitter Achieving Keyl,Failed 2-of-4: 0 checks passed,
O_ISAC_121,All-optical Computing for Direction-of-arrival Estimation Be,Failed 2-of-4: 0 checks passed,
O_ISAC_122,All-optical computing for super-resolution direction of arri,Failed 2-of-4: 0 checks passed,
O_ISAC_123,Optical Integrated Sensing and Communication for Cooperative,Failed 2-of-4: 0 checks passed,
O_ISAC_124,Antenna-on-Display with EH1-mode Wide Spatial Beam Scanning ,Failed 2-of-4: 0 checks passed,
O_ISAC_125,Low-Profile Broadband 1-Bit Randomly Encoded Folded Reflecta,Failed 2-of-4: 0 checks passed,
O_ISAC_126,A General 6G Large-scale Fading Channel Model for Multiple F,Failed 2-of-4: 0 checks passed,
O_ISAC_127,Adaptive RIS Optimization for Secure Underwater Optical Comm,Failed 2-of-4: 0 checks passed,
O_ISAC_128,Dual comb enabled simultaneously multi-path sensing and comm,Failed 2-of-4: 0 checks passed,
O_ISAC_129,VehicleTalk: Lightweight V2V Network Enabled by Optical Wire,Failed 2-of-4: 0 checks passed,
O_ISAC_130,Microalgae Density Measurement Using Quantum-Dot-Integrated ,Failed 2-of-4: 0 checks passed,
O_ISAC_131,Joint Lambertian Model Calibration and Positioning of Photod,Failed 2-of-4: 0 checks passed,
O_ISAC_132,Broadband Photon-Assisted Terahertz Communication and Sensin,Failed 2-of-4: 0 checks passed,
O_ISAC_133,Passive Sensing Technique Using Cyclic Prefix in Power-Const,Failed 2-of-4: 0 checks passed,
O_ISAC_134,Radar-LiDAR Fusion-Aided RF Beams Prediction for Vehicular C,Failed 2-of-4: 0 checks passed,
O_ISAC_135,Multisatellite Multisensor Observations of a Sub-Plinian Vol,Failed 2-of-4: 0 checks passed,
O_ISAC_136,New Paradigm for Integrated Sensing and Communication with R,Failed 2-of-4: 0 checks passed,
O_ISAC_137,CONTINUOUS EVENT RECORDING TECHNOLOGY FOR INTEGRATED SENSING,Failed 2-of-4: 0 checks passed,
O_ISAC_138,MPFusionNet: Transformer-Based Multi-Modal Perception Fusion,Failed 2-of-4: 0 checks passed,
O_ISAC_139,Sensing Assisted Localization Services for Indoor Environmen,Failed 2-of-4: 0 checks passed,
O_ISAC_140,RF2LiDAR: Enabling Digital Twin Using MIMO RF Signals,Failed 2-of-4: 0 checks passed,
O_ISAC_141,Electromagnetic Field Exposure-Aware AI Framework for Integr,Failed 2-of-4: 0 checks passed,
O_ISAC_142,Intelligent Surfaces Empowered Wireless Network: Recent Adva,Failed 2-of-4: 0 checks passed,
O_ISAC_143,PoseFly: On-site Pose Parsing of Swarming Drones via 4-in-1 ,Failed 2-of-4: 0 checks passed,
O_ISAC_144,Multichannel Wind-Signal Driven Digital Twin for a 50 m^2 He,Failed 2-of-4: 0 checks passed,
O_ISAC_145,Secrecy Energy Efficiency of Hybrid Wireless Body Area Netwo,Failed 2-of-4: 0 checks passed,
O_ISAC_146,OPPIS Development for High-Energy Accelerators and Colliders,Failed 2-of-4: 0 checks passed,
O_ISAC_147,Remote Sensing of Waved Sea Surface: Combined Passive and Ac,Failed 2-of-4: 0 checks passed,
O_ISAC_148,DOCUMENTATION OF FLOODS AND FIRES IN MIDDLE EAST CULTURAL HE,Failed 2-of-4: 0 checks passed,
O_ISAC_149,MOBILE FLIGHT TEST SUPPORT,Failed 2-of-4: 0 checks passed,
O_ISAC_150,"6G Wireless Communication Systems: Applications, Requirement",Failed 2-of-4: 0 checks passed,
O_ISAC_151,BigFiberNet: LLMs and Fabric Computing Empowered Large-Scale,Failed 2-of-4: 0 checks passed,
O_ISAC_152,"Photonics-assisted System for Joint Radar Ranging, Wireless ",Failed 2-of-4: 0 checks passed,
O_ISAC_153,Robust Characterization of Terahertz Metasurface Sensor With,Failed 2-of-4: 0 checks passed,
O_ISAC_154,SPACEBORNE MICROWAVE AND INFRARED RADIOMETRIC OBSERVATIONS D,Failed 2-of-4: 0 checks passed,
O_ISAC_155,Demo: Towards 6G-Enabled Multi-Robot Process Orchestration i,Failed 2-of-4: 0 checks passed,
O_ISAC_156,"Physical Layer Security for Authentication, Confidentiality,",Failed 2-of-4: 0 checks passed,
O_ISAC_157,SDOA-Net: An Efficient Deep-Learning-Based DOA Estimation Ne,Failed 2-of-4: 0 checks passed,
O_ISAC_158,6G Fabric Compiles Microdomains for Sophisticated Service De,Failed 2-of-4: 0 checks passed,
O_ISAC_159,Photonics-Aided THz Integrated Sensing and Communication Sys,Failed 2-of-4: 0 checks passed,
O_ISAC_161,"ISAC Transceiver Hardware Architectures, Technologies, and T",Failed 2-of-4: 1 checks passed,intent_statement
O_ISAC_162,A Unified Future: Integrated Sensing and Communication (ISAC,Failed 2-of-4: 1 checks passed,taxonomy_structure
O_ISAC_164,Optical Camera-Based Integrated Sensing and Communication fo,Failed 2-of-4: 0 checks passed,
O_ISAC_165,Design and modelling of InAs detection system on SOI via mon,Failed 2-of-4: 0 checks passed,
O_ISAC_166,Integrated Sensing and Communication Solar Skin for Health M,Failed 2-of-4: 1 checks passed,intent_statement
O_ISAC_167,Multi-Service ISAC System for Industrial IoT,Failed 2-of-4: 0 checks passed,
O_ISAC_171,Frequency-Comb-Steered Ultrawideband Quasi-True-Time-Delay B,Failed 2-of-4: 1 checks passed,intent_statement
O_ISAC_172,Joint Break-Point Localization Sensing Based on OFDR and Non,Failed 2-of-4: 0 checks passed,
O_ISAC_173,High-Performance Optical Camera Communications for ISAC Loca,Failed 2-of-4: 0 checks passed,
O_ISAC_185,Adaptive Visible Light Integrated Sensing and Communication ,Failed 2-of-4: 0 checks passed,
O_ISAC_186,Chaotic Optoelectronic Oscillators-Based Dual-Function Radar,Failed 2-of-4: 0 checks passed,
O_ISAC_187,Photonic-aided Doppler-robust ISAC system based on index mod,Failed 2-of-4: 0 checks passed,
O_ISAC_188,Endogenous Integration of Communication and Interference Fad,Failed 2-of-4: 0 checks passed,
O_ISAC_189,Integrated Ultra-Large Dynamic Vibration Sensing with Fronth,Failed 2-of-4: 1 checks passed,intent_statement
O_ISAC_190,Common bias-digital subcarrier multiplexing scheme for integ,Failed 2-of-4: 0 checks passed,
O_ISAC_195,Integrated Sensing and Communication System Based on a Photo,Failed 2-of-4: 0 checks passed,
O_ISAC_199,Integrated Sensing and Communication System - MIMO FSO with ,Failed 2-of-4: 1 checks passed,taxonomy_structure
O_ISAC_200,Machine Learning Opportunities for Integrated Polarization S,Failed 2-of-4: 0 checks passed,
O_ISAC_202,Integrated Optical Covert Sensing and Communication,Failed 2-of-4: 0 checks passed,
O_ISAC_203,High-Speed Flexible Near-Infrared Organic Photodetectors for,Failed 2-of-4: 0 checks passed,
O_ISAC_206,Beam Pattern Modulation Embedded Hybrid Transceiver Optimiza,Failed 2-of-4: 1 checks passed,intent_statement
O_ISAC_219,"Multiuser Retroreflective Optical ISAC: Waveform Design, Joi",Failed 2-of-4: 0 checks passed,
O_ISAC_220,Advanced SMART network: empowering subsea monitoring with de,Failed 2-of-4: 0 checks passed,
O_ISAC_237,Coordinated FMCW and OFDM for Integrated Sensing and Communi,Failed 2-of-4: 1 checks passed,taxonomy_structure
O_ISAC_241,Photonics-Assisted Millimeter-Wave Integrated Sensing and Co,Failed 2-of-4: 0 checks passed,
O_ISAC_242,Sliding window-based LSTM scheme for PAM-4 photonics-assiste,Failed 2-of-4: 0 checks passed,
O_ISAC_245,MCMC-Based Sparse Bayesian Learning for Super-Resolution Rec,Failed 2-of-4: 0 checks passed,
O_ISAC_248,Exploitation of FMF capabilities for joint communications an,Failed 2-of-4: 0 checks passed,
O_ISAC_252,An Adaptive Control System for Satellite-Ground Laser Commun,Failed 2-of-4: 1 checks passed,taxonomy_structure
O_ISAC_259,Low-PAPR OFDM-ISAC Waveform Design Based on Frequency-Domain,Failed 2-of-4: 0 checks passed,
O_ISAC_272,Three-Stage Super-Resolution Estimation of Target Parameter ,Failed 2-of-4: 0 checks passed,
O_ISAC_276,Parallel Path Effect-Free Remote Monitoring and Sensing in L,Failed 2-of-4: 1 checks passed,intent_statement
O_ISAC_280,Integration of endogenous sensing and communication based on,Failed 2-of-4: 1 checks passed,survey_sections
O_ISAC_283,Photonics-assisted self-interference cancellation for in-ban,Failed 2-of-4: 0 checks passed,
O_ISAC_286,Photonics-assisted integrated sensing and communication with,Failed 2-of-4: 0 checks passed,
O_ISAC_288,Development of an Integrated Communication and Sensing Syste,Failed 2-of-4: 0 checks passed,
O_ISAC_291,POSTER: Holographic Optical Tag enabled Omnidirectional IoT ,Failed 2-of-4: 0 checks passed,
O_ISAC_300,Preamble-Free Synchronization Based on Dual-chirp Waveforms ,Failed 2-of-4: 0 checks passed,
O_ISAC_301,Demonstration of radar-aided flexible communication in a pho,Failed 2-of-4: 0 checks passed,
O_ISAC_304,Photonic joint radar and communication system using a chirp-,Failed 2-of-4: 0 checks passed,
O_ISAC_310,Simulation of Constant-envelope THz Integrated Sensing and C,Failed 2-of-4: 0 checks passed,
O_ISAC_324,Integrated Distributed Sensing and Quantum Communication Net,Failed 2-of-4: 0 checks passed,
O_ISAC_340,6G-EWOC: AI-Enhanced Fiber-Wireless Optical 6G Network in Su,Failed 2-of-4: 0 checks passed,
O_ISAC_347,Learned Digital Back-Propagation for an optical-domain wavef,Failed 2-of-4: 0 checks passed,
O_ISAC_348,Integrated sensing and communication in an optical fibre,Failed 2-of-4: 0 checks passed,
O_ISAC_349,Radar-Centric Photonic Terahertz Integrated Sensing and Comm,Failed 2-of-4: 1 checks passed,taxonomy_structure
O_ISAC_350,Integrated Nitride optoelectronic chip for motion detection ,Failed 2-of-4: 0 checks passed,
O_ISAC_351,Integrated high precision time-of-flight depth sensing and o,Failed 2-of-4: 1 checks passed,taxonomy_structure
O_ISAC_354,Integrated Sensing and Communication Chip Based on III-Nitri,Failed 2-of-4: 0 checks passed,
O_ISAC_356,Photonic THz-ISAC Demonstration with Simultaneous 120Gbit/s ,Failed 2-of-4: 0 checks passed,
O_ISAC_360,Monolithic III-nitride photonic circuit for integrated sensi,Failed 2-of-4: 0 checks passed,
O_ISAC_371,Design and Analysis of VLC-OCC-CDMA Rake System,Failed 2-of-4: 0 checks passed,
O_ISAC_379,Demonstration of photonics-based flexible integration of sen,Failed 2-of-4: 0 checks passed,
O_ISAC_381,"Long-Distance, Real-Time LED Display-Camera Communication Sy",Failed 2-of-4: 0 checks passed,
O_ISAC_386,Design of Visible Light Communication Transceiver System Bas,Failed 2-of-4: 0 checks passed,
O_ISAC_388,VLC-CDMA Systems Based on Optical Complementary Codes,Failed 2-of-4: 1 checks passed,intent_statement
