paper_id,issue_type,what_to_check,suggested_search_terms,candidate_locators
O_ISAC_140,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_142,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_148,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_150,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_151,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_152,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_153,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_154,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_155,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_156,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_157,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_158,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_159,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_160,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_161,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_162,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_163,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_164,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_166,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_173,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_185,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_186,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_187,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_189,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_195,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_200,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_202,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_206,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_218,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_220,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_237,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_241,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_242,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_245,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_272,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_276,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_280,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_283,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_286,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_288,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_300,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_301,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_304,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_310,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_340,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_349,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_351,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_379,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
O_ISAC_381,ambiguous_resolution,Resolution type unclear (range vs fiber spatial).,"""range resolution"" OR ""gauge length"" OR ""spatial resolution"" OR ""c/(2B)""",
