"metric_record_id","study_cluster_id","source_screening_record_id","metric_domain","metric_family_code","metric_name_reported","condition_set_id","tradeoff_id","unit_reported","pdf_page","section_heading","table_id","figure_id","equation_id","canonical_final_comparison_admissibility","canonical_cross_study_flag","canonical_independent_human_status","reviewer_1_status","reviewer_2_status","adjudication_status","phase_g_status"
"MET-SCR00008-015","STC-SINGLETON-SCR-00008","SCR-00008","sensing","other","Pearson correlation coefficient","COND-SCR00008-DBR-VS-UNLL","","unitless","5-6","3. Experiments and Result Discussion","","Fig. 5(c)","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00008-016","STC-SINGLETON-SCR-00008","SCR-00008","sensing","sensing_SNR","UNLL time-domain SNR","COND-SCR00008-DBR-VS-UNLL","","dB","6","3. Experiments and Result Discussion","","Fig. 5(c)","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00008-017","STC-SINGLETON-SCR-00008","SCR-00008","sensing","sensing_SNR","DBR time-domain SNR","COND-SCR00008-DBR-VS-UNLL","","dB","6","3. Experiments and Result Discussion","","Fig. 5(c)","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00008-018","STC-SINGLETON-SCR-00008","SCR-00008","sensing","sensing_SNR","SNR discrepancy","COND-SCR00008-DBR-VS-UNLL","","dB","6","3. Experiments and Result Discussion","","Fig. 5(c)","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00008-019","STC-SINGLETON-SCR-00008","SCR-00008","sensing","other","Uncompensated negative cross-correlation-spike delay","COND-SCR00008-UNCOMPENSATED-CORRELATION","","ms","6","3. Experiments and Result Discussion","","Fig. 6(a)","Eq. (7)","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00008-020","STC-SINGLETON-SCR-00008","SCR-00008","sensing","other","Theoretical LPN cross-correlation delay","COND-SCR00008-UNCOMPENSATED-CORRELATION","","ms","6","3. Experiments and Result Discussion","","Fig. 6(a)","Eq. (7)","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00008-021","STC-SINGLETON-SCR-00008","SCR-00008","sensing","other","Compensated vibration delay t2","COND-SCR00008-COMPENSATED-LOCATION","","ms","6","3. Experiments and Result Discussion","","Fig. 6(a)","Eqs. (7) and (8)","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00008-024","STC-SINGLETON-SCR-00008","SCR-00008","sensing","other","Location fluctuation range at 1 kHz","COND-SCR00008-1KHZ-30TRIALS","","m","6","3. Experiments and Result Discussion","","Fig. 6(b)","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00008-026","STC-SINGLETON-SCR-00008","SCR-00008","sensing","other","Location fluctuation range at 3 kHz","COND-SCR00008-3KHZ-30TRIALS","","m","6","3. Experiments and Result Discussion","","Fig. 6(b)","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00008-028","STC-SINGLETON-SCR-00008","SCR-00008","sensing","other","Location fluctuation range at 10 kHz","COND-SCR00008-10KHZ-30TRIALS","","m","6","3. Experiments and Result Discussion","","Fig. 6(b)","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00036-G2-001","STC-SINGLETON-SCR-00036","SCR-00036","sensing","sensing_SNR","Echo SNR enhancement after switch calibration","COND-SCR00036-CALIBRATED-ECHO","","dB","5-6","2.2 Implementation of ISAC Based on the Phased-Array Chip","","Fig. 4(b)","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00036-G2-002","STC-SINGLETON-SCR-00036","SCR-00036","sensing","ranging_error","Maximum ranging error","COND-SCR00036-SINGLE-TARGET","","cm","6","2.2 Implementation of ISAC Based on the Phased-Array Chip","","Fig. 4(c)","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00036-G2-003","STC-SINGLETON-SCR-00036","SCR-00036","sensing","ranging_error","Relative ranging error","COND-SCR00036-SINGLE-TARGET","","%","6","2.2 Implementation of ISAC Based on the Phased-Array Chip","","Fig. 4(c)","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00036-G2-004","STC-SINGLETON-SCR-00036","SCR-00036","sensing","range_resolution","Measured ranging resolution","COND-SCR00036-TWO-TARGET","","cm","6","2.2 Implementation of ISAC Based on the Phased-Array Chip","","Fig. 4(e)","Eq. (2)","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00036-G2-005","STC-SINGLETON-SCR-00036","SCR-00036","communication","data_rate","Communication data rate","COND-SCR00036-20GBPS-16QAM","","Gbps","6","2.2 Implementation of ISAC Based on the Phased-Array Chip","","Fig. 4(f)","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00036-G2-006","STC-SINGLETON-SCR-00036","SCR-00036","communication","BER","Best BER","COND-SCR00036-20GBPS-16QAM","","BER","6","2.2 Implementation of ISAC Based on the Phased-Array Chip","","Fig. 4(f)","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00036-G2-007","STC-SINGLETON-SCR-00036","SCR-00036","joint","other","Beam-steering switching time","COND-SCR00036-BEAM-STEERING","","us","4;6","2.1 Design and Characterization; 3 Conclusion","Table 1","Fig. 3","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00038-G2-001","STC-SINGLETON-SCR-00038","SCR-00038","communication","other","64QAM symbol rate","COND-SCR00038-COMM-2KM","","GBaud","2","Experimental Setup","","Fig. 2","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00038-G2-002","STC-SINGLETON-SCR-00038","SCR-00038","communication","other","Required received optical power at SD-FEC threshold","COND-SCR00038-COMM-2KM","","dBm","2","Experimental Results","","Fig. 3(a)","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00038-G2-003","STC-SINGLETON-SCR-00038","SCR-00038","communication","link_budget","Power budget","COND-SCR00038-COMM-2KM","","dB","2","Experimental Results","","Fig. 3(a)","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00038-G2-004","STC-SINGLETON-SCR-00038","SCR-00038","sensing","resolution","Spatial resolution at probe interval k=1","COND-SCR00038-K1","","m","3","Experimental Results; Conclusion","","Fig. 3(b)-(f)","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00038-G2-005","STC-SINGLETON-SCR-00038","SCR-00038","sensing","resolution","Spatial resolution at probe interval k=2","COND-SCR00038-K2","","m","3","Experimental Results; Conclusion","","Fig. 3(b)-(f)","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00038-G2-006","STC-SINGLETON-SCR-00038","SCR-00038","sensing","resolution","Spatial resolution at probe interval k=4","COND-SCR00038-K4","","m","3","Experimental Results; Conclusion","","Fig. 3(b)-(f)","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00038-G2-007","STC-SINGLETON-SCR-00038","SCR-00038","sensing","resolution","Spatial resolution at probe interval k=5","COND-SCR00038-K5","","m","3","Experimental Results; Conclusion","","Fig. 3(b)-(f)","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00038-G2-008","STC-SINGLETON-SCR-00038","SCR-00038","sensing","other","Phase noise floor at k=1","COND-SCR00038-K1","","dB rad^2/Hz","3","Experimental Results; Conclusion","","Fig. 3","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00038-G2-009","STC-SINGLETON-SCR-00038","SCR-00038","sensing","other","Phase noise floor at k=2","COND-SCR00038-K2","","dB rad^2/Hz","3","Experimental Results; Conclusion","","Fig. 3","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00038-G2-010","STC-SINGLETON-SCR-00038","SCR-00038","sensing","other","Phase noise floor at k=4","COND-SCR00038-K4","","dB rad^2/Hz","3","Experimental Results; Conclusion","","Fig. 3","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00038-G2-011","STC-SINGLETON-SCR-00038","SCR-00038","sensing","other","Phase noise floor at k=5","COND-SCR00038-K5","","dB rad^2/Hz","3","Experimental Results; Conclusion","","Fig. 3","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00052-G2-007","STC-SINGLETON-SCR-00052","SCR-00052","communication","BER","High-OSNR BER floor","COND-SCR00052-QPSK-UNSHAPED","","BER","2","III Experimental Results","","Fig. 2","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00052-G2-008","STC-SINGLETON-SCR-00052","SCR-00052","sensing","other","Recovered phase variation amplitude","COND-SCR00052-SENSING-SHAPED","TRD-SCR00052-G2-001","rad peak-to-peak","2","III Experimental Results","","Fig. 3","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00052-G2-009","STC-SINGLETON-SCR-00052","SCR-00052","communication","data_rate","Co-propagating data rate","COND-SCR00052-SENSING-SHAPED","","Gbps","2","III Experimental Results; IV Conclusion","","Fig. 3","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00056-G2-004","STC-SINGLETON-SCR-00056","SCR-00056","sensing","laser_linewidth","Experimental DFB linewidth","COND-SCR00056-EXP-SENSING","","MHz","6","4.2 Sensing results","","Fig. 3(c)","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00056-G2-005","STC-SINGLETON-SCR-00056","SCR-00056","sensing","other","Theoretical maximum perceivable range","COND-SCR00056-EXP-SENSING","","m","6","4.2 Sensing results","","","Eq. (8)","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00056-G2-006","STC-SINGLETON-SCR-00056","SCR-00056","sensing","localization_error","Breakpoint localization error within 20 m","COND-SCR00056-EXP-SENSING-LE20M","TRD-SCR00056-G2-001","cm","6","4.2 Sensing results","","Fig. 6(b)","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00056-G2-007","STC-SINGLETON-SCR-00056","SCR-00056","sensing","localization_error","Breakpoint localization error from 20 to 38 m","COND-SCR00056-EXP-SENSING-20TO38M","TRD-SCR00056-G2-001","cm","6","4.2 Sensing results","","Fig. 6(b)","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00056-G2-013","STC-SINGLETON-SCR-00056","SCR-00056","sensing","localization_error","Simulated breakpoint localization error","COND-SCR00056-SIM-ISAC","TRD-SCR00056-G2-002","cm","7","4.2 Sensing results","","Fig. 7(a)-(b)","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00057-G2-001","STC-SINGLETON-SCR-00057","SCR-00057","communication","data_rate","Communication data rate","COND-SCR00057-COMM","TRD-SCR00057-G2-001","Gbit/s","1-2","Abstract; Experimental Setup","","Fig. 2","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00057-G2-002","STC-SINGLETON-SCR-00057","SCR-00057","communication","propagation_distance","Fiber transmission distance","COND-SCR00057-LINK","","km","1-3","Abstract; Setup; Conclusion","","","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00057-G2-003","STC-SINGLETON-SCR-00057","SCR-00057","sensing","FMCW_bandwidth","LFM swept bandwidth","COND-SCR00057-LFM","","MHz","2","Experimental Setup","","Fig. 2","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00057-G2-005","STC-SINGLETON-SCR-00057","SCR-00057","sensing","resolution","Spatial resolution","COND-SCR00057-SENSING","","m","1;3","Abstract; Conclusion","","","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-STCENDOGENOUS-G2-001","STC-ENDOGENOUS-TS-FRFT-DAS-2025","SCR-00072","communication","data_rate","DP-QPSK data rate","COND-ENDOGENOUS-DPQPSK","TRD-STCENDOGENOUS-G2-001","Gbps","1;13","Abstract; Conclusions","","","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-STCENDOGENOUS-G2-002","STC-ENDOGENOUS-TS-FRFT-DAS-2025","SCR-00072","communication","data_rate","DP-16QAM data rate","COND-ENDOGENOUS-DP16QAM","TRD-STCENDOGENOUS-G2-001","Gbps","1;13","Abstract; Conclusions","","","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-STCENDOGENOUS-G2-003","STC-ENDOGENOUS-TS-FRFT-DAS-2025","SCR-00072","joint","propagation_distance","Fiber length","COND-ENDOGENOUS-LINK","","km","7-8;13","3 Experimental setup; Conclusions","","Fig. 4","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-STCENDOGENOUS-G2-011","STC-ENDOGENOUS-TS-FRFT-DAS-2025","SCR-00072","sensing","resolution","Final spatial resolution","COND-ENDOGENOUS-MRVA","TRD-STCENDOGENOUS-G2-003","m","10;12","4 Results","","Figs. 7 and 9","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-STCENDOGENOUS-G2-016","STC-ENDOGENOUS-TS-FRFT-DAS-2025","SCR-00072","sensing","other","Maximum noise level","COND-ENDOGENOUS-VIBRATION-PRIMARY","","rad^2/Hz","12","4 Results","","Fig. 9(d)","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-STCENDOGENOUS-G2-017","STC-ENDOGENOUS-TS-FRFT-DAS-2025","SCR-00072","sensing","resolution","Strain resolution","COND-ENDOGENOUS-VIBRATION-PRIMARY","","nε/√Hz","12","4 Results","","Fig. 9(d)","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"P03-M016","STC-TUNABLE-LASER-THZ-FMCW-2025-2026","SCR-00083","joint","waveform_period","Triangular control period","C-SCR00083-FD","","ns","6","3.1 Experimental Setup","","","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"P03-M017","STC-TUNABLE-LASER-THZ-FMCW-2025-2026","SCR-00083","sensing","chirp_duration","Single-chirp sweep duration","C-SCR00083-FD","","ns","8","3.2 Results and Discussion","","Figure 7","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"P03-M034","STC-TUNABLE-LASER-THZ-FMCW-2025-2026","SCR-00083","joint","waveform_period","Triangular control period","C-SCR00083-JW","","ns","10","4.1 Experimental Setup","","","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"P03-M035","STC-TUNABLE-LASER-THZ-FMCW-2025-2026","SCR-00083","sensing","chirp_duration","Single-chirp sweep duration","C-SCR00083-JW","","ns","12","4.2 Results and Discussion","","Figure 11","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"P03-M039","STC-TUNABLE-LASER-THZ-FMCW-2025-2026","SCR-00083","communication","occupied_bandwidth","ASK main-lobe bandwidth","C-SCR00083-JW-R15","P03-T003","GHz","11","4.2 Results and Discussion","","","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"P03-M040","STC-TUNABLE-LASER-THZ-FMCW-2025-2026","SCR-00083","joint","occupied_bandwidth","Total joint-waveform occupied bandwidth","C-SCR00083-JW-R15","P03-T003","GHz","11","4.2 Results and Discussion","","","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"P03-M041","STC-TUNABLE-LASER-THZ-FMCW-2025-2026","SCR-00083","communication","spectral_efficiency","Joint-waveform spectral efficiency","C-SCR00083-JW-R15","P03-T003","bit/s/Hz","11","4.2 Results and Discussion","","","15 Gbit/s / 36.2 GHz","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00086-G2-001","STC-SINGLETON-SCR-00086","SCR-00086","communication","data_rate","Communication data rate","COND-SCR00086-LINK","","Gbps","1;3","Abstract; Conclusion","","","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00086-G2-002","STC-SINGLETON-SCR-00086","SCR-00086","communication","propagation_distance","Wireless transmission distance","COND-SCR00086-LINK","","m","2-3","3 Experimental Setup and Results; Conclusion","","Fig. 1","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00086-G2-003","STC-SINGLETON-SCR-00086","SCR-00086","joint","other","Dual-chirp amplitude ratio","COND-SCR00086-WAVEFORM","TRD-SCR00086-G2-001","ratio","1","2 Operation Principles","","","Eq. (1)","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00086-G2-004","STC-SINGLETON-SCR-00086","SCR-00086","sensing","resolution","Theoretical time resolution","COND-SCR00086-CHANNEL","","ns","2","3 Experimental Setup and Results","","","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00086-G2-005","STC-SINGLETON-SCR-00086","SCR-00086","sensing","resolution","Measured 3-dB pulse width","COND-SCR00086-CHANNEL","","ns","2-3","3 Experimental Setup and Results","","Fig. 2(c)","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00086-G2-007","STC-SINGLETON-SCR-00086","SCR-00086","communication","FEC_threshold","Optical power meeting 7% HD-FEC EVM threshold","COND-SCR00086-FDE","","dBm","2-3","3 Experimental Setup and Results","","Fig. 2(d)","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00086-G2-008","STC-SINGLETON-SCR-00086","SCR-00086","communication","FEC_threshold","Optical power meeting KP4-FEC EVM threshold","COND-SCR00086-FDE","","dBm","2-3","3 Experimental Setup and Results","","Fig. 2(d)","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00196-001","STC-SINGLETON-SCR-00196","SCR-00196","communication","data_rate","Simultaneous DMT data rate","COND-SCR00196-INTEGRATED-2M","TRD-SCR00196-001","Gbit/s","2","Introduction","","","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00196-002","STC-SINGLETON-SCR-00196","SCR-00196","sensing","localization_error","Lateral localization error","COND-SCR00196-CAP-2M","TRD-SCR00196-001","mm","3","2.B","","Fig. 3","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00196-003","STC-SINGLETON-SCR-00196","SCR-00196","sensing","localization_error","Worst-case lateral localization error","COND-SCR00196-CAP-2M","","mm","3","2.B","","Fig. 3","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00196-004","STC-SINGLETON-SCR-00196","SCR-00196","sensing","resolution","Lateral localization resolution","COND-SCR00196-CAP-2M","TRD-SCR00196-003","mm","1;4","Abstract; 2.B","","Fig. 3","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00196-005","STC-SINGLETON-SCR-00196","SCR-00196","sensing","resolution","Depth localization resolution","COND-SCR00196-CAP-DEPTH","TRD-SCR00196-003","cm","1;4","Abstract; 2.B","","Fig. 3","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00196-006","STC-SINGLETON-SCR-00196","SCR-00196","sensing","sensing_rate","3D localization frame rate","COND-SCR00196-CAP-DYNAMIC","TRD-SCR00196-003","frames/s","4","2.B","","Fig. 3","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00196-008","STC-SINGLETON-SCR-00196","SCR-00196","communication","data_rate","Data-rate range across structured illuminations","COND-SCR00196-SI-2M","TRD-SCR00196-001","Gbit/s","5","2.C","","Fig. 4","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00196-009","STC-SINGLETON-SCR-00196","SCR-00196","communication","data_rate","Average data rate with structured illumination","COND-SCR00196-SI-2M","TRD-SCR00196-001","Gbit/s","5","2.C","","Fig. 4","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00196-010","STC-SINGLETON-SCR-00196","SCR-00196","communication","data_rate","Maximum data rate at 2 m","COND-SCR00196-RATE-2M","","Gbit/s","6","2.C","","Fig. 4","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00196-011","STC-SINGLETON-SCR-00196","SCR-00196","communication","data_rate","Maximum data rate at 1.8 m","COND-SCR00196-RATE-1P8M","","Gbit/s","6","2.C","","Fig. 4","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00196-012","STC-SINGLETON-SCR-00196","SCR-00196","communication","data_rate","Dynamic-motion data-rate range","COND-SCR00196-DYNAMIC-RATE","","Gbit/s","6","2.C","","Fig. 4","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00196-013","STC-SINGLETON-SCR-00196","SCR-00196","communication","data_rate","Maximum beamforming data-rate improvement at 2 m","COND-SCR00196-BF-2M","TRD-SCR00196-002","%","7","2.D","","Fig. 5","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00196-014","STC-SINGLETON-SCR-00196","SCR-00196","communication","data_rate","Maximum beamformed data rate","COND-SCR00196-BF-2M","","Gbit/s","7","2.D","","Fig. 5","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
"MET-SCR00196-015","STC-SINGLETON-SCR-00196","SCR-00196","communication","SNR","Average SNR after beamforming","COND-SCR00196-BF-FIRSTPOS","","dB","7","2.D","","Fig. 5","","conditionally_admissible","yes_with_conditions","not_documented","not_started","not_started","not_started","candidate_not_reverified"
