paper_id,scenario_index,medium,task_type,tradeoff_type,coupling_mode,r_bps,drmin_m,drmin_eligible,dz_m,sigma_r_m,crb_value,osnr_db,snr_db,rx_detection_type,crq_candidate,crq_eligible,crq_delta_bps_per_m,plane_mixed,imdd_osnr_conflict,snr_ambiguous,dz_drmin_alias,governance_blocked
O_ISAC_016,0,hybrid,ranging,rate_vs_rmse,resource_division,251030000000.0,0.025,True,0.01,0.01,0.01,20.0,19.0,coherent,True,False,,True,False,False,False,True
O_ISAC_017,0,cabled_fibre,ranging|_localization_2d,['rate_vs_rmse'],resource_division,448000000000.0,,False,,,,,,coherent,False,False,,False,False,False,False,False
O_ISAC_018,0,hybrid,ranging,rate_vs_rmse,resource_division,10000000000.0,0.1,True,0.01,0.01,0.01,30.0,20.0,coherent,True,False,,True,False,False,False,True
O_ISAC_019,0,cabled_fibre,ranging,rate_vs_rmse,resource_division,600000000.0,0.015,True,0.01,0.01,0.01,20.0,10.0,direct_detection,True,False,,True,True,False,False,True
O_ISAC_020,0,cabled_fibre,ranging|_localization_2d,['rate_vs_rmse'],resource_division,10000000000.0,10.0,True,,1.0,,,10.0,coherent,True,True,1000000000.0,False,False,False,False,False
O_ISAC_021,0,hybrid,ranging|_localization_2d,rate_vs_rmse,resource_division,100000000000.0,0.01,True,0.01,0.02,0.01,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_022,0,wireless_vlc,localization_2d,rate_vs_rmse,resource_division,32000000.0,0.1,True,0.1,0.07,0.01,20.0,20.0,direct,True,False,,True,True,False,False,True
O_ISAC_023,0,wireless_fso,ranging,rate_vs_rmse,resource_division,1000000000.0,0.1,True,0.01,0.01,0.01,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_024,0,cabled_fibre,ranging|_localization_2d,['rate_vs_rmse'],resource_division,240000000000.0,1.0,True,1.0,0.1,0.01,20.0,10.0,coherent,True,False,,True,False,False,True,True
O_ISAC_025,0,cabled_fibre,localization_2d,rate_vs_rmse,resource_division,10000000000.0,1.0,False,0.1,0.1,,20.0,10.0,coherent,False,False,,True,False,False,False,True
O_ISAC_026,0,hybrid,ranging|_localization,"['rate_vs_rmse', 'rate_vs_range_resolution']",resource_division,48000000000.0,0.0275,True,0.0275,0.01,0.0,20.0,20.0,direct_detection,True,False,,True,True,False,False,True
O_ISAC_027,0,hybrid,ranging|_localization_2d,['rate_vs_rmse'],resource_division,1000000000.0,10.0,True,10.0,1.0,0.1,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_028,0,cabled_fibre,none,['rate_vs_rmse'],resource_division,256000000000.0,0.0,False,0.0,0.0,0.0,32.0,32.0,direct,False,False,,True,True,False,False,True
O_ISAC_029,0,hybrid,ranging,rate_vs_rmse,resource_division,116000000000.0,0.006,True,0.01,0.003,1e-06,20.0,10.0,coherent,True,False,,True,False,False,False,True
O_ISAC_030,0,hybrid,hand_gesture_recognition,rate_vs_rmse,resource_division,50000000.0,0.1,True,0.01,0.01,,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_031,0,hybrid,ranging,rate_vs_rmse,resource_division,1000000000.0,0.1,True,0.1,0.01,0.1,20.0,10.0,coherent,True,False,,True,False,False,False,True
O_ISAC_032,0,cabled_fibre,ranging,rate_vs_rmse,resource_division,10000000000.0,0.1,True,0.01,0.01,0.01,20.0,20.0,coherent,True,False,,True,False,False,False,True
O_ISAC_033,0,cabled_fibre,vibration,rate_vs_rmse,resource_division,200000000000.0,10.0,False,10.0,1.0,1e-06,20.0,10.0,coherent,False,False,,True,False,False,True,True
O_ISAC_034,0,wireless_fso,ranging|_localization_2d,['rate_vs_rmse'],resource_division,10000000000.0,0.1,True,,0.01,,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_035,0,wireless_fso,ranging,rate_vs_rmse,resource_division,3182000000.0,0.01,True,,0.01,,20.0,10.0,coherent,True,False,,True,False,False,False,True
O_ISAC_036,0,hybrid,ranging,rate_vs_rmse,resource_division,24000000000.0,0.03,True,0.1,0.1,0.01,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_037,0,cabled_fibre,ranging,rate_vs_rmse,resource_division,100000000000.0,10.0,True,10.0,1.0,1.0,20.0,10.0,coherent,True,False,,True,False,False,True,True
O_ISAC_038,0,cabled_fibre,ranging,rate_vs_rmse,resource_division,480000000000.0,10.0,True,10.0,1.0,,25.0,20.0,coherent,True,False,,True,False,False,True,True
O_ISAC_039,0,wireless_vlc,ranging,rate_vs_rmse,resource_division,1000000000.0,0.1,True,,0.01,,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_040,0,wireless_retroreflective,ranging,rate_vs_rmse,joint_waveform,1000000000.0,0.1,True,0.1,0.1,0.1,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_041,0,hybrid,ranging,rate_vs_rmse,resource_division,10000000000.0,1.0,True,,0.1,,,,coherent,True,True,10000000000.0,False,False,False,False,False
O_ISAC_042,0,cabled_fibre,vibration,rate_vs_rmse,resource_division,960000000000.0,0.5,False,0.5,0.1,,25.0,20.0,coherent,False,False,,True,False,False,True,True
O_ISAC_043,0,hybrid,ranging,rate_vs_rmse,joint_waveform,60000000000.0,0.04,True,0.1,0.01,0.01,20.0,10.0,coherent,True,False,,True,False,False,False,True
O_ISAC_044,0,hybrid,ranging,rate_vs_rmse,resource_division,60000000000.0,0.01,True,0.1,0.01,0.01,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_045,0,cabled_fibre,ranging|_localization_2d,['rate_vs_rmse'],joint_waveform,1250000000.0,10.0,True,10.0,1.0,0.1,20.0,10.0,direct,True,False,,True,True,False,True,True
O_ISAC_046,0,cabled_fibre,ranging|_localization_2d,rate_vs_rmse,resource_division,241850000000000.0,20.0,True,20.0,10.0,1e-10,,20.0,coherent,True,False,,False,False,False,True,True
O_ISAC_047,0,hybrid,ranging|_localization_2d,"['rate_vs_rmse', 'rate_vs_range_resolution']",joint_waveform,5440000000.0,0.1,True,0.1,0.01,0.01,20.0,10.0,coherent,True,False,,True,False,False,False,True
O_ISAC_048,0,wireless_fso,ranging|_localization_2d,"['rate_vs_rmse', 'rate_vs_range_resolution']",resource_division,1000000000.0,0.1,True,0.1,0.01,0.01,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_049,0,wireless_vlc,localization,rate_vs_rmse,resource_division,1000000000.0,0.1,True,0.1,0.1,0.1,20.0,10.0,direct_detection,True,False,,True,True,False,False,True
O_ISAC_050,0,wireless_vlc,localization_2d,rate_vs_rmse,resource_division,1000000000.0,0.1,True,,0.1,,20.0,20.0,direct,True,False,,True,True,False,False,True
O_ISAC_051,0,hybrid,ranging,rate_vs_rmse,resource_division,1430000.0,0.00354,True,0.01,0.015,0.01,30.0,20.0,coherent,True,False,,True,False,False,False,True
O_ISAC_052,0,hybrid,ranging|_localization_2d,"['rate_vs_rmse', 'rate_vs_range_resolution']",resource_division,10000000000.0,1.0,True,0.1,0.1,0.01,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_053,0,wireless_vlc,ranging|_localization_2d,['rate_vs_rmse'],resource_division,1000000.0,0.01,True,0.01,0.01,0.01,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_054,0,hybrid,localization_2d,rate_vs_rmse,resource_division,1000000000.0,0.1,True,0.1,0.01,0.1,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_055,0,wireless_fso,ranging,rate_vs_rmse,resource_division,1000000000.0,0.1,True,0.1,0.01,0.01,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_056,0,cabled_fibre,ranging,rate_vs_rmse,resource_division,10000000000.0,0.1,True,0.1,0.1,0.1,10.0,10.0,direct,True,False,,True,True,False,True,True
O_ISAC_057,0,hybrid,ranging|_localization_2d,rate_vs_rmse,joint_waveform,1000000000.0,0.018,True,0.018,0.018,0.01,20.0,10.0,coherent,True,False,,True,False,False,False,True
O_ISAC_058,0,hybrid,ranging,rate_vs_rmse,resource_division,60000000000.0,0.01,True,0.01,0.01,0.01,20.0,10.0,coherent,True,False,,True,False,False,False,True
O_ISAC_059,0,hybrid,ranging|_localization,"['rate_vs_rmse', 'rate_vs_range_resolution']",resource_division,10000000000.0,1.0,True,1.0,0.1,0.1,20.0,10.0,coherent,True,False,,True,False,False,False,True
O_ISAC_060,0,wireless_fso,ranging|_localization_2d,"['rate_vs_rmse', 'rate_vs_range_resolution']",resource_division,1000000000.0,0.1,True,0.1,0.01,0.01,20.0,10.0,coherent,True,False,,True,False,False,False,True
O_ISAC_061,0,hybrid,ranging,rate_vs_rmse,resource_division,10000000000.0,0.1,True,0.1,0.01,0.01,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_062,0,wireless_vlc,localization,rate_vs_rmse,resource_division,1000000000.0,0.1,True,0.1,0.1,0.1,20.0,20.0,direct,True,False,,True,True,False,False,True
O_ISAC_063,0,cabled_fibre,ranging,rate_vs_rmse,resource_division,640000000000.0,0.1,True,0.01,0.01,0.01,25.0,20.0,direct,True,False,,True,True,False,False,True
O_ISAC_064,0,cabled_fibre,vibration,nr,joint_waveform,,,False,,,,,,coherent,False,False,,False,False,False,False,False
O_ISAC_065,0,hybrid,ranging,rate_vs_rmse,resource_division,32000000000.0,0.01,True,0.01,0.1,0.1,20.0,10.0,coherent,True,False,,True,False,False,False,True
O_ISAC_066,0,hybrid,ranging,rate_vs_rmse,resource_division,100000000000.0,1.0,True,0.1,0.1,0.1,20.0,10.0,coherent,True,False,,True,False,False,False,True
O_ISAC_067,0,wireless_fso,localization_2d,rate_vs_rmse,resource_division,,,False,,,,,,direct,False,False,,False,False,False,False,False
O_ISAC_068,0,hybrid,ranging,rate_vs_rmse,resource_division,1000000000.0,0.1,True,0.01,0.01,0.01,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_069,0,hybrid,localization_2d,rate_vs_rmse,resource_division,10000000000.0,10.0,True,,,,,,coherent,True,True,1000000000.0,False,False,False,False,False
O_ISAC_070,0,hybrid,ranging,rate_vs_rmse,resource_division,10000000000.0,0.1,True,0.01,0.01,0.01,20.0,10.0,coherent,True,False,,True,False,False,False,True
O_ISAC_071,0,hybrid,ranging,['rate_vs_rmse'],joint_waveform,125000000.0,0.01,True,0.01,0.01,0.0,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_072,0,cabled_fibre,vibration,rate_vs_rmse,joint_waveform,32000000000.0,,False,,,,,,coherent,False,False,,False,False,False,False,False
O_ISAC_073,0,hybrid,ranging|_localization_2d,"['rate_vs_rmse', 'rate_vs_range_resolution']",resource_division,10000000000.0,1.0,True,0.1,0.1,0.1,20.0,10.0,coherent,True,False,,True,False,False,False,True
O_ISAC_074,0,cabled_fibre,ranging|_localization_2d,rate_vs_rmse,joint_waveform,50000000000.0,1.0,True,1.0,,,,,coherent,True,False,,False,False,False,True,True
O_ISAC_075,0,retroreflective_optical,ranging,rate_vs_rmse,resource_division,62500000.0,0.06,True,0.01,0.08,0.01,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_076,0,cabled_fibre,vibration,rate_vs_rmse,resource_division,32000000000.0,1.0,False,0.1,0.1,,25.0,10.0,coherent,False,False,,True,False,False,False,True
O_ISAC_077,0,hybrid,ranging|_localization_2d,['rate_vs_rmse'],joint_waveform,32000000000.0,0.01875,True,,0.01,,,10.0,coherent,True,True,1706666666666.6667,False,False,False,False,False
O_ISAC_078,0,cabled_fibre,ranging,rate_vs_rmse,resource_division,400000000000.0,10.0,True,10.0,1.0,1.0,20.0,10.0,direct,True,False,,True,True,False,True,True
O_ISAC_079,0,cabled_fibre,ranging|_localization_2d,['rate_vs_rmse'],joint_waveform,200000000000.0,0.02,True,0.02,0.01,0.01,20.0,10.0,coherent,True,False,,True,False,False,True,True
O_ISAC_080,0,cabled_fibre,vibration,rate_vs_rmse,resource_division,480000000000.0,10.0,False,,1.0,,25.0,20.0,coherent,False,False,,True,False,False,False,True
O_ISAC_081,0,hybrid,ranging|_localization_2d,"['rate_vs_rmse', 'rate_vs_range_resolution']",resource_division,10000000000.0,1.0,True,1.0,0.1,0.1,20.0,10.0,coherent,True,False,,True,False,False,False,True
O_ISAC_082,0,hybrid,ranging,rate_vs_rmse,resource_division,20000000000.0,0.0194,True,,,,,,envelope_detection,True,True,1030927835051.5464,False,False,False,False,False
O_ISAC_083,0,hybrid,ranging|_localization_2d,"['rate_vs_rmse', 'rate_vs_range_resolution']",resource_division,1000000000000.0,1.0,True,0.1,0.1,0.1,20.0,10.0,coherent,True,False,,True,False,False,False,True
O_ISAC_084,0,wireless_vlc,ranging|_localization_2d,['rate_vs_rmse'],resource_division,60000.0,0.1,True,0.1,0.01,0.01,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_085,0,cabled_fibre,vibration,rate_vs_rmse,resource_division,100000000000.0,0.1,False,0.1,0.01,,25.0,20.0,coherent,False,False,,True,False,False,True,True
O_ISAC_086,0,hybrid,ranging,rate_vs_rmse,resource_division,16000000000.0,0.0086,True,,,,,10.0,coherent,True,True,1860465116279.0698,False,False,False,False,False
O_ISAC_088,0,hybrid,localization_2d|_target_detection,['rate_vs_rmse'],resource_division,,,False,,,,,,direct,False,False,,False,False,False,False,False
O_ISAC_089,0,cabled_fibre,ranging|_localization_2d,"['rate_vs_rmse', 'rate_vs_range_resolution']",resource_division,10000000000.0,10.0,True,10.0,1.0,1.0,20.0,10.0,direct_detection,True,False,,True,True,False,True,True
O_ISAC_090,0,cabled_fibre,localization_2d,rate_vs_rmse,resource_division,200000000000.0,10.0,False,10.0,1.0,0.1,30.0,20.0,coherent,False,False,,True,False,False,True,True
O_ISAC_091,0,wireless_fso,ranging,rate_vs_rmse,resource_division,10000000000.0,1.0,True,0.1,0.1,0.1,20.0,10.0,coherent,True,False,,True,False,False,False,True
O_ISAC_092,0,wireless_vlc,localization_2d,rate_vs_rmse,resource_division,1000000000.0,0.1,True,0.1,0.1,0.1,10.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_093,0,hybrid,other,other,resource_division,,0.0,False,0.0,0.0,0.0,0.0,0.0,direct,False,False,,True,True,False,False,True
O_ISAC_094,0,hybrid,target_detection,rate_vs_rmse,resource_division,1000000000.0,10.0,True,10.0,1.0,1.0,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_095,0,hybrid,ranging,,,23000000000.0,0.3,True,,0.015,,,20.0,direct,True,True,76666666666.66667,False,False,False,False,False
O_ISAC_096,0,hybrid,ranging,rate_vs_rmse,resource_division,10000000000.0,0.1,True,,0.01,,20.0,10.0,coherent,True,False,,True,False,False,False,True
O_ISAC_097,0,hybrid,ranging,rate_vs_rmse,resource_division,2000000000.0,0.048,True,,0.023,,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_098,0,wireless_fso,ranging,rate_vs_rmse,resource_division,1000000000.0,1.0,True,0.1,0.1,0.1,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_099,0,retroreflective,ranging|_localization,"['rate_vs_rmse', 'rate_vs_range_resolution']",resource_division,1000000000.0,0.1,True,0.1,0.1,0.1,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_100,0,hybrid,ranging,rate_vs_rmse,resource_division,1000000000.0,0.1,True,0.01,0.01,0.01,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_101,0,cabled_fibre,ranging,rate_vs_rmse,resource_division,100000000000.0,1.0,True,0.1,0.1,0.1,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_102,0,cabled_fibre,ranging,rate_vs_rmse,resource_division,10000000000.0,10.0,True,,1.0,,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_103,0,cabled_fibre,fault_localization,rate_vs_range_resolution,resource_division,32000000000.0,56170.0,False,,1000.0,,,10.0,coherent,False,False,,False,False,False,False,False
O_ISAC_104,0,cabled_fibre,localization_2d,rate_vs_rmse,joint_waveform,10000000000.0,1.0,False,1.0,0.1,0.1,20.0,10.0,direct,False,False,,True,True,False,True,True
O_ISAC_105,0,hybrid,ranging,rate_vs_rmse,resource_division,120000000000.0,0.0025,True,,0.001,,,10.0,coherent,True,True,48000000000000.0,False,False,False,False,False
O_ISAC_106,0,wireless_retroreflective,localization_2d,['rate_vs_rmse'],joint_waveform,10000000000.0,0.1,True,0.1,0.01,0.01,30.0,20.0,direct,True,False,,True,True,False,False,True
O_ISAC_107,0,hybrid,localization_2d,rate_vs_rmse,resource_division,12000000.0,0.05,True,0.0,0.059,0.0,0.0,0.0,direct,True,False,,True,True,False,False,True
O_ISAC_108,0,wireless_vlc,localization_2d,['rate_vs_rmse'],joint_waveform,1000000000.0,0.1,True,0.1,0.01,0.01,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_108,1,wireless_vlc,localization_2d,['rate_vs_rmse'],joint_waveform,1000000000.0,0.1,True,0.1,0.01,0.01,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_109,0,hybrid,ranging|_localization_2d,"['rate_vs_rmse', 'rate_vs_range_resolution']",resource_division,10000000000.0,0.1,True,0.1,0.1,0.1,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_110,0,wireless_vlc,ranging|_localization_2d,['rate_vs_rmse'],joint_waveform,10000000.0,0.1,True,0.1,0.01,0.1,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_111,0,hybrid,ranging,rate_vs_rmse,resource_division,125516000000.0,0.01,True,0.01,0.01,1e-06,20.0,10.0,coherent,True,False,,True,False,False,False,True
O_ISAC_112,0,hybrid,ranging,rate_vs_rmse,resource_division,1000000000.0,0.1,True,0.1,0.01,0.01,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_113,0,cabled_fibre,temperature,['rate_vs_rmse'],resource_division,160000000000.0,0.0,False,0.0,0.0,0.0,25.0,20.0,coherent,False,False,,True,False,False,False,True
O_ISAC_114,0,hybrid,ranging,rate_vs_rmse,resource_division,632580000.0,0.06,True,0.01,0.0,0.01,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_115,0,wireless_fso,ranging|_localization_2d,['rate_vs_rmse'],resource_division,,0.01,True,0.01,0.01,,10.0,10.0,direct_detection,False,False,,True,True,False,False,True
O_ISAC_116,0,wireless_uv,localization_2d,['rate_vs_rmse'],resource_division,2000000.0,0.1,False,0.1,0.01,0.0,0.0,7.19,direct,False,False,,True,True,False,False,True
O_ISAC_117,0,hybrid,ranging,rate_vs_rmse,joint_waveform,10000000.0,0.01,True,0.01,0.001,0.01,20.0,10.0,coherent,True,False,,True,False,False,False,True
O_ISAC_118,0,wireless,ranging|_localization_2d,rate_vs_rmse,joint_waveform,1000000000.0,1.0,True,1.0,0.1,0.1,20.0,10.0,coherent,True,False,,True,False,False,False,True
O_ISAC_119,0,hybrid,ranging,rate_vs_rmse,resource_division,92000000000.0,0.015,True,,0.003,,,20.0,coherent,True,True,6133333333333.334,False,False,False,False,False
O_ISAC_120,0,wireless_fso,ranging,rate_vs_rmse,resource_division,10000000000.0,0.1,True,0.01,0.01,0.1,20.0,10.0,coherent,True,False,,True,False,False,False,True
O_ISAC_121,0,other,ranging|_localization_2d,rate_vs_rmse,joint_waveform,10000000000.0,0.1,True,0.1,0.01,0.1,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_122,0,other,direction_of_arrival,rate_vs_rmse,joint_waveform,,,False,,,,,,direct,False,False,,False,False,False,False,False
O_ISAC_123,0,hybrid,localization_2d,rate_vs_rmse,resource_division,100000000.0,0.1,True,0.1,0.01,0.01,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_124,0,hybrid,ranging,rate_vs_rmse,resource_division,10000000000.0,1.0,True,,0.1,,20.0,10.0,coherent,True,False,,True,False,False,False,True
O_ISAC_125,0,wireless,ranging|_localization_2d,"['rate_vs_rmse', 'rate_vs_range_resolution']",resource_division,,0.0,False,0.0,0.0,0.0,0.0,0.0,direct,False,False,,True,True,False,False,True
O_ISAC_126,0,hybrid,ranging|_localization_2d,"['rate_vs_rmse', 'rate_vs_range_resolution']",resource_division,10000000000.0,1.0,True,0.1,0.1,0.1,20.0,10.0,coherent,True,False,,True,False,False,False,True
O_ISAC_127,0,wireless_fso,ranging,rate_vs_rmse,resource_division,1000000000.0,1.0,True,1.0,0.1,0.1,20.0,10.0,coherent,True,False,,True,False,False,False,True
O_ISAC_128,0,cabled_fibre,ranging|_vibration,rate_vs_rmse,resource_division,92000000000.0,0.5,True,0.5,0.1,0.01,30.0,20.0,coherent,True,False,,True,False,False,True,True
O_ISAC_129,0,wireless_vlc,ranging|_localization_2d,['rate_vs_rmse'],joint_waveform,5000000.0,0.1,True,0.1,0.01,0.01,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_130,0,hybrid,ranging,rate_vs_rmse,resource_division,1000000000.0,0.1,True,0.01,0.01,,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_131,0,wireless_vlc,localization_2d,['rate_vs_rmse'],resource_division,1000000000.0,0.1,True,0.1,0.1,0.01,20.0,20.0,direct,True,False,,True,True,False,False,True
O_ISAC_132,0,hybrid,ranging,rate_vs_range,resource_division,100000000000.0,0.1,True,0.01,0.01,1e-06,25.0,20.0,coherent,True,False,,True,False,False,False,True
O_ISAC_133,0,wireless_fso,ranging,rate_vs_rmse,resource_division,1000000000.0,1.0,True,0.1,0.1,0.01,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_134,0,hybrid,localization,rate_vs_rmse,joint_waveform,,,False,,,,,,coherent,False,False,,False,False,False,False,False
O_ISAC_135,0,hybrid,volcanic_ash_detection,rate_vs_rmse,resource_division,,,False,,,,,,direct_detection,False,False,,False,False,False,False,False
O_ISAC_136,0,hybrid,ranging|_localization_2d,"['rate_vs_rmse', 'rate_vs_range_resolution']",resource_division,1000000000.0,0.1,True,0.01,0.01,0.01,20.0,10.0,coherent,True,False,,True,False,False,False,True
O_ISAC_137,0,wireless_fso,ranging|_localization_2d,['rate_vs_rmse'],joint_waveform,66000000.0,1.0,True,0.1,0.1,0.01,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_138,0,hybrid,localization,rate_vs_rmse,resource_division,10000000000.0,1.0,True,0.1,0.1,,20.0,10.0,coherent,True,False,,True,False,False,False,True
O_ISAC_139,0,wireless,localization,not reported,resource_division,,,False,,,,,,direct,False,False,,False,False,False,False,False
O_ISAC_140,0,wireless,ranging,rate_vs_range_resolution,joint_waveform,,,False,,,,,,MIMO,False,False,,False,False,False,False,False
O_ISAC_141,0,wireless,ranging|_localization_2d,"['rate_vs_rmse', 'rate_vs_range_resolution']",resource_division,,0.0,False,0.0,0.0,0.0,0.0,0.0,direct,False,False,,True,True,False,False,True
O_ISAC_142,0,hybrid,ranging,rate_vs_rmse,resource_division,10000000000.0,0.1,True,0.1,0.01,0.01,20.0,10.0,coherent,True,False,,True,False,False,False,True
O_ISAC_143,0,wireless_vlc,"ranging, localization_2d, velocity",rate_vs_rmse,resource_division,5400000.0,0.1,True,0.1,0.1,0.1,20.0,10.0,direct,True,False,,True,True,False,False,True
O_ISAC_144,0,hybrid,localization_2d|_localization_3d,"['rate_vs_rmse', 'rate_vs_range_resolution']",resource_division,,,False,,,,,,direct,False,False,,False,False,False,False,False
O_ISAC_145,0,hybrid,ranging,rate_vs_rmse,resource_division,10000000000.0,0.1,True,0.1,0.1,0.1,10.0,10.0,coherent,True,False,,True,False,False,False,True
O_ISAC_146,0,hybrid,ranging|_localization_2d,['rate_vs_rmse'],resource_division,,,False,,,,,,NR,False,False,,False,False,False,False,False
O_ISAC_147,0,wireless_fso,ranging,rate_vs_rmse,resource_division,,,False,,,,,,direct,False,False,,False,False,False,False,False
O_ISAC_148,0,hybrid,ranging|_localization_2d,['rate_vs_rmse'],resource_division,,10.0,True,10.0,1.0,0.0,20.0,10.0,direct,False,False,,True,True,False,False,True
O_ISAC_148,1,hybrid,ranging|_localization_2d,['rate_vs_rmse'],resource_division,,10.0,True,10.0,1.0,0.0,20.0,10.0,direct,False,False,,True,True,False,False,True
O_ISAC_149,0,hybrid,ranging|_localization_2d,['rate_vs_rmse'],resource_division,,,False,,,,,,direct,False,False,,False,False,False,False,False
