row_type,section,study_id,axis,record_id,raw_token,normalized_category,record_eligibility,is_recognized,body_membership_included,recognized_categories_for_study_axis,recognized_category_count_for_study_axis,eligible_raw_token_count_for_study_axis,fallback_body_id,fallback_body_included_for_study_axis,decision_reason
raw_token,S3,STC-SINGLETON-SCR-00001,sensing,MET-B20-SCR00001-005,other,other_sensing_metric,eligible,no,no,power_energy_device_response|sensitivity_detection_limit|system_configuration_or_input_parameter,3,8,S3-sensing_other_sensing_metric,no,unmatched_token_audit_only_because_recognized_category_exists
raw_token,S3,STC-SINGLETON-SCR-00001,sensing,MET-B20-SCR00001-007,other,power_energy_device_response,eligible,yes,yes,power_energy_device_response|sensitivity_detection_limit|system_configuration_or_input_parameter,3,8,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00001,sensing,MET-B20-SCR00001-008,other,system_configuration_or_input_parameter,eligible,yes,yes,power_energy_device_response|sensitivity_detection_limit|system_configuration_or_input_parameter,3,8,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00001,sensing,MET-B20-SCR00001-009,other,other_sensing_metric,eligible,no,no,power_energy_device_response|sensitivity_detection_limit|system_configuration_or_input_parameter,3,8,S3-sensing_other_sensing_metric,no,unmatched_token_audit_only_because_recognized_category_exists
axis_summary,S3,STC-SINGLETON-SCR-00002,communication,,,other_communication_metric,study_domain_summary,NA,no,error_rate|throughput_rate_capacity,2,3,S3-communication_other_communication_metric,no,fallback_suppressed_because_recognized_category_exists_in_study_domain
raw_token,S3,STC-SINGLETON-SCR-00002,communication,MET-B20-SCR00002-005,data_rate,throughput_rate_capacity,eligible,yes,yes,error_rate|throughput_rate_capacity,2,3,S3-communication_other_communication_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00002,communication,MET-B20-SCR00002-006,BER,error_rate,eligible,yes,yes,error_rate|throughput_rate_capacity,2,3,S3-communication_other_communication_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00002,communication,MET-B20-SCR00002-007,BER,error_rate,eligible,yes,yes,error_rate|throughput_rate_capacity,2,3,S3-communication_other_communication_metric,no,recognized_category_included
axis_summary,S3,STC-SINGLETON-SCR-00002,sensing,,,other_sensing_metric,study_domain_summary,NA,no,sensitivity_detection_limit,1,5,S3-sensing_other_sensing_metric,no,fallback_suppressed_because_recognized_category_exists_in_study_domain
raw_token,S3,STC-SINGLETON-SCR-00002,sensing,MET-B20-SCR00002-001,other,sensitivity_detection_limit,eligible,yes,yes,sensitivity_detection_limit,1,5,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00002,sensing,MET-B20-SCR00002-002,other,other_sensing_metric,eligible,no,no,sensitivity_detection_limit,1,5,S3-sensing_other_sensing_metric,no,unmatched_token_audit_only_because_recognized_category_exists
raw_token,S3,STC-SINGLETON-SCR-00002,sensing,MET-B20-SCR00002-003,other,other_sensing_metric,eligible,no,no,sensitivity_detection_limit,1,5,S3-sensing_other_sensing_metric,no,unmatched_token_audit_only_because_recognized_category_exists
raw_token,S3,STC-SINGLETON-SCR-00002,sensing,MET-B20-SCR00002-004,other,sensitivity_detection_limit,eligible,yes,yes,sensitivity_detection_limit,1,5,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00002,sensing,MET-B20-SCR00002-008,other,sensitivity_detection_limit,eligible,yes,yes,sensitivity_detection_limit,1,5,S3-sensing_other_sensing_metric,no,recognized_category_included
axis_summary,S3,STC-SINGLETON-SCR-00007,communication,,,other_communication_metric,study_domain_summary,NA,no,error_rate|spectral_efficiency,2,4,S3-communication_other_communication_metric,no,fallback_suppressed_because_recognized_category_exists_in_study_domain
raw_token,S3,STC-SINGLETON-SCR-00007,communication,MET-SCR00007-001,BER,error_rate,eligible,yes,yes,error_rate|spectral_efficiency,2,4,S3-communication_other_communication_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00007,communication,MET-SCR00007-003,spectral_efficiency,spectral_efficiency,eligible,yes,yes,error_rate|spectral_efficiency,2,4,S3-communication_other_communication_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00007,communication,MET-SCR00007-004,BER,error_rate,eligible,yes,yes,error_rate|spectral_efficiency,2,4,S3-communication_other_communication_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00007,communication,MET-SCR00007-005,BER,error_rate,eligible,yes,yes,error_rate|spectral_efficiency,2,4,S3-communication_other_communication_metric,no,recognized_category_included
axis_summary,S3,STC-SINGLETON-SCR-00007,sensing,,,other_sensing_metric,study_domain_summary,NA,no,estimation_error_bound,1,2,S3-sensing_other_sensing_metric,no,fallback_suppressed_because_recognized_category_exists_in_study_domain
raw_token,S3,STC-SINGLETON-SCR-00007,sensing,MET-SCR00007-002,MAPE,estimation_error_bound,eligible,yes,yes,estimation_error_bound,1,2,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00007,sensing,MET-SCR00007-006,MAPE,estimation_error_bound,eligible,yes,yes,estimation_error_bound,1,2,S3-sensing_other_sensing_metric,no,recognized_category_included
axis_summary,S3,STC-SINGLETON-SCR-00008,communication,,,other_communication_metric,study_domain_summary,NA,no,error_rate|throughput_rate_capacity,2,2,S3-communication_other_communication_metric,no,fallback_suppressed_because_recognized_category_exists_in_study_domain
raw_token,S3,STC-SINGLETON-SCR-00008,communication,MET-SCR00008-029,data_rate,throughput_rate_capacity,eligible,yes,yes,error_rate|throughput_rate_capacity,2,2,S3-communication_other_communication_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00008,communication,MET-SCR00008-030,BER,error_rate,eligible,yes,yes,error_rate|throughput_rate_capacity,2,2,S3-communication_other_communication_metric,no,recognized_category_included
axis_summary,S3,STC-SINGLETON-SCR-00008,sensing,,,other_sensing_metric,study_domain_summary,NA,no,bandwidth_waveform_configuration|error_rate|latency_complexity|physical_quantity_estimation|sensing_signal_quality|sensing_task_output_or_configuration|system_configuration_or_input_parameter,7,30,S3-sensing_other_sensing_metric,no,fallback_suppressed_because_recognized_category_exists_in_study_domain
raw_token,S3,STC-SINGLETON-SCR-00008,sensing,MET-SCR00008-001,other,error_rate,eligible,yes,yes,bandwidth_waveform_configuration|error_rate|latency_complexity|physical_quantity_estimation|sensing_signal_quality|sensing_task_output_or_configuration|system_configuration_or_input_parameter,7,30,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00008,sensing,MET-SCR00008-002,other,latency_complexity,eligible,yes,yes,bandwidth_waveform_configuration|error_rate|latency_complexity|physical_quantity_estimation|sensing_signal_quality|sensing_task_output_or_configuration|system_configuration_or_input_parameter,7,30,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00008,sensing,MET-SCR00008-003,other,error_rate,eligible,yes,yes,bandwidth_waveform_configuration|error_rate|latency_complexity|physical_quantity_estimation|sensing_signal_quality|sensing_task_output_or_configuration|system_configuration_or_input_parameter,7,30,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00008,sensing,MET-SCR00008-004,other,system_configuration_or_input_parameter,eligible,yes,yes,bandwidth_waveform_configuration|error_rate|latency_complexity|physical_quantity_estimation|sensing_signal_quality|sensing_task_output_or_configuration|system_configuration_or_input_parameter,7,30,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00008,sensing,MET-SCR00008-005,other,error_rate,eligible,yes,yes,bandwidth_waveform_configuration|error_rate|latency_complexity|physical_quantity_estimation|sensing_signal_quality|sensing_task_output_or_configuration|system_configuration_or_input_parameter,7,30,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00008,sensing,MET-SCR00008-006,other,error_rate,eligible,yes,yes,bandwidth_waveform_configuration|error_rate|latency_complexity|physical_quantity_estimation|sensing_signal_quality|sensing_task_output_or_configuration|system_configuration_or_input_parameter,7,30,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00008,sensing,MET-SCR00008-007,other,error_rate,eligible,yes,yes,bandwidth_waveform_configuration|error_rate|latency_complexity|physical_quantity_estimation|sensing_signal_quality|sensing_task_output_or_configuration|system_configuration_or_input_parameter,7,30,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00008,sensing,MET-SCR00008-008,sensing_SNR,sensing_signal_quality,eligible,yes,yes,bandwidth_waveform_configuration|error_rate|latency_complexity|physical_quantity_estimation|sensing_signal_quality|sensing_task_output_or_configuration|system_configuration_or_input_parameter,7,30,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00008,sensing,MET-SCR00008-009,other,error_rate,eligible,yes,yes,bandwidth_waveform_configuration|error_rate|latency_complexity|physical_quantity_estimation|sensing_signal_quality|sensing_task_output_or_configuration|system_configuration_or_input_parameter,7,30,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00008,sensing,MET-SCR00008-010,other,error_rate,eligible,yes,yes,bandwidth_waveform_configuration|error_rate|latency_complexity|physical_quantity_estimation|sensing_signal_quality|sensing_task_output_or_configuration|system_configuration_or_input_parameter,7,30,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00008,sensing,MET-SCR00008-011,other,bandwidth_waveform_configuration,eligible,yes,yes,bandwidth_waveform_configuration|error_rate|latency_complexity|physical_quantity_estimation|sensing_signal_quality|sensing_task_output_or_configuration|system_configuration_or_input_parameter,7,30,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00008,sensing,MET-SCR00008-012,other,error_rate,eligible,yes,yes,bandwidth_waveform_configuration|error_rate|latency_complexity|physical_quantity_estimation|sensing_signal_quality|sensing_task_output_or_configuration|system_configuration_or_input_parameter,7,30,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00008,sensing,MET-SCR00008-013,other,error_rate,eligible,yes,yes,bandwidth_waveform_configuration|error_rate|latency_complexity|physical_quantity_estimation|sensing_signal_quality|sensing_task_output_or_configuration|system_configuration_or_input_parameter,7,30,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00008,sensing,MET-SCR00008-014,other,physical_quantity_estimation,eligible,yes,yes,bandwidth_waveform_configuration|error_rate|latency_complexity|physical_quantity_estimation|sensing_signal_quality|sensing_task_output_or_configuration|system_configuration_or_input_parameter,7,30,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00008,sensing,MET-SCR00008-015,other,error_rate,eligible,yes,yes,bandwidth_waveform_configuration|error_rate|latency_complexity|physical_quantity_estimation|sensing_signal_quality|sensing_task_output_or_configuration|system_configuration_or_input_parameter,7,30,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00008,sensing,MET-SCR00008-016,sensing_SNR,sensing_signal_quality,eligible,yes,yes,bandwidth_waveform_configuration|error_rate|latency_complexity|physical_quantity_estimation|sensing_signal_quality|sensing_task_output_or_configuration|system_configuration_or_input_parameter,7,30,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00008,sensing,MET-SCR00008-017,sensing_SNR,error_rate,eligible,yes,yes,bandwidth_waveform_configuration|error_rate|latency_complexity|physical_quantity_estimation|sensing_signal_quality|sensing_task_output_or_configuration|system_configuration_or_input_parameter,7,30,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00008,sensing,MET-SCR00008-018,sensing_SNR,sensing_signal_quality,eligible,yes,yes,bandwidth_waveform_configuration|error_rate|latency_complexity|physical_quantity_estimation|sensing_signal_quality|sensing_task_output_or_configuration|system_configuration_or_input_parameter,7,30,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00008,sensing,MET-SCR00008-019,other,latency_complexity,eligible,yes,yes,bandwidth_waveform_configuration|error_rate|latency_complexity|physical_quantity_estimation|sensing_signal_quality|sensing_task_output_or_configuration|system_configuration_or_input_parameter,7,30,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00008,sensing,MET-SCR00008-020,other,latency_complexity,eligible,yes,yes,bandwidth_waveform_configuration|error_rate|latency_complexity|physical_quantity_estimation|sensing_signal_quality|sensing_task_output_or_configuration|system_configuration_or_input_parameter,7,30,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00008,sensing,MET-SCR00008-021,other,latency_complexity,eligible,yes,yes,bandwidth_waveform_configuration|error_rate|latency_complexity|physical_quantity_estimation|sensing_signal_quality|sensing_task_output_or_configuration|system_configuration_or_input_parameter,7,30,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00008,sensing,MET-SCR00008-022,other,latency_complexity,eligible,yes,yes,bandwidth_waveform_configuration|error_rate|latency_complexity|physical_quantity_estimation|sensing_signal_quality|sensing_task_output_or_configuration|system_configuration_or_input_parameter,7,30,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00008,sensing,MET-SCR00008-023,other,physical_quantity_estimation,eligible,yes,yes,bandwidth_waveform_configuration|error_rate|latency_complexity|physical_quantity_estimation|sensing_signal_quality|sensing_task_output_or_configuration|system_configuration_or_input_parameter,7,30,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00008,sensing,MET-SCR00008-024,other,sensing_task_output_or_configuration,eligible,yes,yes,bandwidth_waveform_configuration|error_rate|latency_complexity|physical_quantity_estimation|sensing_signal_quality|sensing_task_output_or_configuration|system_configuration_or_input_parameter,7,30,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00008,sensing,MET-SCR00008-025,other,physical_quantity_estimation,eligible,yes,yes,bandwidth_waveform_configuration|error_rate|latency_complexity|physical_quantity_estimation|sensing_signal_quality|sensing_task_output_or_configuration|system_configuration_or_input_parameter,7,30,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00008,sensing,MET-SCR00008-026,other,sensing_task_output_or_configuration,eligible,yes,yes,bandwidth_waveform_configuration|error_rate|latency_complexity|physical_quantity_estimation|sensing_signal_quality|sensing_task_output_or_configuration|system_configuration_or_input_parameter,7,30,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00008,sensing,MET-SCR00008-027,other,physical_quantity_estimation,eligible,yes,yes,bandwidth_waveform_configuration|error_rate|latency_complexity|physical_quantity_estimation|sensing_signal_quality|sensing_task_output_or_configuration|system_configuration_or_input_parameter,7,30,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00008,sensing,MET-SCR00008-028,other,sensing_task_output_or_configuration,eligible,yes,yes,bandwidth_waveform_configuration|error_rate|latency_complexity|physical_quantity_estimation|sensing_signal_quality|sensing_task_output_or_configuration|system_configuration_or_input_parameter,7,30,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00008,sensing,MET-SCR00008-031,sensing_SNR,error_rate,eligible,yes,yes,bandwidth_waveform_configuration|error_rate|latency_complexity|physical_quantity_estimation|sensing_signal_quality|sensing_task_output_or_configuration|system_configuration_or_input_parameter,7,30,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00008,sensing,MET-SCR00008-032,other,other_sensing_metric,eligible,no,no,bandwidth_waveform_configuration|error_rate|latency_complexity|physical_quantity_estimation|sensing_signal_quality|sensing_task_output_or_configuration|system_configuration_or_input_parameter,7,30,S3-sensing_other_sensing_metric,no,unmatched_token_audit_only_because_recognized_category_exists
axis_summary,S3,STC-SINGLETON-SCR-00009,communication,,,other_communication_metric,study_domain_summary,NA,no,bandwidth_waveform_configuration|latency_complexity|power_energy_device_response,3,3,S3-communication_other_communication_metric,no,fallback_suppressed_because_recognized_category_exists_in_study_domain
raw_token,S3,STC-SINGLETON-SCR-00009,communication,MET-B20-SCR00009-001,latency,latency_complexity,eligible,yes,yes,bandwidth_waveform_configuration|latency_complexity|power_energy_device_response,3,3,S3-communication_other_communication_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00009,communication,MET-B20-SCR00009-002,other,power_energy_device_response,eligible,yes,yes,bandwidth_waveform_configuration|latency_complexity|power_energy_device_response,3,3,S3-communication_other_communication_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00009,communication,MET-B20-SCR00009-004,other,bandwidth_waveform_configuration,eligible,yes,yes,bandwidth_waveform_configuration|latency_complexity|power_energy_device_response,3,3,S3-communication_other_communication_metric,no,recognized_category_included
axis_summary,S3,STC-SINGLETON-SCR-00009,sensing,,,other_sensing_metric,study_domain_summary,NA,no,classification_inference_accuracy,1,1,S3-sensing_other_sensing_metric,no,fallback_suppressed_because_recognized_category_exists_in_study_domain
raw_token,S3,STC-SINGLETON-SCR-00009,sensing,MET-B20-SCR00009-003,other,classification_inference_accuracy,eligible,yes,yes,classification_inference_accuracy,1,1,S3-sensing_other_sensing_metric,no,recognized_category_included
axis_summary,S3,STC-SINGLETON-SCR-00011,communication,,,other_communication_metric,study_domain_summary,NA,no,throughput_rate_capacity,1,2,S3-communication_other_communication_metric,no,fallback_suppressed_because_recognized_category_exists_in_study_domain
raw_token,S3,STC-SINGLETON-SCR-00011,communication,MET-B20-SCR00011-003,data_rate,throughput_rate_capacity,eligible,yes,yes,throughput_rate_capacity,1,2,S3-communication_other_communication_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00011,communication,MET-B20-SCR00011-004,data_rate,throughput_rate_capacity,eligible,yes,yes,throughput_rate_capacity,1,2,S3-communication_other_communication_metric,no,recognized_category_included
axis_summary,S3,STC-SINGLETON-SCR-00011,sensing,,,other_sensing_metric,study_domain_summary,NA,no,range_error_resolution|sensing_task_output_or_configuration,2,4,S3-sensing_other_sensing_metric,no,fallback_suppressed_because_recognized_category_exists_in_study_domain
raw_token,S3,STC-SINGLETON-SCR-00011,sensing,MET-B20-SCR00011-001,range_resolution,range_error_resolution,eligible,yes,yes,range_error_resolution|sensing_task_output_or_configuration,2,4,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00011,sensing,MET-B20-SCR00011-002,other,sensing_task_output_or_configuration,eligible,yes,yes,range_error_resolution|sensing_task_output_or_configuration,2,4,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00011,sensing,MET-B20-SCR00011-005,range_accuracy,range_error_resolution,eligible,yes,yes,range_error_resolution|sensing_task_output_or_configuration,2,4,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00011,sensing,MET-B20-SCR00011-006,range_accuracy,range_error_resolution,eligible,yes,yes,range_error_resolution|sensing_task_output_or_configuration,2,4,S3-sensing_other_sensing_metric,no,recognized_category_included
axis_summary,S3,STC-SINGLETON-SCR-00012,communication,,,other_communication_metric,study_domain_summary,NA,no,error_rate|throughput_rate_capacity,2,2,S3-communication_other_communication_metric,no,fallback_suppressed_because_recognized_category_exists_in_study_domain
raw_token,S3,STC-SINGLETON-SCR-00012,communication,MET-B20-SCR00012-006,data_rate,throughput_rate_capacity,eligible,yes,yes,error_rate|throughput_rate_capacity,2,2,S3-communication_other_communication_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00012,communication,MET-B20-SCR00012-007,BER,error_rate,eligible,yes,yes,error_rate|throughput_rate_capacity,2,2,S3-communication_other_communication_metric,no,recognized_category_included
axis_summary,S3,STC-SINGLETON-SCR-00012,sensing,,,other_sensing_metric,study_domain_summary,NA,no,angle_position_localization|classification_inference_accuracy|imaging_reconstruction_quality|sensing_resolution|system_configuration_or_input_parameter,5,6,S3-sensing_other_sensing_metric,no,fallback_suppressed_because_recognized_category_exists_in_study_domain
raw_token,S3,STC-SINGLETON-SCR-00012,sensing,MET-B20-SCR00012-001,localization_error,angle_position_localization,eligible,yes,yes,angle_position_localization|classification_inference_accuracy|imaging_reconstruction_quality|sensing_resolution|system_configuration_or_input_parameter,5,6,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00012,sensing,MET-B20-SCR00012-002,localization_error,angle_position_localization,eligible,yes,yes,angle_position_localization|classification_inference_accuracy|imaging_reconstruction_quality|sensing_resolution|system_configuration_or_input_parameter,5,6,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00012,sensing,MET-B20-SCR00012-003,resolution,sensing_resolution,eligible,yes,yes,angle_position_localization|classification_inference_accuracy|imaging_reconstruction_quality|sensing_resolution|system_configuration_or_input_parameter,5,6,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00012,sensing,MET-B20-SCR00012-004,other,imaging_reconstruction_quality,eligible,yes,yes,angle_position_localization|classification_inference_accuracy|imaging_reconstruction_quality|sensing_resolution|system_configuration_or_input_parameter,5,6,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00012,sensing,MET-B20-SCR00012-005,other,classification_inference_accuracy,eligible,yes,yes,angle_position_localization|classification_inference_accuracy|imaging_reconstruction_quality|sensing_resolution|system_configuration_or_input_parameter,5,6,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00012,sensing,MET-B20-SCR00012-008,other,system_configuration_or_input_parameter,eligible,yes,yes,angle_position_localization|classification_inference_accuracy|imaging_reconstruction_quality|sensing_resolution|system_configuration_or_input_parameter,5,6,S3-sensing_other_sensing_metric,no,recognized_category_included
axis_summary,S3,STC-SINGLETON-SCR-00013,communication,,,other_communication_metric,study_domain_summary,NA,no,error_rate|power_energy_device_response|spectral_efficiency|throughput_rate_capacity,4,4,S3-communication_other_communication_metric,no,fallback_suppressed_because_recognized_category_exists_in_study_domain
raw_token,S3,STC-SINGLETON-SCR-00013,communication,MET-B20-SCR00013-001,data_rate,throughput_rate_capacity,eligible,yes,yes,error_rate|power_energy_device_response|spectral_efficiency|throughput_rate_capacity,4,4,S3-communication_other_communication_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00013,communication,MET-B20-SCR00013-002,BER,error_rate,eligible,yes,yes,error_rate|power_energy_device_response|spectral_efficiency|throughput_rate_capacity,4,4,S3-communication_other_communication_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00013,communication,MET-B20-SCR00013-007,other,power_energy_device_response,eligible,yes,yes,error_rate|power_energy_device_response|spectral_efficiency|throughput_rate_capacity,4,4,S3-communication_other_communication_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00013,communication,MET-B20-SCR00013-009,spectral_efficiency,spectral_efficiency,eligible,yes,yes,error_rate|power_energy_device_response|spectral_efficiency|throughput_rate_capacity,4,4,S3-communication_other_communication_metric,no,recognized_category_included
axis_summary,S3,STC-SINGLETON-SCR-00013,sensing,,,other_sensing_metric,study_domain_summary,NA,no,physical_quantity_estimation|power_energy_device_response|sensing_resolution|sensitivity_detection_limit,4,6,S3-sensing_other_sensing_metric,no,fallback_suppressed_because_recognized_category_exists_in_study_domain
raw_token,S3,STC-SINGLETON-SCR-00013,sensing,MET-B20-SCR00013-003,other,other_sensing_metric,eligible,no,no,physical_quantity_estimation|power_energy_device_response|sensing_resolution|sensitivity_detection_limit,4,6,S3-sensing_other_sensing_metric,no,unmatched_token_audit_only_because_recognized_category_exists
raw_token,S3,STC-SINGLETON-SCR-00013,sensing,MET-B20-SCR00013-004,other,other_sensing_metric,eligible,no,no,physical_quantity_estimation|power_energy_device_response|sensing_resolution|sensitivity_detection_limit,4,6,S3-sensing_other_sensing_metric,no,unmatched_token_audit_only_because_recognized_category_exists
raw_token,S3,STC-SINGLETON-SCR-00013,sensing,MET-B20-SCR00013-005,resolution,sensing_resolution,eligible,yes,yes,physical_quantity_estimation|power_energy_device_response|sensing_resolution|sensitivity_detection_limit,4,6,S3-sensing_other_sensing_metric,no,recognized_category_included
raw_token,S3,STC-SINGLETON-SCR-00013,sensing,MET-B20-SCR00013-006,other,sensitivity_detection_limit,eligible,yes,yes,physical_quantity_estimation|power_energy_device_response|sensing_resolution|sensitivity_detection_limit,4,6,S3-sensing_other_sensing_metric,no,recognized_category_included
